C_chinensis	chromosome	D_sublineata	chromosome
anno1.g10389.t1	A	rna-XM_056776456.1	A
anno1.g10390.t1	A	rna-XM_056776457.1	A
anno1.g10391.t1	A	rna-XM_056789010.1	A
anno1.g10392.t1	A	rna-XM_056788706.1	A
anno1.g10393.t2	A	rna-XM_056790785.1	A
anno1.g10394.t1	A	rna-XM_056778669.1	A
anno1.g10395.t1	A	rna-XM_056778639.1	A
anno1.g10396.t1	A	rna-XM_056788333.1	A
anno1.g10397.t2	A	rna-XM_056788695.1	A
anno1.g10398.t1	A	rna-XM_056788687.1	A
anno1.g10399.t1	A	rna-XM_056788694.1	A
anno1.g10400.t1	A	rna-XM_056788941.1	A
anno1.g10402.t1	A	rna-XM_056783609.1	A
anno1.g10403.t1	A	rna-XM_056783608.1	A
anno1.g10404.t1	A	rna-XM_056774129.1	A
anno1.g10405.t2	A	rna-XM_056781542.1	A
anno1.g10406.t1	A	rna-XM_056781030.1	A
anno1.g10407.t1	A	rna-XM_056780864.1	A
anno1.g10408.t1	A	rna-XM_056783249.1	A
anno1.g10409.t1	A	rna-XM_056783251.1	A
anno1.g10410.t1	A	rna-XM_056782027.1	A
anno1.g10411.t1	A	rna-XM_056785769.1	A
anno1.g10351.t1	A	rna-XM_056792365.1	A
anno1.g10352.t1	A	rna-XM_056783011.1	A
anno1.g10354.t1	A	rna-XM_056784188.1	A
anno1.g10355.t1	A	rna-XM_056784174.1	A
anno1.g10356.t1	A	rna-XM_056787134.1	A
anno1.g10357.t1	A	rna-XM_056775286.1	A
anno1.g10358.t1	A	rna-XM_056786819.1	A
anno1.g10359.t1	A	rna-XM_056786522.1	A
anno1.g10345.t1	A	rna-XM_056785473.1	A
anno1.g10331.t2	A	rna-XM_056782445.1	A
anno1.g10333.t1	A	rna-XM_056783631.1	A
anno1.g10335.t1	A	rna-XM_056785702.1	A
anno1.g10336.t1	A	rna-XM_056789513.1	X
anno1.g10337.t1	A	rna-XM_056789170.1	X
anno1.g10338.t1	A	rna-XM_056781254.1	A
anno1.g10339.t1	A	rna-XM_056789999.1	X
anno1.g10315.t1	A	rna-XM_056785077.1	A
anno1.g10316.t1	A	rna-XM_056784017.1	A
anno1.g10317.t1	A	rna-XM_056779944.1	A
anno1.g10318.t3	A	rna-XM_056784369.1	A
anno1.g10319.t1	A	rna-XM_056792542.1	A
anno1.g10320.t1	A	rna-XM_056773995.1	A
anno1.g10321.t1	A	rna-XM_056791941.1	A
anno1.g10322.t1	A	rna-XM_056792977.1	A
anno1.g10323.t1	A	rna-XM_056773889.1	A
anno1.g10324.t1	A	rna-XM_056792975.1	A
anno1.g10325.t1	A	rna-XM_056792510.1	A
anno1.g10326.t1	A	rna-XM_056784600.1	A
anno1.g1769.t1	A	rna-XM_056776067.1	A
anno1.g1775.t4	A	rna-XM_056784436.1	A
anno1.g1778.t1	A	rna-XM_056774406.1	A
anno1.g1779.t1	A	rna-XM_056774405.1	A
anno1.g1780.t1	A	rna-XM_056784069.1	A
anno1.g1782.t1	A	rna-XM_056780655.1	A
anno1.g1783.t1	A	rna-XM_056787935.1	A
anno1.g1785.t1	A	rna-XM_056792154.1	A
anno1.g10311.t1	A	rna-XM_056786026.1	A
anno1.g1765.t1	A	rna-XM_056786655.1	A
anno1.g10280.t1	A	rna-XM_056792803.1	A
anno1.g10276.t1	A	rna-XM_056774173.1	A
anno1.g10277.t1	A	rna-XM_056784523.1	A
anno1.g10239.t1	A	rna-XM_056788968.1	A
anno1.g10240.t1	A	rna-XM_056788971.1	A
anno1.g10242.t1	A	rna-XM_056788956.1	A
anno1.g10243.t1	A	rna-XM_056787781.1	A
anno1.g10247.t1	A	rna-XM_056785636.1	A
anno1.g10248.t1	A	rna-XM_056784837.1	A
anno1.g10251.t1	A	rna-XM_056777850.1	A
anno1.g10253.t1	A	rna-XM_056784047.1	A
anno1.g10254.t2	A	rna-XM_056777176.1	A
anno1.g10255.t1	A	rna-XM_056784050.1	A
anno1.g10256.t2	A	rna-XM_056784048.1	A
anno1.g10257.t1	A	rna-XM_056788138.1	A
anno1.g10258.t4	A	rna-XM_056788143.1	A
anno1.g10259.t1	A	rna-XM_056774259.1	A
anno1.g10260.t1	A	rna-XM_056789958.1	X
anno1.g10261.t1	A	rna-XM_056775320.1	A
anno1.g10262.t1	A	rna-XM_056773958.1	A
anno1.g10263.t1	A	rna-XM_056776681.1	A
anno1.g10264.t1	A	rna-XM_056776692.1	A
anno1.g10265.t1	A	rna-XM_056776693.1	A
anno1.g10266.t1	A	rna-XM_056782844.1	A
anno1.g10267.t1	A	rna-XM_056776329.1	A
anno1.g10268.t1	A	rna-XM_056788247.1	A
anno1.g10269.t1	A	rna-XM_056776695.1	A
anno1.g10270.t1	A	rna-XM_056777047.1	A
anno1.g10271.t1	A	rna-XM_056779058.1	A
anno1.g10223.t2	A	rna-XM_056778144.1	A
anno1.g10224.t1	A	rna-XM_056777590.1	A
anno1.g10225.t1	A	rna-XM_056791436.1	A
anno1.g10226.t1	A	rna-XM_056777256.1	A
anno1.g10227.t6	A	rna-XM_056777253.1	A
anno1.g10228.t1	A	rna-XM_056776991.1	A
anno1.g10229.t1	A	rna-XM_056777836.1	A
anno1.g10230.t1	A	rna-XM_056777589.1	A
anno1.g10231.t1	A	rna-XM_056776362.1	A
anno1.g10233.t1	A	rna-XM_056777939.1	A
anno1.g10234.t1	A	rna-XM_056777831.1	A
anno1.g10235.t1	A	rna-XM_056777832.1	A
anno1.g10236.t2	A	rna-XM_056777834.1	A
anno1.g10237.t1	A	rna-XM_056776658.1	A
anno1.g10238.t1	A	rna-XM_056775150.1	A
anno1.g1759.t1	A	rna-XM_056779575.1	A
anno1.g10211.t1	A	rna-XM_056792258.1	A
anno1.g10212.t1	A	rna-XM_056783501.1	A
anno1.g10213.t1	A	rna-XM_056778660.1	A
anno1.g10214.t1	A	rna-XM_056780018.1	A
anno1.g10215.t1	A	rna-XM_056780017.1	A
anno1.g10216.t1	A	rna-XM_056780015.1	A
anno1.g10217.t1	A	rna-XM_056788228.1	A
anno1.g10218.t1	A	rna-XM_056785938.1	A
anno1.g10219.t2	A	rna-XM_056785939.1	A
anno1.g10220.t1	A	rna-XM_056792734.1	A
anno1.g10192.t1	A	rna-XM_056780580.1	A
anno1.g10189.t1	A	rna-XM_056784757.1	A
anno1.g1757.t1	A	rna-XM_056779787.1	A
anno1.g10172.t1	A	rna-XM_056784258.1	A
anno1.g10174.t1	A	rna-XM_056786173.1	A
anno1.g10175.t1	A	rna-XM_056781845.1	A
anno1.g10176.t1	A	rna-XM_056777654.1	A
anno1.g10177.t1	A	rna-XM_056781849.1	A
anno1.g10178.t1	A	rna-XM_056781846.1	A
anno1.g10179.t1	A	rna-XM_056781574.1	A
anno1.g10182.t1	A	rna-XM_056787096.1	A
anno1.g1732.t1	A	rna-XM_056779955.1	A
anno1.g1733.t1	A	rna-XM_056792474.1	A
anno1.g1735.t2	A	rna-XM_056785995.1	A
anno1.g1736.t1	A	rna-XM_056785994.1	A
anno1.g1737.t1	A	rna-XM_056785156.1	A
anno1.g1740.t2	A	rna-XM_056785653.1	A
anno1.g1741.t1	A	rna-XM_056785157.1	A
anno1.g1745.t3	A	rna-XM_056785153.1	A
anno1.g1746.t1	A	rna-XM_056785158.1	A
anno1.g1747.t1	A	rna-XM_056776798.1	A
anno1.g1753.t1	A	rna-XM_056779589.1	A
anno1.g1754.t1	A	rna-XM_056776809.1	A
anno1.g1755.t2	A	rna-XM_056784675.1	A
anno1.g10161.t1	A	rna-XM_056792402.1	A
anno1.g10162.t1	A	rna-XM_056781189.1	A
anno1.g10151.t1	A	rna-XM_056774158.1	A
anno1.g10153.t1	A	rna-XM_056786122.1	A
anno1.g1727.t1	A	rna-XM_056789001.1	A
anno1.g10146.t1	A	rna-XM_056778709.1	A
anno1.g10147.t2	A	rna-XM_056778711.1	A
anno1.g10131.t1	A	rna-XM_056788682.1	A
anno1.g10132.t1	A	rna-XM_056785503.1	A
anno1.g10133.t1	A	rna-XM_056792387.1	A
anno1.g10134.t1	A	rna-XM_056784808.1	A
anno1.g10135.t1	A	rna-XM_056773648.1	A
anno1.g10136.t3	A	rna-XM_056786260.1	A
anno1.g10137.t1	A	rna-XM_056779143.1	A
anno1.g10138.t1	A	rna-XM_056773920.1	A
anno1.g10109.t2	A	rna-XM_056778531.1	A
anno1.g10110.t1	A	rna-XM_056783166.1	A
anno1.g10111.t1	A	rna-XM_056776748.1	A
anno1.g10112.t2	A	rna-XM_056778336.1	A
anno1.g10113.t1	A	rna-XM_056778342.1	A
anno1.g10114.t1	A	rna-XM_056790265.1	X
anno1.g10115.t4	A	rna-XM_056792690.1	A
anno1.g10116.t1	A	rna-XM_056778102.1	A
anno1.g10117.t1	A	rna-XM_056780994.1	A
anno1.g10119.t1	A	rna-XM_056777044.1	A
anno1.g10120.t1	A	rna-XM_056777085.1	A
anno1.g10121.t2	A	rna-XM_056790102.1	A
anno1.g10099.t1	A	rna-XM_056779120.1	A
anno1.g10103.t1	A	rna-XM_056779163.1	A
anno1.g10075.t1	A	rna-XM_056793062.1	A
anno1.g10076.t1	A	rna-XM_056792963.1	A
anno1.g10077.t1	A	rna-XM_056784697.1	A
anno1.g10078.t1	A	rna-XM_056784078.1	A
anno1.g1715.t1	A	rna-XM_056792335.1	A
anno1.g10059.t1	A	rna-XM_056782840.1	A
anno1.g1713.t1	A	rna-XM_056779034.1	A
anno1.g10045.t1	A	rna-XM_056783504.1	A
anno1.g10048.t2	A	rna-XM_056781930.1	A
anno1.g10049.t1	A	rna-XM_056774247.1	A
anno1.g10050.t3	A	rna-XM_056774343.1	A
anno1.g10051.t1	A	rna-XM_056778920.1	A
anno1.g10027.t1	A	rna-XM_056784073.1	A
anno1.g10033.t1	A	rna-XM_056779022.1	A
anno1.g1706.t1	A	rna-XM_056775388.1	A
anno1.g1708.t2	A	rna-XM_056788057.1	A
anno1.g1711.t1	A	rna-XM_056780052.1	A
anno1.g1712.t1	A	rna-XM_056784136.1	A
anno1.g10012.t2	A	rna-XM_056783387.1	A
anno1.g10013.t1	A	rna-XM_056774710.1	A
anno1.g9990.t1	A	rna-XM_056780602.1	A
anno1.g9991.t1	A	rna-XM_056781910.1	A
anno1.g9992.t2	A	rna-XM_056782136.1	A
anno1.g9993.t1	A	rna-XM_056782137.1	A
anno1.g9994.t1	A	rna-XM_056776499.1	A
anno1.g9995.t1	A	rna-XM_056778404.1	A
anno1.g9996.t1	A	rna-XM_056782499.1	A
anno1.g9997.t1	A	rna-XM_056782501.1	A
anno1.g9999.t1	A	rna-XM_056782502.1	A
anno1.g10000.t1	A	rna-XM_056786964.1	A
anno1.g10001.t1	A	rna-XM_056782507.1	A
anno1.g10002.t1	A	rna-XM_056782977.1	A
anno1.g10003.t2	A	rna-XM_056782508.1	A
anno1.g10004.t1	A	rna-XM_056783783.1	A
anno1.g9972.t1	A	rna-XM_056783370.1	A
anno1.g9973.t1	A	rna-XM_056788743.1	A
anno1.g9974.t1	A	rna-XM_056777115.1	A
anno1.g9977.t1	A	rna-XM_056775874.1	A
anno1.g9980.t1	A	rna-XM_056780719.1	A
anno1.g9920.t1	A	rna-XM_056788807.1	A
anno1.g9921.t1	A	rna-XM_056783762.1	A
anno1.g1699.t1	A	rna-XM_056783558.1	A
anno1.g1701.t1	A	rna-XM_056780462.1	A
anno1.g9849.t1	A	rna-XM_056780765.1	A
anno1.g9851.t1	A	rna-XM_056777803.1	A
anno1.g9852.t1	A	rna-XM_056781319.1	A
anno1.g9853.t1	A	rna-XM_056777669.1	A
anno1.g9855.t1	A	rna-XM_056776699.1	A
anno1.g9856.t2	A	rna-XM_056791866.1	A
anno1.g9857.t1	A	rna-XM_056787490.1	A
anno1.g9858.t1	A	rna-XM_056787891.1	A
anno1.g9859.t1	A	rna-XM_056786656.1	A
anno1.g9861.t1	A	rna-XM_056786289.1	A
anno1.g9862.t2	A	rna-XM_056783834.1	A
anno1.g9863.t1	A	rna-XM_056786542.1	A
anno1.g9864.t1	A	rna-XM_056780940.1	A
anno1.g9865.t1	A	rna-XM_056785963.1	A
anno1.g9869.t1	A	rna-XM_056791877.1	A
anno1.g9870.t1	A	rna-XM_056787014.1	A
anno1.g9871.t1	A	rna-XM_056787657.1	A
anno1.g9872.t2	A	rna-XM_056791323.1	A
anno1.g9873.t2	A	rna-XM_056783276.1	A
anno1.g9874.t1	A	rna-XM_056792298.1	A
anno1.g9876.t1	A	rna-XM_056792297.1	A
anno1.g9877.t1	A	rna-XM_056784151.1	A
anno1.g9879.t2	A	rna-XM_056785896.1	A
anno1.g9880.t2	A	rna-XM_056782551.1	A
anno1.g9881.t3	A	rna-XM_056783743.1	A
anno1.g9882.t1	A	rna-XM_056774427.1	A
anno1.g9883.t1	A	rna-XM_056775322.1	A
anno1.g9884.t1	A	rna-XM_056786743.1	A
anno1.g9887.t1	A	rna-XM_056775547.1	A
anno1.g9888.t2	A	rna-XM_056775707.1	A
anno1.g9890.t1	A	rna-XM_056779395.1	A
anno1.g9891.t1	A	rna-XM_056783606.1	A
anno1.g9892.t1	A	rna-XM_056781541.1	A
anno1.g9899.t1	A	rna-XM_056780781.1	A
anno1.g9900.t1	A	rna-XM_056780222.1	A
anno1.g9901.t1	A	rna-XM_056785195.1	A
anno1.g9902.t1	A	rna-XM_056785197.1	A
anno1.g9903.t1	A	rna-XM_056785645.1	A
anno1.g9904.t1	A	rna-XM_056786378.1	A
anno1.g9837.t1	A	rna-XM_056776149.1	A
anno1.g1695.t1	A	rna-XM_056783083.1	A
anno1.g9813.t1	A	rna-XM_056777027.1	A
anno1.g9814.t1	A	rna-XM_056786373.1	A
anno1.g9815.t1	A	rna-XM_056786372.1	A
anno1.g9817.t1	A	rna-XM_056786367.1	A
anno1.g9818.t3	A	rna-XM_056789902.1	X
anno1.g9820.t1	A	rna-XM_056789769.1	X
anno1.g9796.t1	A	rna-XM_056781764.1	A
anno1.g9797.t1	A	rna-XM_056780748.1	A
anno1.g9799.t1	A	rna-XM_056780761.1	A
anno1.g9800.t1	A	rna-XM_056780615.1	A
anno1.g9801.t3	A	rna-XM_056780524.1	A
anno1.g9802.t1	A	rna-XM_056785721.1	A
anno1.g9786.t1	A	rna-XM_056786471.1	A
anno1.g9787.t1	A	rna-XM_056786036.1	A
anno1.g9788.t3	A	rna-XM_056792208.1	A
anno1.g1687.t1	A	rna-XM_056779327.1	A
anno1.g1688.t1	A	rna-XM_056778716.1	A
anno1.g9764.t2	A	rna-XM_056785570.1	A
anno1.g9765.t1	A	rna-XM_056792422.1	A
anno1.g9766.t1	A	rna-XM_056774730.1	A
anno1.g9767.t1	A	rna-XM_056785589.1	A
anno1.g9768.t1	A	rna-XM_056776056.1	A
anno1.g9769.t1	A	rna-XM_056792483.1	A
anno1.g9770.t1	A	rna-XM_056792482.1	A
anno1.g9772.t1	A	rna-XM_056789263.1	X
anno1.g9773.t2	A	rna-XM_056775584.1	A
anno1.g9774.t1	A	rna-XM_056774516.1	A
anno1.g9775.t2	A	rna-XM_056775006.1	A
anno1.g9776.t1	A	rna-XM_056776136.1	A
anno1.g9777.t1	A	rna-XM_056776137.1	A
anno1.g9778.t1	A	rna-XM_056776139.1	A
anno1.g9779.t1	A	rna-XM_056778630.1	A
anno1.g1683.t1	A	rna-XM_056780999.1	A
anno1.g1685.t1	A	rna-XM_056781367.1	A
anno1.g9736.t1	A	rna-XM_056773873.1	A
anno1.g9737.t1	A	rna-XM_056777967.1	A
anno1.g9738.t1	A	rna-XM_056790996.1	X
anno1.g9739.t2	A	rna-XM_056780378.1	A
anno1.g9740.t1	A	rna-XM_056781794.1	A
anno1.g9741.t1	A	rna-XM_056781789.1	A
anno1.g9742.t1	A	rna-XM_056781795.1	A
anno1.g9743.t1	A	rna-XM_056787603.1	A
anno1.g9744.t1	A	rna-XM_056787606.1	A
anno1.g9746.t2	A	rna-XM_056786690.1	A
anno1.g9748.t1	A	rna-XM_056785419.1	A
anno1.g9749.t1	A	rna-XM_056775783.1	A
anno1.g9750.t1	A	rna-XM_056774795.1	A
anno1.g9752.t3	A	rna-XM_056786797.1	A
anno1.g9753.t1	A	rna-XM_056786799.1	A
anno1.g9754.t1	A	rna-XM_056786294.1	A
anno1.g9755.t1	A	rna-XM_056781681.1	A
anno1.g9758.t4	A	rna-XM_056781672.1	A
anno1.g9760.t1	A	rna-XM_056787570.1	A
anno1.g9723.t1	A	rna-XM_056775548.1	A
anno1.g9724.t2	A	rna-XM_056788155.1	A
anno1.g9628.t1	A	rna-XM_056773672.1	A
anno1.g9629.t1	A	rna-XM_056773669.1	A
anno1.g9631.t2	A	rna-XM_056782739.1	A
anno1.g9632.t1	A	rna-XM_056783299.1	A
anno1.g9633.t1	A	rna-XM_056783305.1	A
anno1.g9634.t4	A	rna-XM_056782182.1	A
anno1.g9636.t1	A	rna-XM_056776340.1	A
anno1.g9637.t1	A	rna-XM_056776146.1	A
anno1.g9638.t1	A	rna-XM_056778323.1	A
anno1.g9639.t1	A	rna-XM_056778026.1	A
anno1.g9640.t2	A	rna-XM_056790816.1	X
anno1.g9641.t1	A	rna-XM_056777998.1	A
anno1.g9642.t1	A	rna-XM_056793193.1	A
anno1.g9643.t1	A	rna-XM_056793192.1	A
anno1.g9644.t2	A	rna-XM_056774679.1	A
anno1.g9645.t2	A	rna-XM_056791779.1	A
anno1.g9647.t2	A	rna-XM_056787151.1	A
anno1.g9650.t2	A	rna-XM_056787357.1	A
anno1.g9651.t1	A	rna-XM_056787308.1	A
anno1.g9653.t1	A	rna-XM_056793195.1	A
anno1.g9655.t1	A	rna-XM_056785350.1	A
anno1.g9656.t1	A	rna-XM_056791780.1	A
anno1.g9657.t2	A	rna-XM_056793186.1	A
anno1.g9658.t1	A	rna-XM_056779568.1	A
anno1.g9659.t1	A	rna-XM_056778915.1	A
anno1.g9661.t1	A	rna-XM_056778240.1	A
anno1.g9662.t1	A	rna-XM_056778169.1	A
anno1.g9663.t1	A	rna-XM_056782668.1	A
anno1.g9664.t2	A	rna-XM_056781328.1	A
anno1.g9665.t1	A	rna-XM_056778165.1	A
anno1.g9668.t1	A	rna-XM_056785497.1	A
anno1.g9669.t1	A	rna-XM_056785498.1	A
anno1.g9670.t1	A	rna-XM_056785495.1	A
anno1.g9671.t1	A	rna-XM_056788292.1	A
anno1.g9672.t1	A	rna-XM_056785500.1	A
anno1.g9673.t1	A	rna-XM_056787553.1	A
anno1.g9674.t1	A	rna-XM_056791533.1	A
anno1.g9675.t1	A	rna-XM_056782310.1	A
anno1.g9677.t1	A	rna-XM_056783116.1	A
anno1.g9678.t3	A	rna-XM_056782482.1	A
anno1.g9679.t1	A	rna-XM_056792444.1	A
anno1.g9681.t4	A	rna-XM_056786346.1	A
anno1.g9682.t1	A	rna-XM_056773614.1	A
anno1.g9683.t1	A	rna-XM_056773633.1	A
anno1.g9684.t1	A	rna-XM_056773635.1	A
anno1.g9685.t1	A	rna-XM_056781786.1	A
anno1.g9686.t1	A	rna-XM_056781222.1	A
anno1.g9687.t1	A	rna-XM_056785484.1	A
anno1.g9689.t2	A	rna-XM_056785499.1	A
anno1.g9692.t1	A	rna-XM_056779074.1	A
anno1.g9695.t1	A	rna-XM_056782173.1	A
anno1.g9696.t1	A	rna-XM_056779850.1	A
anno1.g9697.t1	A	rna-XM_056782172.1	A
anno1.g9698.t1	A	rna-XM_056780621.1	A
anno1.g9699.t1	A	rna-XM_056780620.1	A
anno1.g9700.t1	A	rna-XM_056789591.1	A
anno1.g9701.t1	A	rna-XM_056776704.1	A
anno1.g9702.t1	A	rna-XM_056777574.1	A
anno1.g9703.t1	A	rna-XM_056776706.1	A
anno1.g9704.t1	A	rna-XM_056776710.1	A
anno1.g1679.t1	A	rna-XM_056787913.1	A
anno1.g9624.t1	A	rna-XM_056783511.1	A
anno1.g9625.t1	A	rna-XM_056782857.1	A
anno1.g9627.t1	A	rna-XM_056792167.1	A
anno1.g9606.t1	A	rna-XM_056775062.1	A
anno1.g9607.t1	A	rna-XM_056784660.1	A
anno1.g9609.t1	A	rna-XM_056789185.1	X
anno1.g1677.t3	A	rna-XM_056781186.1	A
anno1.g9586.t1	X	rna-XM_056790797.1	X
anno1.g9587.t1	X	rna-XM_056790358.1	X
anno1.g9588.t2	X	rna-XM_056790470.1	X
anno1.g9589.t1	X	rna-XM_056791728.1	A
anno1.g9573.t1	A	rna-XM_056782179.1	A
anno1.g1627.t1	A	rna-XM_056777951.1	A
anno1.g1628.t1	A	rna-XM_056777950.1	A
anno1.g1630.t1	A	rna-XM_056790855.1	X
anno1.g1631.t1	A	rna-XM_056785598.1	A
anno1.g1632.t2	A	rna-XM_056777396.1	A
anno1.g1633.t1	A	rna-XM_056790852.1	X
anno1.g1634.t1	A	rna-XM_056790994.1	X
anno1.g1635.t2	A	rna-XM_056773805.1	A
anno1.g1636.t2	A	rna-XM_056775066.1	A
anno1.g1637.t1	A	rna-XM_056791561.1	A
anno1.g1638.t1	A	rna-XM_056781842.1	A
anno1.g1639.t1	A	rna-XM_056781312.1	A
anno1.g1640.t1	A	rna-XM_056781306.1	A
anno1.g1641.t2	A	rna-XM_056778461.1	A
anno1.g1642.t1	A	rna-XM_056778464.1	A
anno1.g1643.t1	A	rna-XM_056779779.1	A
anno1.g1644.t1	A	rna-XM_056779769.1	A
anno1.g1645.t1	A	rna-XM_056779770.1	A
anno1.g1646.t1	A	rna-XM_056779768.1	A
anno1.g1647.t1	A	rna-XM_056779045.1	A
anno1.g1648.t1	A	rna-XM_056779039.1	A
anno1.g1649.t1	A	rna-XM_056779038.1	A
anno1.g1650.t1	A	rna-XM_056779433.1	A
anno1.g1651.t1	A	rna-XM_056779284.1	A
anno1.g1652.t1	A	rna-XM_056779463.1	A
anno1.g1653.t1	A	rna-XM_056779434.1	A
anno1.g1654.t1	A	rna-XM_056779279.1	A
anno1.g1655.t1	A	rna-XM_056778814.1	A
anno1.g1656.t1	A	rna-XM_056781029.1	A
anno1.g1657.t1	A	rna-XM_056781016.1	A
anno1.g1658.t1	A	rna-XM_056781744.1	A
anno1.g1660.t1	A	rna-XM_056780504.1	A
anno1.g1661.t1	A	rna-XM_056781396.1	A
anno1.g1662.t1	A	rna-XM_056775347.1	A
anno1.g1663.t1	A	rna-XM_056780326.1	A
anno1.g1664.t2	A	rna-XM_056775674.1	A
anno1.g1665.t1	A	rna-XM_056775669.1	A
anno1.g1666.t2	A	rna-XM_056775672.1	A
anno1.g1667.t1	A	rna-XM_056789461.1	X
anno1.g1668.t1	A	rna-XM_056780120.1	A
anno1.g1670.t1	A	rna-XM_056780764.1	A
anno1.g1671.t1	A	rna-XM_056775676.1	A
anno1.g1673.t1	A	rna-XM_056782596.1	A
anno1.g1674.t2	A	rna-XM_056782491.1	A
anno1.g1675.t1	A	rna-XM_056782490.1	A
anno1.g1676.t1	A	rna-XM_056782998.1	A
anno1.g9556.t1	A	rna-XM_056779232.1	A
anno1.g9557.t1	A	rna-XM_056785289.1	A
anno1.g9560.t2	A	rna-XM_056776592.1	A
anno1.g9562.t1	A	rna-XM_056774018.1	A
anno1.g9563.t1	A	rna-XM_056789607.1	A
anno1.g9548.t1	A	rna-XM_056778736.1	A
anno1.g9550.t2	A	rna-XM_056779479.1	A
anno1.g9497.t1	A	rna-XM_056787539.1	A
anno1.g9499.t2	A	rna-XM_056787538.1	A
anno1.g9500.t1	A	rna-XM_056778946.1	A
anno1.g9501.t1	A	rna-XM_056791844.1	A
anno1.g9502.t1	A	rna-XM_056774230.1	A
anno1.g9503.t1	A	rna-XM_056788621.1	A
anno1.g9504.t1	A	rna-XM_056783022.1	A
anno1.g9505.t1	A	rna-XM_056788617.1	A
anno1.g9506.t1	A	rna-XM_056775913.1	A
anno1.g9507.t1	A	rna-XM_056773552.1	A
anno1.g9508.t1	A	rna-XM_056784624.1	A
anno1.g9510.t1	A	rna-XM_056774141.1	A
anno1.g9511.t2	A	rna-XM_056774059.1	A
anno1.g9512.t2	A	rna-XM_056783734.1	A
anno1.g9513.t1	A	rna-XM_056775225.1	A
anno1.g9514.t1	A	rna-XM_056783791.1	A
anno1.g9515.t2	A	rna-XM_056783805.1	A
anno1.g9516.t1	A	rna-XM_056788749.1	A
anno1.g9517.t1	A	rna-XM_056788759.1	A
anno1.g9518.t1	A	rna-XM_056776477.1	A
anno1.g9519.t1	A	rna-XM_056776490.1	A
anno1.g9520.t2	A	rna-XM_056777195.1	A
anno1.g9522.t5	A	rna-XM_056776941.1	A
anno1.g9524.t1	A	rna-XM_056775284.1	A
anno1.g9525.t1	A	rna-XM_056775283.1	A
anno1.g9527.t1	A	rna-XM_056778013.1	A
anno1.g9528.t1	A	rna-XM_056775916.1	A
anno1.g9529.t1	A	rna-XM_056775915.1	A
anno1.g9531.t1	A	rna-XM_056775141.1	A
anno1.g9532.t1	A	rna-XM_056783585.1	A
anno1.g9533.t1	A	rna-XM_056778427.1	A
anno1.g9534.t1	A	rna-XM_056774600.1	A
anno1.g9536.t3	A	rna-XM_056786264.1	A
anno1.g9537.t1	A	rna-XM_056778141.1	A
anno1.g9538.t1	A	rna-XM_056777945.1	A
anno1.g9539.t1	A	rna-XM_056778140.1	A
anno1.g9540.t2	A	rna-XM_056778137.1	A
anno1.g9542.t2	A	rna-XM_056778134.1	A
anno1.g9452.t1	X	rna-XM_056789734.1	X
anno1.g9453.t1	X	rna-XM_056790225.1	X
anno1.g9458.t1	X	rna-XM_056790534.1	X
anno1.g9459.t1	X	rna-XM_056790535.1	X
anno1.g9460.t2	X	rna-XM_056789346.1	X
anno1.g9461.t2	X	rna-XM_056789800.1	X
anno1.g9446.t2	A	rna-XM_056785937.1	A
anno1.g9447.t2	A	rna-XM_056783878.1	A
anno1.g9423.t3	A	rna-XM_056791148.1	A
anno1.g9425.t2	A	rna-XM_056792174.1	A
anno1.g9426.t1	A	rna-XM_056784106.1	A
anno1.g1613.t1	A	rna-XM_056785303.1	A
anno1.g1614.t1	A	rna-XM_056785292.1	A
anno1.g9409.t1	A	rna-XM_056779586.1	A
anno1.g9410.t1	A	rna-XM_056775629.1	A
anno1.g9411.t1	A	rna-XM_056784775.1	A
anno1.g9412.t1	A	rna-XM_056786689.1	A
anno1.g9413.t1	A	rna-XM_056786495.1	A
anno1.g9414.t1	A	rna-XM_056788420.1	A
anno1.g9416.t1	A	rna-XM_056776074.1	A
anno1.g9417.t1	A	rna-XM_056775895.1	A
anno1.g1606.t1	A	rna-XM_056791828.1	A
anno1.g1607.t1	A	rna-XM_056780681.1	A
anno1.g9397.t1	A	rna-XM_056781249.1	A
anno1.g1557.t1	A	rna-XM_056792352.1	A
anno1.g1558.t1	A	rna-XM_056779746.1	A
anno1.g1559.t1	A	rna-XM_056779745.1	A
anno1.g1560.t1	A	rna-XM_056777694.1	A
anno1.g1561.t1	A	rna-XM_056776953.1	A
anno1.g1562.t2	A	rna-XM_056776568.1	A
anno1.g1563.t1	A	rna-XM_056786248.1	A
anno1.g1564.t1	A	rna-XM_056786240.1	A
anno1.g1565.t1	A	rna-XM_056786187.1	A
anno1.g1566.t1	A	rna-XM_056788395.1	A
anno1.g1567.t3	A	rna-XM_056775998.1	A
anno1.g1568.t4	A	rna-XM_056782019.1	A
anno1.g1569.t1	A	rna-XM_056783029.1	A
anno1.g1570.t1	A	rna-XM_056783027.1	A
anno1.g1571.t1	A	rna-XM_056788499.1	A
anno1.g1572.t1	A	rna-XM_056787663.1	A
anno1.g1573.t1	A	rna-XM_056792338.1	A
anno1.g1574.t1	A	rna-XM_056783321.1	A
anno1.g1575.t1	A	rna-XM_056782677.1	A
anno1.g1576.t1	A	rna-XM_056782676.1	A
anno1.g1577.t1	A	rna-XM_056773683.1	A
anno1.g1578.t1	A	rna-XM_056782797.1	A
