D_carinulata	chromosome	B_varius	chromosome
rna-XM_057802449.1	A	anno1.g426.t2	A
rna-XM_057803787.1	A	anno1.g425.t2	A
rna-XM_057802280.1	A	anno1.g3200.t1	A
rna-XM_057802281.1	A	anno1.g2349.t1	A
rna-XM_057802282.1	A	anno1.g932.t1	A
rna-XM_057801920.1	A	anno1.g7539.t1	A
rna-XM_057803342.1	A	anno1.g7538.t1	A
rna-XM_057803679.1	A	anno1.g3275.t1	A
rna-XM_057803682.1	A	anno1.g3276.t1	A
rna-XM_057803681.1	A	anno1.g10540.t1	A
rna-XM_057803683.1	A	anno1.g7847.t1	A
rna-XM_057803770.1	A	anno1.g7944.t2	A
rna-XM_057802821.1	A	anno1.g7947.t1	A
rna-XM_057803049.1	A	anno1.g10107.t1	A
rna-XM_057803059.1	A	anno1.g9654.t1	A
rna-XM_057803042.1	A	anno1.g1636.t1	A
rna-XM_057803065.1	A	anno1.g9223.t1	A
rna-XM_057803044.1	A	anno1.g9323.t1	A
rna-XM_057803046.1	A	anno1.g8856.t1	A
rna-XM_057803036.1	A	anno1.g8524.t2	A
rna-XM_057803063.1	A	anno1.g8523.t1	A
rna-XM_057803530.1	A	anno1.g8522.t1	A
rna-XM_057803525.1	A	anno1.g8521.t1	A
rna-XM_057803522.1	A	anno1.g1206.t1	A
rna-XM_057803536.1	A	anno1.g1207.t1	A
rna-XM_057803537.1	A	anno1.g1208.t1	A
rna-XM_057803565.1	A	anno1.g6283.t1	A
rna-XM_057803572.1	A	anno1.g6430.t1	A
rna-XM_057803551.1	A	anno1.g6428.t4	A
rna-XM_057803571.1	A	anno1.g6426.t1	A
rna-XM_057803569.1	A	anno1.g6425.t1	A
rna-XM_057803577.1	A	anno1.g6147.t1	A
rna-XM_057803573.1	A	anno1.g7432.t1	A
rna-XM_057803578.1	A	anno1.g6336.t1	A
rna-XM_057803581.1	A	anno1.g548.t1	A
rna-XM_057803592.1	A	anno1.g6195.t1	A
rna-XM_057803587.1	A	anno1.g7837.t1	A
rna-XM_057803582.1	A	anno1.g7838.t1	A
rna-XM_057803600.1	A	anno1.g7936.t1	A
rna-XM_057803603.1	A	anno1.g7937.t1	A
rna-XM_057803344.1	A	anno1.g3660.t1	A
rna-XM_057802170.1	A	anno1.both_agree_g13101.t1	A
rna-XM_057802582.1	A	anno1.g7938.t1	A
rna-XM_057802583.1	A	anno1.g4805.t1	A
rna-XM_057803646.1	A	anno1.g7940.t1	A
rna-XM_057803647.1	A	anno1.g8892.t1	A
rna-XM_057803650.1	A	anno1.g7841.t1	A
rna-XM_057803649.1	A	anno1.g7776.t2	A
rna-XM_057803648.1	A	anno1.g2602.t1	A
rna-XM_057803285.1	A	anno1.g11046.t1	A
rna-XM_057803281.1	A	anno1.g11050.t1	A
rna-XM_057803283.1	A	anno1.g11047.t2	A
rna-XM_057802301.1	A	anno1.g9589.t1	A
rna-XM_057801930.1	A	anno1.g11054.t1	A
rna-XM_057801909.1	A	anno1.g8688.t1	A
rna-XM_057803071.1	A	anno1.g8937.t1	A
rna-XM_057802032.1	A	anno1.g6253.t1	A
rna-XM_057802031.1	A	anno1.g1851.t2	A
rna-XM_057802034.1	A	anno1.g1892.t1	A
rna-XM_057802663.1	A	anno1.g1891.t1	A
rna-XM_057802011.1	A	anno1.g1328.t1	A
rna-XM_057802013.1	A	anno1.g9541.t2	A
rna-XM_057802002.1	A	anno1.g2015.t2	A
rna-XM_057802008.1	A	anno1.g1897.t1	A
rna-XM_057802010.1	A	anno1.g1896.t1	A
rna-XM_057802159.1	A	anno1.g7405.t1	A
rna-XM_057802520.1	A	anno1.g7404.t1	A
rna-XM_057803354.1	A	anno1.g5328.t1	A
rna-XM_057802595.1	A	anno1.g3201.t1	A
rna-XM_057802596.1	A	anno1.g3202.t1	A
rna-XM_057802496.1	A	anno1.g3854.t1	A
rna-XM_057802497.1	A	anno1.g5329.t1	A
rna-XM_057802559.1	A	anno1.g2280.t1	A
rna-XM_057802560.1	A	anno1.g2278.t1	A
rna-XM_057802295.1	A	anno1.g2276.t1	A
rna-XM_057802323.1	A	anno1.g2266.t1	A
rna-XM_057801630.1	A	anno1.g5390.t2	A
rna-XM_057801631.1	A	anno1.g5391.t1	A
rna-XM_057801633.1	A	anno1.g2504.t1	A
rna-XM_057802644.1	A	anno1.g5199.t1	A
rna-XM_057802210.1	A	anno1.g5297.t1	A
rna-XM_057801927.1	A	anno1.g5804.t1	A
rna-XM_057802348.1	A	anno1.g5299.t1	A
rna-XM_057802227.1	A	anno1.g534.t1	A
rna-XM_057802226.1	A	anno1.g5298.t1	A
rna-XM_057802329.1	A	anno1.g5800.t1	A
rna-XM_057802331.1	A	anno1.g2403.t1	A
rna-XM_057802333.1	A	anno1.g2404.t1	A
rna-XM_057802336.1	A	anno1.g6551.t1	A
rna-XM_057802335.1	A	anno1.g5296.t1	A
rna-XM_057801891.1	A	anno1.g5292.t2	A
rna-XM_057802365.1	A	anno1.g5295.t2	A
rna-XM_057802366.1	A	anno1.g8932.t1	A
rna-XM_057802369.1	A	anno1.g2274.t1	A
rna-XM_057801936.1	A	anno1.g4741.t1	A
rna-XM_057802643.1	A	anno1.g4383.t1	A
rna-XM_057802584.1	A	anno1.g4744.t2	A
rna-XM_057802370.1	A	anno1.g4743.t1	A
rna-XM_057802224.1	A	anno1.g4742.t3	A
rna-XM_057802097.1	A	anno1.g4740.t1	A
rna-XM_057801763.1	A	anno1.g6112.t1	A
rna-XM_057801762.1	A	anno1.g4374.t1	A
rna-XM_057802238.1	A	anno1.g4376.t1	A
rna-XM_057802372.1	A	anno1.g4377.t1	A
rna-XM_057802492.1	A	anno1.g7509.t1	A
rna-XM_057802294.1	A	anno1.g7508.t1	A
rna-XM_057802171.1	A	anno1.g379.t1	A
rna-XM_057802172.1	A	anno1.g380.t1	A
rna-XM_057802351.1	A	anno1.g8049.t1	A
rna-XM_057802353.1	A	anno1.g8612.t1	A
rna-XM_057803357.1	A	anno1.g8613.t1	A
rna-XM_057802299.1	A	anno1.g8834.t1	A
rna-XM_057802455.1	A	anno1.g7578.t2	A
rna-XM_057802526.1	A	anno1.g5956.t1	A
rna-XM_057803358.1	A	anno1.g11253.t1	A
rna-XM_057802680.1	A	anno1.g11252.t1	A
rna-XM_057803360.1	A	anno1.g5630.t1	A
rna-XM_057802681.1	A	anno1.g6933.t1	A
rna-XM_057802686.1	A	anno1.g6932.t3	A
rna-XM_057802696.1	A	anno1.g5556.t1	A
rna-XM_057802694.1	A	anno1.g9658.t1	A
rna-XM_057802699.1	A	anno1.g7511.t1	A
rna-XM_057802700.1	A	anno1.g7747.t1	A
rna-XM_057802701.1	A	anno1.g10303.t1	A
rna-XM_057802702.1	A	anno1.g10376.t1	A
rna-XM_057802708.1	A	anno1.g10375.t1	A
rna-XM_057802713.1	A	anno1.g6196.t1	A
rna-XM_057802724.1	A	anno1.g6545.t1	A
rna-XM_057802731.1	A	anno1.g1729.t1	A
rna-XM_057802734.1	A	anno1.g1401.t1	A
rna-XM_057803365.1	A	anno1.g504.t1	A
rna-XM_057802771.1	A	anno1.g9671.t2	A
rna-XM_057802781.1	A	anno1.g9401.t1	A
rna-XM_057802753.1	A	anno1.g2720.t1	A
rna-XM_057802784.1	A	anno1.g9748.t1	A
rna-XM_057802773.1	A	anno1.g6204.t1	A
rna-XM_057802787.1	A	anno1.g4891.t2	A
rna-XM_057802790.1	A	anno1.g6743.t1	A
rna-XM_057802809.1	A	anno1.g6744.t1	A
rna-XM_057802794.1	A	anno1.g9735.t1	A
rna-XM_057802453.1	A	anno1.g8051.t1	A
rna-XM_057802410.1	A	anno1.g8050.t1	A
rna-XM_057803411.1	A	anno1.g11250.t2	A
rna-XM_057802383.1	A	anno1.g7081.t1	A
rna-XM_057802044.1	A	anno1.g4002.t1	A
rna-XM_057802236.1	A	anno1.g4061.t1	A
rna-XM_057802111.1	A	anno1.g7909.t1	A
rna-XM_057802110.1	A	anno1.g3609.t1	A
rna-XM_057802112.1	A	anno1.g7086.t1	A
rna-XM_057802547.1	A	anno1.g3959.t1	A
rna-XM_057803814.1	A	anno1.g7897.t1	A
rna-XM_057803816.1	A	anno1.g4052.t1	A
rna-XM_057801926.1	A	anno1.g7898.t1	A
rna-XM_057802484.1	A	anno1.g4784.t1	A
rna-XM_057802291.1	A	anno1.g4953.t1	A
rna-XM_057802102.1	A	anno1.g4785.t1	A
rna-XM_057802103.1	A	anno1.g4573.t1	A
rna-XM_057802104.1	A	anno1.g7702.t1	A
rna-XM_057802877.1	A	anno1.g4772.t1	A
rna-XM_057802886.1	A	anno1.g4771.t1	A
rna-XM_057802882.1	A	anno1.g4777.t1	A
rna-XM_057802885.1	A	anno1.g4776.t2	A
rna-XM_057802878.1	A	anno1.g7448.t1	A
rna-XM_057802884.1	A	anno1.g7450.t1	A
rna-XM_057802889.1	A	anno1.g7247.t1	A
rna-XM_057802890.1	A	anno1.g6986.t3	A
rna-XM_057802891.1	A	anno1.g7804.t1	A
rna-XM_057802893.1	A	anno1.g4572.t1	A
rna-XM_057802894.1	A	anno1.g5022.t1	A
rna-XM_057802896.1	A	anno1.g5023.t2	A
rna-XM_057802899.1	A	anno1.g5309.t1	A
rna-XM_057802909.1	A	anno1.g5021.t1	A
rna-XM_057802903.1	A	anno1.g5020.t1	A
rna-XM_057802902.1	A	anno1.g5018.t1	A
rna-XM_057802908.1	A	anno1.g5017.t1	A
rna-XM_057802898.1	A	anno1.g5019.t1	A
rna-XM_057802905.1	A	anno1.g4775.t2	A
rna-XM_057802900.1	A	anno1.g4774.t1	A
rna-XM_057802904.1	A	anno1.g12123.t1	X
rna-XM_057802915.1	A	anno1.g7730.t1	A
rna-XM_057802910.1	A	anno1.g7064.t4	A
rna-XM_057802914.1	A	anno1.g5028.t1	A
rna-XM_057802922.1	A	anno1.g7331.t1	A
rna-XM_057802955.1	A	anno1.g7333.t1	A
rna-XM_057802930.1	A	anno1.g8708.t1	A
rna-XM_057802920.1	A	anno1.g8284.t1	A
rna-XM_057802948.1	A	anno1.g5521.t1	A
rna-XM_057802944.1	A	anno1.g8617.t1	A
rna-XM_057802940.1	A	anno1.g1988.t1	A
rna-XM_057802924.1	A	anno1.g4724.t1	A
rna-XM_057802945.1	A	anno1.g8258.t1	A
rna-XM_057802941.1	A	anno1.g8259.t1	A
rna-XM_057802949.1	A	anno1.g8255.t1	A
rna-XM_057803384.1	A	anno1.g8254.t1	A
rna-XM_057802956.1	A	anno1.g9577.t1	A
rna-XM_057802938.1	A	anno1.g8400.t1	A
rna-XM_057802954.1	A	anno1.g8398.t1	A
rna-XM_057802952.1	A	anno1.g8401.t1	A
rna-XM_057802927.1	A	anno1.g4222.t1	A
rna-XM_057802935.1	A	anno1.g4218.t1	A
rna-XM_057802959.1	A	anno1.g4578.t1	A
rna-XM_057802957.1	A	anno1.g4577.t1	A
rna-XM_057802961.1	A	anno1.g4574.t1	A
rna-XM_057802960.1	A	anno1.g10090.t1	A
rna-XM_057802963.1	A	anno1.g11142.t1	A
rna-XM_057802965.1	A	anno1.g11199.t1	A
rna-XM_057802966.1	A	anno1.g11045.t1	A
rna-XM_057802970.1	A	anno1.g2032.t1	A
rna-XM_057802973.1	A	anno1.g2034.t1	A
rna-XM_057802981.1	A	anno1.g1007.t2	A
rna-XM_057802976.1	A	anno1.g2035.t1	A
rna-XM_057802975.1	A	anno1.g10926.t1	A
rna-XM_057802983.1	A	anno1.g10560.t1	A
rna-XM_057802987.1	A	anno1.g10559.t1	A
rna-XM_057801718.1	A	anno1.g10558.t1	A
rna-XM_057801719.1	A	anno1.g10557.t1	A
rna-XM_057801720.1	A	anno1.g10925.t1	A
rna-XM_057802519.1	A	anno1.g6930.t1	A
rna-XM_057803801.1	A	anno1.g744.t1	A
rna-XM_057803800.1	A	anno1.g11975.t1	X
rna-XM_057803798.1	A	anno1.g3898.t3	A
rna-XM_057802108.1	A	anno1.g5742.t1	A
rna-XM_057803463.1	A	anno1.g8707.t1	A
rna-XM_057803464.1	A	anno1.g7336.t1	A
rna-XM_057802863.1	A	anno1.g7332.t1	A
rna-XM_057801897.1	A	anno1.g7535.t2	A
rna-XM_057801905.1	A	anno1.g7534.t3	A
rna-XM_057802145.1	A	anno1.g7533.t1	A
rna-XM_057802207.1	A	anno1.g7531.t1	A
rna-XM_057801734.1	A	anno1.g9634.t1	A
rna-XM_057801737.1	A	anno1.g9635.t1	A
rna-XM_057802028.1	A	anno1.g9633.t1	A
rna-XM_057802057.1	A	anno1.g4077.t1	A
rna-XM_057803638.1	A	anno1.g3948.t1	A
rna-XM_057803640.1	A	anno1.g3949.t1	A
rna-XM_057803641.1	A	anno1.g4058.t2	A
rna-XM_057803632.1	A	anno1.g4060.t1	A
rna-XM_057804103.1	A	anno1.g9890.t1	A
rna-XM_057804154.1	A	anno1.g2330.t1	A
rna-XM_057804144.1	A	anno1.g2331.t1	A
rna-XM_057804145.1	A	anno1.g8167.t1	A
rna-XM_057804148.1	A	anno1.g355.t1	A
rna-XM_057804297.1	A	anno1.g4759.t1	A
rna-XM_057804717.1	A	anno1.g4754.t1	A
rna-XM_057804083.1	A	anno1.g4661.t1	A
rna-XM_057804164.1	A	anno1.g4664.t2	A
rna-XM_057804065.1	A	anno1.g4665.t3	A
rna-XM_057805262.1	A	anno1.g4668.t1	A
rna-XM_057803978.1	A	anno1.g4672.t1	A
rna-XM_057804172.1	A	anno1.g9482.t1	A
rna-XM_057804173.1	A	anno1.g9661.t1	A
rna-XM_057804263.1	A	anno1.g9465.t1	A
rna-XM_057804566.1	A	anno1.g9467.t1	A
rna-XM_057804567.1	A	anno1.g9466.t1	A
rna-XM_057804276.1	A	anno1.g9468.t1	A
rna-XM_057804465.1	A	anno1.g9471.t2	A
rna-XM_057804393.1	A	anno1.g9472.t1	A
rna-XM_057804285.1	A	anno1.g9473.t3	A
rna-XM_057804236.1	A	anno1.g9478.t3	A
rna-XM_057804391.1	A	anno1.g9481.t1	A
rna-XM_057804482.1	A	anno1.g2588.t1	A
rna-XM_057805067.1	A	anno1.g10566.t2	A
rna-XM_057805074.1	A	anno1.g10862.t2	A
rna-XM_057804922.1	A	anno1.g737.t1	A
rna-XM_057804925.1	A	anno1.g10019.t1	A
rna-XM_057804926.1	A	anno1.g10020.t1	A
rna-XM_057804604.1	A	anno1.g10021.t2	A
rna-XM_057804616.1	A	anno1.g11264.t1	A
rna-XM_057804617.1	A	anno1.g10022.t1	A
rna-XM_057805121.1	A	anno1.g2670.t1	A
rna-XM_057805122.1	A	anno1.g9768.t1	A
rna-XM_057805002.1	A	anno1.g11265.t1	A
rna-XM_057805001.1	A	anno1.g735.t1	A
rna-XM_057804929.1	A	anno1.g2335.t1	A
rna-XM_057804930.1	A	anno1.g10593.t1	A
rna-XM_057805195.1	A	anno1.g10977.t2	A
rna-XM_057804080.1	A	anno1.g8279.t1	A
rna-XM_057804941.1	A	anno1.g9695.t1	A
rna-XM_057804944.1	A	anno1.g8273.t1	A
rna-XM_057804945.1	A	anno1.g4910.t1	A
rna-XM_057804949.1	A	anno1.g4911.t1	A
rna-XM_057804952.1	A	anno1.g4912.t1	A
rna-XM_057804953.1	A	anno1.g2245.t1	A
rna-XM_057804950.1	A	anno1.g2246.t1	A
rna-XM_057804955.1	A	anno1.g8099.t1	A
rna-XM_057804963.1	A	anno1.g8098.t1	A
rna-XM_057804964.1	A	anno1.g9660.t1	A
rna-XM_057804971.1	A	anno1.g8097.t1	A
rna-XM_057804961.1	A	anno1.g8096.t1	A
rna-XM_057804973.1	A	anno1.g8266.t1	A
rna-XM_057804958.1	A	anno1.g9.t1	A
rna-XM_057804957.1	A	anno1.g4823.t1	A
rna-XM_057804959.1	A	anno1.g4907.t1	A
rna-XM_057804975.1	A	anno1.g4906.t1	A
rna-XM_057804960.1	A	anno1.g8124.t1	A
rna-XM_057804969.1	A	anno1.g8162.t1	A
rna-XM_057804968.1	A	anno1.g8267.t1	A
rna-XM_057804972.1	A	anno1.g8268.t1	A
rna-XM_057804967.1	A	anno1.g8272.t1	A
rna-XM_057804851.1	A	anno1.g9663.t1	A
rna-XM_057804861.1	A	anno1.g3847.t1	A
rna-XM_057804857.1	A	anno1.g3849.t1	A
rna-XM_057804865.1	A	anno1.g3848.t1	A
rna-XM_057804866.1	A	anno1.g3850.t2	A
rna-XM_057804880.1	A	anno1.g3509.t2	A
rna-XM_057804875.1	A	anno1.g3461.t1	A
rna-XM_057804879.1	A	anno1.g4004.t1	A
rna-XM_057804882.1	A	anno1.g3462.t2	A
rna-XM_057804902.1	A	anno1.g10667.t1	A
rna-XM_057804899.1	A	anno1.g3463.t1	A
rna-XM_057804900.1	A	anno1.g4020.t1	A
rna-XM_057804901.1	A	anno1.g9613.t1	A
rna-XM_057804909.1	A	anno1.g9600.t1	A
rna-XM_057804906.1	A	anno1.g9599.t1	A
rna-XM_057804886.1	A	anno1.g9598.t1	A
rna-XM_057804911.1	A	anno1.g9597.t2	A
rna-XM_057804914.1	A	anno1.g9596.t1	A
rna-XM_057804918.1	A	anno1.g8315.t1	A
rna-XM_057804919.1	A	anno1.g6121.t1	A
rna-XM_057804915.1	A	anno1.g3912.t1	A
rna-XM_057804920.1	A	anno1.g1500.t1	A
rna-XM_057804725.1	A	anno1.g572.t1	A
rna-XM_057804726.1	A	anno1.g8188.t1	A
rna-XM_057804733.1	A	anno1.g8158.t2	A
rna-XM_057804730.1	A	anno1.g8161.t1	A
rna-XM_057804732.1	A	anno1.g8160.t2	A
rna-XM_057804603.1	A	anno1.g11692.t1	X
rna-XM_057804746.1	A	anno1.g4670.t1	A
rna-XM_057804600.1	A	anno1.g4313.t1	A
rna-XM_057804586.1	A	anno1.g7056.t1	A
rna-XM_057804587.1	A	anno1.g7054.t1	A
rna-XM_057804618.1	A	anno1.g1976.t1	A
rna-XM_057804621.1	A	anno1.g10680.t1	A
rna-XM_057804622.1	A	anno1.g516.t1	A
rna-XM_057804623.1	A	anno1.g515.t1	A
rna-XM_057804405.1	A	anno1.g1475.t1	A
rna-XM_057804583.1	A	anno1.g3086.t1	A
rna-XM_057804578.1	A	anno1.g3085.t1	A
rna-XM_057803885.1	A	anno1.g3084.t1	A
rna-XM_057803893.1	A	anno1.g329.t1	A
rna-XM_057803892.1	A	anno1.g2979.t1	A
rna-XM_057803889.1	A	anno1.g2981.t2	A
rna-XM_057803881.1	A	anno1.g2984.t1	A
rna-XM_057803928.1	A	anno1.g2983.t1	A
rna-XM_057803951.1	A	anno1.g7406.t1	A
rna-XM_057803956.1	A	anno1.g2982.t1	A
rna-XM_057803930.1	A	anno1.g2978.t1	A
rna-XM_057803958.1	A	anno1.g2976.t1	A
rna-XM_057803952.1	A	anno1.g3795.t2	A
rna-XM_057803954.1	A	anno1.g3918.t1	A
rna-XM_057803923.1	A	anno1.g3917.t1	A
rna-XM_057803943.1	A	anno1.g3680.t1	A
rna-XM_057803955.1	A	anno1.g3685.t1	A
rna-XM_057803937.1	A	anno1.g3087.t1	A
rna-XM_057803945.1	A	anno1.g5179.t1	A
rna-XM_057803940.1	A	anno1.g1202.t1	A
rna-XM_057803932.1	A	anno1.g6690.t1	A
rna-XM_057803939.1	A	anno1.g5180.t1	A
rna-XM_057803946.1	A	anno1.g5178.t1	A
rna-XM_057804224.1	A	anno1.g5103.t1	A
rna-XM_057804203.1	A	anno1.g5105.t1	A
rna-XM_057804221.1	A	anno1.g5102.t1	A
rna-XM_057804214.1	A	anno1.g5101.t3	A
rna-XM_057804225.1	A	anno1.g5100.t1	A
rna-XM_057804226.1	A	anno1.g5096.t1	A
rna-XM_057804758.1	A	anno1.g5117.t2	A
rna-XM_057805085.1	A	anno1.g7010.t1	A
rna-XM_057805081.1	A	anno1.g7011.t2	A
rna-XM_057805082.1	A	anno1.g7009.t1	A
rna-XM_057805083.1	A	anno1.g7561.t2	A
rna-XM_057805090.1	A	anno1.g7008.t1	A
rna-XM_057805095.1	A	anno1.g7012.t1	A
rna-XM_057805097.1	A	anno1.g3270.t1	A
rna-XM_057805091.1	A	anno1.g7015.t1	A
rna-XM_057805094.1	A	anno1.g3089.t1	A
rna-XM_057805098.1	A	anno1.g5073.t1	A
rna-XM_057805096.1	A	anno1.g5072.t1	A
rna-XM_057805093.1	A	anno1.g3215.t1	A
rna-XM_057805110.1	A	anno1.g3093.t1	A
rna-XM_057805101.1	A	anno1.g3092.t1	A
rna-XM_057805102.1	A	anno1.g11888.t1	X
rna-XM_057805104.1	A	anno1.g3091.t1	A
rna-XM_057805111.1	A	anno1.g5074.t1	A
rna-XM_057805112.1	A	anno1.g5628.t1	A
rna-XM_057805114.1	A	anno1.g5113.t1	A
rna-XM_057805116.1	A	anno1.g3944.t1	A
rna-XM_057805115.1	A	anno1.g5629.t1	A
rna-XM_057805120.1	A	anno1.g5114.t1	A
rna-XM_057804452.1	A	anno1.g3676.t1	A
rna-XM_057804459.1	A	anno1.g3678.t1	A
rna-XM_057804458.1	A	anno1.g3677.t1	A
rna-XM_057804343.1	A	anno1.g7057.t1	A
rna-XM_057804344.1	A	anno1.g7058.t1	A
rna-XM_057805035.1	A	anno1.g7060.t1	A
rna-XM_057804410.1	A	anno1.g7061.t1	A
rna-XM_057804568.1	A	anno1.g6918.t1	A
rna-XM_057804231.1	A	anno1.g6916.t1	A
rna-XM_057804234.1	A	anno1.g6915.t1	A
rna-XM_057804227.1	A	anno1.g6914.t2	A
rna-XM_057803906.1	A	anno1.g3684.t1	A
rna-XM_057804325.1	A	anno1.g7596.t1	A
rna-XM_057804295.1	A	anno1.g7595.t1	A
rna-XM_057804061.1	A	anno1.g3930.t1	A
rna-XM_057804788.1	A	anno1.g9815.t1	A
rna-XM_057804794.1	A	anno1.g8721.t1	A
rna-XM_057804791.1	A	anno1.g8260.t1	A
rna-XM_057804792.1	A	anno1.g8261.t1	A
rna-XM_057803971.1	A	anno1.g8730.t1	A
rna-XM_057803974.1	A	anno1.g8406.t2	A
rna-XM_057804976.1	A	anno1.g2928.t3	A
rna-XM_057804625.1	A	anno1.g8244.t1	A
rna-XM_057804627.1	A	anno1.g1189.t1	A
rna-XM_057804280.1	A	anno1.g7024.t1	A
rna-XM_057803909.1	A	anno1.g8429.t2	A
rna-XM_057803915.1	A	anno1.g11268.t1	A
rna-XM_057803912.1	A	anno1.g2847.t1	A
rna-XM_057805169.1	A	anno1.g2848.t1	A
rna-XM_057805150.1	A	anno1.g2855.t1	A
rna-XM_057805170.1	A	anno1.g3969.t1	A
rna-XM_057805142.1	A	anno1.g3996.t1	A
rna-XM_057805143.1	A	anno1.g4980.t1	A
rna-XM_057805147.1	A	anno1.g9895.t1	A
rna-XM_057805167.1	A	anno1.g977.t1	A
rna-XM_057805158.1	A	anno1.g8182.t2	A
rna-XM_057805168.1	A	anno1.g1683.t1	A
rna-XM_057805160.1	A	anno1.g3159.t1	A
rna-XM_057805162.1	A	anno1.g8884.t2	A
rna-XM_057805166.1	A	anno1.g5182.t1	A
rna-XM_057805159.1	A	anno1.g9710.t1	A
rna-XM_057805146.1	A	anno1.g6236.t1	A
rna-XM_057805151.1	A	anno1.g7544.t2	A
rna-XM_057805165.1	A	anno1.g7543.t1	A
rna-XM_057805171.1	A	anno1.g6952.t1	A
rna-XM_057805173.1	A	anno1.g6097.t1	A
rna-XM_057805177.1	A	anno1.g6103.t1	A
rna-XM_057805176.1	A	anno1.g10607.t1	A
rna-XM_057805181.1	A	anno1.g6488.t1	A
rna-XM_057805182.1	A	anno1.g6705.t1	A
rna-XM_057805185.1	A	anno1.g6563.t1	A
rna-XM_057805186.1	A	anno1.g8844.t1	A
rna-XM_057805188.1	A	anno1.g8845.t1	A
rna-XM_057804176.1	A	anno1.g10209.t1	A
rna-XM_057804565.1	A	anno1.g6497.t1	A
rna-XM_057804408.1	A	anno1.g8104.t1	A
rna-XM_057804591.1	A	anno1.g3478.t1	A
rna-XM_057804418.1	A	anno1.g8389.t1	A
rna-XM_057804330.1	A	anno1.g11221.t1	A
rna-XM_057804331.1	A	anno1.g3527.t1	A
rna-XM_057804338.1	A	anno1.g3654.t1	A
rna-XM_057804337.1	A	anno1.g7752.t1	A
rna-XM_057805030.1	A	anno1.g3972.t1	A
rna-XM_057804314.1	A	anno1.g1060.t1	A
rna-XM_057804299.1	A	anno1.g10241.t1	A
rna-XM_057804313.1	A	anno1.g10240.t1	A
rna-XM_057804316.1	A	anno1.g2540.t1	A
rna-XM_057804317.1	A	anno1.g12034.t1	X
rna-XM_057804319.1	A	anno1.g2541.t1	A
rna-XM_057804089.1	A	anno1.g2606.t1	A
rna-XM_057804088.1	A	anno1.g5829.t1	A
rna-XM_057804770.1	A	anno1.g2546.t1	A
rna-XM_057804771.1	A	anno1.g2542.t1	A
rna-XM_057804765.1	A	anno1.g2543.t1	A
rna-XM_057804350.1	A	anno1.g3698.t1	A
rna-XM_057804340.1	A	anno1.g3695.t1	A
rna-XM_057804162.1	A	anno1.g8890.t1	A
rna-XM_057804991.1	A	anno1.g8021.t2	A
rna-XM_057804988.1	A	anno1.g8193.t1	A
rna-XM_057804576.1	A	anno1.g8194.t2	A
rna-XM_057804068.1	A	anno1.g8195.t1	A
rna-XM_057804184.1	A	anno1.g11298.t1	A
rna-XM_057804423.1	A	anno1.g4381.t1	A
rna-XM_057804424.1	A	anno1.g3400.t1	A
rna-XM_057804629.1	A	anno1.g10623.t1	A
rna-XM_057804632.1	A	anno1.g2535.t2	A
rna-XM_057804631.1	A	anno1.g11263.t1	A
rna-XM_057804630.1	A	anno1.g5684.t1	A
rna-XM_057804635.1	A	anno1.g10014.t1	A
rna-XM_057804641.1	A	anno1.g9405.t1	A
rna-XM_057804636.1	A	anno1.g11244.t2	A
rna-XM_057804639.1	A	anno1.g1181.t1	A
rna-XM_057805039.1	A	anno1.g1814.t1	A
rna-XM_057805041.1	A	anno1.g5813.t2	A
rna-XM_057805044.1	A	anno1.g5814.t1	A
rna-XM_057805045.1	A	anno1.g5815.t1	A
rna-XM_057805048.1	A	anno1.g5818.t1	A
rna-XM_057805051.1	A	anno1.g1444.t1	A
rna-XM_057805052.1	A	anno1.g5819.t1	A
rna-XM_057805234.1	A	anno1.g9343.t1	A
rna-XM_057805055.1	A	anno1.g2869.t1	A
rna-XM_057805056.1	A	anno1.g9548.t1	A
rna-XM_057805058.1	A	anno1.g4152.t1	A
rna-XM_057805057.1	A	anno1.g1179.t1	A
rna-XM_057804323.1	A	anno1.g6862.t1	A
rna-XM_057804079.1	A	anno1.g974.t1	A
rna-XM_057804356.1	A	anno1.g618.t1	A
rna-XM_057804359.1	A	anno1.g7697.t1	A
rna-XM_057804412.1	A	anno1.g3798.t1	A
rna-XM_057804102.1	A	anno1.g591.t1	A
rna-XM_057803908.1	A	anno1.g7540.t1	A
rna-XM_057804353.1	A	anno1.g9869.t1	A
rna-XM_057804053.1	A	anno1.g7629.t1	A
rna-XM_057804034.1	A	anno1.g741.t1	A
rna-XM_057804051.1	A	anno1.g3819.t1	A
rna-XM_057804045.1	A	anno1.g9320.t1	A
rna-XM_057804059.1	A	anno1.g7188.t3	A
rna-XM_057804054.1	A	anno1.g7370.t1	A
rna-XM_057804396.1	A	anno1.g11064.t4	A
rna-XM_057804783.1	A	anno1.g7921.t1	A
rna-XM_057804787.1	A	anno1.g3962.t1	A
rna-XM_057804193.1	A	anno1.g4900.t1	A
rna-XM_057804066.1	A	anno1.g9727.t2	A
rna-XM_057804844.1	A	anno1.g2242.t1	A
rna-XM_057804845.1	A	anno1.g5733.t2	A
rna-XM_057804848.1	A	anno1.g5732.t1	A
rna-XM_057804850.1	A	anno1.g2124.t1	A
rna-XM_057804420.1	A	anno1.g2125.t1	A
rna-XM_057804271.1	A	anno1.g2759.t1	A
rna-XM_057804273.1	A	anno1.g3986.t1	A
