D_carinulata	chromosome	C_maculatus	chromosome
rna-XM_057801797.1	A	g14787.t1	A
rna-XM_057801799.1	A	g7368.t1	A
rna-XM_057801801.1	A	g7366.t1	A
rna-XM_057801802.1	A	g7521.t1	A
rna-XM_057801804.1	A	g13659.t1	A
rna-XM_057801803.1	A	g12625.t1	A
rna-XM_057801805.1	A	g7532.t1	A
rna-XM_057801807.1	A	g10849.t1	A
rna-XM_057801810.1	A	g14241.t1	A
rna-XM_057801808.1	A	g14242.t1	A
rna-XM_057801812.1	A	g13262.t1	A
rna-XM_057801814.1	A	g5664.t1	A
rna-XM_057801820.1	A	g3515.t1	A
rna-XM_057801818.1	A	g7357.t1	A
rna-XM_057801821.1	A	g3548.t1	A
rna-XM_057801825.1	A	g3096.t1	A
rna-XM_057801824.1	A	g5310.t1	A
rna-XM_057801828.1	A	g3551.t1	A
rna-XM_057801831.1	A	g9372.t1	A
rna-XM_057801835.1	A	g9373.t1	A
rna-XM_057801836.1	A	g5358.t1	A
rna-XM_057801837.1	A	g4808.t3	A
rna-XM_057801838.1	A	g216.t1	A
rna-XM_057801847.1	A	g4845.t1	A
rna-XM_057801839.1	A	g4803.t1	A
rna-XM_057801849.1	A	g2748.t1	A
rna-XM_057801848.1	A	g4843.t1	A
rna-XM_057801844.1	A	g2744.t2	A
rna-XM_057801846.1	A	g4810.t1	A
rna-XM_057801858.1	A	g4809.t3	A
rna-XM_057801851.1	A	g4844.t1	A
rna-XM_057801854.1	A	g14173.t2	A
rna-XM_057801862.1	A	g9567.t2	A
rna-XM_057801861.1	A	g2941.t1	A
rna-XM_057801863.1	A	g9565.t1	A
rna-XM_057801864.1	A	g9564.t1	A
rna-XM_057801865.1	A	g13669.t1	A
rna-XM_057801870.1	A	g13682.t1	A
rna-XM_057801871.1	A	g9578.t1	A
rna-XM_057802826.1	A	g7511.t1	A
rna-XM_057802248.1	A	g9579.t1	A
rna-XM_057803005.1	A	g4531.t1	A
rna-XM_057803338.1	A	g4535.t1	A
rna-XM_057803763.1	A	g755.t1	A
rna-XM_057802572.1	A	g756.t1	A
rna-XM_057802573.1	A	g757.t1	A
rna-XM_057802589.1	A	g8846.t2	A
rna-XM_057802587.1	A	g8847.t1	A
rna-XM_057803767.1	A	g805.t1	A
rna-XM_057802074.1	A	g3153.t2	A
rna-XM_057802072.1	A	g804.t1	A
rna-XM_057802077.1	A	g6994.t1	A
rna-XM_057802075.1	A	g8179.t1	A
rna-XM_057802076.1	A	g3155.t1	A
rna-XM_057802081.1	A	g3154.t2	A
rna-XM_057803753.1	A	g11635.t1	A
rna-XM_057803754.1	A	g11625.t1	A
rna-XM_057803755.1	A	g11626.t1	A
rna-XM_057803751.1	A	g2166.t1	A
rna-XM_057803752.1	A	g11627.t1	A
rna-XM_057803747.1	A	g11624.t1	A
rna-XM_057801727.1	A	g11630.t1	A
rna-XM_057801726.1	A	g11632.t1	A
rna-XM_057802067.1	A	g11645.t1	A
rna-XM_057802406.1	A	g11643.t1	A
rna-XM_057802274.1	A	g3569.t1	A
rna-XM_057803472.1	A	g13709.t1	A
rna-XM_057803475.1	A	g11623.t1	A
rna-XM_057803491.1	A	g6509.t1	A
rna-XM_057803473.1	A	g1424.t1	X
rna-XM_057803478.1	A	g11646.t1	A
rna-XM_057803465.1	A	g11647.t1	A
rna-XM_057803476.1	A	g11648.t1	A
rna-XM_057803339.1	A	g11649.t1	A
rna-XM_057803492.1	A	g3156.t1	A
rna-XM_057803485.1	A	g6211.t1	A
rna-XM_057803489.1	A	g9744.t1	A
rna-XM_057803481.1	A	g6212.t1	A
rna-XM_057803477.1	A	g13596.t1	A
rna-XM_057803479.1	A	g13597.t1	A
rna-XM_057803490.1	A	g9494.t1	A
rna-XM_057803484.1	A	g7127.t1	A
rna-XM_057803480.1	A	g7126.t1	A
rna-XM_057803486.1	A	g7125.t1	A
rna-XM_057802378.1	A	g13387.t2	A
rna-XM_057802023.1	A	g7128.t1	A
rna-XM_057802084.1	A	g7130.t1	A
rna-XM_057802360.1	A	g7132.t1	A
rna-XM_057802364.1	A	g7960.t1	A
rna-XM_057802363.1	A	g741.t1	A
rna-XM_057803737.1	A	g5794.t2	A
rna-XM_057803744.1	A	g3341.t1	A
rna-XM_057803743.1	A	g6912.t2	A
rna-XM_057803742.1	A	g14348.t1	A
rna-XM_057803740.1	A	g3344.t1	A
rna-XM_057803733.1	A	g6920.t1	A
rna-XM_057803735.1	A	g4490.t1	A
rna-XM_057803728.1	A	g1127.t1	A
rna-XM_057802106.1	A	g11755.t1	A
rna-XM_057803848.1	A	g11849.t1	A
rna-XM_057803395.1	A	g14191.t1	A
rna-XM_057802822.1	A	g2284.t1	A
rna-XM_057803341.1	A	g3741.t1	A
rna-XM_057802604.1	A	g115.t1	A
rna-XM_057802603.1	A	g7012.t1	A
rna-XM_057803872.1	A	g13218.t1	A
rna-XM_057801743.1	A	g14164.t1	A
rna-XM_057802449.1	A	g14150.t3	A
rna-XM_057802452.1	A	g14151.t1	A
rna-XM_057802203.1	A	g14154.t1	A
rna-XM_057803787.1	A	g14153.t2	A
rna-XM_057802280.1	A	g13653.t1	A
rna-XM_057802281.1	A	g985.t1	A
rna-XM_057802282.1	A	g13845.t1	A
rna-XM_057801920.1	A	g12278.t2	A
rna-XM_057803342.1	A	g12277.t1	A
rna-XM_057801946.1	A	g3182.t1	A
rna-XM_057802146.1	A	g3181.t1	A
rna-XM_057803679.1	A	g3180.t1	A
rna-XM_057803682.1	A	g3179.t1	A
rna-XM_057803681.1	A	g10681.t1	A
rna-XM_057803683.1	A	g5562.t1	A
rna-XM_057803770.1	A	g5945.t2	A
rna-XM_057802821.1	A	g5946.t1	A
rna-XM_057803049.1	A	g4774.t1	A
rna-XM_057803055.1	A	g4221.t1	A
rna-XM_057803059.1	A	g4218.t1	A
rna-XM_057803042.1	A	g14495.t1	A
rna-XM_057803065.1	A	g4008.t1	A
rna-XM_057803044.1	A	g3733.t1	A
rna-XM_057803046.1	A	g6871.t1	A
rna-XM_057803036.1	A	g6482.t1	A
rna-XM_057803063.1	A	g6484.t1	A
rna-XM_057803530.1	A	g6486.t2	A
rna-XM_057803525.1	A	g6487.t1	A
rna-XM_057803522.1	A	g14633.t2	A
rna-XM_057803536.1	A	g14632.t1	A
rna-XM_057803537.1	A	g14631.t1	A
rna-XM_057803548.1	A	g13834.t1	A
rna-XM_057803565.1	A	g2595.t1	A
rna-XM_057803572.1	A	g4905.t1	A
rna-XM_057803551.1	A	g4903.t3	A
rna-XM_057803571.1	A	g4902.t1	A
rna-XM_057803569.1	A	g4901.t1	A
rna-XM_057803577.1	A	g12688.t1	A
rna-XM_057803573.1	A	g12161.t1	A
rna-XM_057803578.1	A	g2706.t1	A
rna-XM_057803581.1	A	g14012.t1	A
rna-XM_057803592.1	A	g12635.t1	A
rna-XM_057803587.1	A	g5533.t2	A
rna-XM_057803582.1	A	g5552.t1	A
rna-XM_057803596.1	A	g11722.t1	A
rna-XM_057803343.1	A	g11723.t1	A
rna-XM_057803600.1	A	g5931.t1	A
rna-XM_057803603.1	A	g5932.t1	A
rna-XM_057803345.1	A	g7863.t1	A
rna-XM_057802582.1	A	g5937.t1	A
rna-XM_057802583.1	A	g9078.t1	A
rna-XM_057803646.1	A	g5941.t1	A
rna-XM_057803647.1	A	g6730.t1	A
rna-XM_057803650.1	A	g5529.t1	A
rna-XM_057803649.1	A	g7699.t2	A
rna-XM_057803648.1	A	g1267.t1	A
rna-XM_057803285.1	A	g9893.t1	A
rna-XM_057803281.1	A	g9897.t2	A
rna-XM_057803283.1	A	g9894.t2	A
rna-XM_057801930.1	A	g9901.t1	A
rna-XM_057801909.1	A	g6266.t2	A
rna-XM_057803071.1	A	g6783.t1	A
rna-XM_057802032.1	A	g2627.t1	A
rna-XM_057802031.1	A	g2044.t2	A
rna-XM_057802034.1	A	g14683.t1	A
rna-XM_057802663.1	A	g14682.t1	A
rna-XM_057802011.1	A	g5251.t1	A
rna-XM_057802013.1	A	g14369.t1	A
rna-XM_057802002.1	A	g14723.t2	A
rna-XM_057802008.1	A	g14689.t1	A
rna-XM_057802010.1	A	g14688.t1	A
rna-XM_057802159.1	A	g12137.t1	A
rna-XM_057802520.1	A	g12136.t1	A
rna-XM_057803354.1	A	g5054.t1	A
rna-XM_057802595.1	A	g13654.t1	A
rna-XM_057802596.1	A	g13655.t1	A
rna-XM_057802496.1	A	g7938.t1	A
rna-XM_057802497.1	A	g5053.t1	A
rna-XM_057802559.1	A	g706.t2	A
rna-XM_057802560.1	A	g705.t2	A
rna-XM_057802295.1	A	g702.t1	A
rna-XM_057802323.1	A	g689.t1	A
rna-XM_057801630.1	A	g9492.t1	A
rna-XM_057801631.1	A	g9491.t1	A
rna-XM_057801633.1	A	g1070.t2	A
rna-XM_057802210.1	A	g13464.t1	A
rna-XM_057801927.1	A	g13029.t1	A
rna-XM_057802348.1	A	g13462.t1	A
rna-XM_057802227.1	A	g14025.t1	A
rna-XM_057802226.1	A	g13463.t1	A
rna-XM_057802329.1	A	g13032.t3	A
rna-XM_057802332.1	A	g617.t1	A
rna-XM_057802336.1	A	g11526.t1	A
rna-XM_057802335.1	A	g13465.t1	A
rna-XM_057801891.1	A	g13467.t2	A
rna-XM_057802365.1	A	g13466.t2	A
rna-XM_057802366.1	A	g6778.t1	A
rna-XM_057802369.1	A	g700.t1	A
rna-XM_057801936.1	A	g8983.t1	A
rna-XM_057802643.1	A	g8675.t1	A
rna-XM_057802584.1	A	g8986.t1	A
rna-XM_057802370.1	A	g8985.t1	A
rna-XM_057802224.1	A	g8984.t2	A
rna-XM_057802097.1	A	g8982.t1	A
rna-XM_057801763.1	A	g8597.t1	A
rna-XM_057801762.1	A	g8601.t1	A
rna-XM_057802238.1	A	g8604.t1	A
rna-XM_057802372.1	A	g8605.t1	A
rna-XM_057802492.1	A	g12187.t1	A
rna-XM_057802294.1	A	g12188.t1	A
rna-XM_057802171.1	A	g2286.t1	A
rna-XM_057803355.1	A	g9941.t1	A
rna-XM_057802351.1	A	g7609.t1	A
rna-XM_057802353.1	A	g6370.t1	A
rna-XM_057803357.1	A	g6367.t1	A
rna-XM_057802299.1	A	g7048.t1	A
rna-XM_057802455.1	A	g12315.t1	A
rna-XM_057802526.1	A	g2515.t1	A
rna-XM_057803358.1	A	g9747.t1	A
rna-XM_057802293.1	A	g9748.t2	A
rna-XM_057802680.1	A	g9749.t1	A
rna-XM_057803360.1	A	g13205.t1	A
rna-XM_057802681.1	A	g11655.t1	A
rna-XM_057802692.1	A	g8023.t1	A
rna-XM_057802686.1	A	g11654.t1	A
rna-XM_057802696.1	A	g13272.t1	A
rna-XM_057802694.1	A	g4206.t2	A
rna-XM_057802699.1	A	g12186.t1	A
rna-XM_057802700.1	A	g7669.t1	A
rna-XM_057802701.1	A	g10853.t1	A
rna-XM_057802702.1	A	g10515.t1	A
rna-XM_057802708.1	A	g10514.t1	A
rna-XM_057802705.1	A	g1230.t1	A
rna-XM_057802713.1	A	g12634.t1	A
rna-XM_057802724.1	A	g10976.t1	A
rna-XM_057802731.1	A	g2202.t1	A
rna-XM_057802734.1	A	g1844.t1	A
rna-XM_057802774.1	A	g13546.t1	A
rna-XM_057802781.1	A	g3821.t1	A
rna-XM_057802753.1	A	g959.t1	A
rna-XM_057802784.1	A	g4692.t2	A
rna-XM_057802773.1	A	g12626.t1	A
rna-XM_057803372.1	A	g11368.t1	A
rna-XM_057802787.1	A	g9218.t1	A
rna-XM_057802785.1	A	g13248.t1	A
rna-XM_057802790.1	A	g11194.t2	A
rna-XM_057802812.1	A	g11193.t1	A
rna-XM_057802809.1	A	g11192.t1	A
rna-XM_057802453.1	A	g7629.t1	A
rna-XM_057802410.1	A	g7630.t1	A
rna-XM_057803411.1	A	g9751.t2	A
rna-XM_057802383.1	A	g11829.t1	A
rna-XM_057802044.1	A	g8081.t2	A
rna-XM_057802236.1	A	g8131.t1	A
rna-XM_057802110.1	A	g7559.t1	A
rna-XM_057802112.1	A	g11833.t1	A
rna-XM_057802547.1	A	g8040.t1	A
rna-XM_057803814.1	A	g5887.t1	A
rna-XM_057803816.1	A	g8124.t2	A
rna-XM_057801926.1	A	g5888.t1	A
rna-XM_057802484.1	A	g9100.t2	A
rna-XM_057802291.1	A	g9151.t1	A
rna-XM_057802102.1	A	g9099.t1	A
rna-XM_057802103.1	A	g8806.t1	A
rna-XM_057802104.1	A	g5670.t1	A
rna-XM_057802877.1	A	g9018.t1	A
rna-XM_057802886.1	A	g9017.t1	A
rna-XM_057802882.1	A	g9023.t2	A
rna-XM_057802885.1	A	g9022.t1	A
rna-XM_057802878.1	A	g12175.t2	A
rna-XM_057802870.1	A	g12176.t2	A
rna-XM_057802883.1	A	g12177.t2	A
rna-XM_057802884.1	A	g12178.t1	A
rna-XM_057802889.1	A	g12081.t1	A
rna-XM_057802890.1	A	g11715.t2	A
rna-XM_057802891.1	A	g9289.t1	A
rna-XM_057802892.1	A	g7180.t1	A
rna-XM_057802893.1	A	g8805.t1	A
rna-XM_057802894.1	A	g7174.t1	A
rna-XM_057802896.1	A	g7173.t2	A
rna-XM_057802899.1	A	g5080.t1	A
rna-XM_057802909.1	A	g7175.t1	A
rna-XM_057802903.1	A	g7176.t1	A
rna-XM_057802902.1	A	g7167.t2	A
rna-XM_057802908.1	A	g7168.t1	A
rna-XM_057802898.1	A	g7177.t1	A
rna-XM_057802905.1	A	g9021.t1	A
rna-XM_057802904.1	A	g1552.t1	X
rna-XM_057802915.1	A	g5610.t1	A
rna-XM_057802910.1	A	g11807.t2	A
rna-XM_057802914.1	A	g7170.t1	A
rna-XM_057802922.1	A	g12042.t1	A
rna-XM_057802955.1	A	g12056.t1	A
rna-XM_057802930.1	A	g6301.t2	A
rna-XM_057802920.1	A	g6133.t1	A
rna-XM_057802948.1	A	g13312.t1	A
rna-XM_057802944.1	A	g6178.t2	A
rna-XM_057802940.1	A	g14739.t1	A
rna-XM_057802924.1	A	g8967.t1	A
rna-XM_057802945.1	A	g6105.t1	A
rna-XM_057802941.1	A	g6107.t2	A
rna-XM_057802949.1	A	g6103.t1	A
rna-XM_057802956.1	A	g4113.t1	A
rna-XM_057802938.1	A	g3262.t1	A
rna-XM_057802946.1	A	g3261.t2	A
rna-XM_057802954.1	A	g3260.t1	A
rna-XM_057802952.1	A	g3263.t1	A
rna-XM_057802927.1	A	g8498.t1	A
rna-XM_057802935.1	A	g8497.t2	A
rna-XM_057802959.1	A	g8812.t1	A
rna-XM_057802957.1	A	g8810.t1	A
rna-XM_057802961.1	A	g8808.t1	A
rna-XM_057802962.1	A	g9995.t1	A
rna-XM_057802963.1	A	g9996.t1	A
rna-XM_057802965.1	A	g9800.t1	A
rna-XM_057802966.1	A	g9891.t1	A
rna-XM_057802970.1	A	g1356.t1	A
rna-XM_057802972.1	A	g1357.t2	A
rna-XM_057802973.1	A	g1360.t1	A
rna-XM_057802981.1	A	g5182.t1	A
rna-XM_057802976.1	A	g1361.t1	A
rna-XM_057802975.1	A	g10290.t1	A
rna-XM_057802983.1	A	g10702.t1	A
rna-XM_057802987.1	A	g10701.t2	A
rna-XM_057801718.1	A	g10700.t1	A
rna-XM_057801719.1	A	g10699.t1	A
rna-XM_057801721.1	A	g10698.t1	A
rna-XM_057801720.1	A	g10288.t1	A
rna-XM_057802519.1	A	g11652.t1	A
rna-XM_057803801.1	A	g2377.t1	A
rna-XM_057803798.1	A	g7973.t1	A
rna-XM_057801932.1	A	g4182.t1	A
rna-XM_057802108.1	A	g2244.t1	A
rna-XM_057803463.1	A	g6300.t1	A
rna-XM_057803464.1	A	g12038.t1	A
rna-XM_057802863.1	A	g12058.t1	A
rna-XM_057801897.1	A	g12271.t1	A
rna-XM_057801905.1	A	g12270.t1	A
rna-XM_057802145.1	A	g12269.t1	A
rna-XM_057802207.1	A	g12267.t2	A
rna-XM_057802254.1	A	g6097.t1	A
rna-XM_057801734.1	A	g4187.t1	A
rna-XM_057801737.1	A	g4188.t1	A
rna-XM_057802028.1	A	g4186.t2	A
rna-XM_057802057.1	A	g8151.t1	A
rna-XM_057803638.1	A	g8030.t1	A
rna-XM_057803640.1	A	g8031.t1	A
rna-XM_057803641.1	A	g8129.t1	A
rna-XM_057804103.1	A	g4440.t1	A
rna-XM_057804154.1	A	g1006.t2	A
rna-XM_057804144.1	A	g1007.t2	A
rna-XM_057804145.1	A	g5977.t1	A
rna-XM_057804148.1	A	g5377.t1	A
rna-XM_057804297.1	A	g9004.t1	A
rna-XM_057804717.1	A	g8995.t1	A
rna-XM_057804289.1	A	g8994.t1	A
rna-XM_057804083.1	A	g8897.t1	A
rna-XM_057804164.1	A	g8899.t2	A
rna-XM_057804718.1	A	g8903.t1	A
rna-XM_057805262.1	A	g8905.t1	A
rna-XM_057803978.1	A	g8907.t1	A
rna-XM_057804172.1	A	g3666.t1	A
rna-XM_057804173.1	A	g4209.t1	A
rna-XM_057804566.1	A	g3691.t1	A
rna-XM_057804567.1	A	g3692.t1	A
rna-XM_057804107.1	A	g3688.t1	A
rna-XM_057804721.1	A	g2940.t1	A
rna-XM_057804465.1	A	g3684.t1	A
rna-XM_057804393.1	A	g3681.t1	A
rna-XM_057804285.1	A	g3678.t1	A
rna-XM_057804127.1	A	g3673.t1	A
rna-XM_057804236.1	A	g3669.t3	A
rna-XM_057804391.1	A	g3668.t1	A
rna-XM_057804482.1	A	g1259.t1	A
rna-XM_057805067.1	A	g10733.t1	A
rna-XM_057805074.1	A	g10088.t1	A
rna-XM_057804922.1	A	g2384.t1	A
rna-XM_057804925.1	A	g4615.t1	A
rna-XM_057804926.1	A	g4614.t1	A
rna-XM_057804604.1	A	g4613.t1	A
rna-XM_057804616.1	A	g9738.t1	A
rna-XM_057804617.1	A	g4610.t1	A
rna-XM_057805121.1	A	g1324.t1	A
rna-XM_057805122.1	A	g4312.t1	A
rna-XM_057805002.1	A	g9737.t1	A
rna-XM_057805001.1	A	g2386.t1	A
rna-XM_057804929.1	A	g1001.t2	A
rna-XM_057804930.1	A	g10705.t1	A
rna-XM_057805195.1	A	g12202.t1	A
rna-XM_057804080.1	A	g6127.t2	A
rna-XM_057804941.1	A	g4243.t2	A
rna-XM_057804944.1	A	g6121.t1	A
rna-XM_057804945.1	A	g9195.t1	A
rna-XM_057804949.1	A	g9194.t1	A
rna-XM_057804952.1	A	g9193.t2	A
rna-XM_057804953.1	A	g666.t1	A
rna-XM_057804950.1	A	g667.t1	A
rna-XM_057804955.1	A	g5862.t1	A
rna-XM_057804963.1	A	g5863.t1	A
rna-XM_057804964.1	A	g4200.t1	A
rna-XM_057804961.1	A	g5864.t1	A
rna-XM_057804973.1	A	g6114.t1	A
rna-XM_057804958.1	A	g9062.t1	A
rna-XM_057804957.1	A	g9063.t1	A
rna-XM_057804975.1	A	g9201.t1	A
rna-XM_057804960.1	A	g5838.t1	A
rna-XM_057804969.1	A	g5986.t1	A
rna-XM_057804968.1	A	g6115.t1	A
rna-XM_057804972.1	A	g6116.t1	A
rna-XM_057804967.1	A	g6120.t1	A
rna-XM_057804851.1	A	g4216.t1	A
rna-XM_057804861.1	A	g7946.t2	A
rna-XM_057804857.1	A	g7944.t2	A
rna-XM_057804865.1	A	g7945.t1	A
rna-XM_057804866.1	A	g7942.t1	A
rna-XM_057804880.1	A	g7728.t1	A
rna-XM_057804875.1	A	g7719.t1	A
rna-XM_057804879.1	A	g8083.t1	A
rna-XM_057804882.1	A	g7720.t1	A
rna-XM_057804902.1	A	g10800.t1	A
rna-XM_057804899.1	A	g7721.t2	A
rna-XM_057804900.1	A	g8099.t1	A
rna-XM_057804901.1	A	g4163.t1	A
rna-XM_057804909.1	A	g4150.t1	A
rna-XM_057804906.1	A	g4148.t1	A
rna-XM_057804735.1	A	g844.t1	A
rna-XM_057804884.1	A	g9906.t1	A
rna-XM_057804886.1	A	g4147.t1	A
rna-XM_057804911.1	A	g4146.t1	A
rna-XM_057804914.1	A	g4145.t1	A
rna-XM_057804918.1	A	g6159.t1	A
rna-XM_057804915.1	A	g7991.t1	A
rna-XM_057804920.1	A	g3345.t1	A
rna-XM_057804194.1	A	g9314.t1	A
rna-XM_057804725.1	A	g13988.t1	A
rna-XM_057804726.1	A	g5954.t1	A
rna-XM_057804727.1	A	g884.t1	A
rna-XM_057804733.1	A	g5985.t1	A
rna-XM_057804730.1	A	g5982.t1	A
rna-XM_057804732.1	A	g5983.t2	A
rna-XM_057804738.1	A	g5491.t1	A
rna-XM_057804746.1	A	g11343.t1	A
rna-XM_057804600.1	A	g585.t1	A
rna-XM_057804752.1	A	g8454.t1	A
rna-XM_057804753.1	A	g8642.t1	A
rna-XM_057804586.1	A	g11798.t1	A
rna-XM_057804587.1	A	g11794.t1	A
rna-XM_057804487.1	A	g12125.t2	A
rna-XM_057804621.1	A	g10784.t1	A
rna-XM_057804622.1	A	g14042.t1	A
rna-XM_057804623.1	A	g14043.t1	A
rna-XM_057804405.1	A	g3402.t2	A
rna-XM_057804583.1	A	g259.t1	A
rna-XM_057804578.1	A	g260.t1	A
rna-XM_057803885.1	A	g261.t1	A
rna-XM_057803893.1	A	g262.t1	A
rna-XM_057803892.1	A	g320.t1	A
rna-XM_057803889.1	A	g317.t3	A
rna-XM_057803888.1	A	g318.t1	A
rna-XM_057803881.1	A	g12550.t1	A
rna-XM_057803928.1	A	g315.t1	A
rna-XM_057803951.1	A	g12138.t1	A
rna-XM_057803956.1	A	g316.t1	A
rna-XM_057803930.1	A	g321.t1	A
rna-XM_057803958.1	A	g324.t1	A
rna-XM_057803927.1	A	g13969.t1	A
rna-XM_057803952.1	A	g8240.t2	A
rna-XM_057803954.1	A	g7998.t1	A
rna-XM_057803923.1	A	g7997.t2	A
rna-XM_057803943.1	A	g7896.t1	A
rna-XM_057803955.1	A	g7902.t1	A
rna-XM_057803937.1	A	g258.t1	A
rna-XM_057803945.1	A	g13430.t2	A
rna-XM_057803940.1	A	g14637.t1	A
rna-XM_057803932.1	A	g11520.t1	A
rna-XM_057803939.1	A	g13431.t1	A
rna-XM_057803953.1	A	g12570.t1	A
rna-XM_057803946.1	A	g13429.t1	A
rna-XM_057804224.1	A	g13404.t1	A
rna-XM_057804203.1	A	g13400.t1	A
rna-XM_057804221.1	A	g13405.t1	A
rna-XM_057804214.1	A	g13406.t3	A
rna-XM_057804225.1	A	g13407.t1	A
rna-XM_057804226.1	A	g13412.t1	A
rna-XM_057804758.1	A	g13388.t2	A
rna-XM_057805085.1	A	g11740.t1	A
rna-XM_057805081.1	A	g11741.t1	A
rna-XM_057805082.1	A	g11739.t1	A
rna-XM_057805083.1	A	g12300.t1	A
rna-XM_057805089.1	A	g4034.t2	A
rna-XM_057805090.1	A	g11738.t1	A
rna-XM_057805095.1	A	g11742.t1	A
rna-XM_057805097.1	A	g3187.t1	A
rna-XM_057805094.1	A	g257.t1	A
rna-XM_057805098.1	A	g12407.t1	A
rna-XM_057805096.1	A	g12406.t1	A
rna-XM_057805109.1	A	g12806.t1	A
rna-XM_057805110.1	A	g250.t1	A
rna-XM_057805101.1	A	g252.t1	A
rna-XM_057805102.1	A	g1437.t1	X
rna-XM_057805105.1	A	g253.t1	A
rna-XM_057805104.1	A	g255.t1	A
rna-XM_057805111.1	A	g12408.t1	A
rna-XM_057805112.1	A	g13207.t1	A
rna-XM_057805114.1	A	g13391.t1	A
rna-XM_057805116.1	A	g8025.t1	A
rna-XM_057805115.1	A	g13206.t1	A
rna-XM_057805120.1	A	g13390.t1	A
rna-XM_057804452.1	A	g7891.t1	A
rna-XM_057804459.1	A	g7893.t1	A
rna-XM_057804458.1	A	g7892.t1	A
rna-XM_057804343.1	A	g11799.t1	A
rna-XM_057804344.1	A	g11800.t1	A
rna-XM_057805035.1	A	g11803.t1	A
rna-XM_057805032.1	A	g11802.t1	A
rna-XM_057804410.1	A	g11804.t1	A
rna-XM_057804568.1	A	g13705.t1	A
rna-XM_057804231.1	A	g11639.t2	A
rna-XM_057804234.1	A	g11638.t1	A
rna-XM_057804227.1	A	g11637.t1	A
rna-XM_057803906.1	A	g7901.t2	A
rna-XM_057804325.1	A	g12336.t1	A
rna-XM_057804295.1	A	g12335.t1	A
rna-XM_057804061.1	A	g8012.t1	A
rna-XM_057804788.1	A	g4353.t1	A
rna-XM_057804794.1	A	g6314.t1	A
rna-XM_057804791.1	A	g6108.t1	A
rna-XM_057804792.1	A	g6109.t2	A
rna-XM_057803971.1	A	g6322.t1	A
rna-XM_057803974.1	A	g3269.t2	A
rna-XM_057804976.1	A	g409.t2	A
rna-XM_057804625.1	A	g6088.t2	A
rna-XM_057804626.1	A	g4369.t1	A
rna-XM_057804627.1	A	g1876.t1	A
rna-XM_057804280.1	A	g11752.t1	A
rna-XM_057803909.1	A	g6682.t2	A
rna-XM_057803915.1	A	g9734.t1	A
rna-XM_057803912.1	A	g36.t1	A
rna-XM_057805169.1	A	g37.t1	A
rna-XM_057805150.1	A	g2944.t1	A
rna-XM_057805170.1	A	g8050.t2	A
rna-XM_057805142.1	A	g8073.t1	A
rna-XM_057805143.1	A	g9126.t1	A
rna-XM_057805147.1	A	g4444.t2	A
rna-XM_057805167.1	A	g9545.t1	A
rna-XM_057805158.1	A	g5962.t2	A
rna-XM_057805168.1	A	g10991.t1	A
rna-XM_057805160.1	A	g199.t1	A
rna-XM_057805162.1	A	g6716.t1	A
rna-XM_057805166.1	A	g13433.t1	A
rna-XM_057805159.1	A	g4255.t1	A
rna-XM_057805146.1	A	g12592.t1	A
rna-XM_057805151.1	A	g12283.t2	A
rna-XM_057805165.1	A	g12282.t1	A
rna-XM_057805171.1	A	g11675.t1	A
rna-XM_057805173.1	A	g12752.t1	A
rna-XM_057805177.1	A	g12745.t1	A
rna-XM_057805176.1	A	g10925.t1	A
rna-XM_057805181.1	A	g12917.t1	A
rna-XM_057805182.1	A	g11499.t1	A
rna-XM_057805185.1	A	g2228.t1	A
rna-XM_057805186.1	A	g6885.t1	A
rna-XM_057805188.1	A	g6884.t2	A
rna-XM_057804176.1	A	g4735.t2	A
rna-XM_057804408.1	A	g5858.t1	A
rna-XM_057804418.1	A	g3253.t1	A
rna-XM_057804330.1	A	g9761.t1	A
rna-XM_057804331.1	A	g7746.t1	A
rna-XM_057804338.1	A	g7859.t1	A
rna-XM_057804337.1	A	g7673.t1	A
rna-XM_057805030.1	A	g8052.t1	A
rna-XM_057804314.1	A	g5136.t1	A
rna-XM_057804299.1	A	g4827.t1	A
rna-XM_057804313.1	A	g4828.t1	A
rna-XM_057804316.1	A	g1210.t1	A
rna-XM_057804317.1	A	g1606.t2	X
rna-XM_057804319.1	A	g1211.t1	A
rna-XM_057804089.1	A	g1269.t1	A
rna-XM_057804088.1	A	g13000.t1	A
rna-XM_057804762.1	A	g1216.t1	A
rna-XM_057804770.1	A	g1217.t1	A
rna-XM_057804771.1	A	g1214.t1	A
rna-XM_057804765.1	A	g1213.t1	A
rna-XM_057804350.1	A	g8361.t3	A
rna-XM_057804340.1	A	g8362.t1	A
rna-XM_057804162.1	A	g6725.t1	A
rna-XM_057804991.1	A	g2316.t1	A
rna-XM_057804988.1	A	g5949.t1	A
rna-XM_057804576.1	A	g5948.t1	A
rna-XM_057804068.1	A	g5947.t1	A
rna-XM_057804184.1	A	g9874.t2	A
rna-XM_057804423.1	A	g8609.t1	A
rna-XM_057804629.1	A	g3563.t1	A
rna-XM_057804632.1	A	g1205.t1	A
rna-XM_057804631.1	A	g9739.t1	A
rna-XM_057804630.1	A	g13138.t1	A
rna-XM_057804635.1	A	g4620.t1	A
rna-XM_057804641.1	A	g3825.t1	A
rna-XM_057804636.1	A	g9758.t2	A
rna-XM_057804639.1	A	g1866.t1	A
rna-XM_057804346.1	A	g12110.t1	A
rna-XM_057805039.1	A	g2094.t1	A
