C_chinensis	chromosome	C_maculatus	chromosome
anno1.g1683.t1	A	g12819.t1	A
anno1.g1685.t1	A	g12817.t1	A
anno1.g9737.t1	A	g9279.t1	A
anno1.g9738.t1	A	g9280.t1	A
anno1.g9739.t2	A	g9281.t1	A
anno1.g9740.t1	A	g9282.t1	A
anno1.g9741.t1	A	g9283.t2	A
anno1.g9742.t1	A	g9273.t2	A
anno1.g9743.t1	A	g9285.t1	A
anno1.g9744.t1	A	g9286.t1	A
anno1.g9745.t1	A	g9270.t1	A
anno1.g9746.t2	A	g9288.t1	A
anno1.g9747.t1	A	g3330.t1	A
anno1.g9748.t1	A	g9289.t1	A
anno1.g9749.t1	A	g9290.t1	A
anno1.g9750.t1	A	g9291.t1	A
anno1.g9751.t1	A	g2030.t1	A
anno1.g9752.t3	A	g7700.t2	A
anno1.g9754.t1	A	g7701.t1	A
anno1.g9755.t1	A	g7702.t1	A
anno1.g9756.t1	A	g7703.t1	A
anno1.g9758.t4	A	g7705.t1	A
anno1.g9760.t1	A	g7706.t1	A
anno1.g9723.t1	A	g3056.t1	A
anno1.g9724.t2	A	g3057.t2	A
anno1.g9628.t1	A	g8260.t2	A
anno1.g9631.t2	A	g8256.t2	A
anno1.g9632.t1	A	g8255.t1	A
anno1.g9633.t1	A	g8254.t1	A
anno1.g9635.t1	A	g8253.t1	A
anno1.g9634.t4	A	g8252.t4	A
anno1.g9636.t1	A	g8251.t1	A
anno1.g9637.t1	A	g8250.t1	A
anno1.g9638.t1	A	g8249.t1	A
anno1.g9639.t1	A	g8248.t1	A
anno1.g9640.t2	A	g8247.t1	A
anno1.g9641.t1	A	g8246.t1	A
anno1.g9642.t1	A	g8245.t1	A
anno1.g9643.t1	A	g8244.t1	A
anno1.g9644.t2	A	g8243.t1	A
anno1.g9645.t2	A	g8242.t2	A
anno1.g9646.t1	A	g8241.t1	A
anno1.g9647.t2	A	g8240.t2	A
anno1.g9648.t1	A	g8239.t2	A
anno1.g9650.t2	A	g8238.t1	A
anno1.g9651.t1	A	g8237.t1	A
anno1.g9652.t2	A	g8236.t1	A
anno1.g9653.t1	A	g8233.t1	A
anno1.g9654.t1	A	g8235.t1	A
anno1.g9655.t1	A	g8232.t1	A
anno1.g9657.t2	A	g8231.t4	A
anno1.g9658.t1	A	g8230.t2	A
anno1.g9659.t1	A	g8229.t1	A
anno1.g9660.t1	A	g8228.t1	A
anno1.g9661.t1	A	g8227.t1	A
anno1.g9662.t1	A	g8224.t1	A
anno1.g9663.t1	A	g8223.t1	A
anno1.g9664.t2	A	g8222.t2	A
anno1.g9665.t1	A	g8221.t1	A
anno1.g9666.t2	A	g8220.t1	A
anno1.g9667.t1	A	g8219.t1	A
anno1.g9668.t1	A	g8218.t1	A
anno1.g9669.t1	A	g8217.t1	A
anno1.g9670.t1	A	g8216.t1	A
anno1.g9671.t1	A	g8215.t1	A
anno1.g9672.t1	A	g8214.t1	A
anno1.g9673.t1	A	g8213.t1	A
anno1.g9674.t1	A	g8212.t1	A
anno1.g9675.t1	A	g8211.t1	A
anno1.g9677.t1	A	g7773.t1	A
anno1.g9678.t3	A	g7772.t1	A
anno1.g9679.t1	A	g7771.t1	A
anno1.g9681.t4	A	g7770.t2	A
anno1.g9682.t1	A	g7769.t1	A
anno1.g9683.t1	A	g7768.t1	A
anno1.g9684.t1	A	g7767.t2	A
anno1.g9685.t1	A	g7766.t1	A
anno1.g9686.t1	A	g7765.t1	A
anno1.g9687.t1	A	g7764.t2	A
anno1.g9688.t1	A	g7761.t1	A
anno1.g9689.t2	A	g7762.t2	A
anno1.g9690.t1	A	g7763.t1	A
anno1.g9692.t1	A	g7760.t1	A
anno1.g9693.t1	A	g7759.t1	A
anno1.g9694.t1	A	g7757.t1	A
anno1.g9695.t1	A	g7758.t1	A
anno1.g9696.t1	A	g7756.t1	A
anno1.g9697.t1	A	g7952.t1	A
anno1.g9698.t1	A	g7951.t1	A
anno1.g9699.t1	A	g7948.t1	A
anno1.g9700.t1	A	g7947.t1	A
anno1.g9701.t1	A	g7946.t2	A
anno1.g9702.t1	A	g7945.t1	A
anno1.g9703.t1	A	g7944.t2	A
anno1.g9704.t1	A	g7942.t1	A
anno1.g9705.t1	A	g7943.t1	A
anno1.g1678.t1	A	g13948.t1	A
anno1.g1679.t1	A	g13949.t1	A
anno1.g9624.t1	A	g3714.t1	A
anno1.g9626.t1	A	g3712.t1	A
anno1.g9627.t1	A	g3711.t1	A
anno1.g9614.t1	A	g12714.t1	A
anno1.g9604.t1	A	g14587.t1	A
anno1.g9606.t1	A	g14667.t2	A
anno1.g9607.t1	A	g14668.t1	A
anno1.g9608.t1	A	g2456.t1	A
anno1.g9609.t1	A	g14669.t1	A
anno1.g1677.t3	A	g10419.t1	A
anno1.g9586.t1	X	g7257.t1	X
anno1.g9587.t1	X	g7256.t1	X
anno1.g9588.t2	X	g7255.t2	X
anno1.g9589.t1	X	g7254.t1	X
anno1.g9590.t1	X	g7253.t1	X
anno1.g9591.t1	X	g4677.t2	A
anno1.g9592.t1	X	g7252.t1	X
anno1.g9593.t4	X	g7444.t3	X
anno1.g9594.t2	X	g7445.t1	X
anno1.g9573.t1	A	g6449.t1	A
anno1.g9574.t2	A	g6448.t1	A
anno1.g9576.t1	A	g6446.t1	A
anno1.g1627.t1	A	g4455.t1	A
anno1.g1628.t1	A	g4456.t1	A
anno1.g1629.t1	A	g4457.t1	A
anno1.g1630.t1	A	g4458.t2	A
anno1.g1631.t1	A	g4459.t1	A
anno1.g1632.t2	A	g4460.t2	A
anno1.g1633.t1	A	g4461.t1	A
anno1.g1634.t1	A	g4462.t1	A
anno1.g1635.t2	A	g4463.t1	A
anno1.g1636.t2	A	g4464.t1	A
anno1.g1638.t1	A	g4465.t1	A
anno1.g1639.t1	A	g4466.t1	A
anno1.g1640.t1	A	g4467.t1	A
anno1.g1641.t2	A	g4468.t2	A
anno1.g1642.t1	A	g4469.t1	A
anno1.g1643.t1	A	g4470.t1	A
anno1.g1644.t1	A	g4471.t1	A
anno1.g1645.t1	A	g4472.t1	A
anno1.g1646.t1	A	g4473.t1	A
anno1.g1647.t1	A	g4474.t1	A
anno1.g1648.t1	A	g4475.t1	A
anno1.g1649.t1	A	g4476.t1	A
anno1.g1650.t1	A	g4478.t1	A
anno1.g1651.t1	A	g4480.t1	A
anno1.g1652.t1	A	g4481.t1	A
anno1.g1653.t1	A	g4482.t1	A
anno1.g1654.t1	A	g4483.t1	A
anno1.g1657.t1	A	g4484.t1	A
anno1.g1660.t1	A	g4485.t1	A
anno1.g1661.t1	A	g4486.t1	A
anno1.g1662.t1	A	g4487.t1	A
anno1.g1663.t1	A	g4488.t1	A
anno1.g1664.t2	A	g4489.t1	A
anno1.g1665.t1	A	g4491.t1	A
anno1.g1666.t2	A	g4493.t1	A
anno1.g1667.t1	A	g4494.t1	A
anno1.g1668.t1	A	g4495.t1	A
anno1.g1669.t1	A	g4496.t1	A
anno1.g1670.t1	A	g4497.t1	A
anno1.g1671.t1	A	g4498.t1	A
anno1.g1672.t1	A	g4499.t1	A
anno1.g1673.t1	A	g534.t1	A
anno1.g1674.t2	A	g533.t1	A
anno1.g1675.t1	A	g532.t1	A
anno1.g1676.t1	A	g531.t1	A
anno1.g9556.t1	A	g12206.t1	A
anno1.g9557.t1	A	g12205.t1	A
anno1.g9559.t1	A	g12203.t1	A
anno1.g9560.t2	A	g12202.t1	A
anno1.g9562.t1	A	g12197.t2	A
anno1.g9563.t1	A	g12196.t1	A
anno1.g1624.t1	A	g1844.t1	A
anno1.g9548.t1	A	g1380.t1	A
anno1.g9497.t1	A	g11115.t1	A
anno1.g9499.t2	A	g13086.t1	A
anno1.g9500.t1	A	g13085.t2	A
anno1.g9501.t1	A	g13084.t1	A
anno1.g9502.t1	A	g13083.t1	A
anno1.g9503.t1	A	g2238.t1	A
anno1.g9504.t1	A	g2239.t1	A
anno1.g9505.t1	A	g2240.t1	A
anno1.g9506.t1	A	g2242.t2	A
anno1.g9507.t1	A	g13078.t1	A
anno1.g9508.t1	A	g2244.t1	A
anno1.g9510.t1	A	g2246.t1	A
anno1.g9511.t2	A	g13074.t4	A
anno1.g9512.t2	A	g13073.t1	A
anno1.g9513.t1	A	g13072.t4	A
anno1.g9514.t1	A	g13071.t1	A
anno1.g9515.t2	A	g13070.t3	A
anno1.g9516.t1	A	g13069.t1	A
anno1.g9517.t1	A	g13068.t1	A
anno1.g9518.t1	A	g13067.t1	A
anno1.g9519.t1	A	g13066.t1	A
anno1.g9520.t2	A	g13065.t1	A
anno1.g9521.t1	A	g13064.t1	A
anno1.g9522.t5	A	g13063.t3	A
anno1.g9524.t1	A	g13059.t1	A
anno1.g9525.t1	A	g13057.t1	A
anno1.g9526.t1	A	g13058.t1	A
anno1.g9527.t1	A	g9362.t1	A
anno1.g9528.t1	A	g13056.t1	A
anno1.g9529.t1	A	g13055.t1	A
anno1.g9530.t2	A	g3040.t1	A
anno1.g9531.t1	A	g13026.t1	A
anno1.g9532.t1	A	g13025.t2	A
anno1.g9533.t1	A	g13024.t1	A
anno1.g9534.t1	A	g13022.t1	A
anno1.g9535.t1	A	g3707.t1	A
anno1.g9536.t3	A	g2514.t1	A
anno1.g9537.t1	A	g13003.t1	A
anno1.g9538.t1	A	g13004.t1	A
anno1.g9539.t1	A	g13005.t2	A
anno1.g9540.t2	A	g13006.t1	A
anno1.g9541.t2	A	g13007.t1	A
anno1.g9542.t2	A	g13009.t1	A
anno1.g9452.t1	X	g1628.t1	X
anno1.g9453.t1	X	g1627.t2	X
anno1.g9456.t1	X	g1626.t1	X
anno1.g9458.t1	X	g1625.t1	X
anno1.g9459.t1	X	g1624.t1	X
anno1.g9460.t2	X	g1623.t2	X
anno1.g9461.t2	X	g1622.t1	X
anno1.g9447.t2	A	g6073.t1	A
anno1.g9448.t1	A	g6072.t1	A
anno1.g9422.t1	A	g9405.t1	A
anno1.g9423.t3	A	g2309.t1	A
anno1.g9426.t1	A	g5503.t1	A
anno1.g1613.t1	A	g14031.t2	A
anno1.g9409.t1	A	g1125.t1	A
anno1.g9410.t1	A	g1126.t1	A
anno1.g9411.t1	A	g1127.t1	A
anno1.g9412.t1	A	g1130.t1	A
anno1.g9414.t1	A	g1131.t1	A
anno1.g9416.t1	A	g1132.t1	A
anno1.g9417.t1	A	g1133.t1	A
anno1.g1606.t1	A	g8323.t1	A
anno1.g1607.t1	A	g8322.t1	A
anno1.g9397.t1	A	g1234.t2	A
anno1.g1557.t1	A	g9141.t1	A
anno1.g1558.t1	A	g9140.t1	A
anno1.g1559.t1	A	g9139.t1	A
anno1.g1561.t1	A	g9137.t2	A
anno1.g1562.t2	A	g9136.t2	A
anno1.g1563.t1	A	g9135.t1	A
anno1.g1565.t1	A	g9134.t1	A
anno1.g1566.t1	A	g9132.t1	A
anno1.g1567.t3	A	g9130.t1	A
anno1.g1569.t1	A	g9129.t1	A
anno1.g1570.t1	A	g9128.t1	A
anno1.g1571.t1	A	g9127.t1	A
anno1.g1572.t1	A	g9126.t1	A
anno1.g1573.t1	A	g9125.t1	A
anno1.g1574.t1	A	g9124.t1	A
anno1.g1575.t1	A	g9123.t1	A
anno1.g1577.t1	A	g9122.t1	A
anno1.g1578.t1	A	g9121.t1	A
anno1.g1579.t1	A	g9120.t1	A
anno1.g1580.t1	A	g9119.t1	A
anno1.g1581.t1	A	g9118.t2	A
anno1.g1583.t1	A	g9116.t1	A
anno1.g1584.t1	A	g9115.t1	A
anno1.g1586.t1	A	g9114.t1	A
anno1.g1587.t1	A	g9113.t1	A
anno1.g1588.t2	A	g9112.t1	A
anno1.g1589.t1	A	g9111.t1	A
anno1.g1590.t2	A	g9110.t1	A
anno1.g1591.t1	A	g9109.t1	A
anno1.g1592.t1	A	g9108.t1	A
anno1.g1593.t1	A	g9107.t1	A
anno1.g1594.t1	A	g9106.t1	A
anno1.g1595.t1	A	g9104.t1	A
anno1.g1596.t1	A	g9103.t1	A
anno1.g1599.t3	A	g9255.t1	A
anno1.g1600.t2	A	g9256.t2	A
anno1.g1601.t1	A	g9257.t2	A
anno1.g1602.t1	A	g9258.t1	A
anno1.g1603.t1	A	g9259.t1	A
anno1.g9382.t1	A	g11044.t1	A
anno1.g9383.t2	A	g11045.t1	A
anno1.g9384.t1	A	g11046.t1	A
anno1.g9385.t1	A	g11047.t1	A
anno1.g9386.t2	A	g11051.t1	A
anno1.g9369.t1	A	g12755.t1	A
anno1.g9372.t1	A	g12756.t1	A
anno1.g9373.t3	A	g12759.t1	A
anno1.g9374.t2	A	g12760.t1	A
anno1.g9375.t1	A	g12761.t1	A
anno1.g9377.t1	A	g12763.t1	A
anno1.g9345.t1	A	g9684.t1	A
anno1.g9349.t1	A	g9675.t1	A
anno1.g9350.t1	A	g9674.t1	A
anno1.g1555.t1	A	g9620.t1	A
anno1.g9335.t1	A	g4795.t2	A
anno1.g9336.t2	A	g4796.t1	A
anno1.g1554.t1	A	g5567.t1	A
anno1.g9255.t1	A	g12131.t1	A
anno1.g9258.t1	A	g12133.t1	A
anno1.g9257.t1	A	g12132.t2	A
anno1.g9259.t1	A	g12134.t1	A
anno1.g9263.t2	A	g12135.t2	A
anno1.g9264.t1	A	g12136.t1	A
anno1.g9265.t1	A	g12137.t1	A
anno1.g9266.t1	A	g12138.t1	A
anno1.g9267.t1	A	g12139.t1	A
anno1.g9268.t2	A	g12140.t1	A
anno1.g9269.t1	A	g12141.t1	A
anno1.g9270.t1	A	g12143.t2	A
anno1.g9272.t1	A	g12144.t1	A
anno1.g9273.t1	A	g12146.t1	A
anno1.g9274.t1	A	g12147.t1	A
anno1.g9275.t1	A	g12148.t1	A
anno1.g9277.t1	A	g12149.t1	A
anno1.g9278.t1	A	g12150.t1	A
anno1.g9280.t1	A	g12151.t1	A
anno1.g9284.t1	A	g12152.t1	A
anno1.g9285.t1	A	g12153.t1	A
anno1.g9286.t1	A	g12155.t1	A
anno1.g9287.t1	A	g12156.t1	A
anno1.g9288.t1	A	g12157.t1	A
anno1.g9291.t1	A	g12160.t3	A
anno1.g9292.t1	A	g12161.t1	A
anno1.g9293.t1	A	g12162.t1	A
anno1.g9294.t1	A	g12163.t1	A
anno1.g9295.t1	A	g12164.t1	A
anno1.g9297.t1	A	g12165.t1	A
anno1.g9298.t1	A	g12166.t1	A
anno1.g9299.t1	A	g12167.t1	A
anno1.g9300.t1	A	g12168.t1	A
anno1.g9301.t1	A	g12169.t1	A
anno1.g9302.t1	A	g12170.t1	A
anno1.g9303.t1	A	g12171.t1	A
anno1.g9304.t1	A	g12172.t2	A
anno1.g9305.t2	A	g12173.t1	A
anno1.g9306.t1	A	g12174.t1	A
anno1.g9307.t1	A	g12175.t2	A
anno1.g9308.t1	A	g12176.t2	A
anno1.g9309.t3	A	g12177.t2	A
anno1.g9310.t1	A	g12178.t1	A
anno1.g9248.t1	X	g7427.t1	X
anno1.g9249.t3	X	g7464.t1	X
anno1.g9251.t1	X	g7426.t1	X
anno1.g1549.t1	A	g2754.t1	A
anno1.g1550.t1	A	g2755.t1	A
anno1.g1551.t2	A	g2756.t1	A
anno1.g1547.t1	A	g1495.t1	X
anno1.g1548.t1	A	g1496.t1	X
anno1.g1543.t1	A	g8277.t1	A
anno1.g1545.t1	A	g8275.t2	A
anno1.g1546.t2	A	g8274.t2	A
anno1.g9198.t1	X	g1413.t1	X
anno1.g9200.t1	X	g1417.t1	X
anno1.g9173.t2	A	g10873.t1	A
anno1.g9174.t1	A	g10872.t1	A
anno1.g9175.t1	A	g10871.t1	A
anno1.g9176.t1	A	g10870.t1	A
anno1.g9177.t1	A	g10868.t1	A
anno1.g9178.t1	A	g10867.t1	A
anno1.g9179.t1	A	g10866.t1	A
anno1.g9180.t1	A	g10865.t1	A
anno1.g1456.t2	A	g11736.t2	A
anno1.g1457.t1	A	g11737.t1	A
anno1.g1458.t2	A	g11739.t1	A
anno1.g1459.t1	A	g11740.t1	A
anno1.g1460.t2	A	g11741.t1	A
anno1.g1461.t1	A	g11742.t1	A
anno1.g1464.t1	A	g11743.t2	A
anno1.g1465.t1	A	g11744.t1	A
anno1.g1466.t1	A	g11745.t1	A
anno1.g1468.t1	A	g11746.t2	A
anno1.g1469.t1	A	g11748.t1	A
anno1.g1471.t1	A	g11751.t3	A
anno1.g1472.t1	A	g11752.t1	A
anno1.g1473.t1	A	g11753.t1	A
anno1.g1474.t2	A	g11715.t2	A
anno1.g1475.t1	A	g11713.t2	A
anno1.g1476.t1	A	g11712.t1	A
anno1.g1477.t2	A	g11711.t2	A
anno1.g1478.t1	A	g11710.t1	A
anno1.g1479.t1	A	g11709.t1	A
anno1.g1480.t1	A	g11708.t1	A
anno1.g1481.t2	A	g11707.t1	A
anno1.g1483.t2	A	g11705.t1	A
anno1.g1484.t1	A	g11703.t1	A
anno1.g1485.t1	A	g11702.t2	A
anno1.g1486.t1	A	g14781.t1	A
anno1.g1487.t1	A	g11701.t1	A
anno1.g1488.t1	A	g11699.t1	A
anno1.g1489.t1	A	g11698.t1	A
anno1.g1490.t1	A	g11697.t1	A
anno1.g1491.t1	A	g11696.t1	A
anno1.g1493.t1	A	g11695.t1	A
anno1.g1494.t1	A	g11694.t1	A
anno1.g1495.t1	A	g11693.t1	A
anno1.g1496.t1	A	g11692.t1	A
anno1.g1497.t1	A	g11691.t1	A
anno1.g1498.t1	A	g11690.t1	A
anno1.g1499.t1	A	g11689.t1	A
anno1.g1500.t1	A	g11688.t1	A
anno1.g1502.t1	A	g3567.t1	A
anno1.g1501.t1	A	g11686.t1	A
anno1.g1503.t1	A	g11684.t1	A
anno1.g1504.t1	A	g11682.t1	A
anno1.g1505.t1	A	g11681.t1	A
anno1.g1506.t1	A	g11680.t1	A
anno1.g1507.t1	A	g11679.t1	A
anno1.g1508.t1	A	g11678.t1	A
anno1.g1509.t1	A	g11677.t1	A
anno1.g1510.t1	A	g11676.t1	A
anno1.g1511.t1	A	g11674.t1	A
anno1.g1512.t2	A	g11673.t1	A
anno1.g1513.t1	A	g11672.t1	A
anno1.g1514.t1	A	g11671.t1	A
anno1.g1515.t1	A	g11670.t1	A
anno1.g1516.t1	A	g11669.t1	A
anno1.g1517.t1	A	g11668.t2	A
anno1.g1518.t1	A	g11666.t1	A
anno1.g1519.t2	A	g11665.t1	A
anno1.g1520.t1	A	g11664.t1	A
anno1.g1521.t1	A	g11662.t1	A
anno1.g1522.t1	A	g11663.t1	A
anno1.g1523.t2	A	g11661.t1	A
anno1.g1524.t1	A	g11660.t1	A
anno1.g1525.t1	A	g11659.t1	A
anno1.g1526.t1	A	g11658.t1	A
anno1.g1527.t1	A	g11657.t2	A
anno1.g1528.t1	A	g11656.t1	A
anno1.g1529.t1	A	g11655.t1	A
anno1.g1530.t4	A	g11654.t1	A
anno1.g1531.t1	A	g11653.t1	A
anno1.g1532.t1	A	g11650.t1	A
anno1.g1533.t1	A	g11649.t1	A
anno1.g1534.t1	A	g7309.t1	X
anno1.g1535.t1	A	g11648.t1	A
anno1.g1537.t2	A	g11647.t1	A
anno1.g1538.t1	A	g11646.t1	A
anno1.g9164.t1	A	g4891.t2	A
anno1.g1434.t1	A	g10562.t1	A
anno1.g1435.t2	A	g10561.t1	A
anno1.g1437.t1	A	g10560.t1	A
anno1.g1438.t1	A	g10559.t1	A
anno1.g1440.t1	A	g10557.t1	A
anno1.g1441.t1	A	g10556.t1	A
anno1.g1442.t1	A	g10555.t1	A
anno1.g1443.t1	A	g10554.t1	A
anno1.g1444.t1	A	g10552.t1	A
anno1.g1445.t1	A	g10551.t1	A
anno1.g1446.t1	A	g10550.t1	A
anno1.g1447.t2	A	g10548.t1	A
anno1.g1448.t1	A	g10549.t1	A
anno1.g1449.t1	A	g10544.t1	A
anno1.g1451.t1	A	g10537.t1	A
anno1.g1452.t2	A	g10536.t2	A
anno1.g1453.t1	A	g10535.t1	A
anno1.g1454.t1	A	g10534.t1	A
anno1.g1431.t1	A	g14665.t1	A
anno1.g1433.t1	A	g14664.t1	A
anno1.g9133.t1	A	g11547.t1	A
anno1.g9134.t1	A	g4821.t1	A
anno1.g1430.t4	A	g7816.t1	A
anno1.g9115.t2	X	g7258.t2	X
anno1.g9116.t1	X	g7259.t1	X
anno1.g9117.t1	X	g7261.t1	X
anno1.g9118.t1	X	g7262.t1	X
anno1.g9119.t4	X	g7264.t4	X
anno1.g8963.t1	A	g9990.t1	A
anno1.g8964.t1	A	g9992.t1	A
anno1.g8965.t1	A	g9993.t1	A
anno1.g8966.t1	A	g9994.t1	A
anno1.g8967.t1	A	g9997.t1	A
anno1.g8968.t1	A	g9995.t1	A
anno1.g8969.t1	A	g9998.t1	A
anno1.g8970.t1	A	g9999.t1	A
anno1.g8971.t3	A	g9851.t1	A
anno1.g8972.t1	A	g9850.t1	A
anno1.g8973.t1	A	g9849.t1	A
anno1.g8975.t1	A	g9847.t1	A
anno1.g8976.t2	A	g9846.t1	A
anno1.g8977.t1	A	g9845.t1	A
anno1.g8979.t1	A	g9844.t1	A
anno1.g8980.t1	A	g9843.t1	A
anno1.g8981.t1	A	g9842.t1	A
anno1.g8982.t1	A	g9841.t1	A
anno1.g8985.t1	A	g9840.t1	A
anno1.g8986.t1	A	g9839.t1	A
anno1.g8987.t1	A	g9838.t1	A
anno1.g8988.t1	A	g9837.t1	A
anno1.g8989.t1	A	g9836.t1	A
anno1.g8990.t1	A	g9835.t1	A
anno1.g8991.t1	A	g9834.t1	A
anno1.g8992.t1	A	g9833.t1	A
anno1.g8993.t2	A	g9832.t1	A
anno1.g8994.t1	A	g9830.t1	A
anno1.g8995.t1	A	g9829.t1	A
anno1.g8997.t1	A	g9828.t1	A
anno1.g8998.t1	A	g9827.t3	A
anno1.g8999.t1	A	g9826.t1	A
anno1.g9000.t1	A	g9825.t1	A
anno1.g9001.t1	A	g9824.t1	A
anno1.g9002.t1	A	g9823.t1	A
anno1.g9003.t1	A	g9822.t1	A
anno1.g9004.t1	A	g9821.t1	A
anno1.g9006.t1	A	g9820.t1	A
anno1.g9007.t1	A	g9819.t1	A
anno1.g9008.t3	A	g9818.t2	A
anno1.g9009.t1	A	g9817.t1	A
anno1.g9011.t1	A	g9814.t1	A
anno1.g9012.t1	A	g9813.t1	A
anno1.g9013.t1	A	g9812.t1	A
anno1.g9014.t1	A	g9811.t1	A
anno1.g9015.t1	A	g9809.t1	A
anno1.g9016.t1	A	g9808.t1	A
anno1.g9017.t1	A	g9807.t1	A
anno1.g9018.t2	A	g9806.t1	A
anno1.g9019.t1	A	g9804.t1	A
anno1.g9020.t1	A	g9803.t1	A
anno1.g9021.t1	A	g9802.t1	A
anno1.g9022.t2	A	g9801.t2	A
anno1.g9023.t1	A	g9800.t1	A
anno1.g9024.t1	A	g9799.t1	A
anno1.g9025.t1	A	g9798.t1	A
anno1.g9026.t1	A	g9797.t1	A
anno1.g9027.t1	A	g9792.t1	A
anno1.g9028.t1	A	g9793.t1	A
anno1.g9030.t1	A	g9794.t1	A
anno1.g9031.t1	A	g9795.t1	A
anno1.g9032.t1	A	g9796.t1	A
anno1.g9033.t1	A	g9791.t1	A
anno1.g9034.t1	A	g9790.t1	A
anno1.g9035.t1	A	g9789.t1	A
anno1.g9036.t1	A	g9788.t1	A
anno1.g9037.t1	A	g9787.t1	A
anno1.g9038.t1	A	g9786.t2	A
anno1.g9039.t1	A	g9785.t2	A
anno1.g9040.t1	A	g9784.t1	A
anno1.g9042.t1	A	g9782.t1	A
anno1.g9043.t1	A	g9781.t1	A
anno1.g9044.t1	A	g9760.t1	A
anno1.g9045.t1	A	g9761.t1	A
anno1.g9047.t1	A	g9763.t1	A
anno1.g9048.t1	A	g9764.t1	A
anno1.g9049.t1	A	g9765.t1	A
anno1.g9050.t1	A	g9766.t1	A
anno1.g9051.t1	A	g9767.t1	A
anno1.g9052.t1	A	g9768.t1	A
anno1.g9053.t1	A	g9770.t1	A
anno1.g9055.t1	A	g9771.t4	A
anno1.g9056.t2	A	g9772.t1	A
anno1.g9057.t1	A	g9773.t1	A
anno1.g9059.t1	A	g9775.t1	A
anno1.g9060.t2	A	g9776.t2	A
anno1.g9061.t1	A	g9777.t1	A
anno1.g9062.t2	A	g9778.t2	A
anno1.g9063.t1	A	g9779.t1	A
anno1.g9064.t1	A	g9780.t1	A
anno1.g9065.t2	A	g9755.t2	A
anno1.g9066.t3	A	g9759.t1	A
anno1.g9067.t2	A	g9758.t2	A
anno1.g9068.t2	A	g9757.t1	A
anno1.g9070.t3	A	g9756.t1	A
anno1.g9071.t1	A	g9754.t1	A
anno1.g9072.t1	A	g9753.t1	A
anno1.g9073.t3	A	g9752.t1	A
anno1.g9075.t2	A	g9751.t2	A
anno1.g9076.t1	A	g9750.t1	A
anno1.g9077.t1	A	g9749.t1	A
anno1.g9078.t1	A	g9747.t1	A
anno1.g9080.t1	A	g9746.t1	A
anno1.g9081.t1	A	g9745.t1	A
anno1.g9082.t1	A	g9744.t1	A
anno1.g9086.t1	A	g9742.t2	A
anno1.g9087.t1	A	g9743.t1	A
anno1.g9089.t1	A	g9740.t3	A
anno1.g9091.t1	A	g9738.t1	A
anno1.g9092.t3	A	g9737.t1	A
anno1.g9093.t1	A	g9736.t1	A
anno1.g9094.t1	A	g9735.t1	A
anno1.g9095.t1	A	g9734.t1	A
anno1.g9096.t1	A	g9733.t1	A
anno1.g9097.t1	A	g9730.t1	A
anno1.g9098.t1	A	g9731.t1	A
anno1.g9099.t1	A	g9732.t1	A
anno1.g9100.t1	A	g9729.t1	A
anno1.g9101.t1	A	g9728.t1	A
anno1.g9102.t1	A	g9727.t1	A
anno1.g9104.t2	A	g12084.t1	A
anno1.g9105.t1	A	g9725.t1	A
anno1.g9107.t1	A	g9723.t1	A
anno1.g8918.t3	A	g8560.t1	A
anno1.g8919.t1	A	g8562.t1	A
anno1.g8920.t1	A	g8563.t1	A
anno1.g8922.t1	A	g8564.t1	A
anno1.g8923.t1	A	g8565.t2	A
anno1.g8924.t1	A	g8566.t1	A
anno1.g8925.t4	A	g8567.t1	A
anno1.g8926.t1	A	g8568.t1	A
anno1.g8927.t1	A	g8569.t1	A
anno1.g8928.t1	A	g8573.t1	A
anno1.g8931.t1	A	g8597.t1	A
anno1.g8932.t1	A	g8601.t1	A
anno1.g8935.t1	A	g8604.t1	A
anno1.g8936.t1	A	g8605.t1	A
anno1.g8937.t1	A	g8606.t1	A
anno1.g8938.t1	A	g8607.t1	A
anno1.g8941.t1	A	g8608.t1	A
anno1.g8942.t1	A	g8670.t1	A
anno1.g8943.t1	A	g8610.t1	A
anno1.g8944.t2	A	g8673.t1	A
anno1.g8945.t1	A	g8611.t1	A
anno1.g8946.t1	A	g8675.t1	A
anno1.g8947.t1	A	g8676.t1	A
anno1.g8948.t1	A	g8615.t1	A
anno1.g8950.t1	A	g8678.t1	A
anno1.g8951.t1	A	g8679.t1	A
anno1.g8952.t2	A	g8681.t1	A
anno1.g8954.t1	A	g8621.t2	A
anno1.g8955.t1	A	g8684.t1	A
anno1.g8958.t1	A	g8685.t1	A
anno1.g8959.t1	A	g8686.t1	A
anno1.g8960.t1	A	g8687.t1	A
anno1.g8961.t1	A	g8625.t1	A
anno1.g1426.t2	A	g8414.t1	A
anno1.g1427.t1	A	g8413.t1	A
anno1.g8912.t1	A	g1381.t1	A
anno1.g8913.t1	A	g1382.t1	A
anno1.g8914.t1	A	g1383.t1	A
anno1.g8915.t1	A	g1384.t1	A
anno1.g8916.t1	A	g1385.t2	A
anno1.g8917.t1	A	g890.t1	A
anno1.g8900.t1	A	g4931.t1	A
anno1.g8902.t1	A	g4930.t1	A
anno1.g8903.t1	A	g4929.t1	A
anno1.g8905.t4	A	g4927.t2	A
anno1.g8906.t1	A	g4926.t1	A
anno1.g8908.t1	A	g14513.t1	A
