B_varius	chromosome	A_obtectus	chromosome
anno1.g6153.t2	A	anno1.g5341.t1	A
anno1.g6154.t1	A	anno1.g5342.t1	A
anno1.g6155.t1	A	anno1.g5345.t1	A
anno1.g6156.t1	A	anno1.g5344.t1	A
anno1.g6157.t2	A	anno1.g5343.t1	A
anno1.g6158.t1	A	anno1.g5347.t1	A
anno1.g6159.t1	A	anno1.g1773.t1	X
anno1.g6160.t1	A	anno1.g5348.t1	A
anno1.g6161.t1	A	anno1.g5359.t1	A
anno1.g6162.t1	A	anno1.g5357.t3	A
anno1.g6163.t1	A	anno1.g4147.t2	A
anno1.g6164.t1	A	anno1.g4148.t1	A
anno1.g6165.t1	A	anno1.g4149.t1	A
anno1.g6166.t1	A	anno1.g4297.t1	A
anno1.g6167.t1	A	anno1.g4296.t1	A
anno1.g6168.t1	A	anno1.g4294.t1	A
anno1.g6169.t1	A	anno1.g4293.t1	A
anno1.g6170.t1	A	anno1.g4289.t1	A
anno1.g6171.t1	A	anno1.g4290.t1	A
anno1.g6172.t1	A	anno1.g5365.t1	A
anno1.g6173.t1	A	anno1.g5366.t1	A
anno1.g6174.t1	A	anno1.g5367.t1	A
anno1.g6175.t2	A	anno1.g5368.t2	A
anno1.g6177.t1	A	anno1.g5370.t1	A
anno1.g6178.t1	A	anno1.g5371.t1	A
anno1.g6179.t1	A	anno1.g5372.t1	A
anno1.g6180.t1	A	anno1.g5374.t1	A
anno1.g6181.t1	A	anno1.g5375.t1	A
anno1.g6182.t1	A	anno1.g5376.t2	A
anno1.g6183.t1	A	anno1.g5377.t1	A
anno1.g6184.t1	A	anno1.g5378.t1	A
anno1.g6185.t2	A	anno1.g5379.t2	A
anno1.g6186.t1	A	anno1.g5380.t1	A
anno1.g6187.t1	A	anno1.g5381.t1	A
anno1.g6189.t1	A	anno1.g5383.t2	A
anno1.g6190.t1	A	anno1.g5384.t1	A
anno1.g6191.t1	A	anno1.g5382.t1	A
anno1.g6192.t1	A	anno1.g5385.t1	A
anno1.g6193.t1	A	anno1.g5588.t2	A
anno1.g6195.t1	A	anno1.g5386.t1	A
anno1.g6196.t1	A	anno1.g5387.t1	A
anno1.g6197.t1	A	anno1.g5388.t1	A
anno1.g6198.t1	A	anno1.g5389.t1	A
anno1.g6199.t1	A	anno1.g5390.t1	A
anno1.g6200.t1	A	anno1.g5391.t1	A
anno1.g6201.t1	A	anno1.g5392.t1	A
anno1.g6202.t1	A	anno1.g5393.t1	A
anno1.g6203.t1	A	anno1.g5394.t1	A
anno1.g6204.t1	A	anno1.g5395.t1	A
anno1.g6205.t1	A	anno1.g5396.t1	A
anno1.g6206.t2	A	anno1.g5397.t4	A
anno1.g6207.t1	A	anno1.g5398.t1	A
anno1.g6208.t1	A	anno1.g5399.t1	A
anno1.g6209.t1	A	anno1.g5400.t1	A
anno1.g6210.t1	A	anno1.g5403.t1	A
anno1.g6211.t3	A	anno1.g5402.t3	A
anno1.g6213.t1	A	anno1.g5406.t2	A
anno1.g6214.t1	A	anno1.g5405.t1	A
anno1.g6216.t1	A	anno1.g13963.t1	A
anno1.g6219.t1	A	anno1.g14589.t1	A
anno1.g6220.t1	A	anno1.g14588.t1	A
anno1.g6221.t1	A	anno1.g14587.t1	A
anno1.g6223.t1	A	anno1.g14586.t1	A
anno1.g6233.t1	A	anno1.g5422.t1	A
anno1.g6234.t1	A	anno1.g5424.t1	A
anno1.g6236.t1	A	anno1.g5430.t1	A
anno1.g6237.t1	A	anno1.g5431.t1	A
anno1.g6239.t1	A	anno1.g5434.t3	A
anno1.g6240.t1	A	anno1.g5435.t1	A
anno1.g6241.t1	A	anno1.g5436.t1	A
anno1.g6242.t1	A	anno1.g5439.t4	A
anno1.g6243.t1	A	anno1.g5440.t1	A
anno1.g6244.t1	A	anno1.g5441.t1	A
anno1.g6245.t1	A	anno1.g5442.t1	A
anno1.g6246.t1	A	anno1.g5443.t1	A
anno1.g6247.t1	A	anno1.g5444.t1	A
anno1.g6248.t1	A	anno1.g5445.t1	A
anno1.g6249.t1	A	anno1.g5446.t1	A
anno1.g6250.t1	A	anno1.g5447.t1	A
anno1.g6251.t1	A	anno1.g5448.t1	A
anno1.g6252.t2	A	anno1.g5449.t1	A
anno1.g6253.t1	A	anno1.g5450.t1	A
anno1.g6254.t1	A	anno1.g5451.t1	A
anno1.g6255.t1	A	anno1.g5456.t1	A
anno1.g6256.t1	A	anno1.g5459.t1	A
anno1.g6258.t1	A	anno1.g5461.t1	A
anno1.g6259.t1	A	anno1.g5462.t1	A
anno1.g6260.t1	A	anno1.g5463.t1	A
anno1.g6261.t1	A	anno1.g5464.t2	A
anno1.g6262.t1	A	anno1.g5465.t1	A
anno1.g6263.t2	A	anno1.g5466.t2	A
anno1.g6264.t1	A	anno1.g5467.t1	A
anno1.g6265.t1	A	anno1.g5468.t1	A
anno1.g6266.t1	A	anno1.g5469.t1	A
anno1.g6267.t1	A	anno1.g5470.t1	A
anno1.g6268.t2	A	anno1.g5471.t2	A
anno1.g6269.t1	A	anno1.g5472.t1	A
anno1.g6270.t1	A	anno1.g5474.t1	A
anno1.g6272.t1	A	anno1.g5477.t1	A
anno1.g6273.t1	A	anno1.g5478.t2	A
anno1.g6274.t1	A	anno1.g5479.t6	A
anno1.g6275.t1	A	anno1.g5481.t1	A
anno1.g6276.t1	A	anno1.g5483.t1	A
anno1.g6277.t1	A	anno1.g5485.t1	A
anno1.g6279.t1	A	anno1.g5488.t1	A
anno1.g6280.t1	A	anno1.g5490.t1	A
anno1.g6281.t1	A	anno1.g5491.t1	A
anno1.g6282.t1	A	anno1.g5495.t1	A
anno1.g6283.t1	A	anno1.g5496.t1	A
anno1.g6284.t1	A	anno1.g5498.t1	A
anno1.g6285.t1	A	anno1.g5499.t1	A
anno1.g6286.t1	A	anno1.g5500.t1	A
anno1.g6287.t1	A	anno1.g5502.t1	A
anno1.g6288.t1	A	anno1.g5504.t1	A
anno1.g6289.t1	A	anno1.g5505.t1	A
anno1.g6290.t1	A	anno1.g5506.t1	A
anno1.g6291.t1	A	anno1.g5507.t2	A
anno1.g6292.t1	A	anno1.g5508.t1	A
anno1.g6293.t1	A	anno1.g5509.t1	A
anno1.g6294.t1	A	anno1.g5510.t1	A
anno1.g6295.t1	A	anno1.g5512.t1	A
anno1.g6296.t1	A	anno1.g5511.t1	A
anno1.g6297.t1	A	anno1.g5513.t1	A
anno1.g6298.t1	A	anno1.g5515.t1	A
anno1.g6299.t1	A	anno1.g5516.t1	A
anno1.g6301.t1	A	anno1.g5517.t1	A
anno1.g6302.t1	A	anno1.g5518.t1	A
anno1.g6305.t1	A	anno1.g5519.t1	A
anno1.g6307.t1	A	anno1.g5523.t1	A
anno1.g6308.t1	A	anno1.g5526.t1	A
anno1.g6309.t1	A	anno1.g11474.t1	A
anno1.g6311.t1	A	anno1.g1064.t1	A
anno1.g6313.t1	A	anno1.g5529.t1	A
anno1.g6316.t1	A	anno1.g5530.t1	A
anno1.g6319.t1	A	anno1.g5532.t1	A
anno1.g6320.t1	A	anno1.g5533.t1	A
anno1.g6321.t1	A	anno1.g5540.t1	A
anno1.g6323.t1	A	anno1.g5535.t1	A
anno1.g6324.t1	A	anno1.g5536.t1	A
anno1.g6325.t1	A	anno1.g5541.t1	A
anno1.g6326.t1	A	anno1.g5542.t1	A
anno1.g6327.t1	A	anno1.g5543.t1	A
anno1.g6328.t1	A	anno1.g5544.t1	A
anno1.g6329.t1	A	anno1.g5545.t1	A
anno1.g6330.t1	A	anno1.g5546.t1	A
anno1.g6331.t1	A	anno1.g5547.t1	A
anno1.g6332.t1	A	anno1.g5548.t2	A
anno1.g6333.t1	A	anno1.g5549.t1	A
anno1.g6334.t1	A	anno1.g5551.t1	A
anno1.g6335.t1	A	anno1.g5552.t2	A
anno1.g6336.t1	A	anno1.g5553.t1	A
anno1.g6337.t1	A	anno1.g5554.t1	A
anno1.g6339.t1	A	anno1.g5558.t1	A
anno1.g6340.t1	A	anno1.g5565.t1	A
anno1.g6341.t1	A	anno1.g5700.t1	A
anno1.g6343.t1	A	anno1.g5560.t1	A
anno1.g6344.t1	A	anno1.g5567.t1	A
anno1.g6347.t1	A	anno1.g5576.t1	A
anno1.g6348.t1	A	anno1.g5579.t1	A
anno1.g6349.t2	A	anno1.g5581.t1	A
anno1.g6350.t1	A	anno1.g5621.t1	A
anno1.g6351.t1	A	anno1.g5622.t1	A
anno1.g6353.t1	A	anno1.g5623.t1	A
anno1.g6354.t1	A	anno1.g5624.t1	A
anno1.g6355.t1	A	anno1.g5625.t1	A
anno1.g6357.t1	A	anno1.g5627.t1	A
anno1.g6358.t1	A	anno1.g5630.t1	A
anno1.g6359.t1	A	anno1.g5632.t1	A
anno1.g6360.t1	A	anno1.g5634.t1	A
anno1.g6362.t1	A	anno1.g5639.t1	A
anno1.g6363.t1	A	anno1.g5640.t1	A
anno1.g6368.t1	A	anno1.g1776.t1	X
anno1.g6369.t1	A	anno1.g5643.t1	A
anno1.g6370.t1	A	anno1.g5644.t1	A
anno1.g6373.t1	A	anno1.g5646.t1	A
anno1.g6374.t1	A	anno1.g5647.t1	A
anno1.g6375.t1	A	anno1.g5648.t1	A
anno1.g6376.t1	A	anno1.g5649.t1	A
anno1.g6377.t1	A	anno1.g5650.t1	A
anno1.g6378.t1	A	anno1.g5651.t1	A
anno1.g6379.t1	A	anno1.g5652.t1	A
anno1.g6380.t1	A	anno1.g5653.t1	A
anno1.g6381.t1	A	anno1.g5654.t1	A
anno1.g6382.t1	A	anno1.g5657.t1	A
anno1.g6384.t1	A	anno1.g5658.t1	A
anno1.g6385.t1	A	anno1.g7617.t1	A
anno1.g6386.t1	A	anno1.g5659.t1	A
anno1.g6387.t1	A	anno1.g7658.t1	A
anno1.g6393.t1	A	anno1.g5673.t1	A
anno1.g6394.t1	A	anno1.g5674.t3	A
anno1.g6395.t2	A	anno1.g5675.t1	A
anno1.g6396.t1	A	anno1.g5676.t1	A
anno1.g6398.t1	A	anno1.g5679.t1	A
anno1.g6399.t1	A	anno1.g5681.t1	A
anno1.g6400.t1	A	anno1.g5682.t1	A
anno1.g6401.t1	A	anno1.g5684.t1	A
anno1.g6402.t2	A	anno1.g5685.t2	A
anno1.g6403.t1	A	anno1.g5686.t2	A
anno1.g6404.t1	A	anno1.g5687.t1	A
anno1.g6405.t1	A	anno1.g5688.t1	A
anno1.g6406.t1	A	anno1.g5587.t1	A
anno1.g6407.t1	A	anno1.g5585.t1	A
anno1.g6408.t1	A	anno1.g5584.t1	A
anno1.g6409.t1	A	anno1.g5583.t2	A
anno1.g6410.t1	A	anno1.g5619.t1	A
anno1.g6411.t1	A	anno1.g5617.t1	A
anno1.g6415.t1	A	anno1.g5615.t1	A
anno1.g6418.t1	A	anno1.g5611.t1	A
anno1.g6420.t1	A	anno1.g5612.t1	A
anno1.g6421.t1	A	anno1.g5613.t1	A
anno1.g6422.t1	A	anno1.g5608.t1	A
anno1.g6425.t1	A	anno1.g5601.t1	A
anno1.g6426.t1	A	anno1.g5599.t1	A
anno1.g6428.t4	A	anno1.g5597.t4	A
anno1.g6429.t1	A	anno1.g5595.t1	A
anno1.g6430.t1	A	anno1.g5594.t1	A
anno1.g6431.t1	A	anno1.g5593.t1	A
anno1.g6432.t1	A	anno1.g5592.t1	A
anno1.g6433.t1	A	anno1.g5591.t1	A
anno1.g6434.t1	A	anno1.g5590.t1	A
anno1.g6435.t1	A	anno1.g5589.t1	A
anno1.g6436.t2	A	anno1.g5696.t2	A
anno1.g6438.t1	A	anno1.g5695.t3	A
anno1.g6439.t1	A	anno1.g5694.t3	A
anno1.g6440.t1	A	anno1.g5693.t1	A
anno1.g6441.t1	A	anno1.g5692.t1	A
anno1.g6442.t1	A	anno1.g5690.t1	A
anno1.g6443.t1	A	anno1.g5689.t1	A
anno1.g6444.t1	A	anno1.g5730.t1	A
anno1.g6445.t1	A	anno1.g5729.t2	A
anno1.g6446.t1	A	anno1.g5725.t1	A
anno1.g6447.t1	A	anno1.g5726.t1	A
anno1.g6448.t1	A	anno1.g5724.t1	A
anno1.g6450.t1	A	anno1.g5723.t1	A
anno1.g6451.t1	A	anno1.g5722.t2	A
anno1.g6452.t1	A	anno1.g5718.t1	A
anno1.g6453.t1	A	anno1.g5719.t1	A
anno1.g6454.t1	A	anno1.g5720.t1	A
anno1.g6455.t1	A	anno1.g5721.t2	A
anno1.g6456.t1	A	anno1.g5717.t1	A
anno1.g6458.t1	A	anno1.g5716.t1	A
anno1.g6459.t1	A	anno1.g6515.t1	A
anno1.g6460.t1	A	anno1.g5714.t1	A
anno1.g6461.t1	A	anno1.g5712.t1	A
anno1.g6463.t2	A	anno1.g5711.t1	A
anno1.g6464.t1	A	anno1.g5710.t1	A
anno1.g6465.t1	A	anno1.g5709.t1	A
anno1.g6466.t1	A	anno1.g5708.t1	A
anno1.g6467.t1	A	anno1.g5707.t1	A
anno1.g6468.t1	A	anno1.g5706.t1	A
anno1.g6469.t1	A	anno1.g5705.t1	A
anno1.g6470.t1	A	anno1.g5242.t1	A
anno1.g6471.t1	A	anno1.g5241.t1	A
anno1.g6472.t1	A	anno1.g5243.t1	A
anno1.g6473.t1	A	anno1.g5245.t1	A
anno1.g6474.t2	A	anno1.g5246.t1	A
anno1.g6475.t1	A	anno1.g5247.t1	A
anno1.g6476.t2	A	anno1.g5249.t1	A
anno1.g6478.t1	A	anno1.g14595.t1	A
anno1.g6479.t1	A	anno1.g14597.t2	A
anno1.g6480.t1	A	anno1.g5256.t1	A
anno1.g6481.t1	A	anno1.g5261.t2	A
anno1.g6482.t1	A	anno1.g5262.t1	A
anno1.g6483.t1	A	anno1.g5263.t1	A
anno1.g6484.t1	A	anno1.g5195.t1	A
anno1.g6485.t1	A	anno1.g5196.t2	A
anno1.g6486.t1	A	anno1.g5264.t1	A
anno1.g6487.t1	A	anno1.g4116.t1	A
anno1.g6488.t1	A	anno1.g13238.t1	A
anno1.g6489.t1	A	anno1.g5266.t1	A
anno1.g6490.t1	A	anno1.g5268.t1	A
anno1.g6492.t1	A	anno1.g5275.t1	A
anno1.g6493.t1	A	anno1.g5273.t1	A
anno1.g6494.t2	A	anno1.g3991.t3	A
anno1.g6495.t1	A	anno1.g3993.t1	A
anno1.g6496.t2	A	anno1.g3994.t1	A
anno1.g6497.t1	A	anno1.g3995.t1	A
anno1.g6498.t1	A	anno1.g3996.t1	A
anno1.g6499.t1	A	anno1.g3997.t1	A
anno1.g6500.t1	A	anno1.g3998.t1	A
anno1.g6501.t1	A	anno1.g3444.t1	A
anno1.g6502.t1	A	anno1.g3440.t1	A
anno1.g6503.t1	A	anno1.g3438.t1	A
anno1.g6504.t1	A	anno1.g3435.t1	A
anno1.g6505.t1	A	anno1.g3430.t1	A
anno1.g6506.t1	A	anno1.g3425.t1	A
anno1.g6507.t1	A	anno1.g3423.t1	A
anno1.g6508.t1	A	anno1.g3424.t1	A
anno1.g6511.t1	A	anno1.g3365.t1	A
anno1.g6512.t1	A	anno1.g3471.t1	A
anno1.g6515.t1	A	anno1.g3460.t1	A
anno1.g6516.t1	A	anno1.g3458.t1	A
anno1.g6518.t1	A	anno1.g3457.t1	A
anno1.g6519.t1	A	anno1.g3501.t1	A
anno1.g6520.t1	A	anno1.g3500.t1	A
anno1.g6521.t1	A	anno1.g3476.t1	A
anno1.g6522.t1	A	anno1.g8989.t1	A
anno1.g6523.t1	A	anno1.g3497.t1	A
anno1.g6524.t1	A	anno1.g3498.t1	A
anno1.g6525.t1	A	anno1.g3499.t2	A
anno1.g6526.t2	A	anno1.g3493.t3	A
anno1.g6527.t1	A	anno1.g3503.t2	A
anno1.g6528.t1	A	anno1.g3504.t1	A
anno1.g6529.t1	A	anno1.g3505.t1	A
anno1.g6531.t1	A	anno1.g2827.t1	A
anno1.g6532.t1	A	anno1.g2826.t1	A
anno1.g6533.t4	A	anno1.g2825.t2	A
anno1.g6534.t1	A	anno1.g2824.t1	A
anno1.g6538.t1	A	anno1.g2823.t1	A
anno1.g6539.t1	A	anno1.g2822.t1	A
anno1.g6541.t2	A	anno1.g2821.t1	A
anno1.g6545.t1	A	anno1.g12409.t1	A
anno1.g6546.t1	A	anno1.g2820.t1	A
anno1.g6547.t1	A	anno1.g2817.t1	A
anno1.g6548.t2	A	anno1.g2818.t2	A
anno1.g6549.t1	A	anno1.g2816.t1	A
anno1.g6550.t1	A	anno1.g2815.t1	A
anno1.g6551.t1	A	anno1.g14376.t2	A
anno1.g6552.t1	A	anno1.g2811.t1	A
anno1.g6553.t2	A	anno1.g2810.t2	A
anno1.g6556.t1	A	anno1.g2808.t2	A
anno1.g6561.t1	A	anno1.g2805.t1	A
anno1.g6562.t1	A	anno1.g2804.t2	A
anno1.g6563.t1	A	anno1.g2803.t2	A
anno1.g6564.t1	A	anno1.g2802.t1	A
anno1.g6565.t1	A	anno1.g2801.t1	A
anno1.g6566.t1	A	anno1.g2800.t1	A
anno1.g6567.t1	A	anno1.g2799.t1	A
anno1.g6568.t2	A	anno1.g2798.t1	A
anno1.g6569.t1	A	anno1.g2797.t1	A
anno1.g6570.t1	A	anno1.g2794.t2	A
anno1.g6571.t1	A	anno1.g2792.t1	A
anno1.g6572.t1	A	anno1.g14369.t1	A
anno1.g6573.t1	A	anno1.g2796.t1	A
anno1.g6574.t1	A	anno1.g2795.t1	A
anno1.g6575.t1	A	anno1.g2790.t1	A
anno1.g6576.t1	A	anno1.g2791.t1	A
anno1.g6578.t2	A	anno1.g2789.t1	A
anno1.g6579.t1	A	anno1.g2788.t1	A
anno1.g6580.t1	A	anno1.g2787.t1	A
anno1.g6581.t1	A	anno1.g2786.t1	A
anno1.g6583.t2	A	anno1.g2785.t1	A
anno1.g6584.t1	A	anno1.g2783.t1	A
anno1.g6585.t1	A	anno1.g2782.t1	A
anno1.g6586.t1	A	anno1.g2780.t2	A
anno1.g6587.t1	A	anno1.g2779.t1	A
anno1.g6588.t1	A	anno1.g2778.t1	A
anno1.g6589.t1	A	anno1.g2777.t1	A
anno1.g6590.t1	A	anno1.g2776.t1	A
anno1.g6591.t1	A	anno1.g2775.t1	A
anno1.g6592.t1	A	anno1.g2774.t2	A
anno1.g6593.t1	A	anno1.g2773.t1	A
anno1.g6594.t1	A	anno1.g2770.t1	A
anno1.g6595.t1	A	anno1.g2769.t1	A
anno1.g6596.t1	A	anno1.g2768.t2	A
anno1.g6598.t1	A	anno1.g2767.t1	A
anno1.g6599.t2	A	anno1.g2762.t2	A
anno1.g6600.t1	A	anno1.g2764.t1	A
anno1.g6601.t1	A	anno1.g2763.t2	A
anno1.g6603.t1	A	anno1.g2761.t1	A
anno1.g6604.t1	A	anno1.g2756.t1	A
anno1.g6605.t1	A	anno1.g2754.t1	A
anno1.g6606.t1	A	anno1.g2751.t2	A
anno1.g6607.t1	A	anno1.g2752.t1	A
anno1.g6608.t2	A	anno1.g2749.t2	A
anno1.g6609.t1	A	anno1.g2748.t1	A
anno1.g6611.t1	A	anno1.g2747.t1	A
anno1.g6612.t1	A	anno1.g2746.t1	A
anno1.g6613.t1	A	anno1.g2745.t1	A
anno1.g6614.t1	A	anno1.g2744.t3	A
anno1.g6615.t2	A	anno1.g2743.t1	A
anno1.g6617.t2	A	anno1.g2742.t1	A
anno1.g6618.t2	A	anno1.g2741.t2	A
anno1.g6619.t1	A	anno1.g2740.t1	A
anno1.g6620.t1	A	anno1.g3709.t1	A
anno1.g6621.t1	A	anno1.g3708.t1	A
anno1.g6622.t2	A	anno1.g3707.t1	A
anno1.g6623.t1	A	anno1.g3706.t1	A
anno1.g6624.t1	A	anno1.g3705.t1	A
anno1.g6625.t1	A	anno1.g3704.t3	A
anno1.g6626.t2	A	anno1.g3701.t1	A
anno1.g6627.t1	A	anno1.g3700.t2	A
anno1.g6628.t1	A	anno1.g3699.t1	A
anno1.g6629.t1	A	anno1.g3698.t2	A
anno1.g6630.t1	A	anno1.g3697.t1	A
anno1.g6631.t1	A	anno1.g3696.t1	A
anno1.g6632.t1	A	anno1.g3596.t1	A
anno1.g6633.t1	A	anno1.g3595.t1	A
anno1.g6634.t1	A	anno1.g3594.t1	A
anno1.g6635.t1	A	anno1.g3593.t1	A
anno1.g6636.t1	A	anno1.g3592.t1	A
anno1.g6637.t1	A	anno1.g3589.t1	A
anno1.g6638.t1	A	anno1.g3590.t1	A
anno1.g6639.t2	A	anno1.g3588.t1	A
anno1.g6640.t1	A	anno1.g3587.t1	A
anno1.g6642.t1	A	anno1.g3582.t1	A
anno1.g6643.t1	A	anno1.g3579.t1	A
anno1.g6644.t1	A	anno1.g3576.t1	A
anno1.g6645.t1	A	anno1.g3574.t1	A
anno1.g6646.t1	A	anno1.g14558.t1	A
anno1.g6647.t2	A	anno1.g14497.t2	A
anno1.g6648.t1	A	anno1.g14498.t1	A
anno1.g6649.t2	A	anno1.g14499.t1	A
anno1.g6650.t1	A	anno1.g14500.t2	A
anno1.g6651.t1	A	anno1.g14503.t1	A
anno1.g6652.t1	A	anno1.g14505.t2	A
anno1.g6653.t1	A	anno1.g3537.t1	A
anno1.g6654.t1	A	anno1.g3534.t1	A
anno1.g6655.t1	A	anno1.g3533.t2	A
anno1.g6656.t1	A	anno1.g3532.t1	A
anno1.g6657.t1	A	anno1.g3531.t1	A
anno1.g6658.t1	A	anno1.g3528.t1	A
anno1.g6659.t1	A	anno1.g3527.t1	A
anno1.g6660.t1	A	anno1.g3525.t1	A
anno1.g6661.t2	A	anno1.g3524.t1	A
anno1.g6662.t1	A	anno1.g3523.t1	A
anno1.g6663.t1	A	anno1.g3517.t7	A
anno1.g6664.t1	A	anno1.g3514.t1	A
anno1.g6665.t1	A	anno1.g3511.t1	A
anno1.g6666.t1	A	anno1.g3510.t1	A
anno1.g6667.t2	A	anno1.g3509.t1	A
anno1.g6668.t1	A	anno1.g3506.t1	A
anno1.g6669.t1	A	anno1.g2290.t1	A
anno1.g6670.t1	A	anno1.g2964.t1	A
anno1.g6672.t1	A	anno1.g2963.t1	A
anno1.g6674.t1	A	anno1.g2959.t1	A
anno1.g6676.t1	A	anno1.g2955.t2	A
anno1.g6678.t1	A	anno1.g2953.t2	A
anno1.g6679.t1	A	anno1.g2952.t1	A
anno1.g6680.t1	A	anno1.g6955.t1	A
anno1.g6681.t1	A	anno1.g2951.t1	A
anno1.g6683.t1	A	anno1.g2944.t2	A
anno1.g6684.t1	A	anno1.g2942.t1	A
anno1.g6685.t1	A	anno1.g2939.t1	A
anno1.g6686.t1	A	anno1.g1888.t1	X
anno1.g6688.t1	A	anno1.g2937.t1	A
anno1.g6689.t1	A	anno1.g2931.t1	A
anno1.g6691.t1	A	anno1.g2932.t1	A
anno1.g6692.t5	A	anno1.g2930.t4	A
anno1.g6694.t1	A	anno1.g2928.t1	A
anno1.g6695.t1	A	anno1.g2927.t1	A
anno1.g6696.t2	A	anno1.g2926.t1	A
anno1.g6697.t1	A	anno1.g2925.t1	A
anno1.g6700.t1	A	anno1.g12585.t1	A
anno1.g6701.t1	A	anno1.g2914.t2	A
anno1.g6702.t1	A	anno1.g2910.t1	A
anno1.g6703.t1	A	anno1.g2909.t1	A
anno1.g6704.t1	A	anno1.g2908.t1	A
anno1.g6705.t1	A	anno1.g2907.t1	A
anno1.g6706.t1	A	anno1.g2906.t1	A
anno1.g6707.t1	A	anno1.g2905.t1	A
anno1.g6708.t2	A	anno1.g2903.t2	A
anno1.g6709.t1	A	anno1.g2902.t1	A
anno1.g6711.t1	A	anno1.g2899.t1	A
anno1.g6712.t2	A	anno1.g2898.t3	A
anno1.g6713.t1	A	anno1.g2897.t1	A
anno1.g6714.t1	A	anno1.g2896.t2	A
anno1.g6715.t1	A	anno1.g2895.t1	A
anno1.g6717.t1	A	anno1.g2893.t1	A
anno1.g6718.t1	A	anno1.g3845.t1	A
anno1.g6719.t1	A	anno1.g3846.t1	A
anno1.g6720.t1	A	anno1.g3847.t1	A
anno1.g6721.t1	A	anno1.g3848.t1	A
anno1.g6722.t2	A	anno1.g3849.t2	A
anno1.g6723.t1	A	anno1.g3850.t1	A
anno1.g6724.t1	A	anno1.g3852.t1	A
anno1.g6725.t1	A	anno1.g3854.t1	A
anno1.g6726.t1	A	anno1.g3853.t1	A
anno1.g6727.t1	A	anno1.g3857.t1	A
anno1.g6728.t2	A	anno1.g3856.t2	A
anno1.g6729.t1	A	anno1.g3858.t1	A
anno1.g6731.t2	A	anno1.g3859.t2	A
anno1.g6732.t1	A	anno1.g3860.t1	A
anno1.g6733.t1	A	anno1.g3861.t1	A
anno1.g6734.t2	A	anno1.g3862.t2	A
anno1.g6735.t1	A	anno1.g3863.t2	A
anno1.g6736.t1	A	anno1.g3864.t1	A
anno1.g6737.t1	A	anno1.g3867.t1	A
anno1.g6738.t1	A	anno1.g3868.t1	A
anno1.g6739.t1	A	anno1.g3597.t1	A
anno1.g6740.t1	A	anno1.g3598.t1	A
anno1.g6743.t1	A	anno1.g3599.t1	A
anno1.g6744.t1	A	anno1.g3601.t2	A
anno1.g6745.t1	A	anno1.g3602.t1	A
anno1.g6746.t1	A	anno1.g3604.t1	A
anno1.g6747.t1	A	anno1.g3605.t1	A
anno1.g6748.t1	A	anno1.g3606.t3	A
anno1.g6749.t1	A	anno1.g3607.t1	A
anno1.g6750.t2	A	anno1.g3608.t1	A
anno1.g6751.t1	A	anno1.g3609.t1	A
anno1.g6752.t1	A	anno1.g3610.t1	A
anno1.g6753.t1	A	anno1.g3611.t1	A
anno1.g6754.t1	A	anno1.g3612.t2	A
anno1.g6755.t2	A	anno1.g3613.t1	A
anno1.g6756.t1	A	anno1.g3614.t1	A
anno1.g6757.t1	A	anno1.g3615.t1	A
anno1.g6758.t1	A	anno1.g3616.t1	A
anno1.g6759.t1	A	anno1.g3617.t1	A
anno1.g6760.t1	A	anno1.g3618.t1	A
anno1.g6761.t1	A	anno1.g3620.t1	A
anno1.g6763.t1	A	anno1.g3625.t1	A
anno1.g6764.t1	A	anno1.g3627.t1	A
anno1.g6765.t1	A	anno1.g3626.t2	A
anno1.g6766.t1	A	anno1.g3629.t1	A
anno1.g6767.t1	A	anno1.g3630.t1	A
anno1.g6768.t1	A	anno1.g3631.t3	A
anno1.g6769.t1	A	anno1.g3632.t1	A
anno1.g6771.t1	A	anno1.g3634.t1	A
anno1.g6772.t1	A	anno1.g3633.t1	A
anno1.g6773.t2	A	anno1.g3635.t1	A
anno1.g6774.t1	A	anno1.g3636.t1	A
anno1.g6775.t1	A	anno1.g3637.t1	A
anno1.g6776.t1	A	anno1.g3638.t1	A
anno1.g6777.t1	A	anno1.g3642.t1	A
anno1.g6778.t1	A	anno1.g3646.t1	A
anno1.g6779.t1	A	anno1.g3649.t1	A
anno1.g6780.t1	A	anno1.g3650.t1	A
anno1.g6781.t1	A	anno1.g3651.t2	A
anno1.g6782.t1	A	anno1.g3653.t1	A
anno1.g6783.t1	A	anno1.g3654.t1	A
anno1.g6784.t1	A	anno1.g3655.t1	A
anno1.g6785.t1	A	anno1.g14495.t5	A
anno1.g6786.t1	A	anno1.g14557.t1	A
anno1.g6787.t1	A	anno1.g3788.t1	A
anno1.g6788.t1	A	anno1.g3789.t1	A
anno1.g6789.t1	A	anno1.g3790.t1	A
anno1.g6790.t1	A	anno1.g3791.t1	A
anno1.g6791.t1	A	anno1.g3793.t1	A
anno1.g6792.t1	A	anno1.g3795.t1	A
anno1.g6793.t1	A	anno1.g3796.t1	A
anno1.g6794.t1	A	anno1.g3797.t1	A
anno1.g6795.t1	A	anno1.g3798.t1	A
anno1.g6797.t1	A	anno1.g3799.t1	A
anno1.g6798.t1	A	anno1.g3800.t1	A
anno1.g6799.t1	A	anno1.g3801.t1	A
anno1.g6800.t1	A	anno1.g3803.t1	A
anno1.g6801.t1	A	anno1.g3805.t1	A
