A_obtectus	chromosome	B_siliquastri	chromosome
anno1.g7646.t1	A	BRAKERILHT00000012589	A
anno1.g7647.t1	A	BRAKERILHT00000013312	A
anno1.g7648.t1	A	BRAKERILHT00000013765	A
anno1.g7649.t1	A	BRAKERILHT00000012373	A
anno1.g7650.t1	A	BRAKERILHT00000013479	A
anno1.g7651.t1	A	BRAKERILHT00000013847	A
anno1.g7652.t1	A	BRAKERILHT00000012730	A
anno1.g7654.t1	A	BRAKERILHT00000014023	A
anno1.g7655.t1	A	BRAKERILHT00000012544	A
anno1.g7657.t1	A	BRAKERILHT00000013507	A
anno1.g7664.t3	A	BRAKERILHT00000013415	A
anno1.g7665.t1	A	BRAKERILHT00000013419	A
anno1.g7666.t1	A	BRAKERILHT00000012925	A
anno1.g7669.t1	A	BRAKERILHT00000013960	A
anno1.g7670.t1	A	BRAKERILHT00000012758	A
anno1.g7671.t1	A	BRAKERILHT00000012541	A
anno1.g7678.t2	A	BRAKERILHT00000013113	A
anno1.g7679.t1	A	BRAKERILHT00000013981	A
anno1.g7681.t1	A	BRAKERILHT00000012929	A
anno1.g7682.t1	A	BRAKERILHT00000013032	A
anno1.g7683.t1	A	BRAKERILHT00000013340	A
anno1.g7684.t2	A	BRAKERILHT00000013118	A
anno1.g7686.t1	A	BRAKERILHT00000013664	A
anno1.g7688.t1	A	BRAKERILHT00000012921	A
anno1.g7689.t1	A	BRAKERILHT00000013464	A
anno1.g7690.t1	A	BRAKERILHT00000013833	A
anno1.g7691.t1	A	BRAKERILHT00000012788	A
anno1.g7692.t2	A	BRAKERILHT00000012703	A
anno1.g7693.t1	A	BRAKERILHT00000013297	A
anno1.g7694.t1	A	BRAKERILHT00000013674	A
anno1.g7695.t1	A	BRAKERILHT00000012378	A
anno1.g7696.t1	A	BRAKERILHT00000014004	A
anno1.g7701.t1	A	BRAKERILHT00000013301	A
anno1.g7702.t1	A	BRAKERILHT00000013654	A
anno1.g7703.t1	A	BRAKERILHT00000012672	A
anno1.g7704.t1	A	BRAKERILHT00000012863	A
anno1.g7705.t1	A	BRAKERILHT00000013143	A
anno1.g7706.t1	A	BRAKERILHT00000012668	A
anno1.g7713.t1	A	BRAKERILHT00000013798	A
anno1.g7715.t1	A	BRAKERILHT00000013247	A
anno1.g7718.t1	A	BRAKERILHT00000012564	A
anno1.g7719.t1	A	BRAKERILHT00000013974	A
anno1.g7722.t1	A	BRAKERILHT00000013144	A
anno1.g7724.t1	A	BRAKERILHT00000012573	A
anno1.g7725.t1	A	BRAKERILHT00000013998	A
anno1.g7726.t1	A	BRAKERILHT00000012877	A
anno1.g7727.t1	A	BRAKERILHT00000012591	A
anno1.g7728.t1	A	BRAKERILHT00000013078	A
anno1.g7730.t1	A	BRAKERILHT00000012360	A
anno1.g7731.t1	A	BRAKERILHT00000013361	A
anno1.g7733.t1	A	BRAKERILHT00000013968	A
anno1.g7734.t1	A	BRAKERILHT00000012778	A
anno1.g7737.t1	A	BRAKERILHT00000013377	A
anno1.g7742.t1	A	BRAKERILHT00000012407	A
anno1.g7744.t1	A	BRAKERILHT00000012862	A
anno1.g7745.t1	A	BRAKERILHT00000012854	A
anno1.g7747.t1	A	BRAKERILHT00000012376	A
anno1.g7748.t1	A	BRAKERILHT00000013824	A
anno1.g7749.t1	A	BRAKERILHT00000013241	A
anno1.g7750.t1	A	BRAKERILHT00000012881	A
anno1.g7751.t2	A	BRAKERILHT00000012446	A
anno1.g7752.t1	A	BRAKERILHT00000013117	A
anno1.g7755.t1	A	BRAKERILHT00000013636	A
anno1.g7758.t1	A	BRAKERILHT00000012947	A
anno1.g7759.t1	A	BRAKERILHT00000013304	A
anno1.g7760.t2	A	BRAKERILHT00000013172	A
anno1.g7761.t1	A	BRAKERILHT00000013533	A
anno1.g7768.t1	A	BRAKERILHT00000012478	A
anno1.g7771.t1	A	BRAKERILHT00000012944	A
anno1.g7772.t1	A	BRAKERILHT00000013647	A
anno1.g7773.t1	A	BRAKERILHT00000013403	A
anno1.g7774.t1	A	BRAKERILHT00000013370	A
anno1.g7775.t1	A	BRAKERILHT00000012410	A
anno1.g7776.t1	A	BRAKERILHT00000015005	A
anno1.g7777.t1	A	BRAKERILHT00000013235	A
anno1.g7779.t1	A	BRAKERILHT00000013881	A
anno1.g7781.t2	A	BRAKERILHT00000012651	A
anno1.g7782.t1	A	BRAKERILHT00000013439	A
anno1.g7783.t1	A	BRAKERILHT00000013469	A
anno1.g7784.t1	A	BRAKERILHT00000013292	A
anno1.g7785.t1	A	BRAKERILHT00000013857	A
anno1.g7788.t1	A	BRAKERILHT00000013158	A
anno1.both_agree_g18375.t3	A	BRAKERILHT00000013254	A
anno1.g7790.t1	A	BRAKERILHT00000012487	A
anno1.g7791.t1	A	BRAKERILHT00000012985	A
anno1.g7792.t1	A	BRAKERILHT00000013906	A
anno1.g7793.t1	A	BRAKERILHT00000012691	A
anno1.g7794.t2	A	BRAKERILHT00000013179	A
anno1.g7796.t2	A	BRAKERILHT00000013056	A
anno1.g7797.t1	A	BRAKERILHT00000012627	A
anno1.g7798.t1	A	BRAKERILHT00000013826	A
anno1.g7799.t1	A	BRAKERILHT00000013356	A
anno1.g7801.t2	A	BRAKERILHT00000012894	A
anno1.g7802.t1	A	BRAKERILHT00000014008	A
anno1.g7804.t1	A	BRAKERILHT00000013531	A
anno1.g7805.t1	A	BRAKERILHT00000013055	A
anno1.g7806.t2	A	BRAKERILHT00000012565	A
anno1.g7807.t1	A	BRAKERILHT00000013926	A
anno1.g7810.t1	A	BRAKERILHT00000013792	A
anno1.g7811.t1	A	BRAKERILHT00000012355	A
anno1.g7813.t1	A	BRAKERILHT00000012856	A
anno1.g7814.t1	A	BRAKERILHT00000013334	A
anno1.g7815.t1	A	BRAKERILHT00000012949	A
anno1.g7816.t1	A	BRAKERILHT00000013443	A
anno1.g7817.t1	A	BRAKERILHT00000013913	A
anno1.g7818.t1	A	BRAKERILHT00000013183	A
anno1.g7819.t1	A	BRAKERILHT00000012906	A
anno1.g7820.t2	A	BRAKERILHT00000012506	A
anno1.g7822.t1	A	BRAKERILHT00000013171	A
anno1.g7825.t1	A	BRAKERILHT00000006358	A
anno1.g7826.t1	A	BRAKERILHT00000013591	A
anno1.g7827.t1	A	BRAKERILHT00000000892	A
anno1.g7828.t2	A	BRAKERILHT00000013025	A
anno1.g7829.t1	A	BRAKERILHT00000012654	A
anno1.g7830.t1	A	BRAKERILHT00000013606	A
anno1.g7833.t2	A	BRAKERILHT00000013047	A
anno1.g7835.t1	A	BRAKERILHT00000012805	A
anno1.g7836.t1	A	BRAKERILHT00000012653	A
anno1.g7837.t1	A	BRAKERILHT00000013382	A
anno1.g7838.t1	A	BRAKERILHT00000013605	A
anno1.g7839.t1	A	BRAKERILHT00000013964	A
anno1.g7840.t1	A	BRAKERILHT00000012398	A
anno1.g7841.t1	A	BRAKERILHT00000013128	A
anno1.g7842.t3	A	BRAKERILHT00000013275	A
anno1.g7843.t1	A	BRAKERILHT00000013617	A
anno1.g7844.t3	A	BRAKERILHT00000013860	A
anno1.g7845.t1	A	BRAKERILHT00000012548	A
anno1.g7848.t1	A	BRAKERILHT00000013046	A
anno1.g7849.t1	A	BRAKERILHT00000012472	A
anno1.g7850.t1	A	BRAKERILHT00000013513	A
anno1.g7851.t1	A	BRAKERILHT00000013878	A
anno1.g7852.t1	A	BRAKERILHT00000000607	A
anno1.g7854.t1	A	BRAKERILHT00000012439	A
anno1.g7856.t1	A	BRAKERILHT00000012839	A
anno1.g7857.t2	A	BRAKERILHT00000013363	A
anno1.g7858.t1	A	BRAKERILHT00000013841	A
anno1.g7859.t1	A	BRAKERILHT00000017533	X
anno1.g7861.t1	A	BRAKERILHT00000012988	A
anno1.g7862.t1	A	BRAKERILHT00000012449	A
anno1.g7863.t2	A	BRAKERILHT00000012635	A
anno1.g7864.t1	A	BRAKERILHT00000013930	A
anno1.g7866.t1	A	BRAKERILHT00000005836	A
anno1.g7870.t2	A	BRAKERILHT00000012771	A
anno1.g7871.t1	A	BRAKERILHT00000012740	A
anno1.g7872.t1	A	BRAKERILHT00000013519	A
anno1.g7874.t2	A	BRAKERILHT00000013854	A
anno1.g7875.t2	A	BRAKERILHT00000012568	A
anno1.g7876.t1	A	BRAKERILHT00000013107	A
anno1.g7877.t1	A	BRAKERILHT00000013186	A
anno1.g7880.t1	A	BRAKERILHT00000013703	A
anno1.g7882.t1	A	BRAKERILHT00000013876	A
anno1.g7884.t1	A	BRAKERILHT00000011237	A
anno1.g7885.t5	A	BRAKERILHT00000013272	A
anno1.g7887.t1	A	BRAKERILHT00000012912	A
anno1.g7890.t3	A	BRAKERILHT00000012899	A
anno1.g7891.t1	A	BRAKERILHT00000013940	A
anno1.g7892.t1	A	BRAKERILHT00000003059	A
anno1.g7893.t1	A	BRAKERILHT00000012540	A
anno1.g7898.t1	A	BRAKERILHT00000013589	A
anno1.g7909.t1	A	BRAKERILHT00000012900	A
anno1.g7912.t2	A	BRAKERILHT00000013474	A
anno1.g7914.t1	A	BRAKERILHT00000013727	A
anno1.g7916.t1	A	BRAKERILHT00000013973	A
anno1.g7922.t2	A	BRAKERILHT00000013805	A
anno1.g7924.t1	A	BRAKERILHT00000012889	A
anno1.g7925.t1	A	BRAKERILHT00000012422	A
anno1.g7941.t1	A	BRAKERILHT00000017068	X
anno1.g7942.t1	A	BRAKERILHT00000001752	A
anno1.g7944.t1	A	BRAKERILHT00000012837	A
anno1.g7951.t1	A	BRAKERILHT00000013019	A
anno1.g7953.t1	A	BRAKERILHT00000013227	A
anno1.g7955.t1	A	BRAKERILHT00000013720	A
anno1.g7959.t1	A	BRAKERILHT00000012566	A
anno1.g7962.t1	A	BRAKERILHT00000012196	A
anno1.g7963.t1	A	BRAKERILHT00000013213	A
anno1.g7964.t1	A	BRAKERILHT00000013523	A
anno1.g7965.t2	A	BRAKERILHT00000012872	A
anno1.g7968.t1	A	BRAKERILHT00000012607	A
anno1.g7969.t1	A	BRAKERILHT00000013368	A
anno1.g7970.t1	A	BRAKERILHT00000013542	A
anno1.g7973.t1	A	BRAKERILHT00000013206	A
anno1.g7976.t1	A	BRAKERILHT00000012637	A
anno1.g7977.t1	A	BRAKERILHT00000012824	A
anno1.g7978.t1	A	BRAKERILHT00000013887	A
anno1.g7979.t2	A	BRAKERILHT00000013260	A
anno1.g7980.t1	A	BRAKERILHT00000012351	A
anno1.g7981.t1	A	BRAKERILHT00000013074	A
anno1.g7982.t1	A	BRAKERILHT00000012488	A
anno1.g7983.t1	A	BRAKERILHT00000013865	A
anno1.g7984.t1	A	BRAKERILHT00000012786	A
anno1.g7987.t1	A	BRAKERILHT00000013029	A
anno1.g7988.t3	A	BRAKERILHT00000013427	A
anno1.g7990.t1	A	BRAKERILHT00000012539	A
anno1.g7991.t1	A	BRAKERILHT00000013675	A
anno1.g7992.t1	A	BRAKERILHT00000013342	A
anno1.g7993.t1	A	BRAKERILHT00000012954	A
anno1.g7997.t1	A	BRAKERILHT00000013201	A
anno1.g7998.t1	A	BRAKERILHT00000012369	A
anno1.g7999.t1	A	BRAKERILHT00000012892	A
anno1.g8000.t1	A	BRAKERILHT00000013600	A
anno1.g8006.t1	A	BRAKERILHT00000013958	A
anno1.g8009.t1	A	BRAKERILHT00000012767	A
anno1.g8011.t1	A	BRAKERILHT00000013219	A
anno1.g8012.t1	A	BRAKERILHT00000009491	A
anno1.g8013.t1	A	BRAKERILHT00000012699	A
anno1.g8014.t1	A	BRAKERILHT00000013832	A
anno1.g8015.t1	A	BRAKERILHT00000013034	A
anno1.g8016.t1	A	BRAKERILHT00000012480	A
anno1.g8017.t1	A	BRAKERILHT00000013374	A
anno1.g8020.t1	A	BRAKERILHT00000013344	A
anno1.g8021.t1	A	BRAKERILHT00000013954	A
anno1.g8024.t1	A	BRAKERILHT00000012659	A
anno1.g8025.t1	A	BRAKERILHT00000014028	A
anno1.g8026.t3	A	BRAKERILHT00000013716	A
anno1.g8027.t1	A	BRAKERILHT00000012411	A
anno1.g8028.t1	A	BRAKERILHT00000013594	A
anno1.g8029.t1	A	BRAKERILHT00000012381	A
anno1.g8031.t1	A	BRAKERILHT00000012620	A
anno1.g8032.t3	A	BRAKERILHT00000012690	A
anno1.g8033.t1	A	BRAKERILHT00000012708	A
anno1.g8034.t1	A	BRAKERILHT00000013202	A
anno1.g8035.t1	A	BRAKERILHT00000013454	A
anno1.g8037.t1	A	BRAKERILHT00000013067	A
anno1.g8045.t1	A	BRAKERILHT00000012579	A
anno1.g8046.t1	A	BRAKERILHT00000012604	A
anno1.g8047.t1	A	BRAKERILHT00000013385	A
anno1.g8048.t1	A	BRAKERILHT00000012458	A
anno1.g8050.t1	A	BRAKERILHT00000013642	A
anno1.g8056.t1	A	BRAKERILHT00000013570	A
anno1.g8057.t1	A	BRAKERILHT00000012936	A
anno1.g8058.t1	A	BRAKERILHT00000013434	A
anno1.g8059.t1	A	BRAKERILHT00000013999	A
anno1.g8060.t1	A	BRAKERILHT00000012975	A
anno1.g8062.t1	A	BRAKERILHT00000012492	A
anno1.g8063.t1	A	BRAKERILHT00000013184	A
anno1.g8064.t1	A	BRAKERILHT00000012716	A
anno1.g8065.t1	A	BRAKERILHT00000013917	A
anno1.g8066.t1	A	BRAKERILHT00000013560	A
anno1.g8067.t1	A	BRAKERILHT00000012463	A
anno1.g8068.t2	A	BRAKERILHT00000012926	A
anno1.g8069.t2	A	BRAKERILHT00000012538	A
anno1.g8070.t1	A	BRAKERILHT00000013026	A
anno1.g8071.t2	A	BRAKERILHT00000013339	A
anno1.g8073.t1	A	BRAKERILHT00000013111	A
anno1.g8074.t1	A	BRAKERILHT00000013863	A
anno1.g8075.t1	A	BRAKERILHT00000012867	A
anno1.g8076.t2	A	BRAKERILHT00000013801	A
anno1.g8077.t1	A	BRAKERILHT00000013893	A
anno1.g8079.t1	A	BRAKERILHT00000013453	A
anno1.g8080.t1	A	BRAKERILHT00000013904	A
anno1.g8081.t1	A	BRAKERILHT00000012720	A
anno1.g8082.t1	A	BRAKERILHT00000013204	A
anno1.g8083.t1	A	BRAKERILHT00000012986	A
anno1.g8084.t1	A	BRAKERILHT00000013462	A
anno1.g8086.t1	A	BRAKERILHT00000008148	A
anno1.g8094.t1	A	BRAKERILHT00000013504	A
anno1.g8098.t1	A	BRAKERILHT00000013497	A
anno1.g8099.t1	A	BRAKERILHT00000012969	A
anno1.g8100.t4	A	BRAKERILHT00000013101	A
anno1.g8101.t1	A	BRAKERILHT00000012700	A
anno1.g8103.t4	A	BRAKERILHT00000012980	A
anno1.g8104.t1	A	BRAKERILHT00000015764	A
anno1.g8105.t1	A	BRAKERILHT00000017144	X
anno1.g8106.t1	A	BRAKERILHT00000013702	A
anno1.g8107.t2	A	BRAKERILHT00000012681	A
anno1.g8112.t2	A	BRAKERILHT00000014001	A
anno1.g8114.t1	A	BRAKERILHT00000013582	A
anno1.g8115.t2	A	BRAKERILHT00000013120	A
anno1.g8116.t1	A	BRAKERILHT00000013994	A
anno1.g8117.t1	A	BRAKERILHT00000013522	A
anno1.g8118.t1	A	BRAKERILHT00000012664	A
anno1.g8119.t1	A	BRAKERILHT00000013124	A
anno1.g8120.t1	A	BRAKERILHT00000013579	A
anno1.g8121.t1	A	BRAKERILHT00000013468	A
anno1.g8122.t1	A	BRAKERILHT00000013937	A
anno1.g8123.t2	A	BRAKERILHT00000012746	A
anno1.g8124.t2	A	BRAKERILHT00000012551	A
anno1.g8125.t1	A	BRAKERILHT00000012356	A
anno1.g8126.t1	A	BRAKERILHT00000012853	A
anno1.g8129.t1	A	BRAKERILHT00000013092	A
anno1.g8130.t1	A	BRAKERILHT00000013131	A
anno1.g8131.t1	A	BRAKERILHT00000013859	A
anno1.g8133.t1	A	BRAKERILHT00000013291	A
anno1.g8134.t1	A	BRAKERILHT00000012931	A
anno1.g8138.t1	A	BRAKERILHT00000012374	A
anno1.g8139.t2	A	BRAKERILHT00000012844	A
anno1.g8140.t2	A	BRAKERILHT00000012625	A
anno1.g8141.t2	A	BRAKERILHT00000013008	A
anno1.g8142.t2	A	BRAKERILHT00000013578	A
anno1.g8143.t1	A	BRAKERILHT00000013890	A
anno1.g8144.t1	A	BRAKERILHT00000013655	A
anno1.g8145.t1	A	BRAKERILHT00000013191	A
anno1.g8147.t2	A	BRAKERILHT00000013037	A
anno1.g8148.t1	A	BRAKERILHT00000013015	A
anno1.g8151.t1	A	BRAKERILHT00000012796	A
anno1.g8152.t1	A	BRAKERILHT00000013396	A
anno1.g8154.t1	A	BRAKERILHT00000012641	A
anno1.g8155.t1	A	BRAKERILHT00000013180	A
anno1.g8156.t1	A	BRAKERILHT00000012609	A
anno1.g8157.t1	A	BRAKERILHT00000013758	A
anno1.g8159.t1	A	BRAKERILHT00000005544	A
anno1.g8165.t1	A	BRAKERILHT00000010416	A
anno1.g8166.t1	A	BRAKERILHT00000012571	A
anno1.g8167.t1	A	BRAKERILHT00000012397	A
anno1.g8172.t1	A	BRAKERILHT00000012628	A
anno1.g8174.t1	A	BRAKERILHT00000007366	A
anno1.g8180.t2	A	BRAKERILHT00000013391	A
anno1.g8181.t1	A	BRAKERILHT00000013539	A
anno1.g8182.t1	A	BRAKERILHT00000013181	A
anno1.g8184.t1	A	BRAKERILHT00000012421	A
anno1.g8185.t1	A	BRAKERILHT00000014228	A
anno1.g8190.t1	A	BRAKERILHT00000013456	A
anno1.g8192.t1	A	BRAKERILHT00000013209	A
anno1.g8193.t1	A	BRAKERILHT00000013343	A
anno1.g8194.t1	A	BRAKERILHT00000012971	A
anno1.g8195.t1	A	BRAKERILHT00000013544	A
anno1.g8196.t1	A	BRAKERILHT00000013931	A
anno1.g8198.t1	A	BRAKERILHT00000013387	A
anno1.g8199.t2	A	BRAKERILHT00000012913	A
anno1.g8200.t3	A	BRAKERILHT00000012391	A
anno1.g8201.t1	A	BRAKERILHT00000013621	A
anno1.g8202.t1	A	BRAKERILHT00000013130	A
anno1.g8203.t1	A	BRAKERILHT00000012445	A
anno1.g8204.t1	A	BRAKERILHT00000013837	A
anno1.g8205.t2	A	BRAKERILHT00000013592	A
anno1.g8206.t1	A	BRAKERILHT00000012764	A
anno1.g8208.t1	A	BRAKERILHT00000013852	A
anno1.g8209.t3	A	BRAKERILHT00000012810	A
anno1.g8210.t2	A	BRAKERILHT00000013043	A
anno1.g8211.t1	A	BRAKERILHT00000012753	A
anno1.g8212.t1	A	BRAKERILHT00000013711	A
anno1.g8213.t1	A	BRAKERILHT00000012918	A
anno1.g8214.t1	A	BRAKERILHT00000012680	A
anno1.g8215.t1	A	BRAKERILHT00000012795	A
anno1.g8219.t1	A	BRAKERILHT00000013262	A
anno1.g8220.t2	A	BRAKERILHT00000013806	A
anno1.g8221.t1	A	BRAKERILHT00000013380	A
anno1.g8222.t1	A	BRAKERILHT00000013626	A
anno1.g8225.t1	A	BRAKERILHT00000012928	A
anno1.g8227.t1	A	BRAKERILHT00000000301	A
anno1.g8228.t1	A	BRAKERILHT00000013853	A
anno1.g8231.t1	A	BRAKERILHT00000013359	A
anno1.g8232.t1	A	BRAKERILHT00000013829	A
anno1.g8234.t1	A	BRAKERILHT00000012629	A
anno1.g8235.t1	A	BRAKERILHT00000012516	A
anno1.g8236.t1	A	BRAKERILHT00000013721	A
anno1.g8239.t1	A	BRAKERILHT00000012709	A
anno1.g8240.t1	A	BRAKERILHT00000013975	A
anno1.g8241.t2	A	BRAKERILHT00000012776	A
anno1.g8244.t1	A	BRAKERILHT00000012639	A
anno1.g8250.t1	A	BRAKERILHT00000013076	A
anno1.g8254.t1	A	BRAKERILHT00000013778	A
anno1.g8256.t1	A	BRAKERILHT00000012602	A
anno1.g8257.t1	A	BRAKERILHT00000012770	A
anno1.g8258.t2	A	BRAKERILHT00000013477	A
anno1.g8259.t2	A	BRAKERILHT00000013024	A
anno1.g8260.t1	A	BRAKERILHT00000012519	A
anno1.g8261.t1	A	BRAKERILHT00000013718	A
anno1.g8262.t2	A	BRAKERILHT00000013259	A
anno1.g8263.t1	A	BRAKERILHT00000012794	A
anno1.g8264.t2	A	BRAKERILHT00000013125	A
anno1.g8265.t1	A	BRAKERILHT00000013691	A
anno1.g8267.t2	A	BRAKERILHT00000013423	A
anno1.g8268.t2	A	BRAKERILHT00000013196	A
anno1.g8269.t2	A	BRAKERILHT00000012465	A
anno1.g8271.t1	A	BRAKERILHT00000013872	A
anno1.g8272.t2	A	BRAKERILHT00000013156	A
anno1.g8273.t3	A	BRAKERILHT00000013384	A
anno1.g8274.t2	A	BRAKERILHT00000013713	A
anno1.g8275.t1	A	BRAKERILHT00000012743	A
anno1.g8276.t3	A	BRAKERILHT00000012736	A
anno1.g8277.t1	A	BRAKERILHT00000012833	A
anno1.g8278.t1	A	BRAKERILHT00000013388	A
anno1.g8279.t1	A	BRAKERILHT00000012404	A
anno1.g8282.t2	A	BRAKERILHT00000013618	A
anno1.g8283.t2	A	BRAKERILHT00000013584	A
anno1.g8284.t1	A	BRAKERILHT00000013013	A
anno1.g8285.t1	A	BRAKERILHT00000012584	A
anno1.g8286.t1	A	BRAKERILHT00000012477	A
anno1.g8287.t1	A	BRAKERILHT00000012744	A
anno1.g8288.t1	A	BRAKERILHT00000013216	A
anno1.g8289.t1	A	BRAKERILHT00000013418	A
anno1.g8291.t3	A	BRAKERILHT00000013059	A
anno1.g8292.t5	A	BRAKERILHT00000012496	A
anno1.g8299.t2	A	BRAKERILHT00000012722	A
anno1.g8300.t1	A	BRAKERILHT00000012713	A
anno1.g8301.t1	A	BRAKERILHT00000012958	A
anno1.g8302.t1	A	BRAKERILHT00000013436	A
anno1.g8303.t2	A	BRAKERILHT00000013746	A
anno1.g8304.t1	A	BRAKERILHT00000012707	A
anno1.g8306.t2	A	BRAKERILHT00000013576	A
anno1.g8307.t1	A	BRAKERILHT00000012792	A
anno1.g8309.t1	A	BRAKERILHT00000012441	A
anno1.g8310.t1	A	BRAKERILHT00000013731	A
anno1.g8311.t1	A	BRAKERILHT00000013409	A
anno1.g8313.t1	A	BRAKERILHT00000013528	A
anno1.g8314.t1	A	BRAKERILHT00000013990	A
anno1.g8315.t1	A	BRAKERILHT00000012354	A
anno1.g8316.t1	A	BRAKERILHT00000012842	A
anno1.g8317.t1	A	BRAKERILHT00000013306	A
anno1.g8319.t1	A	BRAKERILHT00000013739	A
anno1.g8320.t1	A	BRAKERILHT00000012537	A
anno1.g8321.t1	A	BRAKERILHT00000013475	A
anno1.g8322.t2	A	BRAKERILHT00000013867	A
anno1.g8323.t1	A	BRAKERILHT00000012731	A
anno1.g8324.t1	A	BRAKERILHT00000013305	A
anno1.g8325.t1	A	BRAKERILHT00000013658	A
anno1.g8326.t1	A	BRAKERILHT00000012533	A
anno1.g8327.t1	A	BRAKERILHT00000013920	A
anno1.g8328.t1	A	BRAKERILHT00000013252	A
anno1.g8344.t3	A	BRAKERILHT00000012535	A
anno1.g8346.t1	A	BRAKERILHT00000012890	A
anno1.g8347.t1	A	BRAKERILHT00000012392	A
anno1.g8348.t1	A	BRAKERILHT00000013510	A
anno1.g8349.t1	A	BRAKERILHT00000013813	A
anno1.g8350.t1	A	BRAKERILHT00000013364	A
anno1.g8351.t1	A	BRAKERILHT00000012815	A
anno1.g8354.t1	A	BRAKERILHT00000012638	A
anno1.g8356.t1	A	BRAKERILHT00000013564	A
anno1.g8357.t1	A	BRAKERILHT00000013401	A
anno1.g8359.t1	A	BRAKERILHT00000012838	A
anno1.g8360.t2	A	BRAKERILHT00000012603	A
anno1.g8361.t1	A	BRAKERILHT00000013188	A
anno1.g8362.t2	A	BRAKERILHT00000013895	A
anno1.g8365.t1	A	BRAKERILHT00000013693	A
anno1.g8366.t1	A	BRAKERILHT00000012610	A
anno1.g8367.t2	A	BRAKERILHT00000013182	A
anno1.g8368.t1	A	BRAKERILHT00000013233	A
anno1.g8369.t2	A	BRAKERILHT00000013781	A
anno1.g8370.t1	A	BRAKERILHT00000012717	A
anno1.g8371.t1	A	BRAKERILHT00000013402	A
anno1.g8372.t1	A	BRAKERILHT00000013424	A
anno1.g8373.t1	A	BRAKERILHT00000012366	A
anno1.g8374.t1	A	BRAKERILHT00000013688	A
anno1.g8375.t1	A	BRAKERILHT00000013315	A
anno1.g8377.t1	A	BRAKERILHT00000012959	A
anno1.g8378.t1	A	BRAKERILHT00000013104	A
anno1.g8379.t1	A	BRAKERILHT00000012534	A
anno1.g8380.t1	A	BRAKERILHT00000013980	A
anno1.g8381.t1	A	BRAKERILHT00000013308	A
anno1.g8382.t1	A	BRAKERILHT00000013112	A
anno1.g8383.t1	A	BRAKERILHT00000012942	A
anno1.g8384.t1	A	BRAKERILHT00000012674	A
anno1.g8386.t1	A	BRAKERILHT00000012560	A
anno1.g8387.t1	A	BRAKERILHT00000012955	A
anno1.g8388.t1	A	BRAKERILHT00000013357	A
anno1.g8389.t2	A	BRAKERILHT00000012383	A
anno1.g8390.t2	A	BRAKERILHT00000012884	A
anno1.g8391.t1	A	BRAKERILHT00000013243	A
anno1.g8392.t1	A	BRAKERILHT00000013868	A
anno1.g8393.t1	A	BRAKERILHT00000013139	A
anno1.g8394.t1	A	BRAKERILHT00000012974	A
anno1.g8395.t1	A	BRAKERILHT00000013862	A
anno1.g8398.t2	A	BRAKERILHT00000012509	A
anno1.g8399.t1	A	BRAKERILHT00000012818	A
anno1.g8400.t1	A	BRAKERILHT00000012517	A
anno1.g8401.t2	A	BRAKERILHT00000013499	A
anno1.g8410.t1	A	BRAKERILHT00000012922	A
anno1.g8411.t1	A	BRAKERILHT00000013347	A
anno1.g8413.t1	A	BRAKERILHT00000013614	A
anno1.g8414.t1	A	BRAKERILHT00000013053	A
anno1.g8415.t2	A	BRAKERILHT00000013490	A
anno1.g8416.t1	A	BRAKERILHT00000013861	A
anno1.g8417.t1	A	BRAKERILHT00000013289	A
anno1.g8418.t1	A	BRAKERILHT00000012834	A
anno1.g8419.t1	A	BRAKERILHT00000013392	A
anno1.g8421.t1	A	BRAKERILHT00000013517	A
anno1.g8425.t2	A	BRAKERILHT00000013957	A
anno1.g8427.t1	A	BRAKERILHT00000013601	A
anno1.g8428.t1	A	BRAKERILHT00000013007	A
anno1.g8430.t2	A	BRAKERILHT00000012802	A
anno1.g8433.t2	A	BRAKERILHT00000013816	A
anno1.g8436.t1	A	BRAKERILHT00000013725	A
anno1.g8437.t1	A	BRAKERILHT00000012460	A
anno1.g8438.t5	A	BRAKERILHT00000013864	A
anno1.g8440.t2	A	BRAKERILHT00000013690	A
anno1.g8441.t1	A	BRAKERILHT00000013514	A
anno1.g8443.t1	A	BRAKERILHT00000013417	A
anno1.g8444.t1	A	BRAKERILHT00000013638	A
anno1.g8445.t1	A	BRAKERILHT00000013742	A
anno1.g8446.t1	A	BRAKERILHT00000013410	A
anno1.g8447.t2	A	BRAKERILHT00000013010	A
anno1.g8449.t1	A	BRAKERILHT00000013939	A
anno1.g8451.t1	A	BRAKERILHT00000013565	A
anno1.g8452.t1	A	BRAKERILHT00000013170	A
anno1.g8453.t1	A	BRAKERILHT00000012585	A
anno1.g8454.t1	A	BRAKERILHT00000012402	A
anno1.g8455.t1	A	BRAKERILHT00000013508	A
anno1.g8456.t1	A	BRAKERILHT00000013794	A
anno1.g8457.t1	A	BRAKERILHT00000013303	A
anno1.g8458.t1	A	BRAKERILHT00000013569	A
anno1.g8459.t1	A	BRAKERILHT00000013923	A
anno1.g8460.t1	A	BRAKERILHT00000012952	A
anno1.g8463.t1	A	BRAKERILHT00000012394	A
anno1.g8464.t1	A	BRAKERILHT00000012655	A
anno1.g8465.t1	A	BRAKERILHT00000013023	A
anno1.g8466.t1	A	BRAKERILHT00000013901	A
anno1.g8467.t1	A	BRAKERILHT00000012705	A
