D_carinulata	chromosome	D_sublineata	chromosome
rna-XM_057803166.1	A	rna-XM_056784948.1	A
rna-XM_057803328.1	A	rna-XM_056784946.1	A
rna-XM_057803158.1	A	rna-XM_056785270.1	A
rna-XM_057803159.1	A	rna-XM_056785271.1	A
rna-XM_057803167.1	A	rna-XM_056785272.1	A
rna-XM_057801766.1	A	rna-XM_056785265.1	A
rna-XM_057803329.1	A	rna-XM_056784945.1	A
rna-XM_057801769.1	A	rna-XM_056785267.1	A
rna-XM_057801770.1	A	rna-XM_056785269.1	A
rna-XM_057801772.1	A	rna-XM_056785264.1	A
rna-XM_057801771.1	A	rna-XM_056776044.1	A
rna-XM_057801773.1	A	rna-XM_056785263.1	A
rna-XM_057801774.1	A	rna-XM_056784909.1	A
rna-XM_057801778.1	A	rna-XM_056784944.1	A
rna-XM_057803331.1	A	rna-XM_056784943.1	A
rna-XM_057803332.1	A	rna-XM_056784942.1	A
rna-XM_057803333.1	A	rna-XM_056784940.1	A
rna-XM_057803334.1	A	rna-XM_056784245.1	A
rna-XM_057801779.1	A	rna-XM_056784246.1	A
rna-XM_057801781.1	A	rna-XM_056784939.1	A
rna-XM_057801785.1	A	rna-XM_056792654.1	A
rna-XM_057801786.1	A	rna-XM_056787261.1	A
rna-XM_057803335.1	A	rna-XM_056784938.1	A
rna-XM_057801787.1	A	rna-XM_056783870.1	A
rna-XM_057801790.1	A	rna-XM_056785013.1	A
rna-XM_057801795.1	A	rna-XM_056784118.1	A
rna-XM_057801797.1	A	rna-XM_056784952.1	A
rna-XM_057801799.1	A	rna-XM_056784684.1	A
rna-XM_057801801.1	A	rna-XM_056784621.1	A
rna-XM_057801802.1	A	rna-XM_056784622.1	A
rna-XM_057801804.1	A	rna-XM_056784810.1	A
rna-XM_057801803.1	A	rna-XM_056784809.1	A
rna-XM_057801805.1	A	rna-XM_056784160.1	A
rna-XM_057801807.1	A	rna-XM_056784161.1	A
rna-XM_057801810.1	A	rna-XM_056785017.1	A
rna-XM_057801812.1	A	rna-XM_056784665.1	A
rna-XM_057801814.1	A	rna-XM_056784936.1	A
rna-XM_057801820.1	A	rna-XM_056784104.1	A
rna-XM_057801818.1	A	rna-XM_056784974.1	A
rna-XM_057801821.1	A	rna-XM_056784313.1	A
rna-XM_057801827.1	A	rna-XM_056784317.1	A
rna-XM_057801825.1	A	rna-XM_056784315.1	A
rna-XM_057801824.1	A	rna-XM_056784314.1	A
rna-XM_057801826.1	A	rna-XM_056784316.1	A
rna-XM_057801828.1	A	rna-XM_056784931.1	A
rna-XM_057801829.1	A	rna-XM_056784705.1	A
rna-XM_057801833.1	A	rna-XM_056784702.1	A
rna-XM_057801831.1	A	rna-XM_056784700.1	A
rna-XM_057801835.1	A	rna-XM_056784699.1	A
rna-XM_057801836.1	A	rna-XM_056784676.1	A
rna-XM_057801837.1	A	rna-XM_056784675.1	A
rna-XM_057801838.1	A	rna-XM_056785159.1	A
rna-XM_057801847.1	A	rna-XM_056785156.1	A
rna-XM_057801839.1	A	rna-XM_056785153.1	A
rna-XM_057801849.1	A	rna-XM_056785158.1	A
rna-XM_057801848.1	A	rna-XM_056785157.1	A
rna-XM_057801844.1	A	rna-XM_056785155.1	A
rna-XM_057801850.1	A	rna-XM_056785149.1	A
rna-XM_057801846.1	A	rna-XM_056785148.1	A
rna-XM_057801858.1	A	rna-XM_056785654.1	A
rna-XM_057801851.1	A	rna-XM_056785653.1	A
rna-XM_057801854.1	A	rna-XM_056785652.1	A
rna-XM_057801855.1	A	rna-XM_056785651.1	A
rna-XM_057801862.1	A	rna-XM_056785360.1	A
rna-XM_057801861.1	A	rna-XM_056784747.1	A
rna-XM_057801863.1	A	rna-XM_056784930.1	A
rna-XM_057801864.1	A	rna-XM_056784745.1	A
rna-XM_057801865.1	A	rna-XM_056784743.1	A
rna-XM_057801867.1	A	rna-XM_056784740.1	A
rna-XM_057801870.1	A	rna-XM_056784742.1	A
rna-XM_057801871.1	A	rna-XM_056784325.1	A
rna-XM_057802826.1	A	rna-XM_056784096.1	A
rna-XM_057803005.1	A	rna-XM_056784928.1	A
rna-XM_057803338.1	A	rna-XM_056784927.1	A
rna-XM_057801994.1	A	rna-XM_056784015.1	A
rna-XM_057803757.1	A	rna-XM_056784011.1	A
rna-XM_057803763.1	A	rna-XM_056784017.1	A
rna-XM_057803761.1	A	rna-XM_056784014.1	A
rna-XM_057803765.1	A	rna-XM_056784874.1	A
rna-XM_057802572.1	A	rna-XM_056785077.1	A
rna-XM_057802573.1	A	rna-XM_056785078.1	A
rna-XM_057802590.1	A	rna-XM_056785076.1	A
rna-XM_057802589.1	A	rna-XM_056785075.1	A
rna-XM_057802587.1	A	rna-XM_056785074.1	A
rna-XM_057803767.1	A	rna-XM_056785070.1	A
rna-XM_057802074.1	A	rna-XM_056785056.1	A
rna-XM_057802072.1	A	rna-XM_056785060.1	A
rna-XM_057802077.1	A	rna-XM_056785064.1	A
rna-XM_057802075.1	A	rna-XM_056785061.1	A
rna-XM_057802076.1	A	rna-XM_056785062.1	A
rna-XM_057802081.1	A	rna-XM_056785068.1	A
rna-XM_057803753.1	A	rna-XM_056785383.1	A
rna-XM_057803754.1	A	rna-XM_056785385.1	A
rna-XM_057803755.1	A	rna-XM_056785386.1	A
rna-XM_057803751.1	A	rna-XM_056785381.1	A
rna-XM_057803752.1	A	rna-XM_056785382.1	A
rna-XM_057803747.1	A	rna-XM_056785380.1	A
rna-XM_057801727.1	A	rna-XM_056785378.1	A
rna-XM_057801726.1	A	rna-XM_056784115.1	A
rna-XM_057802063.1	A	rna-XM_056784727.1	A
rna-XM_057802067.1	A	rna-XM_056784732.1	A
rna-XM_057802406.1	A	rna-XM_056783889.1	A
rna-XM_057802407.1	A	rna-XM_056783906.1	A
rna-XM_057802274.1	A	rna-XM_056783895.1	A
rna-XM_057803472.1	A	rna-XM_056783897.1	A
rna-XM_057803475.1	A	rna-XM_056783900.1	A
rna-XM_057803491.1	A	rna-XM_056783905.1	A
rna-XM_057803473.1	A	rna-XM_056783899.1	A
rna-XM_057803478.1	A	rna-XM_056783903.1	A
rna-XM_057803465.1	A	rna-XM_056783890.1	A
rna-XM_057803476.1	A	rna-XM_056783901.1	A
rna-XM_057803339.1	A	rna-XM_056783904.1	A
rna-XM_057803492.1	A	rna-XM_056783907.1	A
rna-XM_057803485.1	A	rna-XM_056783888.1	A
rna-XM_057803489.1	A	rna-XM_056783887.1	A
rna-XM_057803481.1	A	rna-XM_056783886.1	A
rna-XM_057803477.1	A	rna-XM_056784267.1	A
rna-XM_057803479.1	A	rna-XM_056785864.1	A
rna-XM_057803490.1	A	rna-XM_056785863.1	A
rna-XM_057803484.1	A	rna-XM_056785861.1	A
rna-XM_057803480.1	A	rna-XM_056785860.1	A
rna-XM_057803486.1	A	rna-XM_056784025.1	A
rna-XM_057802378.1	A	rna-XM_056784708.1	A
rna-XM_057802023.1	A	rna-XM_056784709.1	A
rna-XM_057802084.1	A	rna-XM_056784374.1	A
rna-XM_057802360.1	A	rna-XM_056784372.1	A
rna-XM_057802364.1	A	rna-XM_056784371.1	A
rna-XM_057802363.1	A	rna-XM_056784369.1	A
rna-XM_057803737.1	A	rna-XM_056783997.1	A
rna-XM_057803744.1	A	rna-XM_056784008.1	A
rna-XM_057803743.1	A	rna-XM_056784007.1	A
rna-XM_057803742.1	A	rna-XM_056784005.1	A
rna-XM_057803740.1	A	rna-XM_056784004.1	A
rna-XM_057803733.1	A	rna-XM_056783994.1	A
rna-XM_057803734.1	A	rna-XM_056783995.1	A
rna-XM_057803735.1	A	rna-XM_056783993.1	A
rna-XM_057803728.1	A	rna-XM_056784775.1	A
rna-XM_057802106.1	A	rna-XM_056784616.1	A
rna-XM_057802107.1	A	rna-XM_056784618.1	A
rna-XM_057802105.1	A	rna-XM_056784614.1	A
rna-XM_057803850.1	A	rna-XM_056784031.1	A
rna-XM_057803340.1	A	rna-XM_056788843.1	A
rna-XM_057803848.1	A	rna-XM_056784030.1	A
rna-XM_057803392.1	A	rna-XM_056784258.1	A
rna-XM_057803395.1	A	rna-XM_056784627.1	A
rna-XM_057803393.1	A	rna-XM_056784914.1	A
rna-XM_057802822.1	A	rna-XM_056784998.1	A
rna-XM_057802824.1	A	rna-XM_056784912.1	A
rna-XM_057803341.1	A	rna-XM_056784911.1	A
rna-XM_057802604.1	A	rna-XM_056785054.1	A
rna-XM_057802603.1	A	rna-XM_056785053.1	A
rna-XM_057801910.1	A	rna-XM_056784126.1	A
rna-XM_057803855.1	A	rna-XM_056785657.1	A
rna-XM_057803873.1	A	rna-XM_056785675.1	A
rna-XM_057801743.1	A	rna-XM_056785671.1	A
rna-XM_057801746.1	A	rna-XM_056784260.1	A
rna-XM_057802449.1	A	rna-XM_056784957.1	A
rna-XM_057803787.1	A	rna-XM_056784299.1	A
rna-XM_057802280.1	A	rna-XM_056783875.1	A
rna-XM_057802281.1	A	rna-XM_056783874.1	A
rna-XM_057802282.1	A	rna-XM_056783873.1	A
rna-XM_057801920.1	A	rna-XM_056784197.1	A
rna-XM_057803342.1	A	rna-XM_056784203.1	A
rna-XM_057801946.1	A	rna-XM_056784149.1	A
rna-XM_057802146.1	A	rna-XM_056784907.1	A
rna-XM_057802220.1	A	rna-XM_056784905.1	A
rna-XM_057802305.1	A	rna-XM_056784361.1	A
rna-XM_057803679.1	A	rna-XM_056784813.1	A
rna-XM_057803682.1	A	rna-XM_056783927.1	A
rna-XM_057803681.1	A	rna-XM_056783926.1	A
rna-XM_057803683.1	A	rna-XM_056784169.1	A
rna-XM_057803680.1	A	rna-XM_056784167.1	A
rna-XM_057803770.1	A	rna-XM_056785685.1	A
rna-XM_057802821.1	A	rna-XM_056784625.1	A
rna-XM_057803049.1	A	rna-XM_056785518.1	A
rna-XM_057803038.1	A	rna-XM_056785515.1	A
rna-XM_057803055.1	A	rna-XM_056784062.1	A
rna-XM_057803059.1	A	rna-XM_056784066.1	A
rna-XM_057803042.1	A	rna-XM_056784054.1	A
rna-XM_057803051.1	A	rna-XM_056784061.1	A
rna-XM_057803065.1	A	rna-XM_056784069.1	A
rna-XM_057803044.1	A	rna-XM_056784057.1	A
rna-XM_057803046.1	A	rna-XM_056784060.1	A
rna-XM_057803056.1	A	rna-XM_056784063.1	A
rna-XM_057803036.1	A	rna-XM_056784734.1	A
rna-XM_057803063.1	A	rna-XM_056784749.1	A
rna-XM_057803530.1	A	rna-XM_056784139.1	A
rna-XM_057803525.1	A	rna-XM_056784136.1	A
rna-XM_057803522.1	A	rna-XM_056784134.1	A
rna-XM_057803536.1	A	rna-XM_056785416.1	A
rna-XM_057803537.1	A	rna-XM_056784170.1	A
rna-XM_057803540.1	A	rna-XM_056784171.1	A
rna-XM_057803548.1	A	rna-XM_056784221.1	A
rna-XM_057803565.1	A	rna-XM_056785140.1	A
rna-XM_057803572.1	A	rna-XM_056785147.1	A
rna-XM_057803551.1	A	rna-XM_056785129.1	A
rna-XM_057803571.1	A	rna-XM_056785145.1	A
rna-XM_057803569.1	A	rna-XM_056785143.1	A
rna-XM_057803577.1	A	rna-XM_056784212.1	A
rna-XM_057803573.1	A	rna-XM_056784208.1	A
rna-XM_057803578.1	A	rna-XM_056784043.1	A
rna-XM_057803581.1	A	rna-XM_056784044.1	A
rna-XM_057803592.1	A	rna-XM_056784026.1	A
rna-XM_057803587.1	A	rna-XM_056784268.1	A
rna-XM_057803582.1	A	rna-XM_056784692.1	A
rna-XM_057803596.1	A	rna-XM_056784904.1	A
rna-XM_057803343.1	A	rna-XM_056784903.1	A
rna-XM_057803597.1	A	rna-XM_056784902.1	A
rna-XM_057803598.1	A	rna-XM_056784796.1	A
rna-XM_057803600.1	A	rna-XM_056784798.1	A
rna-XM_057803603.1	A	rna-XM_056784799.1	A
rna-XM_057803345.1	A	rna-XM_056784900.1	A
rna-XM_057803346.1	A	rna-XM_056784707.1	A
rna-XM_057803347.1	A	rna-XM_056784968.1	A
rna-XM_057802170.1	A	rna-XM_056784967.1	A
rna-XM_057803349.1	A	rna-XM_056784966.1	A
rna-XM_057802860.1	A	rna-XM_056784184.1	A
rna-XM_057802582.1	A	rna-XM_056784241.1	A
rna-XM_057802583.1	A	rna-XM_056784291.1	A
rna-XM_057803435.1	A	rna-XM_056784290.1	A
rna-XM_057803350.1	A	rna-XM_056784898.1	A
rna-XM_057803645.1	A	rna-XM_056784259.1	A
rna-XM_057803646.1	A	rna-XM_056785828.1	A
rna-XM_057803642.1	A	rna-XM_056785822.1	A
rna-XM_057803647.1	A	rna-XM_056785826.1	A
rna-XM_057803650.1	A	rna-XM_056785825.1	A
rna-XM_057803649.1	A	rna-XM_056785824.1	A
rna-XM_057803648.1	A	rna-XM_056785823.1	A
rna-XM_057803279.1	A	rna-XM_056785809.1	A
rna-XM_057803285.1	A	rna-XM_056785817.1	A
rna-XM_057803281.1	A	rna-XM_056785812.1	A
rna-XM_057803283.1	A	rna-XM_056785813.1	A
rna-XM_057802301.1	A	rna-XM_056785808.1	A
rna-XM_057801930.1	A	rna-XM_056785807.1	A
rna-XM_057801909.1	A	rna-XM_056785806.1	A
rna-XM_057802675.1	A	rna-XM_056785802.1	A
rna-XM_057803068.1	A	rna-XM_056785805.1	A
rna-XM_057803352.1	A	rna-XM_056785800.1	A
rna-XM_057803353.1	A	rna-XM_056784897.1	A
rna-XM_057803070.1	A	rna-XM_056784896.1	A
rna-XM_057803071.1	A	rna-XM_056785796.1	A
rna-XM_057802032.1	A	rna-XM_056785794.1	A
rna-XM_057802031.1	A	rna-XM_056785792.1	A
rna-XM_057802034.1	A	rna-XM_056785797.1	A
rna-XM_057802663.1	A	rna-XM_056785782.1	A
rna-XM_057802011.1	A	rna-XM_056785790.1	A
rna-XM_057802013.1	A	rna-XM_056785791.1	A
rna-XM_057802002.1	A	rna-XM_056785783.1	A
rna-XM_057802008.1	A	rna-XM_056785789.1	A
rna-XM_057802010.1	A	rna-XM_056785781.1	A
rna-XM_057802159.1	A	rna-XM_056785775.1	A
rna-XM_057803354.1	A	rna-XM_056785778.1	A
rna-XM_057802595.1	A	rna-XM_056785779.1	A
rna-XM_057802596.1	A	rna-XM_056785780.1	A
rna-XM_057802496.1	A	rna-XM_056785777.1	A
rna-XM_057802497.1	A	rna-XM_056785774.1	A
rna-XM_057802559.1	A	rna-XM_056785773.1	A
rna-XM_057802560.1	A	rna-XM_056785772.1	A
rna-XM_057802295.1	A	rna-XM_056785771.1	A
rna-XM_057802323.1	A	rna-XM_056785769.1	A
rna-XM_057801630.1	A	rna-XM_056785767.1	A
rna-XM_057801631.1	A	rna-XM_056785768.1	A
rna-XM_057801633.1	A	rna-XM_056785761.1	A
rna-XM_057802644.1	A	rna-XM_056785760.1	A
rna-XM_057802210.1	A	rna-XM_056785759.1	A
rna-XM_057801927.1	A	rna-XM_056785758.1	A
rna-XM_057802344.1	A	rna-XM_056785755.1	A
rna-XM_057802348.1	A	rna-XM_056785757.1	A
rna-XM_057802227.1	A	rna-XM_056785754.1	A
rna-XM_057802226.1	A	rna-XM_056785753.1	A
rna-XM_057802329.1	A	rna-XM_056785750.1	A
rna-XM_057802331.1	A	rna-XM_056785751.1	A
rna-XM_057802332.1	A	rna-XM_056785749.1	A
rna-XM_057802333.1	A	rna-XM_056784894.1	A
rna-XM_057802336.1	A	rna-XM_056785748.1	A
rna-XM_057802335.1	A	rna-XM_056785746.1	A
rna-XM_057801891.1	A	rna-XM_056785745.1	A
rna-XM_057802365.1	A	rna-XM_056785744.1	A
rna-XM_057802366.1	A	rna-XM_056785738.1	A
rna-XM_057802368.1	A	rna-XM_056785733.1	A
rna-XM_057802369.1	A	rna-XM_056785735.1	A
rna-XM_057801936.1	A	rna-XM_056785732.1	A
rna-XM_057802643.1	A	rna-XM_056785734.1	A
rna-XM_057802584.1	A	rna-XM_056785731.1	A
rna-XM_057802370.1	A	rna-XM_056785736.1	A
rna-XM_057802224.1	A	rna-XM_056785741.1	A
rna-XM_057802097.1	A	rna-XM_056785739.1	A
rna-XM_057801763.1	A	rna-XM_056785730.1	A
rna-XM_057801762.1	A	rna-XM_056785727.1	A
rna-XM_057802238.1	A	rna-XM_056785726.1	A
rna-XM_057802372.1	A	rna-XM_056785724.1	A
rna-XM_057802492.1	A	rna-XM_056785723.1	A
rna-XM_057802294.1	A	rna-XM_056784362.1	A
rna-XM_057802171.1	A	rna-XM_056784297.1	A
rna-XM_057802172.1	A	rna-XM_056784298.1	A
rna-XM_057802085.1	A	rna-XM_056784664.1	A
rna-XM_057802351.1	A	rna-XM_056784726.1	A
rna-XM_057802353.1	A	rna-XM_056784083.1	A
rna-XM_057803356.1	A	rna-XM_056784893.1	A
rna-XM_057803357.1	A	rna-XM_056784892.1	A
rna-XM_057802299.1	A	rna-XM_056784770.1	A
rna-XM_057802455.1	A	rna-XM_056784106.1	A
rna-XM_057802457.1	A	rna-XM_056784107.1	A
rna-XM_057802391.1	A	rna-XM_056784891.1	A
rna-XM_057802043.1	A	rna-XM_056784105.1	A
rna-XM_057802526.1	A	rna-XM_056784663.1	A
rna-XM_057803358.1	A	rna-XM_056784890.1	A
rna-XM_057802293.1	A	rna-XM_056784889.1	A
rna-XM_057802507.1	A	rna-XM_056784999.1	A
rna-XM_057802678.1	A	rna-XM_056784631.1	A
rna-XM_057802679.1	A	rna-XM_056785607.1	A
rna-XM_057802680.1	A	rna-XM_056784963.1	A
rna-XM_057803360.1	A	rna-XM_056784623.1	A
rna-XM_057802681.1	A	rna-XM_056784337.1	A
rna-XM_057802686.1	A	rna-XM_056784339.1	A
rna-XM_057802696.1	A	rna-XM_056785609.1	A
rna-XM_057802694.1	A	rna-XM_056785620.1	A
rna-XM_057802699.1	A	rna-XM_056785618.1	A
rna-XM_057802700.1	A	rna-XM_056785619.1	A
rna-XM_057802701.1	A	rna-XM_056785012.1	A
rna-XM_057803361.1	A	rna-XM_056784886.1	A
rna-XM_057802702.1	A	rna-XM_056784995.1	A
rna-XM_057802708.1	A	rna-XM_056784994.1	A
rna-XM_057802705.1	A	rna-XM_056784991.1	A
rna-XM_057802709.1	A	rna-XM_056784988.1	A
rna-XM_057802713.1	A	rna-XM_056784072.1	A
rna-XM_057803363.1	A	rna-XM_056784885.1	A
rna-XM_057802718.1	A	rna-XM_056785125.1	A
rna-XM_057802719.1	A	rna-XM_056785124.1	A
rna-XM_057802714.1	A	rna-XM_056785122.1	A
rna-XM_057802727.1	A	rna-XM_056785116.1	A
rna-XM_057802724.1	A	rna-XM_056785106.1	A
rna-XM_057802725.1	A	rna-XM_056785114.1	A
rna-XM_057802731.1	A	rna-XM_056785100.1	A
rna-XM_057802734.1	A	rna-XM_056785094.1	A
rna-XM_057802774.1	A	rna-XM_056785096.1	A
rna-XM_057803365.1	A	rna-XM_056785091.1	A
rna-XM_057802733.1	A	rna-XM_056785085.1	A
rna-XM_057802756.1	A	rna-XM_056785088.1	A
rna-XM_057802771.1	A	rna-XM_056785089.1	A
rna-XM_057802781.1	A	rna-XM_056784659.1	A
rna-XM_057802772.1	A	rna-XM_056784650.1	A
rna-XM_057802753.1	A	rna-XM_056784644.1	A
rna-XM_057803366.1	A	rna-XM_056784634.1	A
rna-XM_057802784.1	A	rna-XM_056784658.1	A
rna-XM_057802749.1	A	rna-XM_056784639.1	A
rna-XM_057802761.1	A	rna-XM_056784641.1	A
rna-XM_057803367.1	A	rna-XM_056784880.1	A
rna-XM_057802778.1	A	rna-XM_056784657.1	A
rna-XM_057802773.1	A	rna-XM_056784655.1	A
rna-XM_057802747.1	A	rna-XM_056784636.1	A
rna-XM_057802777.1	A	rna-XM_056785083.1	A
rna-XM_057802744.1	A	rna-XM_056784807.1	A
rna-XM_057803369.1	A	rna-XM_056784877.1	A
rna-XM_057803370.1	A	rna-XM_056784870.1	A
rna-XM_057803372.1	A	rna-XM_056784867.1	A
rna-XM_057802787.1	A	rna-XM_056784470.1	A
rna-XM_057802785.1	A	rna-XM_056784468.1	A
rna-XM_057802790.1	A	rna-XM_056784467.1	A
rna-XM_057802812.1	A	rna-XM_056784862.1	A
rna-XM_057802809.1	A	rna-XM_056784462.1	A
rna-XM_057802796.1	A	rna-XM_056784454.1	A
rna-XM_057802800.1	A	rna-XM_056784458.1	A
rna-XM_057802793.1	A	rna-XM_056784444.1	A
rna-XM_057802794.1	A	rna-XM_056784446.1	A
rna-XM_057802811.1	A	rna-XM_056784465.1	A
rna-XM_057802806.1	A	rna-XM_056784461.1	A
rna-XM_057802797.1	A	rna-XM_056784448.1	A
rna-XM_057801722.1	A	rna-XM_056784442.1	A
rna-XM_057803374.1	A	rna-XM_056784440.1	A
rna-XM_057801723.1	A	rna-XM_056784439.1	A
rna-XM_057803375.1	A	rna-XM_056784860.1	A
rna-XM_057802488.1	A	rna-XM_056784437.1	A
rna-XM_057802338.1	A	rna-XM_056784434.1	A
rna-XM_057802453.1	A	rna-XM_056784435.1	A
rna-XM_057802410.1	A	rna-XM_056784433.1	A
rna-XM_057801765.1	A	rna-XM_056784432.1	A
rna-XM_057803408.1	A	rna-XM_056784431.1	A
rna-XM_057803411.1	A	rna-XM_056784430.1	A
rna-XM_057802147.1	A	rna-XM_056784429.1	A
rna-XM_057801636.1	A	rna-XM_056784427.1	A
rna-XM_057801646.1	A	rna-XM_056784391.1	A
rna-XM_057801641.1	A	rna-XM_056784858.1	A
rna-XM_057802466.1	A	rna-XM_056784419.1	A
rna-XM_057802463.1	A	rna-XM_056784402.1	A
rna-XM_057803376.1	A	rna-XM_056784856.1	A
rna-XM_057803377.1	A	rna-XM_056784417.1	A
rna-XM_057803378.1	A	rna-XM_056784398.1	A
rna-XM_057803239.1	A	rna-XM_056784392.1	A
rna-XM_057801894.1	A	rna-XM_056784390.1	A
rna-XM_057803379.1	A	rna-XM_056784393.1	A
rna-XM_057801896.1	A	rna-XM_056784409.1	A
rna-XM_057803380.1	A	rna-XM_056784855.1	A
rna-XM_057802861.1	A	rna-XM_056784854.1	A
rna-XM_057802517.1	A	rna-XM_056784415.1	A
rna-XM_057802515.1	A	rna-XM_056784389.1	A
rna-XM_057802598.1	A	rna-XM_056784853.1	A
rna-XM_057803381.1	A	rna-XM_056784852.1	A
rna-XM_057803694.1	A	rna-XM_056784414.1	A
rna-XM_057803691.1	A	rna-XM_056784382.1	A
rna-XM_057803693.1	A	rna-XM_056784384.1	A
rna-XM_057803697.1	A	rna-XM_056784385.1	A
rna-XM_057803695.1	A	rna-XM_056784851.1	A
rna-XM_057803692.1	A	rna-XM_056784383.1	A
rna-XM_057803699.1	A	rna-XM_056784849.1	A
rna-XM_057803383.1	A	rna-XM_056784100.1	A
rna-XM_057802383.1	A	rna-XM_056785398.1	A
rna-XM_057802044.1	A	rna-XM_056785394.1	A
rna-XM_057802236.1	A	rna-XM_056785399.1	A
rna-XM_057802111.1	A	rna-XM_056784848.1	A
rna-XM_057802110.1	A	rna-XM_056785395.1	A
rna-XM_057802112.1	A	rna-XM_056784847.1	A
rna-XM_057802547.1	A	rna-XM_056785051.1	A
rna-XM_057803814.1	A	rna-XM_056784318.1	A
rna-XM_057801926.1	A	rna-XM_056784073.1	A
rna-XM_057802484.1	A	rna-XM_056784881.1	A
rna-XM_057802284.1	A	rna-XM_056784834.1	A
rna-XM_057802291.1	A	rna-XM_056784179.1	A
rna-XM_057802101.1	A	rna-XM_056784178.1	A
rna-XM_057802102.1	A	rna-XM_056784689.1	A
rna-XM_057802103.1	A	rna-XM_056784688.1	A
rna-XM_057802104.1	A	rna-XM_056784690.1	A
rna-XM_057802877.1	A	rna-XM_056785047.1	A
rna-XM_057802886.1	A	rna-XM_056785048.1	A
rna-XM_057802882.1	A	rna-XM_056784247.1	A
rna-XM_057802885.1	A	rna-XM_056785001.1	A
rna-XM_057802880.1	A	rna-XM_056784240.1	A
rna-XM_057802878.1	A	rna-XM_056784239.1	A
rna-XM_057802870.1	A	rna-XM_056784231.1	A
rna-XM_057802883.1	A	rna-XM_056784237.1	A
rna-XM_057802884.1	A	rna-XM_056784238.1	A
rna-XM_057802889.1	A	rna-XM_056784195.1	A
rna-XM_057802890.1	A	rna-XM_056785420.1	A
rna-XM_057802891.1	A	rna-XM_056785419.1	A
rna-XM_057802892.1	A	rna-XM_056785418.1	A
rna-XM_057802893.1	A	rna-XM_056785417.1	A
rna-XM_057802894.1	A	rna-XM_056784674.1	A
rna-XM_057802896.1	A	rna-XM_056784672.1	A
rna-XM_057802899.1	A	rna-XM_056785183.1	A
rna-XM_057802909.1	A	rna-XM_056785190.1	A
rna-XM_057802903.1	A	rna-XM_056785186.1	A
rna-XM_057802902.1	A	rna-XM_056785185.1	A
rna-XM_057802908.1	A	rna-XM_056785189.1	A
rna-XM_057802898.1	A	rna-XM_056785182.1	A
rna-XM_057802905.1	A	rna-XM_056785187.1	A
rna-XM_057802900.1	A	rna-XM_056785184.1	A
rna-XM_057802904.1	A	rna-XM_056785181.1	A
rna-XM_057802915.1	A	rna-XM_056785178.1	A
rna-XM_057802910.1	A	rna-XM_056785174.1	A
rna-XM_057802914.1	A	rna-XM_056785177.1	A
rna-XM_057802943.1	A	rna-XM_056784838.1	A
rna-XM_057802922.1	A	rna-XM_056784706.1	A
rna-XM_057802926.1	A	rna-XM_056784331.1	A
rna-XM_057802925.1	A	rna-XM_056784328.1	A
rna-XM_057802955.1	A	rna-XM_056784329.1	A
rna-XM_057802930.1	A	rna-XM_056784309.1	A
rna-XM_057802950.1	A	rna-XM_056784307.1	A
rna-XM_057802920.1	A	rna-XM_056784304.1	A
rna-XM_057802948.1	A	rna-XM_056784306.1	A
rna-XM_057802944.1	A	rna-XM_056784783.1	A
rna-XM_057802940.1	A	rna-XM_056784181.1	A
rna-XM_057802924.1	A	rna-XM_056784051.1	A
rna-XM_057802945.1	A	rna-XM_056784050.1	A
rna-XM_057802941.1	A	rna-XM_056784048.1	A
rna-XM_057802949.1	A	rna-XM_056784047.1	A
rna-XM_057803384.1	A	rna-XM_056784837.1	A
rna-XM_057802956.1	A	rna-XM_056784045.1	A
rna-XM_057802946.1	A	rna-XM_056784359.1	A
rna-XM_057802954.1	A	rna-XM_056784760.1	A
rna-XM_057802952.1	A	rna-XM_056784759.1	A
rna-XM_057802927.1	A	rna-XM_056784757.1	A
rna-XM_057802935.1	A	rna-XM_056784752.1	A
rna-XM_057802959.1	A	rna-XM_056784174.1	A
rna-XM_057802957.1	A	rna-XM_056784188.1	A
rna-XM_057802961.1	A	rna-XM_056783872.1	A
rna-XM_057802960.1	A	rna-XM_056784836.1	A
rna-XM_057802962.1	A	rna-XM_056784357.1	A
rna-XM_057803385.1	A	rna-XM_056784831.1	A
rna-XM_057802963.1	A	rna-XM_056785519.1	A
rna-XM_057802965.1	A	rna-XM_056784249.1	A
rna-XM_057802966.1	A	rna-XM_056784679.1	A
rna-XM_057802970.1	A	rna-XM_056784681.1	A
rna-XM_057802971.1	A	rna-XM_056784262.1	A
rna-XM_057802973.1	A	rna-XM_056785367.1	A
rna-XM_057802981.1	A	rna-XM_056785377.1	A
rna-XM_057802976.1	A	rna-XM_056785376.1	A
rna-XM_057802975.1	A	rna-XM_056785370.1	A
rna-XM_057802983.1	A	rna-XM_056785361.1	A
rna-XM_057802987.1	A	rna-XM_056785234.1	A
rna-XM_057801718.1	A	rna-XM_056785233.1	A
rna-XM_057801719.1	A	rna-XM_056785243.1	A
rna-XM_057801720.1	A	rna-XM_056784082.1	A
rna-XM_057802519.1	A	rna-XM_056785427.1	A
rna-XM_057803803.1	A	rna-XM_056784830.1	A
rna-XM_057803801.1	A	rna-XM_056785426.1	A
rna-XM_057803800.1	A	rna-XM_056785424.1	A
rna-XM_057803798.1	A	rna-XM_056785421.1	A
rna-XM_057801932.1	A	rna-XM_056784829.1	A
rna-XM_057802108.1	A	rna-XM_056784624.1	A
