C_chinensis	chromosome	B_siliquastri	chromosome
anno1.g11313.t1	A	BRAKERILHT00000014412	A
anno1.g11314.t1	A	BRAKERILHT00000014677	A
anno1.g11315.t1	A	BRAKERILHT00000014660	A
anno1.g11316.t1	A	BRAKERILHT00000014321	A
anno1.g11317.t1	A	BRAKERILHT00000015451	A
anno1.g11318.t1	A	BRAKERILHT00000015210	A
anno1.g11319.t1	A	BRAKERILHT00000015097	A
anno1.g2078.t1	A	BRAKERILHT00000002434	A
anno1.g2079.t2	A	BRAKERILHT00000000800	A
anno1.g2082.t1	A	BRAKERILHT00000000954	A
anno1.g11294.t1	A	BRAKERILHT00000011377	A
anno1.g11296.t1	A	BRAKERILHT00000011057	A
anno1.g11297.t1	A	BRAKERILHT00000010437	A
anno1.g11298.t1	A	BRAKERILHT00000010816	A
anno1.g11299.t1	A	BRAKERILHT00000011829	A
anno1.g11300.t1	A	BRAKERILHT00000012036	A
anno1.g11303.t1	A	BRAKERILHT00000012341	A
anno1.g11304.t1	A	BRAKERILHT00000010450	A
anno1.g11305.t1	A	BRAKERILHT00000013727	A
anno1.g11306.t1	A	BRAKERILHT00000010984	A
anno1.g11307.t1	A	BRAKERILHT00000011504	A
anno1.g11308.t1	A	BRAKERILHT00000012042	A
anno1.g11283.t1	A	BRAKERILHT00000003682	A
anno1.g11284.t1	A	BRAKERILHT00000002388	A
anno1.g11285.t1	A	BRAKERILHT00000002627	A
anno1.g11280.t1	A	BRAKERILHT00000007173	A
anno1.g11275.t1	A	BRAKERILHT00000009278	A
anno1.g11256.t2	A	BRAKERILHT00000016366	A
anno1.g11258.t1	A	BRAKERILHT00000016042	A
anno1.g11260.t1	A	BRAKERILHT00000017206	X
anno1.g11265.t1	A	BRAKERILHT00000016707	A
anno1.g11266.t1	A	BRAKERILHT00000016320	A
anno1.g11267.t1	A	BRAKERILHT00000016130	A
anno1.g11268.t1	A	BRAKERILHT00000016338	A
anno1.both_agree_g14913.t3	A	BRAKERILHT00000015980	A
anno1.g11270.t1	A	BRAKERILHT00000015762	A
anno1.g11271.t1	A	BRAKERILHT00000016557	A
anno1.g11272.t1	A	BRAKERILHT00000016181	A
anno1.g11273.t1	A	BRAKERILHT00000016380	A
anno1.g11274.t1	A	BRAKERILHT00000017163	X
anno1.g11248.t1	A	BRAKERILHT00000005456	A
anno1.g11251.t1	A	BRAKERILHT00000005461	A
anno1.g11252.t1	A	BRAKERILHT00000004992	A
anno1.g11253.t1	A	BRAKERILHT00000005552	A
anno1.g11254.t1	A	BRAKERILHT00000006380	A
anno1.g11243.t1	A	BRAKERILHT00000015899	A
anno1.g11246.t1	A	BRAKERILHT00000016413	A
anno1.g2072.t1	A	BRAKERILHT00000005291	A
anno1.g2070.t1	A	BRAKERILHT00000002301	A
anno1.g11233.t1	A	BRAKERILHT00000016563	A
anno1.g11235.t1	A	BRAKERILHT00000016280	A
anno1.g11236.t2	A	BRAKERILHT00000016493	A
anno1.g11237.t1	A	BRAKERILHT00000016193	A
anno1.g11238.t1	A	BRAKERILHT00000015881	A
anno1.g11239.t1	A	BRAKERILHT00000016987	A
anno1.g2034.t1	A	BRAKERILHT00000003556	A
anno1.g2036.t1	A	BRAKERILHT00000003018	A
anno1.g2037.t1	A	BRAKERILHT00000002375	A
anno1.g2038.t1	A	BRAKERILHT00000004028	A
anno1.g2039.t1	A	BRAKERILHT00000003522	A
anno1.g2040.t1	A	BRAKERILHT00000003568	A
anno1.g2041.t1	A	BRAKERILHT00000003320	A
anno1.g2042.t1	A	BRAKERILHT00000002840	A
anno1.g2044.t1	A	BRAKERILHT00000017514	X
anno1.g2045.t1	A	BRAKERILHT00000017509	X
anno1.g2047.t1	A	BRAKERILHT00000002659	A
anno1.g2048.t1	A	BRAKERILHT00000004421	A
anno1.g2049.t1	A	BRAKERILHT00000003168	A
anno1.g2050.t1	A	BRAKERILHT00000003444	A
anno1.g2051.t1	A	BRAKERILHT00000003116	A
anno1.g2053.t1	A	BRAKERILHT00000003869	A
anno1.g2054.t1	A	BRAKERILHT00000002230	A
anno1.g2055.t1	A	BRAKERILHT00000002989	A
anno1.g2058.t2	A	BRAKERILHT00000003747	A
anno1.g2059.t1	A	BRAKERILHT00000002259	A
anno1.g2060.t1	A	BRAKERILHT00000003232	A
anno1.g2061.t1	A	BRAKERILHT00000004222	A
anno1.g2062.t1	A	BRAKERILHT00000003025	A
anno1.g2063.t2	A	BRAKERILHT00000003418	A
anno1.g2065.t1	A	BRAKERILHT00000003386	A
anno1.g2067.t1	A	BRAKERILHT00000004137	A
anno1.g2069.t1	A	BRAKERILHT00000004255	A
anno1.g11219.t1	A	BRAKERILHT00000016983	A
anno1.g11220.t1	A	BRAKERILHT00000015841	A
anno1.g11221.t1	A	BRAKERILHT00000015967	A
anno1.g11222.t1	A	BRAKERILHT00000016759	A
anno1.g11223.t1	A	BRAKERILHT00000016604	A
anno1.g11224.t1	A	BRAKERILHT00000015675	A
anno1.g11225.t1	A	BRAKERILHT00000015818	A
anno1.g11226.t1	A	BRAKERILHT00000016472	A
anno1.g11227.t1	A	BRAKERILHT00000016798	A
anno1.g11229.t1	A	BRAKERILHT00000015705	A
anno1.g11230.t1	A	BRAKERILHT00000015809	A
anno1.g11215.t1	A	BRAKERILHT00000017959	X
anno1.g11217.t1	A	BRAKERILHT00000016757	A
anno1.g11218.t1	A	BRAKERILHT00000015771	A
anno1.g11210.t2	X	BRAKERILHT00000017772	X
anno1.g11212.t1	X	BRAKERILHT00000017330	X
anno1.g11213.t2	X	BRAKERILHT00000017181	X
anno1.g11209.t1	A	BRAKERILHT00000014928	A
anno1.g2030.t1	A	BRAKERILHT00000013114	A
anno1.g2031.t1	A	BRAKERILHT00000013659	A
anno1.g2032.t3	A	BRAKERILHT00000012676	A
anno1.g11205.t1	A	BRAKERILHT00000009911	A
anno1.g11206.t1	A	BRAKERILHT00000008992	A
anno1.g11207.t1	A	BRAKERILHT00000009375	A
anno1.g11208.t1	A	BRAKERILHT00000010025	A
anno1.g11202.t1	A	BRAKERILHT00000007625	A
anno1.g11203.t1	A	BRAKERILHT00000007140	A
anno1.g11158.t2	A	BRAKERILHT00000010085	A
anno1.g11159.t1	A	BRAKERILHT00000009641	A
anno1.g11160.t1	A	BRAKERILHT00000010008	A
anno1.g11161.t1	A	BRAKERILHT00000009756	A
anno1.g11162.t1	A	BRAKERILHT00000009126	A
anno1.g11163.t1	A	BRAKERILHT00000009735	A
anno1.g11164.t2	A	BRAKERILHT00000008872	A
anno1.g11165.t1	A	BRAKERILHT00000009461	A
anno1.g11167.t1	A	BRAKERILHT00000010018	A
anno1.g11168.t1	A	BRAKERILHT00000008600	A
anno1.g11169.t1	A	BRAKERILHT00000001888	A
anno1.g11170.t1	A	BRAKERILHT00000009166	A
anno1.g11171.t1	A	BRAKERILHT00000008830	A
anno1.g11172.t1	A	BRAKERILHT00000009225	A
anno1.g11173.t1	A	BRAKERILHT00000009782	A
anno1.g11174.t1	A	BRAKERILHT00000010348	A
anno1.g11175.t1	A	BRAKERILHT00000008559	A
anno1.g11176.t1	A	BRAKERILHT00000009232	A
anno1.g11177.t1	A	BRAKERILHT00000008675	A
anno1.g11181.t2	A	BRAKERILHT00000009496	A
anno1.g11182.t1	A	BRAKERILHT00000009925	A
anno1.g11183.t1	A	BRAKERILHT00000008673	A
anno1.g11184.t1	A	BRAKERILHT00000009086	A
anno1.g11186.t1	A	BRAKERILHT00000010210	A
anno1.g11188.t1	A	BRAKERILHT00000009350	A
anno1.g11189.t1	A	BRAKERILHT00000009532	A
anno1.g11190.t1	A	BRAKERILHT00000008731	A
anno1.g11191.t4	A	BRAKERILHT00000010239	A
anno1.g11193.t1	A	BRAKERILHT00000009557	A
anno1.g11196.t1	A	BRAKERILHT00000008526	A
anno1.g11197.t2	A	BRAKERILHT00000010031	A
anno1.g11198.t2	A	BRAKERILHT00000008990	A
anno1.g11156.t3	A	BRAKERILHT00000006954	A
anno1.g11157.t1	A	BRAKERILHT00000008083	A
anno1.g11153.t1	A	BRAKERILHT00000008870	A
anno1.g11155.t1	A	BRAKERILHT00000008534	A
anno1.g11150.t1	A	BRAKERILHT00000006828	A
anno1.g11134.t2	A	BRAKERILHT00000004977	A
anno1.g11138.t2	A	BRAKERILHT00000005258	A
anno1.g11141.t1	A	BRAKERILHT00000005928	A
anno1.g11143.t1	A	BRAKERILHT00000006120	A
anno1.g11145.t1	A	BRAKERILHT00000004779	A
anno1.g1981.t1	A	BRAKERILHT00000003871	A
anno1.g1983.t4	A	BRAKERILHT00000002396	A
anno1.g1984.t1	A	BRAKERILHT00000002925	A
anno1.g1985.t1	A	BRAKERILHT00000003374	A
anno1.g1986.t3	A	BRAKERILHT00000003878	A
anno1.g1989.t1	A	BRAKERILHT00000002409	A
anno1.g1990.t1	A	BRAKERILHT00000002951	A
anno1.g1991.t1	A	BRAKERILHT00000004292	A
anno1.g1992.t2	A	BRAKERILHT00000002503	A
anno1.g1993.t1	A	BRAKERILHT00000003052	A
anno1.g1994.t2	A	BRAKERILHT00000002451	A
anno1.g1995.t1	A	BRAKERILHT00000004089	A
anno1.g1996.t2	A	BRAKERILHT00000002258	A
anno1.g1997.t1	A	BRAKERILHT00000002801	A
anno1.g1998.t1	A	BRAKERILHT00000003868	A
anno1.g1999.t1	A	BRAKERILHT00000003833	A
anno1.g2000.t2	A	BRAKERILHT00000004344	A
anno1.g2001.t1	A	BRAKERILHT00000003430	A
anno1.g2002.t2	A	BRAKERILHT00000002417	A
anno1.g2004.t1	A	BRAKERILHT00000003892	A
anno1.g2005.t2	A	BRAKERILHT00000004287	A
anno1.g2006.t1	A	BRAKERILHT00000002744	A
anno1.g2007.t1	A	BRAKERILHT00000004227	A
anno1.g2008.t2	A	BRAKERILHT00000004354	A
anno1.g2009.t1	A	BRAKERILHT00000003406	A
anno1.g2010.t1	A	BRAKERILHT00000002809	A
anno1.g2011.t1	A	BRAKERILHT00000002444	A
anno1.g2012.t1	A	BRAKERILHT00000002298	A
anno1.g2013.t2	A	BRAKERILHT00000003943	A
anno1.g2015.t2	A	BRAKERILHT00000002233	A
anno1.g2017.t1	A	BRAKERILHT00000003514	A
anno1.g2018.t1	A	BRAKERILHT00000004253	A
anno1.g2019.t1	A	BRAKERILHT00000003915	A
anno1.g2020.t1	A	BRAKERILHT00000004321	A
anno1.g2021.t1	A	BRAKERILHT00000003143	A
anno1.g2022.t1	A	BRAKERILHT00000003639	A
anno1.g2023.t1	A	BRAKERILHT00000002449	A
anno1.g2024.t1	A	BRAKERILHT00000003906	A
anno1.g2025.t1	A	BRAKERILHT00000001985	A
anno1.g2027.t1	A	BRAKERILHT00000004194	A
anno1.g2028.t1	A	BRAKERILHT00000002681	A
anno1.g11124.t1	A	BRAKERILHT00000010284	A
anno1.g11125.t1	A	BRAKERILHT00000008793	A
anno1.g11126.t1	A	BRAKERILHT00000009199	A
anno1.g11127.t1	A	BRAKERILHT00000009894	A
anno1.g11129.t1	A	BRAKERILHT00000010308	A
anno1.g11130.t1	A	BRAKERILHT00000008608	A
anno1.g11131.t1	A	BRAKERILHT00000009622	A
anno1.g11132.t1	A	BRAKERILHT00000008771	A
anno1.g11122.t1	A	BRAKERILHT00000008151	A
anno1.g11120.t1	A	BRAKERILHT00000014001	A
anno1.g11116.t2	A	BRAKERILHT00000007143	A
anno1.g11072.t1	A	BRAKERILHT00000010970	A
anno1.g11073.t1	A	BRAKERILHT00000011372	A
anno1.g11074.t4	A	BRAKERILHT00000012289	A
anno1.g11075.t1	A	BRAKERILHT00000011787	A
anno1.g11076.t1	A	BRAKERILHT00000011680	A
anno1.g11077.t1	A	BRAKERILHT00000011476	A
anno1.g11078.t1	A	BRAKERILHT00000011925	A
anno1.g11079.t1	A	BRAKERILHT00000010635	A
anno1.g11080.t1	A	BRAKERILHT00000011068	A
anno1.g11081.t1	A	BRAKERILHT00000011528	A
anno1.g11082.t1	A	BRAKERILHT00000012147	A
anno1.g11083.t1	A	BRAKERILHT00000010884	A
anno1.g11084.t1	A	BRAKERILHT00000011859	A
anno1.g11085.t1	A	BRAKERILHT00000010896	A
anno1.g11086.t2	A	BRAKERILHT00000011034	A
anno1.g11087.t1	A	BRAKERILHT00000012306	A
anno1.g11089.t2	A	BRAKERILHT00000010760	A
anno1.g11090.t1	A	BRAKERILHT00000010735	A
anno1.g11091.t1	A	BRAKERILHT00000012298	A
anno1.g11093.t1	A	BRAKERILHT00000011997	A
anno1.g11094.t1	A	BRAKERILHT00000011168	A
anno1.g11095.t1	A	BRAKERILHT00000011479	A
anno1.g11096.t2	A	BRAKERILHT00000012220	A
anno1.g11098.t1	A	BRAKERILHT00000010843	A
anno1.g11099.t1	A	BRAKERILHT00000011142	A
anno1.g11100.t1	A	BRAKERILHT00000011690	A
anno1.g11101.t1	A	BRAKERILHT00000012281	A
anno1.g11103.t1	A	BRAKERILHT00000011634	A
anno1.g11104.t1	A	BRAKERILHT00000012012	A
anno1.g11105.t1	A	BRAKERILHT00000011762	A
anno1.g11106.t1	A	BRAKERILHT00000012193	A
anno1.g11107.t1	A	BRAKERILHT00000010691	A
anno1.g11108.t1	A	BRAKERILHT00000011370	A
anno1.g11109.t1	A	BRAKERILHT00000012069	A
anno1.g11110.t1	A	BRAKERILHT00000010807	A
anno1.g11111.t1	A	BRAKERILHT00000011015	A
anno1.g11112.t1	A	BRAKERILHT00000011718	A
anno1.g11113.t1	A	BRAKERILHT00000012141	A
anno1.g11114.t1	A	BRAKERILHT00000011996	A
anno1.g11115.t1	A	BRAKERILHT00000010490	A
anno1.g11069.t1	A	BRAKERILHT00000015572	A
anno1.g11070.t1	A	BRAKERILHT00000014313	A
anno1.g11071.t2	A	BRAKERILHT00000014856	A
anno1.g11065.t1	A	BRAKERILHT00000012526	A
anno1.g11066.t1	A	BRAKERILHT00000013032	A
anno1.g11056.t1	A	BRAKERILHT00000005360	A
anno1.g11057.t1	A	BRAKERILHT00000004456	A
anno1.g11059.t1	A	BRAKERILHT00000006018	A
anno1.g11060.t1	A	BRAKERILHT00000005561	A
anno1.g11061.t1	A	BRAKERILHT00000004516	A
anno1.g11062.t1	A	BRAKERILHT00000005047	A
anno1.g11064.t1	A	BRAKERILHT00000017115	X
anno1.g11047.t1	A	BRAKERILHT00000007174	A
anno1.g11048.t1	A	BRAKERILHT00000007940	A
anno1.g1963.t1	A	BRAKERILHT00000000075	A
anno1.g1964.t2	A	BRAKERILHT00000001725	A
anno1.g1965.t2	A	BRAKERILHT00000001037	A
anno1.g1966.t1	A	BRAKERILHT00000000436	A
anno1.g1967.t1	A	BRAKERILHT00000000657	A
anno1.g1968.t1	A	BRAKERILHT00000000003	A
anno1.g1969.t1	A	BRAKERILHT00000001891	A
anno1.g1970.t1	A	BRAKERILHT00000001452	A
anno1.g1971.t1	A	BRAKERILHT00000001183	A
anno1.g1972.t2	A	BRAKERILHT00000001777	A
anno1.g1973.t2	A	BRAKERILHT00000000540	A
anno1.g1974.t1	A	BRAKERILHT00000001194	A
anno1.g1975.t2	A	BRAKERILHT00000000006	A
anno1.g1976.t1	A	BRAKERILHT00000000345	A
anno1.g1977.t1	A	BRAKERILHT00000000971	A
anno1.g1978.t1	A	BRAKERILHT00000001977	A
anno1.g11044.t1	A	BRAKERILHT00000002237	A
anno1.g11045.t1	A	BRAKERILHT00000003995	A
anno1.g1960.t1	A	BRAKERILHT00000004626	A
anno1.g11025.t1	A	BRAKERILHT00000013391	A
anno1.g11026.t1	A	BRAKERILHT00000013132	A
anno1.g11028.t1	A	BRAKERILHT00000013731	A
anno1.g11029.t1	A	BRAKERILHT00000012441	A
anno1.g11031.t1	A	BRAKERILHT00000012792	A
anno1.g11032.t1	A	BRAKERILHT00000013576	A
anno1.g11033.t1	A	BRAKERILHT00000012707	A
anno1.g11038.t1	A	BRAKERILHT00000012713	A
anno1.g11039.t1	A	BRAKERILHT00000013890	A
anno1.g11040.t1	A	BRAKERILHT00000013191	A
anno1.g11043.t3	A	BRAKERILHT00000013037	A
anno1.g11024.t1	A	BRAKERILHT00000014134	A
anno1.g11022.t1	A	BRAKERILHT00000004322	A
anno1.g11023.t1	A	BRAKERILHT00000002179	A
anno1.g1958.t2	A	BRAKERILHT00000014433	A
anno1.g11021.t1	A	BRAKERILHT00000007678	A
anno1.g10996.t1	A	BRAKERILHT00000003245	A
anno1.g10997.t1	A	BRAKERILHT00000003640	A
anno1.g10999.t1	A	BRAKERILHT00000002441	A
anno1.g11000.t1	A	BRAKERILHT00000002368	A
anno1.g11001.t1	A	BRAKERILHT00000003272	A
anno1.g11002.t1	A	BRAKERILHT00000004106	A
anno1.g11003.t1	A	BRAKERILHT00000003461	A
anno1.g11004.t1	A	BRAKERILHT00000003153	A
anno1.g11005.t1	A	BRAKERILHT00000002377	A
anno1.g11006.t1	A	BRAKERILHT00000004401	A
anno1.g11007.t2	A	BRAKERILHT00000002836	A
anno1.g11010.t1	A	BRAKERILHT00000002303	A
anno1.g11011.t1	A	BRAKERILHT00000006401	A
anno1.g11012.t1	A	BRAKERILHT00000002476	A
anno1.g11013.t1	A	BRAKERILHT00000003592	A
anno1.g11014.t1	A	BRAKERILHT00000004346	A
anno1.g11015.t1	A	BRAKERILHT00000002224	A
anno1.g11016.t1	A	BRAKERILHT00000002872	A
anno1.g11017.t1	A	BRAKERILHT00000003500	A
anno1.g11018.t1	A	BRAKERILHT00000003527	A
anno1.g11019.t1	A	BRAKERILHT00000003009	A
anno1.g11020.t1	A	BRAKERILHT00000004220	A
anno1.g10995.t1	X	BRAKERILHT00000005611	A
anno1.g10993.t1	A	BRAKERILHT00000015960	A
anno1.g1951.t1	A	BRAKERILHT00000012164	A
anno1.g10990.t1	A	BRAKERILHT00000001086	A
anno1.g10991.t1	A	BRAKERILHT00000001378	A
anno1.g10974.t2	A	BRAKERILHT00000015577	A
anno1.g10975.t1	A	BRAKERILHT00000015219	A
anno1.g10977.t2	A	BRAKERILHT00000014969	A
anno1.g10978.t1	A	BRAKERILHT00000014317	A
anno1.g10979.t1	A	BRAKERILHT00000014108	A
anno1.g10980.t1	A	BRAKERILHT00000015262	A
anno1.g10981.t1	A	BRAKERILHT00000015190	A
anno1.g10982.t1	A	BRAKERILHT00000015244	A
anno1.g10983.t1	A	BRAKERILHT00000015347	A
anno1.g10984.t1	A	BRAKERILHT00000014983	A
anno1.g10985.t1	A	BRAKERILHT00000014122	A
anno1.g10987.t1	A	BRAKERILHT00000014770	A
anno1.g10988.t1	A	BRAKERILHT00000014305	A
anno1.g1933.t1	A	BRAKERILHT00000001520	A
anno1.g1934.t1	A	BRAKERILHT00000001415	A
anno1.g1935.t1	A	BRAKERILHT00000000519	A
anno1.g1936.t1	A	BRAKERILHT00000000503	A
anno1.g1937.t1	A	BRAKERILHT00000001009	A
anno1.g1938.t1	A	BRAKERILHT00000001147	A
anno1.g1939.t1	A	BRAKERILHT00000002074	A
anno1.g1941.t1	A	BRAKERILHT00000000089	A
anno1.g1942.t2	A	BRAKERILHT00000001277	A
anno1.g1943.t1	A	BRAKERILHT00000001756	A
anno1.g1944.t1	A	BRAKERILHT00000005109	A
anno1.g1945.t3	A	BRAKERILHT00000001979	A
anno1.g1946.t1	A	BRAKERILHT00000001738	A
anno1.g1947.t1	A	BRAKERILHT00000002019	A
anno1.g1948.t1	A	BRAKERILHT00000001727	A
anno1.g1949.t1	A	BRAKERILHT00000001108	A
anno1.g10970.t1	A	BRAKERILHT00000014919	A
anno1.g10971.t1	A	BRAKERILHT00000015360	A
anno1.g10972.t1	A	BRAKERILHT00000014259	A
anno1.g10973.t1	A	BRAKERILHT00000015350	A
anno1.g10968.t1	X	BRAKERILHT00000012628	A
anno1.g10955.t1	A	BRAKERILHT00000016919	A
anno1.g10956.t1	A	BRAKERILHT00000016356	A
anno1.g10957.t1	A	BRAKERILHT00000015975	A
anno1.g10958.t1	A	BRAKERILHT00000015677	A
anno1.g10959.t1	A	BRAKERILHT00000016747	A
anno1.g10960.t1	A	BRAKERILHT00000016024	A
anno1.g10961.t1	A	BRAKERILHT00000016414	A
anno1.g10962.t1	A	BRAKERILHT00000016545	A
anno1.g10963.t1	A	BRAKERILHT00000015749	A
anno1.g10964.t2	A	BRAKERILHT00000016101	A
anno1.g10965.t1	A	BRAKERILHT00000016330	A
anno1.g10966.t1	A	BRAKERILHT00000016730	A
anno1.g10967.t2	A	BRAKERILHT00000015707	A
anno1.g1931.t2	A	BRAKERILHT00000010417	A
anno1.g10937.t3	A	BRAKERILHT00000002469	A
anno1.g10939.t2	A	BRAKERILHT00000003581	A
anno1.g10940.t3	A	BRAKERILHT00000004261	A
anno1.g10941.t1	A	BRAKERILHT00000003199	A
anno1.g10942.t1	A	BRAKERILHT00000002548	A
anno1.g10943.t1	A	BRAKERILHT00000004278	A
anno1.g10946.t1	A	BRAKERILHT00000003295	A
anno1.g10947.t1	A	BRAKERILHT00000003384	A
anno1.g10948.t3	A	BRAKERILHT00000002764	A
anno1.g10951.t1	A	BRAKERILHT00000004180	A
anno1.g10954.t2	A	BRAKERILHT00000002874	A
anno1.g10895.t1	A	BRAKERILHT00000001765	A
anno1.g10897.t1	A	BRAKERILHT00000000401	A
anno1.g10899.t1	A	BRAKERILHT00000000123	A
anno1.g10900.t1	A	BRAKERILHT00000000613	A
anno1.g10901.t3	A	BRAKERILHT00000001812	A
anno1.g10902.t1	A	BRAKERILHT00000000663	A
anno1.g10903.t1	A	BRAKERILHT00000000469	A
anno1.g10906.t1	A	BRAKERILHT00000001319	A
anno1.g10908.t1	A	BRAKERILHT00000000900	A
anno1.g10909.t1	A	BRAKERILHT00000000250	A
anno1.g10911.t1	A	BRAKERILHT00000000396	A
anno1.g10914.t1	A	BRAKERILHT00000001031	A
anno1.g10915.t1	A	BRAKERILHT00000001103	A
anno1.g10917.t1	A	BRAKERILHT00000000140	A
anno1.g10920.t1	A	BRAKERILHT00000001418	A
anno1.g10921.t1	A	BRAKERILHT00000016185	A
anno1.g10922.t1	A	BRAKERILHT00000000142	A
anno1.g10923.t1	A	BRAKERILHT00000001360	A
anno1.g10925.t1	A	BRAKERILHT00000000848	A
anno1.g10926.t1	A	BRAKERILHT00000000825	A
anno1.g10927.t1	A	BRAKERILHT00000001691	A
anno1.g10934.t1	A	BRAKERILHT00000002092	A
anno1.g10894.t1	A	BRAKERILHT00000008252	A
anno1.g10886.t1	A	BRAKERILHT00000003577	A
anno1.g10887.t1	A	BRAKERILHT00000003855	A
anno1.g10888.t1	A	BRAKERILHT00000004207	A
anno1.g10865.t1	A	BRAKERILHT00000015272	A
anno1.g10866.t1	A	BRAKERILHT00000014253	A
anno1.g10870.t1	A	BRAKERILHT00000014607	A
anno1.g10871.t1	A	BRAKERILHT00000015575	A
anno1.g10874.t1	A	BRAKERILHT00000014530	A
anno1.g10875.t1	A	BRAKERILHT00000014692	A
anno1.g10877.t1	A	BRAKERILHT00000015033	A
anno1.g10878.t1	A	BRAKERILHT00000015413	A
anno1.g10879.t1	A	BRAKERILHT00000014160	A
anno1.g10880.t2	A	BRAKERILHT00000014531	A
anno1.g10881.t1	A	BRAKERILHT00000014864	A
anno1.g10882.t1	A	BRAKERILHT00000014445	A
anno1.g10883.t1	A	BRAKERILHT00000015524	A
anno1.g10884.t1	A	BRAKERILHT00000014889	A
anno1.g1913.t1	A	BRAKERILHT00000013336	A
anno1.g1915.t1	A	BRAKERILHT00000013815	A
anno1.g1917.t1	A	BRAKERILHT00000013471	A
anno1.g1920.t1	A	BRAKERILHT00000013429	A
anno1.g1921.t1	A	BRAKERILHT00000013345	A
anno1.g1922.t1	A	BRAKERILHT00000012408	A
anno1.g1925.t1	A	BRAKERILHT00000013918	A
anno1.g1927.t1	A	BRAKERILHT00000012820	A
anno1.g10860.t1	A	BRAKERILHT00000011596	A
anno1.g10861.t1	A	BRAKERILHT00000011899	A
anno1.g10862.t1	A	BRAKERILHT00000011052	A
anno1.g10863.t1	A	BRAKERILHT00000010488	A
anno1.g10864.t1	A	BRAKERILHT00000011600	A
anno1.g1896.t2	A	BRAKERILHT00000013020	A
anno1.g1897.t1	A	BRAKERILHT00000013803	A
anno1.g1898.t1	A	BRAKERILHT00000013392	A
anno1.g1899.t1	A	BRAKERILHT00000013517	A
anno1.g1900.t1	A	BRAKERILHT00000013957	A
anno1.g1902.t1	A	BRAKERILHT00000013601	A
anno1.g1904.t2	A	BRAKERILHT00000012802	A
anno1.g1905.t1	A	BRAKERILHT00000013972	A
anno1.g1906.t1	A	BRAKERILHT00000013816	A
anno1.g1907.t1	A	BRAKERILHT00000013332	A
anno1.g1909.t1	A	BRAKERILHT00000013725	A
anno1.g1910.t1	A	BRAKERILHT00000012460	A
anno1.g1911.t6	A	BRAKERILHT00000013864	A
anno1.g1912.t3	A	BRAKERILHT00000013690	A
anno1.g1891.t1	A	BRAKERILHT00000014858	A
anno1.g1892.t1	A	BRAKERILHT00000015430	A
anno1.g1894.t1	A	BRAKERILHT00000015518	A
anno1.g1895.t1	A	BRAKERILHT00000014559	A
anno1.g10852.t1	A	BRAKERILHT00000009936	A
anno1.g10853.t2	A	BRAKERILHT00000009630	A
anno1.g10855.t1	A	BRAKERILHT00000008627	A
anno1.g10856.t1	A	BRAKERILHT00000009192	A
anno1.g10857.t1	A	BRAKERILHT00000010341	A
anno1.g10858.t1	A	BRAKERILHT00000008689	A
anno1.g10850.t1	A	BRAKERILHT00000000476	A
anno1.g1882.t1	A	BRAKERILHT00000014152	A
anno1.g1886.t1	A	BRAKERILHT00000015009	A
anno1.g10764.t1	A	BRAKERILHT00000011079	A
anno1.g10766.t2	A	BRAKERILHT00000010763	A
anno1.g10767.t1	A	BRAKERILHT00000011734	A
anno1.g10768.t1	A	BRAKERILHT00000012073	A
anno1.g10770.t1	A	BRAKERILHT00000010707	A
anno1.g10771.t1	A	BRAKERILHT00000011264	A
anno1.g10772.t1	A	BRAKERILHT00000018083	Y
anno1.g10773.t1	A	BRAKERILHT00000011784	A
anno1.g10774.t2	A	BRAKERILHT00000010439	A
anno1.g10775.t1	A	BRAKERILHT00000010850	A
anno1.g10776.t1	A	BRAKERILHT00000012163	A
anno1.g10777.t1	A	BRAKERILHT00000010822	A
anno1.g10778.t1	A	BRAKERILHT00000012350	A
anno1.g10779.t1	A	BRAKERILHT00000010888	A
anno1.g10781.t1	A	BRAKERILHT00000010547	A
anno1.g10782.t1	A	BRAKERILHT00000012242	A
anno1.g10783.t1	A	BRAKERILHT00000011362	A
anno1.g10785.t1	A	BRAKERILHT00000010802	A
anno1.g10786.t1	A	BRAKERILHT00000012183	A
anno1.g10787.t1	A	BRAKERILHT00000010720	A
anno1.g10788.t1	A	BRAKERILHT00000011163	A
anno1.g10789.t2	A	BRAKERILHT00000011572	A
anno1.g10791.t1	A	BRAKERILHT00000010557	A
anno1.g10792.t1	A	BRAKERILHT00000016149	A
anno1.g10793.t1	A	BRAKERILHT00000014802	A
anno1.g10794.t1	A	BRAKERILHT00000014279	A
anno1.g10795.t1	A	BRAKERILHT00000015485	A
anno1.g10796.t1	A	BRAKERILHT00000014964	A
anno1.g10799.t1	A	BRAKERILHT00000014610	A
anno1.g10801.t1	A	BRAKERILHT00000014060	A
anno1.g10802.t1	A	BRAKERILHT00000014382	A
anno1.g10803.t1	A	BRAKERILHT00000015591	A
anno1.g10804.t1	A	BRAKERILHT00000014710	A
anno1.g10805.t1	A	BRAKERILHT00000014869	A
anno1.g10806.t1	A	BRAKERILHT00000014504	A
anno1.g10807.t1	A	BRAKERILHT00000015576	A
anno1.g10808.t1	A	BRAKERILHT00000015042	A
anno1.g10809.t1	A	BRAKERILHT00000014974	A
anno1.g10810.t1	A	BRAKERILHT00000014814	A
anno1.g10811.t1	A	BRAKERILHT00000014058	A
