A_obtectus	chromosome	D_carinulata	chromosome
anno1.g6980.t1	A	rna-XM_057811262.1	A
anno1.g6981.t1	A	rna-XM_057811732.1	A
anno1.g6982.t1	A	rna-XM_057806491.1	A
anno1.g6983.t1	A	rna-XM_057806488.1	A
anno1.g6984.t1	A	rna-XM_057802072.1	A
anno1.g6986.t1	A	rna-XM_057800409.1	A
anno1.g6994.t1	A	rna-XM_057814865.1	A
anno1.g6995.t1	A	rna-XM_057804919.1	A
anno1.g6999.t1	A	rna-XM_057813619.1	A
anno1.g7001.t1	A	rna-XM_057795586.1	A
anno1.g7003.t2	A	rna-XM_057813628.1	A
anno1.g7004.t1	A	rna-XM_057807085.1	A
anno1.g7012.t1	A	rna-XM_057805110.1	A
anno1.g7013.t1	A	rna-XM_057805101.1	A
anno1.g7014.t1	A	rna-XM_057805105.1	A
anno1.g7015.t1	A	rna-XM_057801878.1	A
anno1.g7016.t1	A	rna-XM_057805104.1	A
anno1.g7017.t1	A	rna-XM_057806425.1	A
anno1.g7018.t1	A	rna-XM_057805094.1	A
anno1.g7020.t1	A	rna-XM_057803937.1	A
anno1.g7023.t1	A	rna-XM_057804583.1	A
anno1.g7024.t2	A	rna-XM_057804578.1	A
anno1.g7025.t1	A	rna-XM_057803885.1	A
anno1.g7026.t1	A	rna-XM_057808254.1	A
anno1.g7027.t1	A	rna-XM_057808898.1	A
anno1.g7028.t1	A	rna-XM_057815073.1	A
anno1.g7029.t1	A	rna-XM_057797033.1	A
anno1.g7030.t1	A	rna-XM_057797027.1	A
anno1.g7031.t1	A	rna-XM_057797029.1	A
anno1.g7032.t1	A	rna-XM_057797072.1	A
anno1.g7033.t1	A	rna-XM_057815293.1	Y
anno1.g7034.t1	A	rna-XM_057797068.1	A
anno1.g7036.t1	A	rna-XM_057797067.1	A
anno1.g7039.t2	A	rna-XM_057796835.1	A
anno1.g7042.t1	A	rna-XM_057801222.1	A
anno1.g7043.t1	A	rna-XM_057801221.1	A
anno1.g7044.t1	A	rna-XM_057799912.1	A
anno1.g7045.t1	A	rna-XM_057801838.1	A
anno1.g7047.t2	A	rna-XM_057813630.1	A
anno1.g7048.t1	A	rna-XM_057813627.1	A
anno1.g7049.t1	A	rna-XM_057813632.1	A
anno1.g7050.t1	A	rna-XM_057802273.1	A
anno1.g7051.t1	A	rna-XM_057799967.1	A
anno1.g7053.t1	A	rna-XM_057800353.1	A
anno1.g7058.t1	A	rna-XM_057794924.1	A
anno1.g7063.t1	A	rna-XM_057815590.1	A
anno1.g7068.t1	A	rna-XM_057799962.1	A
anno1.g7074.t1	A	rna-XM_057802607.1	A
anno1.g7075.t1	A	rna-XM_057802578.1	A
anno1.g7077.t2	A	rna-XM_057802634.1	A
anno1.g7078.t1	A	rna-XM_057807002.1	A
anno1.g7079.t1	A	rna-XM_057811999.1	A
anno1.g7080.t1	A	rna-XM_057806060.1	A
anno1.g7082.t1	A	rna-XM_057816402.1	A
anno1.g7084.t1	A	rna-XM_057814863.1	A
anno1.g7088.t1	A	rna-XM_057811098.1	A
anno1.g7092.t1	A	rna-XM_057804671.1	A
anno1.g7097.t1	A	rna-XM_057797856.1	A
anno1.g7101.t1	A	rna-XM_057799354.1	A
anno1.g7108.t1	A	rna-XM_057815859.1	A
anno1.g7109.t1	A	rna-XM_057815700.1	A
anno1.g7110.t1	A	rna-XM_057816541.1	A
anno1.g7111.t1	A	rna-XM_057816698.1	A
anno1.g7112.t1	A	rna-XM_057795205.1	A
anno1.g7113.t1	A	rna-XM_057803912.1	A
anno1.g7115.t1	A	rna-XM_057805169.1	A
anno1.g7132.t1	A	rna-XM_057812563.1	A
anno1.g7134.t1	A	rna-XM_057805055.1	A
anno1.g7137.t1	A	rna-XM_057814557.1	A
anno1.g7138.t1	A	rna-XM_057813634.1	A
anno1.g7141.t1	A	rna-XM_057797168.1	A
anno1.g7142.t1	A	rna-XM_057797170.1	A
anno1.g7143.t1	A	rna-XM_057797105.1	A
anno1.g7144.t2	A	rna-XM_057797156.1	A
anno1.g7145.t3	A	rna-XM_057795402.1	A
anno1.g7146.t1	A	rna-XM_057797083.1	A
anno1.g7147.t2	A	rna-XM_057797090.1	A
anno1.g7150.t1	A	rna-XM_057813788.1	A
anno1.g7151.t1	A	rna-XM_057799697.1	A
anno1.g7152.t2	A	rna-XM_057813341.1	A
anno1.g7154.t1	A	rna-XM_057813734.1	A
anno1.g7155.t1	A	rna-XM_057804844.1	A
anno1.g7156.t1	A	rna-XM_057805160.1	A
anno1.g7157.t1	A	rna-XM_057798563.1	A
anno1.g7160.t2	A	rna-XM_057798564.1	A
anno1.g7161.t1	A	rna-XM_057798819.1	A
anno1.g7162.t1	A	rna-XM_057797756.1	A
anno1.g7163.t1	A	rna-XM_057800751.1	A
anno1.g7164.t1	A	rna-XM_057799764.1	A
anno1.g7165.t1	A	rna-XM_057799773.1	A
anno1.g7167.t1	A	rna-XM_057798985.1	A
anno1.g7168.t1	A	rna-XM_057799046.1	A
anno1.g7170.t1	A	rna-XM_057799404.1	A
anno1.g7171.t1	A	rna-XM_057802187.1	A
anno1.g7175.t1	A	rna-XM_057802281.1	A
anno1.g7176.t1	A	rna-XM_057802596.1	A
anno1.g7177.t1	A	rna-XM_057802595.1	A
anno1.g7178.t1	A	rna-XM_057802280.1	A
anno1.g7179.t1	A	rna-XM_057808012.1	A
anno1.g7180.t1	A	rna-XM_057811185.1	A
anno1.g7181.t2	A	rna-XM_057812122.1	A
anno1.g7188.t1	A	rna-XM_057813027.1	A
anno1.g7189.t2	A	rna-XM_057812818.1	A
anno1.g7190.t2	A	rna-XM_057812670.1	A
anno1.g7191.t1	A	rna-XM_057812661.1	A
anno1.g7192.t1	A	rna-XM_057813026.1	A
anno1.g7194.t1	A	rna-XM_057812686.1	A
anno1.g7196.t1	A	rna-XM_057797023.1	A
anno1.g7197.t2	A	rna-XM_057815420.1	A
anno1.g7198.t1	A	rna-XM_057797125.1	A
anno1.g7202.t2	A	rna-XM_057807774.1	A
anno1.g7206.t1	A	rna-XM_057808518.1	A
anno1.g7208.t1	A	rna-XM_057808265.1	A
anno1.g7209.t1	A	rna-XM_057808108.1	A
anno1.g7210.t1	A	rna-XM_057807747.1	A
anno1.g7211.t1	A	rna-XM_057814437.1	A
anno1.g7212.t1	A	rna-XM_057811673.1	A
anno1.g7214.t1	A	rna-XM_057813324.1	A
anno1.g7215.t2	A	rna-XM_057813456.1	A
anno1.g7216.t1	A	rna-XM_057801616.1	A
anno1.g7217.t1	A	rna-XM_057801620.1	A
anno1.g7218.t2	A	rna-XM_057802211.1	A
anno1.g7219.t1	A	rna-XM_057802322.1	A
anno1.g7220.t2	A	rna-XM_057801917.1	A
anno1.g7225.t1	A	rna-XM_057813196.1	A
anno1.g7226.t1	A	rna-XM_057807335.1	A
anno1.g7239.t1	A	rna-XM_057813868.1	A
anno1.g7245.t1	A	rna-XM_057809201.1	A
anno1.g7246.t1	A	rna-XM_057806400.1	X
anno1.g7254.t1	A	rna-XM_057801995.1	A
anno1.g7255.t1	A	rna-XM_057813794.1	A
anno1.g7258.t1	A	rna-XM_057806364.1	A
anno1.g7259.t1	A	rna-XM_057806362.1	A
anno1.g7260.t2	A	rna-XM_057806356.1	A
anno1.g7261.t2	A	rna-XM_057799419.1	A
anno1.g7262.t1	A	rna-XM_057799420.1	A
anno1.g7263.t1	A	rna-XM_057799409.1	A
anno1.g7264.t2	A	rna-XM_057799417.1	A
anno1.g7266.t1	A	rna-XM_057813636.1	A
anno1.g7267.t1	A	rna-XM_057805093.1	A
anno1.g7268.t2	A	rna-XM_057802081.1	A
anno1.g7269.t1	A	rna-XM_057802074.1	A
anno1.g7270.t1	A	rna-XM_057802076.1	A
anno1.g7280.t1	A	rna-XM_057806238.1	A
anno1.g7281.t1	A	rna-XM_057805883.1	A
anno1.g7282.t1	A	rna-XM_057816742.1	A
anno1.g7283.t1	A	rna-XM_057805097.1	A
anno1.g7284.t1	A	rna-XM_057800359.1	A
anno1.g7285.t1	A	rna-XM_057800360.1	A
anno1.g7287.t1	A	rna-XM_057796934.1	A
anno1.g7289.t2	A	rna-XM_057815896.1	A
anno1.g7290.t2	A	rna-XM_057816427.1	A
anno1.g7291.t1	A	rna-XM_057816429.1	A
anno1.g7295.t1	A	rna-XM_057797990.1	A
anno1.g7297.t1	A	rna-XM_057798248.1	A
anno1.g7298.t1	A	rna-XM_057798571.1	A
anno1.g7301.t1	A	rna-XM_057800372.1	A
anno1.g7302.t1	A	rna-XM_057800378.1	A
anno1.g7305.t1	A	rna-XM_057800020.1	A
anno1.g7306.t1	A	rna-XM_057795711.1	A
anno1.g7307.t1	A	rna-XM_057796248.1	A
anno1.g7308.t1	A	rna-XM_057807336.1	A
anno1.g7309.t1	A	rna-XM_057804138.1	A
anno1.g7310.t1	A	rna-XM_057806965.1	A
anno1.g7311.t1	A	rna-XM_057815569.1	A
anno1.g7312.t1	A	rna-XM_057802349.1	A
anno1.g7313.t1	A	rna-XM_057812378.1	A
anno1.g7314.t2	A	rna-XM_057816112.1	A
anno1.g7315.t1	A	rna-XM_057816749.1	A
anno1.g7322.t1	A	rna-XM_057808504.1	A
anno1.g7323.t2	A	rna-XM_057813216.1	A
anno1.g7324.t1	A	rna-XM_057811506.1	A
anno1.g7325.t1	A	rna-XM_057806624.1	A
anno1.g7326.t1	A	rna-XM_057816825.1	A
anno1.g7328.t1	A	rna-XM_057815794.1	A
anno1.g7330.t1	A	rna-XM_057807795.1	A
anno1.g7332.t1	A	rna-XM_057809540.1	A
anno1.g7333.t1	A	rna-XM_057812111.1	A
anno1.g7334.t1	A	rna-XM_057812112.1	A
anno1.g7335.t1	A	rna-XM_057814632.1	A
anno1.g7336.t1	A	rna-XM_057814631.1	A
anno1.g7337.t1	A	rna-XM_057814630.1	A
anno1.g7339.t1	A	rna-XM_057804641.1	A
anno1.g7343.t1	A	rna-XM_057804906.1	A
anno1.g7347.t1	A	rna-XM_057802781.1	A
anno1.g7348.t1	A	rna-XM_057801969.1	A
anno1.g7349.t1	A	rna-XM_057801510.1	A
anno1.g7350.t1	A	rna-XM_057816650.1	A
anno1.g7351.t1	A	rna-XM_057795418.1	A
anno1.g7352.t1	A	rna-XM_057805079.1	A
anno1.g7353.t1	A	rna-XM_057812798.1	A
anno1.g7354.t1	A	rna-XM_057814017.1	A
anno1.g7355.t1	A	rna-XM_057797834.1	A
anno1.g7357.t2	A	rna-XM_057806977.1	A
anno1.g7358.t1	A	rna-XM_057811756.1	A
anno1.g7359.t1	A	rna-XM_057811757.1	A
anno1.g7360.t1	A	rna-XM_057811761.1	A
anno1.g7361.t1	A	rna-XM_057811739.1	A
anno1.g7362.t1	A	rna-XM_057811737.1	A
anno1.g7363.t1	A	rna-XM_057814139.1	A
anno1.g7369.t1	A	rna-XM_057798438.1	A
anno1.g7371.t1	A	rna-XM_057816029.1	A
anno1.g7372.t1	A	rna-XM_057801734.1	A
anno1.g7373.t1	A	rna-XM_057801737.1	A
anno1.g7374.t1	A	rna-XM_057802028.1	A
anno1.g7377.t2	A	rna-XM_057797672.1	A
anno1.g7378.t1	A	rna-XM_057801932.1	A
anno1.g7379.t1	A	rna-XM_057795795.1	A
anno1.g7380.t2	A	rna-XM_057805123.1	A
anno1.g7381.t1	A	rna-XM_057809532.1	A
anno1.g7382.t1	A	rna-XM_057796812.1	A
anno1.g7383.t1	A	rna-XM_057796507.1	A
anno1.g7385.t1	A	rna-XM_057814694.1	A
anno1.g7386.t1	A	rna-XM_057813872.1	A
anno1.g7387.t1	A	rna-XM_057814103.1	A
anno1.g7389.t1	A	rna-XM_057816255.1	A
anno1.g7390.t1	A	rna-XM_057795414.1	A
anno1.g7391.t1	A	rna-XM_057795412.1	A
anno1.g7392.t1	A	rna-XM_057795650.1	A
anno1.g7393.t1	A	rna-XM_057796337.1	A
anno1.g7394.t1	A	rna-XM_057798389.1	A
anno1.g7395.t1	A	rna-XM_057798820.1	A
anno1.g7396.t1	A	rna-XM_057804901.1	A
anno1.g7397.t3	A	rna-XM_057809336.1	A
anno1.g7399.t1	A	rna-XM_057807295.1	A
anno1.g7400.t1	A	rna-XM_057796162.1	A
anno1.g7401.t1	A	rna-XM_057808969.1	A
anno1.g7402.t1	A	rna-XM_057798276.1	A
anno1.g7403.t1	A	rna-XM_057809417.1	A
anno1.g7404.t1	A	rna-XM_057809418.1	A
anno1.g7405.t1	A	rna-XM_057809681.1	A
anno1.g7407.t1	A	rna-XM_057797312.1	A
anno1.g7408.t2	A	rna-XM_057804909.1	A
anno1.g7409.t2	A	rna-XM_057804911.1	A
anno1.g7411.t1	A	rna-XM_057804914.1	A
anno1.g7412.t1	A	rna-XM_057807586.1	A
anno1.g7413.t1	A	rna-XM_057798284.1	A
anno1.g7414.t1	A	rna-XM_057798278.1	A
anno1.g7415.t1	A	rna-XM_057812446.1	A
anno1.g7416.t1	A	rna-XM_057812302.1	A
anno1.g7417.t1	A	rna-XM_057812550.1	A
anno1.g7418.t1	A	rna-XM_057804093.1	A
anno1.g7419.t1	A	rna-XM_057814866.1	A
anno1.g7420.t1	A	rna-XM_057806762.1	A
anno1.g7421.t1	A	rna-XM_057802301.1	A
anno1.g7423.t1	A	rna-XM_057803290.1	A
anno1.g7424.t1	A	rna-XM_057806749.1	A
anno1.g7425.t1	A	rna-XM_057814894.1	A
anno1.g7426.t1	A	rna-XM_057805377.1	X
anno1.g7427.t1	A	rna-XM_057805243.1	X
anno1.g7428.t2	A	rna-XM_057805235.1	X
anno1.g7430.t1	A	rna-XM_057802956.1	A
anno1.g7431.t1	A	rna-XM_057795287.1	A
anno1.g7432.t1	A	rna-XM_057795282.1	A
anno1.g7433.t1	A	rna-XM_057795575.1	A
anno1.g7434.t1	A	rna-XM_057816442.1	A
anno1.g7435.t1	A	rna-XM_057796009.1	X
anno1.g7436.t1	A	rna-XM_057811540.1	X
anno1.g7437.t1	A	rna-XM_057809207.1	A
anno1.g7438.t1	A	rna-XM_057809165.1	A
anno1.g7439.t1	A	rna-XM_057816661.1	A
anno1.g7440.t1	A	rna-XM_057816532.1	A
anno1.g7441.t1	A	rna-XM_057816146.1	A
anno1.g7443.t1	A	rna-XM_057815471.1	A
anno1.g7444.t1	A	rna-XM_057815469.1	A
anno1.g7445.t1	A	rna-XM_057815465.1	A
anno1.g7446.t1	A	rna-XM_057816441.1	A
anno1.g7447.t1	A	rna-XM_057815894.1	A
anno1.g7448.t1	A	rna-XM_057816443.1	A
anno1.g7449.t1	A	rna-XM_057816428.1	A
anno1.g7450.t2	A	rna-XM_057816439.1	A
anno1.g7452.t1	A	rna-XM_057814835.1	A
anno1.g7453.t1	A	rna-XM_057812388.1	A
anno1.g7455.t1	A	rna-XM_057815906.1	A
anno1.g7457.t1	A	rna-XM_057808362.1	A
anno1.g7458.t1	A	rna-XM_057811564.1	A
anno1.g7460.t1	A	rna-XM_057806954.1	A
anno1.g7461.t1	A	rna-XM_057806678.1	A
anno1.g7462.t1	A	rna-XM_057806679.1	A
anno1.g7463.t1	A	rna-XM_057811685.1	A
anno1.g7465.t2	A	rna-XM_057811602.1	A
anno1.g7466.t7	A	rna-XM_057811579.1	A
anno1.g7467.t1	A	rna-XM_057811573.1	A
anno1.g7468.t1	A	rna-XM_057806655.1	A
anno1.g7470.t1	A	rna-XM_057806653.1	A
anno1.g7473.t1	A	rna-XM_057806654.1	A
anno1.g7474.t1	A	rna-XM_057807546.1	A
anno1.g7477.t1	A	rna-XM_057795415.1	A
anno1.g7478.t1	A	rna-XM_057795256.1	A
anno1.g7479.t1	A	rna-XM_057806673.1	A
anno1.g7480.t1	A	rna-XM_057805124.1	A
anno1.g7481.t1	A	rna-XM_057805216.1	A
anno1.g7482.t1	A	rna-XM_057807863.1	A
anno1.g7483.t1	A	rna-XM_057804191.1	A
anno1.g7484.t1	A	rna-XM_057805089.1	A
anno1.g7485.t1	A	rna-XM_057795271.1	A
anno1.g7486.t1	A	rna-XM_057807137.1	A
anno1.g7487.t1	A	rna-XM_057795083.1	A
anno1.g7488.t1	A	rna-XM_057795082.1	A
anno1.g7490.t1	A	rna-XM_057795086.1	A
anno1.g7491.t1	A	rna-XM_057795185.1	A
anno1.both_agree_g17796.t1	A	rna-XM_057798821.1	A
anno1.g7494.t2	A	rna-XM_057795188.1	A
anno1.g7495.t1	A	rna-XM_057795187.1	A
anno1.g7496.t1	A	rna-XM_057796169.1	A
anno1.g7497.t1	A	rna-XM_057795747.1	A
anno1.g7498.t1	A	rna-XM_057795885.1	A
anno1.g7501.t1	A	rna-XM_057807228.1	A
anno1.g7503.t1	A	rna-XM_057807224.1	A
anno1.g7506.t1	A	rna-XM_057807061.1	A
anno1.g7511.t2	A	rna-XM_057806690.1	A
anno1.g7512.t1	A	rna-XM_057806920.1	A
anno1.g7514.t1	A	rna-XM_057810192.1	A
anno1.g7515.t1	A	rna-XM_057795053.1	A
anno1.g7516.t3	A	rna-XM_057809219.1	A
anno1.g7518.t1	A	rna-XM_057809348.1	A
anno1.g7520.t2	A	rna-XM_057815508.1	A
anno1.g7521.t2	A	rna-XM_057815503.1	A
anno1.g7522.t1	A	rna-XM_057814994.1	A
anno1.g7524.t1	A	rna-XM_057809345.1	A
anno1.g7530.t1	A	rna-XM_057803831.1	A
anno1.g7531.t1	A	rna-XM_057805056.1	A
anno1.g7532.t2	A	rna-XM_057795724.1	A
anno1.g7533.t1	A	rna-XM_057806747.1	A
anno1.g7534.t1	A	rna-XM_057807073.1	A
anno1.g7535.t2	A	rna-XM_057806641.1	A
anno1.g7536.t1	A	rna-XM_057807270.1	A
anno1.g7537.t1	A	rna-XM_057811962.1	A
anno1.g7538.t1	A	rna-XM_057802013.1	A
anno1.g7540.t1	A	rna-XM_057803083.1	A
anno1.g7541.t1	A	rna-XM_057803078.1	A
anno1.g7542.t1	A	rna-XM_057809656.1	A
anno1.g7544.t1	A	rna-XM_057809269.1	A
anno1.g7545.t2	A	rna-XM_057809889.1	A
anno1.g7546.t1	A	rna-XM_057809272.1	A
anno1.g7547.t1	A	rna-XM_057809271.1	A
anno1.g7548.t1	A	rna-XM_057809546.1	A
anno1.g7549.t1	A	rna-XM_057809095.1	A
anno1.g7550.t1	A	rna-XM_057809247.1	A
anno1.g7551.t1	A	rna-XM_057809086.1	A
anno1.g7552.t1	A	rna-XM_057809554.1	A
anno1.g7553.t1	A	rna-XM_057809924.1	A
anno1.g7554.t1	A	rna-XM_057803295.1	A
anno1.g7555.t2	A	rna-XM_057803089.1	A
anno1.g7556.t1	A	rna-XM_057803075.1	A
anno1.g7559.t1	A	rna-XM_057803082.1	A
anno1.g7560.t1	A	rna-XM_057809662.1	A
anno1.g7562.t1	A	rna-XM_057809663.1	A
anno1.g7563.t1	A	rna-XM_057809903.1	A
anno1.g7564.t1	A	rna-XM_057809659.1	A
anno1.g7565.t1	A	rna-XM_057809665.1	A
anno1.g7566.t1	A	rna-XM_057809928.1	A
anno1.g7567.t1	A	rna-XM_057809445.1	A
anno1.g7568.t2	A	rna-XM_057797786.1	A
anno1.g7569.t1	A	rna-XM_057797782.1	A
anno1.g7571.t1	A	rna-XM_057801261.1	A
anno1.g7573.t1	A	rna-XM_057807571.1	A
anno1.g7574.t1	A	rna-XM_057807560.1	A
anno1.g7575.t1	A	rna-XM_057807561.1	A
anno1.g7576.t1	A	rna-XM_057797389.1	A
anno1.g7577.t1	A	rna-XM_057797397.1	A
anno1.g7580.t2	A	rna-XM_057797395.1	A
anno1.g7582.t1	A	rna-XM_057800280.1	A
anno1.g7583.t2	A	rna-XM_057800412.1	A
anno1.g7584.t1	A	rna-XM_057808638.1	A
anno1.g7585.t1	A	rna-XM_057808636.1	A
anno1.g7586.t1	A	rna-XM_057808674.1	A
anno1.g7587.t1	A	rna-XM_057809505.1	A
anno1.g7589.t1	A	rna-XM_057802295.1	A
anno1.g7590.t2	A	rna-XM_057801685.1	A
anno1.g7591.t1	A	rna-XM_057801675.1	A
anno1.g7592.t1	A	rna-XM_057801676.1	A
anno1.g7594.t1	A	rna-XM_057801703.1	A
anno1.g7595.t1	A	rna-XM_057815124.1	A
anno1.g7596.t1	A	rna-XM_057801671.1	A
anno1.g7598.t1	A	rna-XM_057801695.1	A
anno1.g7599.t1	A	rna-XM_057806396.1	A
anno1.g7601.t1	A	rna-XM_057801704.1	A
anno1.g7602.t2	A	rna-XM_057795434.1	A
anno1.g7603.t1	A	rna-XM_057811148.1	A
anno1.g7604.t1	A	rna-XM_057812423.1	X
anno1.g7605.t1	A	rna-XM_057816905.1	A
anno1.g7606.t1	A	rna-XM_057804172.1	A
anno1.g7609.t1	A	rna-XM_057804391.1	A
anno1.g7614.t2	A	rna-XM_057804236.1	A
anno1.g7621.t1	A	rna-XM_057804127.1	A
anno1.g7622.t1	A	rna-XM_057804285.1	A
anno1.g7624.t1	A	rna-XM_057804393.1	A
anno1.g7628.t1	A	rna-XM_057804465.1	A
anno1.g7632.t1	A	rna-XM_057804107.1	A
anno1.g7633.t2	A	rna-XM_057805369.1	A
anno1.g7636.t1	A	rna-XM_057804566.1	A
anno1.g7637.t1	A	rna-XM_057804567.1	A
anno1.g7638.t2	A	rna-XM_057804263.1	A
anno1.g7639.t1	A	rna-XM_057812799.1	A
anno1.g7640.t1	A	rna-XM_057812797.1	A
anno1.g7641.t1	A	rna-XM_057799831.1	X
anno1.g7643.t1	A	rna-XM_057795142.1	A
anno1.g7644.t1	A	rna-XM_057795826.1	X
anno1.g7645.t1	A	rna-XM_057807186.1	A
anno1.g7646.t1	A	rna-XM_057797655.1	X
anno1.g7647.t1	A	rna-XM_057815652.1	X
anno1.g7648.t1	A	rna-XM_057816578.1	A
anno1.g7651.t1	A	rna-XM_057812017.1	A
anno1.g7652.t1	A	rna-XM_057811562.1	A
anno1.g7656.t1	A	rna-XM_057797678.1	A
anno1.g7657.t1	A	rna-XM_057814189.1	A
anno1.g7664.t3	A	rna-XM_057813014.1	A
anno1.g7665.t1	A	rna-XM_057814691.1	A
anno1.g7666.t1	A	rna-XM_057813287.1	A
anno1.g7681.t1	A	rna-XM_057816353.1	A
anno1.g7683.t1	A	rna-XM_057810508.1	A
anno1.g7684.t2	A	rna-XM_057810505.1	A
anno1.g7685.t2	A	rna-XM_057810519.1	A
anno1.g7688.t1	A	rna-XM_057810521.1	A
anno1.g7689.t1	A	rna-XM_057810518.1	A
anno1.g7690.t1	A	rna-XM_057810504.1	A
anno1.g7691.t1	A	rna-XM_057801405.1	A
anno1.g7692.t2	A	rna-XM_057801502.1	A
anno1.g7693.t1	A	rna-XM_057814281.1	A
anno1.g7694.t1	A	rna-XM_057814276.1	A
anno1.g7695.t1	A	rna-XM_057801032.1	A
anno1.g7701.t1	A	rna-XM_057802888.1	X
anno1.g7703.t1	A	rna-XM_057809958.1	X
anno1.g7704.t1	A	rna-XM_057810323.1	A
anno1.g7706.t1	A	rna-XM_057800048.1	X
anno1.g7713.t1	A	rna-XM_057812909.1	A
anno1.g7714.t1	A	rna-XM_057797983.1	A
anno1.g7715.t1	A	rna-XM_057812910.1	A
anno1.g7718.t1	A	rna-XM_057812498.1	A
anno1.g7719.t1	A	rna-XM_057813877.1	X
anno1.g7722.t1	A	rna-XM_057812557.1	A
anno1.g7724.t1	A	rna-XM_057812562.1	A
anno1.g7725.t1	A	rna-XM_057812697.1	A
anno1.g7727.t1	A	rna-XM_057795247.1	A
anno1.g7728.t1	A	rna-XM_057808339.1	A
anno1.g7730.t1	A	rna-XM_057808337.1	A
anno1.g7731.t1	A	rna-XM_057795249.1	A
anno1.g7733.t1	A	rna-XM_057795180.1	A
anno1.g7734.t1	A	rna-XM_057795181.1	A
anno1.g7737.t1	A	rna-XM_057813657.1	A
anno1.g7740.t1	A	rna-XM_057797903.1	A
anno1.g7742.t1	A	rna-XM_057816519.1	A
anno1.g7744.t1	A	rna-XM_057804699.1	A
anno1.g7745.t1	A	rna-XM_057799455.1	A
anno1.g7746.t1	A	rna-XM_057806789.1	A
anno1.g7748.t1	A	rna-XM_057803065.1	A
anno1.g7749.t1	A	rna-XM_057805647.1	A
anno1.g7751.t2	A	rna-XM_057813340.1	A
anno1.g7752.t1	A	rna-XM_057806424.1	A
anno1.g7760.t2	A	rna-XM_057805670.1	A
anno1.g7761.t1	A	rna-XM_057799397.1	A
anno1.g7768.t1	A	rna-XM_057804117.1	A
anno1.g7771.t1	A	rna-XM_057802283.1	X
anno1.g7772.t1	A	rna-XM_057798848.1	A
anno1.g7773.t1	A	rna-XM_057797924.1	A
anno1.g7774.t1	A	rna-XM_057797787.1	A
anno1.g7775.t1	A	rna-XM_057797783.1	A
anno1.g7776.t1	A	rna-XM_057802278.1	A
anno1.g7777.t1	A	rna-XM_057797461.1	A
anno1.g7779.t1	A	rna-XM_057815611.1	A
anno1.g7781.t2	A	rna-XM_057794887.1	A
anno1.g7782.t1	A	rna-XM_057816664.1	A
anno1.g7783.t1	A	rna-XM_057815903.1	A
anno1.g7784.t1	A	rna-XM_057816939.1	A
anno1.g7788.t1	A	rna-XM_057812429.1	A
anno1.both_agree_g18375.t3	A	rna-XM_057794852.1	A
anno1.g7790.t1	A	rna-XM_057809324.1	A
anno1.g7793.t1	A	rna-XM_057810367.1	A
anno1.g7796.t2	A	rna-XM_057812458.1	A
anno1.g7797.t1	A	rna-XM_057795931.1	X
anno1.g7798.t1	A	rna-XM_057804708.1	A
anno1.g7799.t1	A	rna-XM_057806913.1	A
anno1.g7801.t2	A	rna-XM_057814464.1	A
anno1.g7802.t1	A	rna-XM_057803167.1	A
anno1.g7804.t1	A	rna-XM_057801766.1	A
anno1.g7805.t1	A	rna-XM_057803329.1	A
anno1.g7813.t1	A	rna-XM_057814709.1	A
anno1.g7815.t1	A	rna-XM_057801773.1	A
anno1.g7816.t1	A	rna-XM_057799661.1	A
anno1.g7817.t1	A	rna-XM_057798000.1	A
anno1.g7818.t1	A	rna-XM_057801701.1	A
anno1.g7819.t1	A	rna-XM_057801412.1	A
anno1.g7820.t2	A	rna-XM_057805138.1	A
anno1.g7826.t1	A	rna-XM_057807438.1	A
anno1.g7828.t2	A	rna-XM_057805234.1	A
anno1.g7836.t1	A	rna-XM_057805421.1	A
anno1.g7837.t1	A	rna-XM_057796829.1	A
anno1.g7841.t1	A	rna-XM_057808687.1	A
anno1.g7842.t3	A	rna-XM_057808691.1	A
anno1.g7844.t3	A	rna-XM_057796225.1	A
anno1.g7845.t1	A	rna-XM_057796167.1	A
anno1.g7848.t1	A	rna-XM_057808409.1	A
anno1.g7849.t1	A	rna-XM_057800517.1	A
anno1.g7850.t1	A	rna-XM_057797006.1	A
anno1.g7851.t1	A	rna-XM_057796858.1	A
anno1.g7854.t1	A	rna-XM_057803044.1	A
anno1.g7857.t2	A	rna-XM_057804045.1	A
anno1.g7863.t2	A	rna-XM_057798490.1	A
anno1.g7864.t1	A	rna-XM_057814411.1	A
anno1.g7869.t1	A	rna-XM_057813135.1	A
anno1.g7870.t2	A	rna-XM_057807026.1	A
anno1.g7871.t1	A	rna-XM_057813062.1	A
anno1.g7872.t1	A	rna-XM_057813253.1	A
anno1.g7873.t1	A	rna-XM_057802859.1	A
anno1.g7874.t2	A	rna-XM_057810415.1	A
anno1.g7875.t2	A	rna-XM_057801501.1	A
anno1.g7876.t1	A	rna-XM_057800324.1	A
anno1.g7879.t1	A	rna-XM_057816239.1	A
anno1.g7880.t1	A	rna-XM_057812864.1	A
anno1.g7882.t1	A	rna-XM_057812771.1	X
anno1.g7885.t5	A	rna-XM_057800484.1	A
anno1.g7890.t3	A	rna-XM_057809090.1	A
anno1.g7891.t1	A	rna-XM_057795021.1	A
anno1.g7892.t1	A	rna-XM_057806247.1	A
anno1.g7893.t1	A	rna-XM_057804851.1	A
anno1.g7898.t1	A	rna-XM_057816123.1	A
