D_sublineata	chromosome	B_siliquastri	chromosome
rna-XM_056778693.1	A	BRAKERILHT00000010365	A
rna-XM_056779786.1	A	BRAKERILHT00000013250	A
rna-XM_056779346.1	A	BRAKERILHT00000004335	A
rna-XM_056779107.1	A	BRAKERILHT00000014079	A
rna-XM_056778857.1	A	BRAKERILHT00000014753	A
rna-XM_056778906.1	A	BRAKERILHT00000001532	A
rna-XM_056778676.1	A	BRAKERILHT00000009623	A
rna-XM_056779526.1	A	BRAKERILHT00000011266	A
rna-XM_056778617.1	A	BRAKERILHT00000002592	A
rna-XM_056779114.1	A	BRAKERILHT00000003119	A
rna-XM_056779196.1	A	BRAKERILHT00000003808	A
rna-XM_056779194.1	A	BRAKERILHT00000014151	A
rna-XM_056779739.1	A	BRAKERILHT00000003223	A
rna-XM_056779738.1	A	BRAKERILHT00000004056	A
rna-XM_056779740.1	A	BRAKERILHT00000002328	A
rna-XM_056779275.1	A	BRAKERILHT00000002653	A
rna-XM_056779276.1	A	BRAKERILHT00000003964	A
rna-XM_056779050.1	A	BRAKERILHT00000005793	A
rna-XM_056778966.1	A	BRAKERILHT00000004157	A
rna-XM_056779591.1	A	BRAKERILHT00000003247	A
rna-XM_056779639.1	A	BRAKERILHT00000008536	A
rna-XM_056779642.1	A	BRAKERILHT00000008779	A
rna-XM_056779645.1	A	BRAKERILHT00000006897	A
rna-XM_056779644.1	A	BRAKERILHT00000009105	A
rna-XM_056779643.1	A	BRAKERILHT00000008933	A
rna-XM_056779646.1	A	BRAKERILHT00000009927	A
rna-XM_056779535.1	A	BRAKERILHT00000009716	A
rna-XM_056779640.1	A	BRAKERILHT00000001913	A
rna-XM_056778713.1	A	BRAKERILHT00000001328	A
rna-XM_056778976.1	A	BRAKERILHT00000001673	A
rna-XM_056778454.1	A	BRAKERILHT00000002045	A
rna-XM_056778457.1	A	BRAKERILHT00000001339	A
rna-XM_056778455.1	A	BRAKERILHT00000001247	A
rna-XM_056778456.1	A	BRAKERILHT00000000903	A
rna-XM_056778460.1	A	BRAKERILHT00000009752	A
rna-XM_056778706.1	A	BRAKERILHT00000008391	A
rna-XM_056778705.1	A	BRAKERILHT00000007476	A
rna-XM_056778707.1	A	BRAKERILHT00000008070	A
rna-XM_056778708.1	A	BRAKERILHT00000016259	A
rna-XM_056778862.1	A	BRAKERILHT00000003916	A
rna-XM_056778863.1	A	BRAKERILHT00000004380	A
rna-XM_056778878.1	A	BRAKERILHT00000003087	A
rna-XM_056778864.1	A	BRAKERILHT00000004372	A
rna-XM_056778879.1	A	BRAKERILHT00000003600	A
rna-XM_056778882.1	A	BRAKERILHT00000003078	A
rna-XM_056779175.1	A	BRAKERILHT00000007515	A
rna-XM_056779374.1	A	BRAKERILHT00000006512	A
rna-XM_056779278.1	A	BRAKERILHT00000007229	A
rna-XM_056779269.1	A	BRAKERILHT00000006574	A
rna-XM_056778728.1	A	BRAKERILHT00000016429	A
rna-XM_056778939.1	A	BRAKERILHT00000016499	A
rna-XM_056779462.1	A	BRAKERILHT00000016132	A
rna-XM_056778809.1	A	BRAKERILHT00000015640	A
rna-XM_056778811.1	A	BRAKERILHT00000006714	A
rna-XM_056778812.1	A	BRAKERILHT00000001148	A
rna-XM_056779262.1	A	BRAKERILHT00000013393	A
rna-XM_056778603.1	A	BRAKERILHT00000012676	A
rna-XM_056778722.1	A	BRAKERILHT00000003214	A
rna-XM_056778944.1	A	BRAKERILHT00000016024	A
rna-XM_056779749.1	A	BRAKERILHT00000004245	A
rna-XM_056779753.1	A	BRAKERILHT00000010457	A
rna-XM_056779755.1	A	BRAKERILHT00000013889	A
rna-XM_056779558.1	A	BRAKERILHT00000012375	A
rna-XM_056780046.1	A	BRAKERILHT00000003635	A
rna-XM_056779230.1	A	BRAKERILHT00000002204	A
rna-XM_056778960.1	A	BRAKERILHT00000004135	A
rna-XM_056778886.1	A	BRAKERILHT00000004182	A
rna-XM_056778889.1	A	BRAKERILHT00000003681	A
rna-XM_056779898.1	A	BRAKERILHT00000003549	A
rna-XM_056779899.1	A	BRAKERILHT00000013986	A
rna-XM_056779900.1	A	BRAKERILHT00000002777	A
rna-XM_056778709.1	A	BRAKERILHT00000003560	A
rna-XM_056778711.1	A	BRAKERILHT00000004070	A
rna-XM_056779549.1	A	BRAKERILHT00000003036	A
rna-XM_056778826.1	A	BRAKERILHT00000004459	A
rna-XM_056779277.1	A	BRAKERILHT00000005014	A
rna-XM_056779159.1	A	BRAKERILHT00000008978	A
rna-XM_056779360.1	A	BRAKERILHT00000008666	A
rna-XM_056779919.1	A	BRAKERILHT00000009937	A
rna-XM_056779550.1	A	BRAKERILHT00000009515	A
rna-XM_056779239.1	A	BRAKERILHT00000007371	A
rna-XM_056779390.1	A	BRAKERILHT00000008460	A
rna-XM_056779573.1	A	BRAKERILHT00000006814	A
rna-XM_056778781.1	A	BRAKERILHT00000007738	A
rna-XM_056778967.1	A	BRAKERILHT00000006524	A
rna-XM_056778968.1	A	BRAKERILHT00000006990	A
rna-XM_056778971.1	A	BRAKERILHT00000007691	A
rna-XM_056779225.1	A	BRAKERILHT00000013963	A
rna-XM_056779228.1	A	BRAKERILHT00000004035	A
rna-XM_056778688.1	A	BRAKERILHT00000005994	A
rna-XM_056778689.1	A	BRAKERILHT00000002392	A
rna-XM_056779079.1	A	BRAKERILHT00000012548	A
rna-XM_056779097.1	A	BRAKERILHT00000013885	A
rna-XM_056779082.1	A	BRAKERILHT00000013860	A
rna-XM_056779096.1	A	BRAKERILHT00000005105	A
rna-XM_056779086.1	A	BRAKERILHT00000006109	A
rna-XM_056779091.1	A	BRAKERILHT00000004725	A
rna-XM_056779095.1	A	BRAKERILHT00000006410	A
rna-XM_056779101.1	A	BRAKERILHT00000004104	A
rna-XM_056778987.1	A	BRAKERILHT00000004658	A
rna-XM_056778519.1	A	BRAKERILHT00000012594	A
rna-XM_056778518.1	A	BRAKERILHT00000003140	A
rna-XM_056780048.1	A	BRAKERILHT00000005924	A
rna-XM_056780047.1	A	BRAKERILHT00000007078	A
rna-XM_056779564.1	A	BRAKERILHT00000013601	A
rna-XM_056779303.1	A	BRAKERILHT00000004516	A
rna-XM_056779343.1	A	BRAKERILHT00000005047	A
rna-XM_056779730.1	A	BRAKERILHT00000009579	A
rna-XM_056779732.1	A	BRAKERILHT00000008102	A
rna-XM_056779733.1	A	BRAKERILHT00000005467	A
rna-XM_056779030.1	A	BRAKERILHT00000000844	A
rna-XM_056778732.1	A	BRAKERILHT00000012032	A
rna-XM_056779370.1	A	BRAKERILHT00000001047	A
rna-XM_056779372.1	A	BRAKERILHT00000000338	A
rna-XM_056779371.1	A	BRAKERILHT00000000769	A
rna-XM_056780032.1	A	BRAKERILHT00000001210	A
rna-XM_056780033.1	A	BRAKERILHT00000000754	A
rna-XM_056779124.1	A	BRAKERILHT00000012151	A
rna-XM_056779068.1	A	BRAKERILHT00000011796	A
rna-XM_056778452.1	A	BRAKERILHT00000001340	A
rna-XM_056778445.1	A	BRAKERILHT00000001969	A
rna-XM_056778821.1	A	BRAKERILHT00000000380	A
rna-XM_056779214.1	A	BRAKERILHT00000010989	A
rna-XM_056780035.1	A	BRAKERILHT00000001278	A
rna-XM_056779307.1	A	BRAKERILHT00000010875	A
rna-XM_056778794.1	A	BRAKERILHT00000010095	A
rna-XM_056778791.1	A	BRAKERILHT00000010664	A
rna-XM_056778793.1	A	BRAKERILHT00000007369	A
rna-XM_056778824.1	A	BRAKERILHT00000012150	A
rna-XM_056779537.1	A	BRAKERILHT00000011607	A
rna-XM_056779033.1	A	BRAKERILHT00000011326	A
rna-XM_056778845.1	A	BRAKERILHT00000011236	A
rna-XM_056778735.1	A	BRAKERILHT00000010696	A
rna-XM_056779041.1	A	BRAKERILHT00000012117	A
rna-XM_056779232.1	A	BRAKERILHT00000012146	A
rna-XM_056779527.1	A	BRAKERILHT00000011625	A
rna-XM_056779389.1	A	BRAKERILHT00000011009	A
rna-XM_056779579.1	A	BRAKERILHT00000002897	A
rna-XM_056779878.1	A	BRAKERILHT00000011183	A
rna-XM_056779580.1	A	BRAKERILHT00000011000	A
rna-XM_056779881.1	A	BRAKERILHT00000010509	A
rna-XM_056778532.1	A	BRAKERILHT00000010615	A
rna-XM_056779656.1	A	BRAKERILHT00000011982	A
rna-XM_056779655.1	A	BRAKERILHT00000011754	A
rna-XM_056778664.1	A	BRAKERILHT00000015607	A
rna-XM_056778903.1	A	BRAKERILHT00000014390	A
rna-XM_056779245.1	A	BRAKERILHT00000002992	A
rna-XM_056778507.1	A	BRAKERILHT00000004404	A
rna-XM_056778576.1	A	BRAKERILHT00000015939	A
rna-XM_056778908.1	A	BRAKERILHT00000003677	A
rna-XM_056778914.1	A	BRAKERILHT00000014525	A
rna-XM_056778443.1	A	BRAKERILHT00000001028	A
rna-XM_056778444.1	A	BRAKERILHT00000001988	A
rna-XM_056778441.1	A	BRAKERILHT00000001505	A
rna-XM_056779758.1	A	BRAKERILHT00000009026	A
rna-XM_056779759.1	A	BRAKERILHT00000010326	A
rna-XM_056779760.1	A	BRAKERILHT00000002043	A
rna-XM_056779761.1	A	BRAKERILHT00000015423	A
rna-XM_056778920.1	A	BRAKERILHT00000009157	A
rna-XM_056779582.1	A	BRAKERILHT00000001071	A
rna-XM_056778925.1	A	BRAKERILHT00000009594	A
rna-XM_056778927.1	A	BRAKERILHT00000010345	A
rna-XM_056778974.1	A	BRAKERILHT00000009674	A
rna-XM_056779583.1	A	BRAKERILHT00000009005	A
rna-XM_056779031.1	A	BRAKERILHT00000010085	A
rna-XM_056779584.1	A	BRAKERILHT00000015270	A
rna-XM_056779585.1	A	BRAKERILHT00000004258	A
rna-XM_056778999.1	A	BRAKERILHT00000002010	A
rna-XM_056779251.1	A	BRAKERILHT00000006887	A
rna-XM_056779500.1	A	BRAKERILHT00000004707	A
rna-XM_056779504.1	A	BRAKERILHT00000014755	A
rna-XM_056779508.1	A	BRAKERILHT00000009117	A
rna-XM_056779509.1	A	BRAKERILHT00000000445	A
rna-XM_056779523.1	A	BRAKERILHT00000000482	A
rna-XM_056779520.1	A	BRAKERILHT00000000947	A
rna-XM_056779400.1	A	BRAKERILHT00000007947	A
rna-XM_056779757.1	A	BRAKERILHT00000008477	A
rna-XM_056780018.1	A	BRAKERILHT00000009339	A
rna-XM_056780017.1	A	BRAKERILHT00000009527	A
rna-XM_056779589.1	A	BRAKERILHT00000012381	A
rna-XM_056779590.1	A	BRAKERILHT00000015044	A
rna-XM_056780015.1	A	BRAKERILHT00000008704	A
rna-XM_056778660.1	A	BRAKERILHT00000008941	A
rna-XM_056778658.1	A	BRAKERILHT00000015987	A
rna-XM_056779663.1	A	BRAKERILHT00000000776	A
rna-XM_056779677.1	A	BRAKERILHT00000001412	A
rna-XM_056779680.1	A	BRAKERILHT00000001118	A
rna-XM_056779707.1	A	BRAKERILHT00000008874	A
rna-XM_056778957.1	A	BRAKERILHT00000002928	A
rna-XM_056779563.1	A	BRAKERILHT00000016882	A
rna-XM_056779123.1	A	BRAKERILHT00000012211	A
rna-XM_056779213.1	A	BRAKERILHT00000012217	A
rna-XM_056778980.1	A	BRAKERILHT00000010827	A
rna-XM_056779938.1	A	BRAKERILHT00000010621	A
rna-XM_056779320.1	A	BRAKERILHT00000012072	A
rna-XM_056779319.1	A	BRAKERILHT00000013187	A
rna-XM_056779321.1	A	BRAKERILHT00000013133	A
rna-XM_056779324.1	A	BRAKERILHT00000013230	A
rna-XM_056779941.1	A	BRAKERILHT00000009960	A
rna-XM_056779001.1	A	BRAKERILHT00000004087	A
rna-XM_056779358.1	A	BRAKERILHT00000005136	A
rna-XM_056779328.1	A	BRAKERILHT00000014321	A
rna-XM_056779744.1	A	BRAKERILHT00000005879	A
rna-XM_056779745.1	A	BRAKERILHT00000005789	A
rna-XM_056779746.1	A	BRAKERILHT00000006106	A
rna-XM_056779747.1	A	BRAKERILHT00000013211	A
rna-XM_056778839.1	A	BRAKERILHT00000014660	A
rna-XM_056779557.1	A	BRAKERILHT00000000142	A
rna-XM_056778600.1	A	BRAKERILHT00000012327	A
rna-XM_056778602.1	A	BRAKERILHT00000014536	A
rna-XM_056779531.1	A	BRAKERILHT00000015693	A
rna-XM_056779329.1	A	BRAKERILHT00000016767	A
rna-XM_056779366.1	A	BRAKERILHT00000009721	A
rna-XM_056779368.1	A	BRAKERILHT00000005501	A
rna-XM_056779928.1	A	BRAKERILHT00000007873	A
rna-XM_056779348.1	A	BRAKERILHT00000014234	A
rna-XM_056779347.1	A	BRAKERILHT00000009550	A
rna-XM_056779352.1	A	BRAKERILHT00000010950	A
rna-XM_056779946.1	A	BRAKERILHT00000000586	A
rna-XM_056779317.1	A	BRAKERILHT00000011169	A
rna-XM_056779546.1	A	BRAKERILHT00000008154	A
rna-XM_056778684.1	A	BRAKERILHT00000006004	A
rna-XM_056778686.1	A	BRAKERILHT00000006331	A
rna-XM_056779340.1	A	BRAKERILHT00000005606	A
rna-XM_056779719.1	A	BRAKERILHT00000000582	A
rna-XM_056779718.1	A	BRAKERILHT00000000088	A
rna-XM_056779712.1	A	BRAKERILHT00000000357	A
rna-XM_056778513.1	A	BRAKERILHT00000000936	A
rna-XM_056778515.1	A	BRAKERILHT00000001274	A
rna-XM_056779040.1	A	BRAKERILHT00000001570	A
rna-XM_056779028.1	A	BRAKERILHT00000000814	A
rna-XM_056778579.1	A	BRAKERILHT00000000589	A
rna-XM_056779234.1	A	BRAKERILHT00000000439	A
rna-XM_056779951.1	A	BRAKERILHT00000006938	A
rna-XM_056779955.1	A	BRAKERILHT00000015292	A
rna-XM_056779292.1	A	BRAKERILHT00000000955	A
rna-XM_056778697.1	A	BRAKERILHT00000000299	A
rna-XM_056779186.1	A	BRAKERILHT00000001546	A
rna-XM_056779957.1	A	BRAKERILHT00000000489	A
rna-XM_056779958.1	A	BRAKERILHT00000001686	A
rna-XM_056779959.1	A	BRAKERILHT00000001982	A
rna-XM_056779960.1	A	BRAKERILHT00000000693	A
rna-XM_056779961.1	A	BRAKERILHT00000000840	A
rna-XM_056779962.1	A	BRAKERILHT00000000790	A
rna-XM_056779963.1	A	BRAKERILHT00000000661	A
rna-XM_056779966.1	A	BRAKERILHT00000000862	A
rna-XM_056779967.1	A	BRAKERILHT00000002130	A
rna-XM_056779968.1	A	BRAKERILHT00000001612	A
rna-XM_056779970.1	A	BRAKERILHT00000001749	A
rna-XM_056779971.1	A	BRAKERILHT00000001827	A
rna-XM_056779972.1	A	BRAKERILHT00000000101	A
rna-XM_056779158.1	A	BRAKERILHT00000000602	A
rna-XM_056779973.1	A	BRAKERILHT00000001195	A
rna-XM_056779215.1	A	BRAKERILHT00000000289	A
rna-XM_056779201.1	A	BRAKERILHT00000000643	A
rna-XM_056778859.1	A	BRAKERILHT00000001766	A
rna-XM_056779069.1	A	BRAKERILHT00000004961	A
rna-XM_056779976.1	A	BRAKERILHT00000005260	A
rna-XM_056778565.1	A	BRAKERILHT00000006478	A
rna-XM_056778561.1	A	BRAKERILHT00000004935	A
rna-XM_056778567.1	A	BRAKERILHT00000005269	A
rna-XM_056778749.1	A	BRAKERILHT00000004608	A
rna-XM_056779980.1	A	BRAKERILHT00000005698	A
rna-XM_056778750.1	A	BRAKERILHT00000004633	A
rna-XM_056778751.1	A	BRAKERILHT00000005850	A
rna-XM_056778753.1	A	BRAKERILHT00000017295	X
rna-XM_056778754.1	A	BRAKERILHT00000011958	A
rna-XM_056778757.1	A	BRAKERILHT00000011500	A
rna-XM_056778764.1	A	BRAKERILHT00000009311	A
rna-XM_056778769.1	A	BRAKERILHT00000008790	A
rna-XM_056778770.1	A	BRAKERILHT00000005400	A
rna-XM_056778772.1	A	BRAKERILHT00000004868	A
rna-XM_056778771.1	A	BRAKERILHT00000006728	A
rna-XM_056778774.1	A	BRAKERILHT00000008846	A
rna-XM_056778778.1	A	BRAKERILHT00000009422	A
rna-XM_056778780.1	A	BRAKERILHT00000008027	A
rna-XM_056779987.1	A	BRAKERILHT00000001291	A
rna-XM_056779989.1	A	BRAKERILHT00000003937	A
rna-XM_056778818.1	A	BRAKERILHT00000006709	A
rna-XM_056779766.1	A	BRAKERILHT00000013655	A
rna-XM_056779767.1	A	BRAKERILHT00000013099	A
rna-XM_056779990.1	A	BRAKERILHT00000001788	A
rna-XM_056779163.1	A	BRAKERILHT00000016537	A
rna-XM_056779120.1	A	BRAKERILHT00000015785	A
rna-XM_056779991.1	A	BRAKERILHT00000001611	A
rna-XM_056778830.1	A	BRAKERILHT00000016391	A
rna-XM_056779809.1	A	BRAKERILHT00000015992	A
rna-XM_056779992.1	A	BRAKERILHT00000016966	A
rna-XM_056779993.1	A	BRAKERILHT00000011547	A
rna-XM_056779811.1	A	BRAKERILHT00000016060	A
rna-XM_056779813.1	A	BRAKERILHT00000016426	A
rna-XM_056779818.1	A	BRAKERILHT00000016352	A
rna-XM_056779816.1	A	BRAKERILHT00000016790	A
rna-XM_056779817.1	A	BRAKERILHT00000008932	A
rna-XM_056779819.1	A	BRAKERILHT00000016901	A
rna-XM_056779822.1	A	BRAKERILHT00000009566	A
rna-XM_056779827.1	A	BRAKERILHT00000003254	A
rna-XM_056779825.1	A	BRAKERILHT00000015894	A
rna-XM_056779828.1	A	BRAKERILHT00000000394	A
rna-XM_056779829.1	A	BRAKERILHT00000003878	A
rna-XM_056779832.1	A	BRAKERILHT00000008396	A
rna-XM_056779831.1	A	BRAKERILHT00000007033	A
rna-XM_056779833.1	A	BRAKERILHT00000013878	A
rna-XM_056779835.1	A	BRAKERILHT00000006729	A
rna-XM_056779836.1	A	BRAKERILHT00000001121	A
rna-XM_056779286.1	A	BRAKERILHT00000008747	A
rna-XM_056779164.1	A	BRAKERILHT00000008748	A
rna-XM_056778885.1	A	BRAKERILHT00000009779	A
rna-XM_056778808.1	A	BRAKERILHT00000016566	A
rna-XM_056779532.1	A	BRAKERILHT00000016065	A
rna-XM_056779994.1	A	BRAKERILHT00000008542	A
rna-XM_056779995.1	A	BRAKERILHT00000008522	A
rna-XM_056778919.1	A	BRAKERILHT00000009083	A
rna-XM_056779997.1	A	BRAKERILHT00000010205	A
rna-XM_056778782.1	A	BRAKERILHT00000016677	A
rna-XM_056778560.1	A	BRAKERILHT00000015918	A
rna-XM_056779224.1	A	BRAKERILHT00000006338	A
rna-XM_056779223.1	A	BRAKERILHT00000015737	A
rna-XM_056778640.1	A	BRAKERILHT00000015741	A
rna-XM_056779380.1	A	BRAKERILHT00000000476	A
rna-XM_056778729.1	A	BRAKERILHT00000002012	A
rna-XM_056779263.1	A	BRAKERILHT00000000723	A
rna-XM_056778822.1	A	BRAKERILHT00000000858	A
rna-XM_056778823.1	A	BRAKERILHT00000000981	A
rna-XM_056778483.1	A	BRAKERILHT00000001477	A
rna-XM_056778481.1	A	BRAKERILHT00000001584	A
rna-XM_056779709.1	A	BRAKERILHT00000001935	A
rna-XM_056779710.1	A	BRAKERILHT00000001060	A
rna-XM_056779142.1	A	BRAKERILHT00000001204	A
rna-XM_056779138.1	A	BRAKERILHT00000000682	A
rna-XM_056779140.1	A	BRAKERILHT00000000751	A
rna-XM_056779122.1	A	BRAKERILHT00000002020	A
rna-XM_056779586.1	A	BRAKERILHT00000002047	A
rna-XM_056779000.1	A	BRAKERILHT00000002927	A
rna-XM_056778936.1	A	BRAKERILHT00000002678	A
rna-XM_056778902.1	A	BRAKERILHT00000004235	A
rna-XM_056778884.1	A	BRAKERILHT00000003611	A
rna-XM_056779063.1	A	BRAKERILHT00000002623	A
rna-XM_056778638.1	A	BRAKERILHT00000015672	A
rna-XM_056778635.1	A	BRAKERILHT00000016932	A
rna-XM_056778633.1	A	BRAKERILHT00000016597	A
rna-XM_056778630.1	A	BRAKERILHT00000008144	A
rna-XM_056778621.1	A	BRAKERILHT00000008406	A
rna-XM_056778625.1	A	BRAKERILHT00000015811	A
rna-XM_056780000.1	A	BRAKERILHT00000003645	A
rna-XM_056778637.1	A	BRAKERILHT00000016965	A
rna-XM_056778626.1	A	BRAKERILHT00000007367	A
rna-XM_056778634.1	A	BRAKERILHT00000002133	A
rna-XM_056778636.1	A	BRAKERILHT00000002606	A
rna-XM_056779575.1	A	BRAKERILHT00000007224	A
rna-XM_056778797.1	A	BRAKERILHT00000000120	A
rna-XM_056778799.1	A	BRAKERILHT00000001849	A
rna-XM_056779402.1	A	BRAKERILHT00000006605	A
rna-XM_056779401.1	A	BRAKERILHT00000000100	A
rna-XM_056779403.1	A	BRAKERILHT00000011684	A
rna-XM_056779407.1	A	BRAKERILHT00000010409	A
rna-XM_056779405.1	A	BRAKERILHT00000009008	A
rna-XM_056779414.1	A	BRAKERILHT00000010122	A
rna-XM_056779413.1	A	BRAKERILHT00000008678	A
rna-XM_056779404.1	A	BRAKERILHT00000008896	A
rna-XM_056778816.1	A	BRAKERILHT00000009442	A
rna-XM_056778825.1	A	BRAKERILHT00000010381	A
rna-XM_056779281.1	A	BRAKERILHT00000010017	A
rna-XM_056779282.1	A	BRAKERILHT00000009373	A
rna-XM_056778940.1	A	BRAKERILHT00000009223	A
rna-XM_056779135.1	A	BRAKERILHT00000010723	A
rna-XM_056778698.1	A	BRAKERILHT00000001140	A
rna-XM_056779202.1	A	BRAKERILHT00000008621	A
rna-XM_056779178.1	A	BRAKERILHT00000009974	A
rna-XM_056780001.1	A	BRAKERILHT00000009269	A
rna-XM_056780002.1	A	BRAKERILHT00000009989	A
rna-XM_056780021.1	A	BRAKERILHT00000008756	A
rna-XM_056780019.1	A	BRAKERILHT00000010180	A
rna-XM_056780023.1	A	BRAKERILHT00000009584	A
rna-XM_056780020.1	A	BRAKERILHT00000009419	A
rna-XM_056779064.1	A	BRAKERILHT00000009686	A
rna-XM_056778801.1	A	BRAKERILHT00000005015	A
rna-XM_056778941.1	A	BRAKERILHT00000012209	A
rna-XM_056779481.1	A	BRAKERILHT00000000187	A
rna-XM_056780003.1	A	BRAKERILHT00000001602	A
rna-XM_056779249.1	A	BRAKERILHT00000001635	A
rna-XM_056779250.1	A	BRAKERILHT00000008173	A
rna-XM_056778858.1	A	BRAKERILHT00000002279	A
rna-XM_056779363.1	A	BRAKERILHT00000002121	A
rna-XM_056778552.1	A	BRAKERILHT00000000621	A
rna-XM_056778543.1	A	BRAKERILHT00000001084	A
rna-XM_056778534.1	A	BRAKERILHT00000009256	A
rna-XM_056778702.1	A	BRAKERILHT00000008638	A
rna-XM_056778704.1	A	BRAKERILHT00000001971	A
rna-XM_056779376.1	A	BRAKERILHT00000000346	A
rna-XM_056779306.1	A	BRAKERILHT00000000558	A
rna-XM_056779601.1	A	BRAKERILHT00000000164	A
rna-XM_056779605.1	A	BRAKERILHT00000008181	A
rna-XM_056779603.1	A	BRAKERILHT00000000588	A
rna-XM_056779604.1	A	BRAKERILHT00000008453	A
rna-XM_056779290.1	A	BRAKERILHT00000006945	A
rna-XM_056779289.1	A	BRAKERILHT00000007713	A
rna-XM_056779291.1	A	BRAKERILHT00000007122	A
rna-XM_056778933.1	A	BRAKERILHT00000000623	A
rna-XM_056780040.1	A	BRAKERILHT00000000071	A
rna-XM_056780036.1	A	BRAKERILHT00000001670	A
rna-XM_056780041.1	A	BRAKERILHT00000000106	A
rna-XM_056780042.1	A	BRAKERILHT00000001058	A
rna-XM_056778905.1	A	BRAKERILHT00000001529	A
rna-XM_056779308.1	A	BRAKERILHT00000002017	A
rna-XM_056779309.1	A	BRAKERILHT00000001167	A
rna-XM_056779310.1	A	BRAKERILHT00000007587	A
rna-XM_056779311.1	A	BRAKERILHT00000007822	A
rna-XM_056778674.1	A	BRAKERILHT00000006808	A
rna-XM_056778687.1	A	BRAKERILHT00000007833	A
rna-XM_056779015.1	A	BRAKERILHT00000001808	A
rna-XM_056778666.1	A	BRAKERILHT00000001016	A
rna-XM_056778665.1	A	BRAKERILHT00000002151	A
rna-XM_056779252.1	A	BRAKERILHT00000000958	A
rna-XM_056779341.1	A	BRAKERILHT00000013513	A
rna-XM_056779342.1	A	BRAKERILHT00000003192	A
rna-XM_056778509.1	A	BRAKERILHT00000010501	A
rna-XM_056778512.1	A	BRAKERILHT00000005586	A
rna-XM_056778958.1	A	BRAKERILHT00000002549	A
rna-XM_056780005.1	A	BRAKERILHT00000002787	A
rna-XM_056778466.1	A	BRAKERILHT00000003384	A
rna-XM_056778475.1	A	BRAKERILHT00000014882	A
rna-XM_056778469.1	A	BRAKERILHT00000016433	A
rna-XM_056778473.1	A	BRAKERILHT00000016927	A
rna-XM_056778474.1	A	BRAKERILHT00000003604	A
rna-XM_056780007.1	A	BRAKERILHT00000015908	A
rna-XM_056779847.1	A	BRAKERILHT00000005415	A
rna-XM_056779848.1	A	BRAKERILHT00000007451	A
rna-XM_056779849.1	A	BRAKERILHT00000016520	A
rna-XM_056779850.1	A	BRAKERILHT00000005515	A
rna-XM_056779851.1	A	BRAKERILHT00000005772	A
rna-XM_056779865.1	A	BRAKERILHT00000001831	A
rna-XM_056779867.1	A	BRAKERILHT00000007925	A
rna-XM_056779869.1	A	BRAKERILHT00000005522	A
rna-XM_056779868.1	A	BRAKERILHT00000005995	A
rna-XM_056779870.1	A	BRAKERILHT00000006395	A
rna-XM_056779871.1	A	BRAKERILHT00000009884	A
rna-XM_056780011.1	A	BRAKERILHT00000008087	A
rna-XM_056779877.1	A	BRAKERILHT00000009453	A
rna-XM_056779876.1	A	BRAKERILHT00000009030	A
rna-XM_056779874.1	A	BRAKERILHT00000015485	A
rna-XM_056779873.1	A	BRAKERILHT00000009326	A
rna-XM_056779872.1	A	BRAKERILHT00000008780	A
rna-XM_056778606.1	A	BRAKERILHT00000009384	A
rna-XM_056778611.1	A	BRAKERILHT00000004553	A
rna-XM_056778614.1	A	BRAKERILHT00000012369	A
rna-XM_056779074.1	A	BRAKERILHT00000006256	A
rna-XM_056778835.1	A	BRAKERILHT00000004839	A
rna-XM_056778599.1	A	BRAKERILHT00000007277	A
rna-XM_056778594.1	A	BRAKERILHT00000009970	A
rna-XM_056779486.1	A	BRAKERILHT00000015394	A
rna-XM_056778916.1	A	BRAKERILHT00000009709	A
rna-XM_056779424.1	A	BRAKERILHT00000005328	A
rna-XM_056779426.1	A	BRAKERILHT00000004834	A
rna-XM_056779344.1	A	BRAKERILHT00000005243	A
rna-XM_056779293.1	A	BRAKERILHT00000005512	A
rna-XM_056779294.1	A	BRAKERILHT00000005237	A
rna-XM_056779051.1	A	BRAKERILHT00000008714	A
rna-XM_056779057.1	A	BRAKERILHT00000008609	A
rna-XM_056780913.1	A	BRAKERILHT00000001881	A
rna-XM_056780585.1	A	BRAKERILHT00000002033	A
rna-XM_056781103.1	A	BRAKERILHT00000011789	A
rna-XM_056781084.1	A	BRAKERILHT00000010619	A
rna-XM_056781090.1	A	BRAKERILHT00000010634	A
rna-XM_056781085.1	A	BRAKERILHT00000012134	A
rna-XM_056780501.1	A	BRAKERILHT00000000028	A
rna-XM_056780586.1	A	BRAKERILHT00000001574	A
rna-XM_056780645.1	A	BRAKERILHT00000000307	A
rna-XM_056781249.1	A	BRAKERILHT00000000486	A
rna-XM_056781237.1	A	BRAKERILHT00000011359	A
rna-XM_056781246.1	A	BRAKERILHT00000016012	A
rna-XM_056781231.1	A	BRAKERILHT00000010784	A
rna-XM_056781230.1	A	BRAKERILHT00000012143	A
rna-XM_056781251.1	A	BRAKERILHT00000006341	A
rna-XM_056781254.1	A	BRAKERILHT00000005163	A
rna-XM_056781244.1	A	BRAKERILHT00000012572	A
rna-XM_056781223.1	A	BRAKERILHT00000010415	A
rna-XM_056781247.1	A	BRAKERILHT00000011498	A
rna-XM_056781253.1	A	BRAKERILHT00000011443	A
rna-XM_056781225.1	A	BRAKERILHT00000011132	A
rna-XM_056781226.1	A	BRAKERILHT00000010601	A
