C_chinensis	chromosome	A_obtectus	chromosome
anno1.g10716.t1	A	anno1.g4810.t1	A
anno1.g10717.t1	A	anno1.g4811.t1	A
anno1.g10718.t1	A	anno1.g4812.t1	A
anno1.g10720.t1	A	anno1.g4817.t1	A
anno1.g10721.t1	A	anno1.g4818.t1	A
anno1.g10722.t1	A	anno1.g4819.t1	A
anno1.g10724.t1	A	anno1.g4820.t1	A
anno1.g10725.t1	A	anno1.g3027.t1	A
anno1.g10726.t1	A	anno1.g4822.t1	A
anno1.g10727.t1	A	anno1.g4823.t1	A
anno1.g10728.t1	A	anno1.g4825.t1	A
anno1.g10729.t1	A	anno1.g4826.t1	A
anno1.g10730.t1	A	anno1.g4827.t1	A
anno1.g10731.t1	A	anno1.g4183.t1	A
anno1.g10732.t1	A	anno1.g4184.t1	A
anno1.g10734.t1	A	anno1.g4185.t2	A
anno1.g10735.t1	A	anno1.g4186.t1	A
anno1.g10736.t1	A	anno1.g4187.t1	A
anno1.g10737.t1	A	anno1.g4188.t1	A
anno1.g10738.t1	A	anno1.g4182.t1	A
anno1.g10739.t1	A	anno1.g4178.t1	A
anno1.g10740.t1	A	anno1.g4179.t1	A
anno1.g10741.t1	A	anno1.g4180.t1	A
anno1.g10742.t2	A	anno1.g4181.t1	A
anno1.g10743.t2	A	anno1.g4177.t2	A
anno1.g10744.t1	A	anno1.g4176.t2	A
anno1.g10746.t1	A	anno1.g4338.t1	A
anno1.g10747.t1	A	anno1.g4339.t1	A
anno1.g10748.t1	A	anno1.g4341.t1	A
anno1.g10749.t1	A	anno1.g4343.t1	A
anno1.g10750.t1	A	anno1.g9910.t1	A
anno1.g10751.t1	A	anno1.g9909.t1	A
anno1.g10752.t2	A	anno1.g4346.t1	A
anno1.g10753.t1	A	anno1.g9908.t2	A
anno1.g10754.t2	A	anno1.g4348.t2	A
anno1.g10755.t1	A	anno1.g4349.t1	A
anno1.g10756.t1	A	anno1.g4350.t1	A
anno1.g10757.t1	A	anno1.g4352.t1	A
anno1.g10758.t3	A	anno1.g4353.t1	A
anno1.g10759.t1	A	anno1.g4354.t1	A
anno1.g10761.t1	A	anno1.g4355.t4	A
anno1.g10762.t2	A	anno1.g4356.t2	A
anno1.g10763.t5	A	anno1.g4357.t1	A
anno1.g10707.t1	A	anno1.g5611.t1	A
anno1.g1877.t1	A	anno1.g10906.t1	A
anno1.g10698.t1	A	anno1.g13342.t1	A
anno1.g10699.t1	A	anno1.g13341.t1	A
anno1.g10700.t1	A	anno1.g13189.t1	A
anno1.g10701.t1	A	anno1.g13190.t1	A
anno1.g10702.t1	A	anno1.g13191.t1	A
anno1.g10703.t1	A	anno1.g13192.t1	A
anno1.g10704.t1	A	anno1.g13188.t1	A
anno1.g10706.t1	A	anno1.g13187.t1	A
anno1.g10695.t1	A	anno1.g7358.t1	A
anno1.g1855.t1	A	anno1.g6219.t1	A
anno1.g1856.t1	A	anno1.g14310.t1	A
anno1.g1857.t2	A	anno1.g14311.t1	A
anno1.g1860.t4	A	anno1.g6212.t2	A
anno1.g1861.t1	A	anno1.g6211.t1	A
anno1.g1862.t3	A	anno1.g6123.t1	A
anno1.g1863.t1	A	anno1.g6122.t2	A
anno1.g1865.t1	A	anno1.g6121.t1	A
anno1.g1866.t1	A	anno1.g6120.t1	A
anno1.g1867.t1	A	anno1.g6119.t3	A
anno1.g1868.t3	A	anno1.g6118.t1	A
anno1.g1869.t1	A	anno1.g6117.t1	A
anno1.g1870.t1	A	anno1.g6116.t1	A
anno1.g1871.t1	A	anno1.g6115.t1	A
anno1.g1872.t1	A	anno1.g6114.t1	A
anno1.g1873.t1	A	anno1.g6113.t1	A
anno1.g10691.t1	A	anno1.g13070.t1	A
anno1.g10692.t1	A	anno1.g11873.t1	A
anno1.g10693.t6	A	anno1.g13066.t3	A
anno1.g10688.t1	A	anno1.g12648.t1	A
anno1.g10685.t1	X	anno1.g1994.t3	X
anno1.g10686.t1	X	anno1.g11854.t3	A
anno1.g10675.t1	A	anno1.g13533.t1	A
anno1.g10676.t1	A	anno1.g13531.t1	A
anno1.g10677.t1	A	anno1.g13548.t1	A
anno1.g10678.t1	A	anno1.g13547.t1	A
anno1.g10681.t2	A	anno1.g13526.t1	A
anno1.g10682.t1	A	anno1.g13525.t1	A
anno1.g10683.t1	A	anno1.g13524.t1	A
anno1.g10662.t1	A	anno1.g4874.t1	A
anno1.g10663.t1	A	anno1.g4875.t2	A
anno1.g10664.t2	A	anno1.g4876.t1	A
anno1.g10665.t1	A	anno1.g4879.t1	A
anno1.g10666.t1	A	anno1.g4880.t1	A
anno1.g10667.t1	A	anno1.g4881.t1	A
anno1.g10668.t1	A	anno1.g4882.t1	A
anno1.g10669.t1	A	anno1.g4883.t1	A
anno1.g10670.t1	A	anno1.g4884.t1	A
anno1.g10672.t1	A	anno1.g4885.t1	A
anno1.g10673.t1	A	anno1.g4886.t1	A
anno1.g10674.t1	A	anno1.g4887.t1	A
anno1.g10659.t1	A	anno1.g5995.t2	A
anno1.g10634.t1	A	anno1.g12243.t1	A
anno1.g10635.t1	A	anno1.g2830.t1	A
anno1.g10636.t2	A	anno1.g2829.t1	A
anno1.g10637.t1	A	anno1.g2828.t1	A
anno1.g10638.t1	A	anno1.g2343.t1	A
anno1.g10639.t1	A	anno1.g2342.t2	A
anno1.g10642.t1	A	anno1.g4073.t1	A
anno1.g10643.t1	A	anno1.g2340.t3	A
anno1.g10645.t1	A	anno1.g3227.t1	A
anno1.g10646.t1	A	anno1.g2339.t1	A
anno1.g10647.t1	A	anno1.g2337.t4	A
anno1.g10648.t1	A	anno1.g2335.t1	A
anno1.g10649.t2	A	anno1.g2334.t1	A
anno1.g10650.t1	A	anno1.g2333.t1	A
anno1.g10651.t1	A	anno1.g2328.t1	A
anno1.g10652.t1	A	anno1.g2331.t1	A
anno1.g10653.t1	A	anno1.g2326.t2	A
anno1.g10654.t1	A	anno1.g2325.t1	A
anno1.g10655.t1	A	anno1.g2324.t2	A
anno1.g10656.t1	A	anno1.g2323.t1	A
anno1.g10632.t1	A	anno1.g8094.t1	A
anno1.g10627.t2	A	anno1.g10782.t1	A
anno1.g10628.t1	A	anno1.g10783.t1	A
anno1.g10629.t1	A	anno1.g10784.t1	A
anno1.g10631.t1	A	anno1.g11070.t1	A
anno1.g10618.t1	A	anno1.g5512.t1	A
anno1.g10619.t1	A	anno1.g5511.t1	A
anno1.g10620.t1	A	anno1.g5513.t1	A
anno1.g10621.t1	A	anno1.g5515.t1	A
anno1.g10623.t2	A	anno1.g5516.t1	A
anno1.g1840.t1	A	anno1.g892.t2	A
anno1.g1841.t1	A	anno1.g893.t1	A
anno1.g1844.t1	A	anno1.g890.t1	A
anno1.g10614.t1	A	anno1.g600.t1	A
anno1.g10615.t2	A	anno1.g601.t1	A
anno1.g10616.t2	A	anno1.g1794.t3	X
anno1.g1814.t1	A	anno1.g7467.t1	A
anno1.g1815.t1	A	anno1.g7468.t1	A
anno1.g1816.t1	A	anno1.g7469.t1	A
anno1.g1817.t1	A	anno1.g7470.t1	A
anno1.g1823.t1	A	anno1.g7473.t1	A
anno1.g1824.t1	A	anno1.g7474.t1	A
anno1.g1828.t1	A	anno1.g7477.t1	A
anno1.g1829.t2	A	anno1.g7478.t1	A
anno1.g1830.t1	A	anno1.g7904.t1	A
anno1.g1831.t1	A	anno1.g7479.t1	A
anno1.g1832.t1	A	anno1.g7480.t1	A
anno1.g1833.t1	A	anno1.g7481.t1	A
anno1.g1834.t1	A	anno1.g7482.t1	A
anno1.g1835.t1	A	anno1.g7483.t1	A
anno1.g1836.t1	A	anno1.g7484.t1	A
anno1.g1837.t3	A	anno1.g7485.t1	A
anno1.g10611.t1	A	anno1.g12414.t1	A
anno1.g10597.t1	A	anno1.g6229.t2	A
anno1.g10600.t1	A	anno1.g6230.t1	A
anno1.g10602.t1	A	anno1.g6232.t1	A
anno1.g10603.t1	A	anno1.g6234.t1	A
anno1.g10604.t1	A	anno1.g6235.t2	A
anno1.g10605.t1	A	anno1.g6236.t1	A
anno1.g10606.t1	A	anno1.g6240.t1	A
anno1.g10592.t2	A	anno1.g5517.t1	A
anno1.g10593.t1	A	anno1.g5518.t1	A
anno1.g10594.t2	A	anno1.g5519.t1	A
anno1.g10595.t1	A	anno1.g5523.t1	A
anno1.g10579.t3	A	anno1.g11338.t2	A
anno1.g10581.t1	A	anno1.g2840.t1	A
anno1.g10582.t1	A	anno1.g2841.t1	A
anno1.g10570.t1	A	anno1.g4862.t1	A
anno1.g10571.t1	A	anno1.g4865.t1	A
anno1.g10572.t1	A	anno1.g4866.t1	A
anno1.g10573.t1	A	anno1.g4867.t1	A
anno1.g10574.t1	A	anno1.g4868.t1	A
anno1.g10575.t2	A	anno1.g4869.t2	A
anno1.g10576.t4	A	anno1.g4870.t1	A
anno1.g10577.t1	A	anno1.g4872.t2	A
anno1.g10519.t1	A	anno1.g9450.t1	A
anno1.g10520.t1	A	anno1.g9451.t1	A
anno1.g10521.t1	A	anno1.g9452.t1	A
anno1.g10523.t1	A	anno1.g9714.t1	A
anno1.g10524.t1	A	anno1.g9713.t1	A
anno1.g10525.t1	A	anno1.g9712.t1	A
anno1.g10527.t3	A	anno1.g9711.t3	A
anno1.g10529.t1	A	anno1.g9710.t3	A
anno1.g10530.t1	A	anno1.g9709.t1	A
anno1.g10531.t1	A	anno1.g9708.t1	A
anno1.g10532.t1	A	anno1.g9707.t2	A
anno1.g10533.t4	A	anno1.g9706.t1	A
anno1.g10534.t1	A	anno1.g9705.t1	A
anno1.g10535.t2	A	anno1.g9704.t1	A
anno1.g10536.t1	A	anno1.g9703.t1	A
anno1.g10537.t1	A	anno1.g9702.t1	A
anno1.g10538.t1	A	anno1.g9701.t1	A
anno1.g10540.t1	A	anno1.g9700.t2	A
anno1.g10541.t1	A	anno1.g9699.t1	A
anno1.g10543.t1	A	anno1.g9698.t1	A
anno1.g10544.t1	A	anno1.g9696.t2	A
anno1.g10545.t1	A	anno1.g9586.t1	A
anno1.g10546.t1	A	anno1.g9587.t1	A
anno1.g10547.t1	A	anno1.g9588.t1	A
anno1.g10548.t1	A	anno1.g9589.t1	A
anno1.g10549.t1	A	anno1.g9590.t1	A
anno1.g10550.t1	A	anno1.g9591.t1	A
anno1.g10551.t1	A	anno1.g9592.t1	A
anno1.g10552.t1	A	anno1.g9593.t1	A
anno1.g10553.t2	A	anno1.g9594.t2	A
anno1.g10554.t2	A	anno1.g9595.t3	A
anno1.g10555.t1	A	anno1.g9596.t1	A
anno1.g10556.t1	A	anno1.g9597.t1	A
anno1.g10557.t1	A	anno1.g9599.t1	A
anno1.g10559.t1	A	anno1.g9442.t1	A
anno1.g10560.t1	A	anno1.g9441.t1	A
anno1.g10561.t1	A	anno1.g9440.t2	A
anno1.g10562.t1	A	anno1.g9439.t1	A
anno1.g10563.t2	A	anno1.g9438.t8	A
anno1.g10564.t1	A	anno1.g9437.t1	A
anno1.g10567.t1	A	anno1.g9435.t1	A
anno1.g10568.t1	A	anno1.g9434.t2	A
anno1.g10507.t1	A	anno1.g7078.t1	A
anno1.g10508.t1	A	anno1.g7080.t1	A
anno1.g10509.t2	A	anno1.g7082.t1	A
anno1.g10510.t1	A	anno1.g7083.t1	A
anno1.g10511.t1	A	anno1.g7064.t1	A
anno1.g10512.t1	A	anno1.g7065.t1	A
anno1.g10513.t1	A	anno1.g7066.t1	A
anno1.g10514.t1	A	anno1.g7067.t1	A
anno1.g10515.t2	A	anno1.g7088.t1	A
anno1.g10516.t1	A	anno1.g7089.t1	A
anno1.g10517.t1	A	anno1.g7090.t2	A
anno1.g10518.t1	A	anno1.g7092.t1	A
anno1.g10499.t1	A	anno1.g8705.t2	A
anno1.g10500.t1	A	anno1.g8703.t1	A
anno1.g10501.t1	A	anno1.g8702.t1	A
anno1.g10502.t1	A	anno1.g8701.t1	A
anno1.g10503.t1	A	anno1.g8700.t1	A
anno1.g10504.t1	A	anno1.g8699.t1	A
anno1.g10494.t1	A	anno1.g7503.t1	A
anno1.g10471.t1	A	anno1.g3862.t2	A
anno1.g10472.t2	A	anno1.g3861.t1	A
anno1.g10473.t1	A	anno1.g3860.t1	A
anno1.g10474.t1	A	anno1.g3859.t2	A
anno1.g10476.t3	A	anno1.g3858.t1	A
anno1.g10477.t1	A	anno1.g3857.t1	A
anno1.g10478.t1	A	anno1.g3856.t2	A
anno1.g10479.t1	A	anno1.g3853.t1	A
anno1.g10480.t1	A	anno1.g3854.t1	A
anno1.g10481.t1	A	anno1.g3852.t1	A
anno1.g10482.t1	A	anno1.g3850.t1	A
anno1.g10483.t1	A	anno1.g3849.t2	A
anno1.g10484.t1	A	anno1.g3848.t1	A
anno1.g10485.t1	A	anno1.g3847.t1	A
anno1.g10486.t1	A	anno1.g3846.t1	A
anno1.g10487.t1	A	anno1.g3845.t1	A
anno1.g10488.t1	A	anno1.g2893.t1	A
anno1.g10490.t1	A	anno1.g2895.t1	A
anno1.g10491.t1	A	anno1.g2896.t2	A
anno1.g10492.t1	A	anno1.g2897.t1	A
anno1.g1794.t1	A	anno1.g2414.t1	A
anno1.g1795.t1	A	anno1.g11852.t1	A
anno1.g1796.t1	A	anno1.g2564.t1	A
anno1.g1797.t2	A	anno1.g3375.t1	A
anno1.g1798.t1	A	anno1.g11970.t2	A
anno1.g1799.t1	A	anno1.g11969.t1	A
anno1.g1800.t1	A	anno1.g11968.t1	A
anno1.g1801.t2	A	anno1.g11967.t1	A
anno1.g1802.t1	A	anno1.g11966.t1	A
anno1.g1806.t1	A	anno1.g11965.t1	A
anno1.g10466.t3	A	anno1.g6134.t2	A
anno1.g10467.t1	A	anno1.g6135.t1	A
anno1.g10468.t1	A	anno1.g6136.t2	A
anno1.g10469.t1	A	anno1.g6137.t2	A
anno1.g10470.t1	A	anno1.g6138.t1	A
anno1.g10461.t2	A	anno1.g7220.t2	A
anno1.g10462.t2	A	anno1.g7219.t1	A
anno1.g10463.t2	A	anno1.g7218.t2	A
anno1.g10438.t1	A	anno1.g11777.t1	A
anno1.g10439.t1	A	anno1.g11769.t1	A
anno1.g10440.t1	A	anno1.g11812.t1	A
anno1.g10441.t1	A	anno1.g11808.t1	A
anno1.g10442.t1	A	anno1.g11807.t1	A
anno1.g10443.t1	A	anno1.g11806.t1	A
anno1.g10444.t4	A	anno1.g11804.t1	A
anno1.g10446.t1	A	anno1.g11831.t1	A
anno1.g10449.t1	A	anno1.g11829.t1	A
anno1.g10452.t1	A	anno1.g11828.t1	A
anno1.g10418.t1	A	anno1.g4370.t1	A
anno1.g10419.t1	A	anno1.g4371.t1	A
anno1.g10420.t1	A	anno1.g4372.t1	A
anno1.g10421.t1	A	anno1.g4373.t1	A
anno1.g10422.t1	A	anno1.g4374.t2	A
anno1.g10423.t1	A	anno1.g4375.t1	A
anno1.g10424.t4	A	anno1.g4376.t2	A
anno1.g10425.t1	A	anno1.g4377.t1	A
anno1.g10426.t1	A	anno1.g4378.t1	A
anno1.g10427.t1	A	anno1.g4379.t1	A
anno1.g10429.t1	A	anno1.g4381.t1	A
anno1.g10430.t1	A	anno1.g4382.t1	A
anno1.g10431.t2	A	anno1.g4383.t1	A
anno1.g10432.t1	A	anno1.g4384.t1	A
anno1.g10433.t1	A	anno1.g4386.t1	A
anno1.g10434.t1	A	anno1.g4387.t1	A
anno1.g10435.t1	A	anno1.g4388.t1	A
anno1.g1792.t1	A	anno1.g11590.t2	A
anno1.g10413.t1	A	anno1.g1459.t2	A
anno1.g10414.t1	A	anno1.g7383.t1	A
anno1.g10415.t1	A	anno1.g7382.t1	A
anno1.g10416.t1	A	anno1.g7381.t1	A
anno1.g10363.t1	A	anno1.g6007.t1	A
anno1.g10366.t1	A	anno1.g6005.t1	A
anno1.g10367.t1	A	anno1.g6002.t1	A
anno1.g10368.t1	A	anno1.g6001.t1	A
anno1.g10369.t1	A	anno1.g6010.t1	A
anno1.g10370.t1	A	anno1.g5989.t2	A
anno1.g10371.t1	A	anno1.g6012.t1	A
anno1.g10372.t1	A	anno1.g6013.t1	A
anno1.g10377.t1	A	anno1.g14806.t1	A
anno1.g10378.t1	A	anno1.g5987.t1	A
anno1.g10379.t1	A	anno1.g5985.t1	A
anno1.g10381.t1	A	anno1.g5984.t2	A
anno1.g10382.t1	A	anno1.g7151.t1	A
anno1.g10383.t2	A	anno1.g7152.t2	A
anno1.g10384.t3	A	anno1.g7154.t1	A
anno1.g10385.t1	A	anno1.g7155.t1	A
anno1.g10386.t1	A	anno1.g6930.t2	A
anno1.g10387.t1	A	anno1.g6932.t1	A
anno1.g10388.t1	A	anno1.g6933.t1	A
anno1.g10389.t1	A	anno1.g6940.t2	A
anno1.g10390.t1	A	anno1.g6948.t1	A
anno1.g10391.t1	A	anno1.g6929.t1	A
anno1.g10392.t1	A	anno1.g6928.t1	A
anno1.g10393.t2	A	anno1.g6926.t1	A
anno1.g10395.t1	A	anno1.g6924.t2	A
anno1.g10396.t1	A	anno1.g6923.t1	A
anno1.g10397.t2	A	anno1.g6922.t2	A
anno1.g10398.t1	A	anno1.g6921.t1	A
anno1.g10399.t1	A	anno1.g6918.t1	A
anno1.g10400.t1	A	anno1.g6919.t1	A
anno1.g10403.t1	A	anno1.g6916.t1	A
anno1.g10404.t1	A	anno1.g6914.t1	A
anno1.g10405.t2	A	anno1.g6913.t1	A
anno1.g10406.t1	A	anno1.g6912.t1	A
anno1.g10407.t1	A	anno1.g6911.t1	A
anno1.g10408.t1	A	anno1.g6910.t1	A
anno1.g10409.t1	A	anno1.g6908.t1	A
anno1.g10410.t1	A	anno1.g6907.t1	A
anno1.g10411.t1	A	anno1.g6906.t1	A
anno1.g1788.t1	A	anno1.g2540.t1	A
anno1.g10352.t1	A	anno1.g10750.t1	A
anno1.g10353.t1	A	anno1.g10749.t1	A
anno1.g10355.t1	A	anno1.g10748.t1	A
anno1.g10356.t1	A	anno1.g10747.t1	A
anno1.g10357.t1	A	anno1.g10746.t1	A
anno1.g10358.t1	A	anno1.g10745.t2	A
anno1.g10359.t1	A	anno1.g10744.t1	A
anno1.g10345.t1	A	anno1.g9389.t1	A
anno1.g10331.t2	A	anno1.g11339.t1	A
anno1.g10333.t1	A	anno1.g11337.t1	A
anno1.g10335.t1	A	anno1.g2842.t1	A
anno1.g10336.t1	A	anno1.g2843.t1	A
anno1.g10337.t1	A	anno1.g2844.t1	A
anno1.g10338.t1	A	anno1.g2845.t1	A
anno1.g10339.t1	A	anno1.g11267.t1	A
anno1.g10315.t1	A	anno1.g5979.t3	A
anno1.g10316.t1	A	anno1.g5981.t1	A
anno1.g10317.t1	A	anno1.g5982.t1	A
anno1.g10318.t3	A	anno1.g5983.t2	A
anno1.g10319.t1	A	anno1.g7150.t1	A
anno1.g10320.t1	A	anno1.g6109.t1	A
anno1.g10321.t1	A	anno1.g7211.t1	A
anno1.g10322.t1	A	anno1.g7212.t1	A
anno1.g10323.t1	A	anno1.g7213.t1	A
anno1.g10324.t1	A	anno1.g7214.t1	A
anno1.g10325.t1	A	anno1.g7215.t2	A
anno1.g10326.t1	A	anno1.g7216.t1	A
anno1.g1774.t1	A	anno1.g7752.t1	A
anno1.g1775.t4	A	anno1.g7751.t2	A
anno1.g1776.t1	A	anno1.g7750.t1	A
anno1.g1780.t1	A	anno1.g7748.t1	A
anno1.g1781.t1	A	anno1.g7747.t1	A
anno1.g1782.t1	A	anno1.g7745.t1	A
anno1.g1783.t1	A	anno1.g7744.t1	A
anno1.g1784.t1	A	anno1.g7726.t1	A
anno1.g1785.t1	A	anno1.g7727.t1	A
anno1.g10311.t1	A	anno1.g3365.t1	A
anno1.g1764.t1	A	anno1.g13231.t1	A
anno1.g1765.t1	A	anno1.g13278.t1	A
anno1.g10276.t1	A	anno1.g7255.t1	A
anno1.g10277.t1	A	anno1.g7254.t1	A
anno1.g10239.t1	A	anno1.g9154.t1	A
anno1.g10240.t1	A	anno1.g9153.t1	A
anno1.g10241.t1	A	anno1.g9152.t1	A
anno1.g10242.t1	A	anno1.g9151.t1	A
anno1.g10243.t1	A	anno1.g9150.t1	A
anno1.g10249.t1	A	anno1.g9077.t1	A
anno1.g10250.t1	A	anno1.g2189.t1	X
anno1.g10252.t1	A	anno1.g9075.t1	A
anno1.g10253.t1	A	anno1.g9073.t1	A
anno1.g10254.t2	A	anno1.g9074.t1	A
anno1.g10255.t1	A	anno1.g9072.t1	A
anno1.g10256.t2	A	anno1.g8012.t1	A
anno1.g10257.t1	A	anno1.g9070.t1	A
anno1.g10258.t4	A	anno1.g9069.t2	A
anno1.g10259.t1	A	anno1.g9068.t1	A
anno1.g10260.t1	A	anno1.g9067.t1	A
anno1.g10261.t1	A	anno1.g9066.t1	A
anno1.g10262.t1	A	anno1.g9063.t1	A
anno1.g10263.t1	A	anno1.g8828.t1	A
anno1.g10264.t1	A	anno1.g8819.t1	A
anno1.g10265.t1	A	anno1.g8826.t1	A
anno1.g10266.t1	A	anno1.g8825.t1	A
anno1.g10267.t1	A	anno1.g8824.t1	A
anno1.g10269.t1	A	anno1.g8823.t1	A
anno1.g10270.t1	A	anno1.g8822.t1	A
anno1.g10223.t2	A	anno1.g4562.t1	A
anno1.g10224.t1	A	anno1.g4563.t1	A
anno1.g10225.t1	A	anno1.g4564.t1	A
anno1.g10226.t1	A	anno1.g4565.t1	A
anno1.g10228.t1	A	anno1.g4575.t1	A
anno1.g10229.t1	A	anno1.g4576.t1	A
anno1.g10230.t1	A	anno1.g4577.t1	A
anno1.g10231.t1	A	anno1.g4578.t1	A
anno1.g10232.t1	A	anno1.g4580.t1	A
anno1.g10233.t1	A	anno1.g4581.t1	A
anno1.g10234.t1	A	anno1.g4582.t1	A
anno1.g10235.t1	A	anno1.g4583.t1	A
anno1.g10236.t2	A	anno1.g4585.t1	A
anno1.g10237.t1	A	anno1.g4586.t1	A
anno1.g10238.t1	A	anno1.g4573.t1	A
anno1.g1759.t1	A	anno1.g4271.t1	A
anno1.g10211.t1	A	anno1.g9209.t1	A
anno1.g10212.t1	A	anno1.g9210.t1	A
anno1.g10213.t1	A	anno1.g9211.t2	A
anno1.g10214.t1	A	anno1.g9212.t1	A
anno1.g10215.t1	A	anno1.g9213.t1	A
anno1.g10217.t1	A	anno1.g9214.t1	A
anno1.g10218.t1	A	anno1.g9215.t1	A
anno1.g10219.t2	A	anno1.g9216.t1	A
anno1.g10220.t1	A	anno1.g9217.t1	A
anno1.g10192.t1	A	anno1.g10130.t1	A
anno1.g10189.t1	A	anno1.g11052.t1	A
anno1.g1757.t1	A	anno1.g9431.t1	A
anno1.g10173.t2	A	anno1.g1455.t1	A
anno1.g10174.t1	A	anno1.g1456.t1	A
anno1.g10175.t1	A	anno1.g66.t1	A
anno1.g10176.t1	A	anno1.g67.t1	A
anno1.g10177.t1	A	anno1.g69.t1	A
anno1.g10178.t1	A	anno1.g70.t1	A
anno1.g10179.t1	A	anno1.g71.t1	A
anno1.g10181.t1	A	anno1.g73.t1	A
anno1.g10182.t1	A	anno1.g76.t1	A
anno1.g10184.t1	A	anno1.g75.t1	A
anno1.g1732.t1	A	anno1.g3130.t1	A
anno1.g1733.t1	A	anno1.g8035.t1	A
anno1.g1734.t1	A	anno1.g8037.t1	A
anno1.g1735.t2	A	anno1.g8034.t1	A
anno1.g1737.t1	A	anno1.g8033.t1	A
anno1.g1740.t2	A	anno1.g8024.t1	A
anno1.g1741.t1	A	anno1.g8025.t1	A
anno1.g1745.t3	A	anno1.g8026.t3	A
anno1.g1746.t1	A	anno1.g8027.t1	A
anno1.g1747.t1	A	anno1.g8028.t1	A
anno1.g1753.t1	A	anno1.g8029.t1	A
anno1.g1754.t1	A	anno1.g8031.t1	A
anno1.g1755.t2	A	anno1.g8032.t3	A
anno1.g10161.t1	A	anno1.g9241.t4	A
anno1.g10162.t1	A	anno1.g9249.t1	A
anno1.g10165.t1	A	anno1.g9244.t1	A
anno1.g10150.t1	A	anno1.g8050.t1	A
anno1.g10151.t1	A	anno1.g8049.t4	A
anno1.g10153.t1	A	anno1.g8047.t1	A
anno1.g10155.t1	A	anno1.g8045.t1	A
anno1.g1727.t1	A	anno1.g2595.t1	A
anno1.g1729.t1	A	anno1.g2599.t1	A
anno1.g10146.t1	A	anno1.g3425.t1	A
anno1.g10147.t2	A	anno1.g3423.t1	A
anno1.g10148.t3	A	anno1.g3424.t1	A
anno1.g10131.t1	A	anno1.g7874.t2	A
anno1.g10132.t1	A	anno1.g7873.t1	A
anno1.g10133.t1	A	anno1.g7872.t1	A
anno1.g10135.t1	A	anno1.g7871.t1	A
anno1.g10136.t3	A	anno1.g7870.t2	A
anno1.g10137.t1	A	anno1.g7869.t1	A
anno1.g10107.t1	A	anno1.g9538.t1	A
anno1.g10109.t2	A	anno1.g6713.t1	A
anno1.g10110.t1	A	anno1.g6712.t2	A
anno1.g10111.t1	A	anno1.g6711.t1	A
anno1.g10112.t2	A	anno1.g6710.t3	A
anno1.g10113.t1	A	anno1.g6709.t1	A
anno1.g10114.t1	A	anno1.g6708.t2	A
anno1.g10115.t4	A	anno1.g6707.t1	A
anno1.g10117.t1	A	anno1.g6704.t1	A
anno1.g10119.t1	A	anno1.g6703.t1	A
anno1.g10120.t1	A	anno1.g6702.t1	A
anno1.g10121.t2	A	anno1.g6701.t2	A
anno1.g1720.t1	A	anno1.g11607.t1	A
anno1.g1721.t1	A	anno1.g11606.t1	A
anno1.g1722.t1	A	anno1.g11605.t1	A
anno1.g1724.t1	A	anno1.g11603.t1	A
anno1.g10098.t1	A	anno1.g13499.t1	A
anno1.g10099.t1	A	anno1.both_agree_g557.t1	A
anno1.g10103.t1	A	anno1.g13500.t1	A
anno1.g10104.t1	A	anno1.g13502.t1	A
anno1.g10105.t1	A	anno1.g13534.t1	A
anno1.g10075.t1	A	anno1.g11161.t1	A
anno1.g10076.t1	A	anno1.g11160.t1	A
anno1.g10077.t1	A	anno1.g11159.t1	A
anno1.g10078.t1	A	anno1.g11158.t1	A
anno1.g10058.t1	A	anno1.g10881.t1	A
anno1.g10059.t1	A	anno1.g10882.t1	A
anno1.g1713.t1	A	anno1.g14433.t1	A
anno1.g10045.t1	A	anno1.g8742.t1	A
anno1.g10047.t1	A	anno1.g8743.t1	A
anno1.g10048.t2	A	anno1.g8744.t1	A
anno1.g10049.t1	A	anno1.g8737.t2	A
anno1.g10050.t3	A	anno1.g10100.t1	A
anno1.g10051.t1	A	anno1.g10101.t1	A
anno1.g10027.t1	A	anno1.g9143.t1	A
anno1.g1706.t1	A	anno1.g9333.t1	A
anno1.g1708.t2	A	anno1.g9336.t2	A
anno1.g1711.t1	A	anno1.g9340.t2	A
anno1.g1712.t1	A	anno1.g9341.t1	A
anno1.g10012.t2	A	anno1.g475.t1	A
anno1.g9990.t1	A	anno1.g8513.t5	A
anno1.g9991.t1	A	anno1.g8512.t1	A
anno1.g9992.t2	A	anno1.g8511.t2	A
anno1.g9993.t1	A	anno1.g8509.t1	A
anno1.g9994.t1	A	anno1.g8510.t1	A
anno1.g9995.t1	A	anno1.g8508.t1	A
anno1.g9996.t1	A	anno1.g8507.t1	A
anno1.g9997.t1	A	anno1.g8506.t1	A
anno1.g9998.t1	A	anno1.g8505.t1	A
anno1.g9999.t1	A	anno1.g8504.t1	A
anno1.g10000.t1	A	anno1.g8501.t1	A
anno1.g10001.t1	A	anno1.g8500.t1	A
anno1.g10002.t1	A	anno1.g8499.t2	A
anno1.g10003.t2	A	anno1.g8498.t1	A
anno1.g10004.t1	A	anno1.g8497.t1	A
anno1.g9972.t1	A	anno1.g4640.t1	A
anno1.g9973.t1	A	anno1.g4639.t1	A
anno1.g9974.t1	A	anno1.g4638.t1	A
anno1.g9976.t1	A	anno1.g4859.t1	A
anno1.g9980.t1	A	anno1.g4861.t1	A
