D_carinulata	chromosome	C_chinensis	chromosome
rna-XM_057803473.1	A	anno1.g2370.t1	X
rna-XM_057803478.1	A	anno1.g1538.t1	A
rna-XM_057803465.1	A	anno1.g1536.t2	A
rna-XM_057803476.1	A	anno1.g1535.t1	A
rna-XM_057803339.1	A	anno1.g1533.t1	A
rna-XM_057803492.1	A	anno1.g2819.t1	A
rna-XM_057803485.1	A	anno1.g59.t1	A
rna-XM_057803489.1	A	anno1.g9082.t1	A
rna-XM_057803481.1	A	anno1.g58.t1	A
rna-XM_057803477.1	A	anno1.g7942.t2	A
rna-XM_057803479.1	A	anno1.g7941.t1	A
rna-XM_057803490.1	A	anno1.g7938.t1	A
rna-XM_057803484.1	A	anno1.g6440.t1	A
rna-XM_057803480.1	A	anno1.g6439.t1	A
rna-XM_057803486.1	A	anno1.g6438.t1	A
rna-XM_057802378.1	A	anno1.g10422.t1	A
rna-XM_057802023.1	A	anno1.g6442.t1	A
rna-XM_057802084.1	A	anno1.g6441.t1	A
rna-XM_057802360.1	A	anno1.g6444.t1	A
rna-XM_057802364.1	A	anno1.g12531.t1	A
rna-XM_057802363.1	A	anno1.g10318.t3	A
rna-XM_057803737.1	A	anno1.g6187.t2	A
rna-XM_057803744.1	A	anno1.g8376.t1	A
rna-XM_057803743.1	A	anno1.g2782.t2	A
rna-XM_057803742.1	A	anno1.g10820.t1	A
rna-XM_057803740.1	A	anno1.g8374.t1	A
rna-XM_057803728.1	A	anno1.g9411.t1	A
rna-XM_057802106.1	A	anno1.g10636.t2	A
rna-XM_057803848.1	A	anno1.g3833.t1	A
rna-XM_057803392.1	A	anno1.g10172.t1	A
rna-XM_057803395.1	A	anno1.g11070.t1	A
rna-XM_057802822.1	A	anno1.g8156.t2	A
rna-XM_057802824.1	A	anno1.g2512.t1	A
rna-XM_057802604.1	A	anno1.g6277.t1	A
rna-XM_057802603.1	A	anno1.g3864.t1	A
rna-XM_057801743.1	A	anno1.g3521.t1	A
rna-XM_057802452.1	A	anno1.g1316.t1	A
rna-XM_057802203.1	A	anno1.g1539.t1	A
rna-XM_057803787.1	A	anno1.g7312.t1	A
rna-XM_057803789.1	A	anno1.g7313.t1	A
rna-XM_057802280.1	A	anno1.g2835.t1	A
rna-XM_057802281.1	A	anno1.g2713.t1	A
rna-XM_057802282.1	A	anno1.g5585.t1	A
rna-XM_057801920.1	A	anno1.g6886.t3	A
rna-XM_057803342.1	A	anno1.g6885.t1	A
rna-XM_057801946.1	A	anno1.g1944.t1	A
rna-XM_057802146.1	A	anno1.g1945.t3	A
rna-XM_057803679.1	A	anno1.g1946.t1	A
rna-XM_057803682.1	A	anno1.g1947.t1	A
rna-XM_057803681.1	A	anno1.g5967.t1	A
rna-XM_057803683.1	A	anno1.g1194.t1	A
rna-XM_057803770.1	A	anno1.g7610.t3	A
rna-XM_057802821.1	A	anno1.g7611.t1	A
rna-XM_057803049.1	A	anno1.g5867.t1	A
rna-XM_057803055.1	A	anno1.g12114.t1	A
rna-XM_057803059.1	A	anno1.g12115.t1	A
rna-XM_057803042.1	A	anno1.g1032.t1	A
rna-XM_057803065.1	A	anno1.g1780.t1	A
rna-XM_057803044.1	A	anno1.g11603.t1	A
rna-XM_057803046.1	A	anno1.g11760.t1	A
rna-XM_057803036.1	A	anno1.g3291.t1	A
rna-XM_057803063.1	A	anno1.g3292.t1	A
rna-XM_057803530.1	A	anno1.g3707.t2	A
rna-XM_057803525.1	A	anno1.g1712.t1	A
rna-XM_057803522.1	A	anno1.g4851.t1	A
rna-XM_057803536.1	A	anno1.g4852.t1	A
rna-XM_057803537.1	A	anno1.g4854.t1	A
rna-XM_057803548.1	A	anno1.g2077.t1	A
rna-XM_057803565.1	A	anno1.g874.t1	A
rna-XM_057803572.1	A	anno1.g13794.t1	A
rna-XM_057803551.1	A	anno1.g12861.t4	A
rna-XM_057803571.1	A	anno1.g12859.t1	A
rna-XM_057803569.1	A	anno1.g12463.t1	A
rna-XM_057803577.1	A	anno1.g6805.t1	A
rna-XM_057803573.1	A	anno1.g9292.t1	A
rna-XM_057803578.1	A	anno1.g7545.t1	A
rna-XM_057803581.1	A	anno1.g1389.t1	A
rna-XM_057803592.1	A	anno1.g7212.t1	A
rna-XM_057803587.1	A	anno1.g1184.t1	A
rna-XM_057803582.1	A	anno1.g1185.t1	A
rna-XM_057803600.1	A	anno1.g7601.t1	A
rna-XM_057803603.1	A	anno1.g7602.t1	A
rna-XM_057803345.1	A	anno1.g7410.t1	A
rna-XM_057802583.1	A	anno1.g7642.t1	A
rna-XM_057803646.1	A	anno1.g7606.t1	A
rna-XM_057803642.1	A	anno1.g7608.t1	A
rna-XM_057803647.1	A	anno1.g11802.t1	A
rna-XM_057803650.1	A	anno1.g1188.t1	A
rna-XM_057803649.1	A	anno1.g3095.t2	A
rna-XM_057803648.1	A	anno1.g7088.t1	A
rna-XM_057803285.1	A	anno1.g12577.t1	A
rna-XM_057803281.1	A	anno1.g2523.t1	A
rna-XM_057803283.1	A	anno1.g12578.t2	A
rna-XM_057801930.1	A	anno1.g2519.t1	A
rna-XM_057801909.1	A	anno1.g5541.t2	A
rna-XM_057803071.1	A	anno1.g4503.t1	A
rna-XM_057802032.1	A	anno1.g12814.t1	A
rna-XM_057802031.1	A	anno1.g587.t2	A
rna-XM_057802034.1	A	anno1.g1795.t1	A
rna-XM_057802011.1	A	anno1.g3554.t1	A
rna-XM_057802013.1	A	anno1.g2581.t2	A
rna-XM_057802002.1	A	anno1.g6248.t3	A
rna-XM_057802008.1	A	anno1.g1801.t2	A
rna-XM_057802010.1	A	anno1.g1800.t1	A
rna-XM_057802159.1	A	anno1.g9265.t1	A
rna-XM_057802520.1	A	anno1.g9264.t1	A
rna-XM_057803354.1	A	anno1.g13628.t2	A
rna-XM_057802595.1	A	anno1.g2834.t1	A
rna-XM_057802596.1	A	anno1.g2833.t1	A
rna-XM_057802496.1	A	anno1.g12484.t2	A
rna-XM_057802497.1	A	anno1.g13627.t1	A
rna-XM_057802559.1	A	anno1.g2632.t1	A
rna-XM_057802560.1	A	anno1.g2631.t1	A
rna-XM_057802295.1	A	anno1.g2627.t1	A
rna-XM_057802323.1	A	anno1.g10411.t1	A
rna-XM_057801630.1	A	anno1.g7936.t2	A
rna-XM_057801631.1	A	anno1.g7935.t1	A
rna-XM_057801633.1	A	anno1.g6529.t1	A
rna-XM_057802644.1	A	anno1.g4203.t1	A
rna-XM_057802210.1	A	anno1.g11396.t1	A
rna-XM_057801927.1	A	anno1.g8710.t1	A
rna-XM_057802348.1	A	anno1.g11398.t1	A
rna-XM_057802227.1	A	anno1.g1374.t1	A
rna-XM_057802226.1	A	anno1.g11397.t1	A
rna-XM_057802329.1	A	anno1.g8713.t1	A
rna-XM_057802332.1	A	anno1.g10603.t1	A
rna-XM_057802333.1	A	anno1.g10602.t1	A
rna-XM_057802335.1	A	anno1.g11395.t2	A
rna-XM_057801891.1	A	anno1.g11393.t1	A
rna-XM_057802365.1	A	anno1.g11394.t2	A
rna-XM_057802366.1	A	anno1.g4509.t1	A
rna-XM_057802369.1	A	anno1.g2625.t2	A
rna-XM_057801936.1	A	anno1.g7711.t1	A
rna-XM_057802643.1	A	anno1.g8946.t1	A
rna-XM_057802584.1	A	anno1.g7708.t1	A
rna-XM_057802370.1	A	anno1.g7709.t1	A
rna-XM_057802224.1	A	anno1.g7710.t1	A
rna-XM_057802097.1	A	anno1.g7712.t1	A
rna-XM_057801763.1	A	anno1.g8931.t1	A
rna-XM_057801762.1	A	anno1.g8932.t1	A
rna-XM_057802238.1	A	anno1.g8935.t1	A
rna-XM_057802372.1	A	anno1.g8936.t1	A
rna-XM_057802492.1	A	anno1.g4396.t1	A
rna-XM_057802294.1	A	anno1.g8292.t1	A
rna-XM_057802171.1	A	anno1.g8158.t1	A
rna-XM_057802172.1	A	anno1.g8159.t1	A
rna-XM_057803355.1	A	anno1.g2424.t1	A
rna-XM_057802351.1	A	anno1.g1174.t1	A
rna-XM_057802353.1	A	anno1.g10544.t1	A
rna-XM_057803357.1	A	anno1.g10542.t1	A
rna-XM_057802299.1	A	anno1.g11732.t1	A
rna-XM_057802455.1	A	anno1.g9426.t1	A
rna-XM_057802526.1	A	anno1.g8705.t1	A
rna-XM_057803358.1	A	anno1.g9078.t1	A
rna-XM_057802680.1	A	anno1.g9077.t1	A
rna-XM_057803360.1	A	anno1.g5886.t1	A
rna-XM_057802681.1	A	anno1.g1529.t1	A
rna-XM_057802692.1	A	anno1.g12889.t1	A
rna-XM_057802686.1	A	anno1.g1530.t4	A
rna-XM_057802696.1	A	anno1.g5355.t1	A
rna-XM_057802694.1	A	anno1.g12122.t2	A
rna-XM_057802699.1	A	anno1.g4397.t1	A
rna-XM_057802700.1	A	anno1.g6852.t1	A
rna-XM_057802701.1	A	anno1.g5696.t1	A
rna-XM_057803361.1	A	anno1.g8783.t1	A
rna-XM_057802702.1	A	anno1.g8781.t3	A
rna-XM_057802708.1	A	anno1.g8780.t1	A
rna-XM_057802713.1	A	anno1.g9937.t1	A
rna-XM_057802724.1	A	anno1.g9247.t1	A
rna-XM_057802731.1	A	anno1.g6343.t2	A
rna-XM_057802734.1	A	anno1.g11264.t1	A
rna-XM_057802774.1	A	anno1.g4187.t1	A
rna-XM_057803365.1	A	anno1.g5765.t1	A
rna-XM_057802771.1	A	anno1.g12110.t2	A
rna-XM_057802781.1	A	anno1.g747.t2	A
rna-XM_057802773.1	A	anno1.g9934.t1	A
rna-XM_057803372.1	A	anno1.g2015.t2	A
rna-XM_057802787.1	A	anno1.g3194.t2	A
rna-XM_057802785.1	A	anno1.g5252.t2	A
rna-XM_057802790.1	A	anno1.g11462.t2	A
rna-XM_057802812.1	A	anno1.g11463.t1	A
rna-XM_057802809.1	A	anno1.g11464.t1	A
rna-XM_057802338.1	A	anno1.g1171.t1	A
rna-XM_057802453.1	A	anno1.g1172.t1	A
rna-XM_057802410.1	A	anno1.g1173.t1	A
rna-XM_057803411.1	A	anno1.g9075.t2	A
rna-XM_057802383.1	A	anno1.g3852.t1	A
rna-XM_057802044.1	A	anno1.g119.t1	A
rna-XM_057802236.1	A	anno1.g4918.t1	A
rna-XM_057802111.1	A	anno1.g8241.t2	A
rna-XM_057802110.1	A	anno1.g7033.t1	A
rna-XM_057802112.1	A	anno1.g3848.t1	A
rna-XM_057802547.1	A	anno1.g268.t1	A
rna-XM_057803814.1	A	anno1.g8225.t2	A
rna-XM_057803816.1	A	anno1.g4928.t2	A
rna-XM_057801926.1	A	anno1.g8226.t1	A
rna-XM_057802484.1	A	anno1.g7665.t1	A
rna-XM_057802291.1	A	anno1.g13556.t1	A
rna-XM_057802102.1	A	anno1.g7664.t1	A
rna-XM_057802103.1	A	anno1.g11704.t1	A
rna-XM_057802104.1	A	anno1.g2539.t1	A
rna-XM_057802877.1	A	anno1.g7679.t1	A
rna-XM_057802886.1	A	anno1.g7680.t1	A
rna-XM_057802882.1	A	anno1.g7675.t1	A
rna-XM_057802885.1	A	anno1.g7676.t2	A
rna-XM_057802878.1	A	anno1.g9307.t1	A
rna-XM_057802870.1	A	anno1.g9308.t1	A
rna-XM_057802883.1	A	anno1.g9309.t3	A
rna-XM_057802884.1	A	anno1.g9310.t1	A
rna-XM_057802889.1	A	anno1.g13352.t1	A
rna-XM_057802890.1	A	anno1.g1474.t2	A
rna-XM_057802891.1	A	anno1.g9748.t1	A
rna-XM_057802892.1	A	anno1.g8003.t1	A
rna-XM_057802893.1	A	anno1.g11705.t2	A
rna-XM_057802894.1	A	anno1.g7996.t1	A
rna-XM_057802896.1	A	anno1.g7995.t1	A
rna-XM_057802899.1	A	anno1.g13654.t1	A
rna-XM_057802909.1	A	anno1.g7997.t1	A
rna-XM_057802903.1	A	anno1.g7998.t1	A
rna-XM_057802902.1	A	anno1.g7990.t1	A
rna-XM_057802908.1	A	anno1.g7991.t1	A
rna-XM_057802898.1	A	anno1.g7999.t1	A
rna-XM_057802905.1	A	anno1.g7677.t1	A
rna-XM_057802900.1	A	anno1.g7678.t1	A
rna-XM_057802904.1	A	anno1.g6468.t1	X
rna-XM_057802915.1	A	anno1.g8772.t3	A
rna-XM_057802910.1	A	anno1.g2042.t1	A
rna-XM_057802914.1	A	anno1.g7992.t1	A
rna-XM_057802922.1	A	anno1.g4006.t1	A
rna-XM_057802955.1	A	anno1.g4004.t1	A
rna-XM_057802930.1	A	anno1.g3978.t1	A
rna-XM_057802920.1	A	anno1.g5148.t1	A
rna-XM_057802948.1	A	anno1.g8737.t1	A
rna-XM_057802944.1	A	anno1.g10535.t2	A
rna-XM_057802940.1	A	anno1.g12622.t1	A
rna-XM_057802924.1	A	anno1.g7726.t1	A
rna-XM_057802945.1	A	anno1.g10255.t1	A
rna-XM_057802941.1	A	anno1.g10256.t2	A
rna-XM_057802949.1	A	anno1.g10253.t1	A
rna-XM_057803384.1	A	anno1.g10248.t1	A
rna-XM_057802956.1	A	anno1.g11824.t1	A
rna-XM_057802938.1	A	anno1.g6754.t3	A
rna-XM_057802946.1	A	anno1.g6753.t2	A
rna-XM_057802954.1	A	anno1.g6752.t1	A
rna-XM_057802927.1	A	anno1.g10189.t1	A
rna-XM_057802935.1	A	anno1.g4689.t1	A
rna-XM_057802959.1	A	anno1.g10355.t1	A
rna-XM_057802957.1	A	anno1.g10354.t1	A
rna-XM_057802961.1	A	anno1.g12683.t1	A
rna-XM_057802965.1	A	anno1.g9023.t1	A
rna-XM_057802966.1	A	anno1.g12576.t1	A
rna-XM_057802970.1	A	anno1.g4774.t1	A
rna-XM_057802972.1	A	anno1.g4773.t1	A
rna-XM_057802981.1	A	anno1.g10829.t1	A
rna-XM_057802976.1	A	anno1.g13324.t1	A
rna-XM_057802975.1	A	anno1.g7848.t1	A
rna-XM_057802983.1	A	anno1.g5990.t1	A
rna-XM_057802987.1	A	anno1.g5989.t1	A
rna-XM_057801718.1	A	anno1.g5988.t1	A
rna-XM_057801719.1	A	anno1.g5987.t1	A
rna-XM_057801721.1	A	anno1.g5986.t1	A
rna-XM_057801720.1	A	anno1.g9226.t1	A
rna-XM_057803801.1	A	anno1.g3317.t1	A
rna-XM_057803798.1	A	anno1.g12542.t1	A
rna-XM_057801932.1	A	anno1.g7174.t1	A
rna-XM_057802108.1	A	anno1.g9508.t1	A
rna-XM_057803463.1	A	anno1.g3979.t1	A
rna-XM_057802863.1	A	anno1.g4005.t1	A
rna-XM_057801897.1	A	anno1.g4423.t2	A
rna-XM_057801900.1	A	anno1.g4425.t1	A
rna-XM_057801905.1	A	anno1.g4422.t3	A
rna-XM_057802145.1	A	anno1.g4421.t1	A
rna-XM_057802343.1	A	anno1.g4420.t1	A
rna-XM_057802207.1	A	anno1.g4417.t3	A
rna-XM_057802254.1	A	anno1.g10247.t1	A
rna-XM_057801734.1	A	anno1.g7176.t1	A
rna-XM_057801737.1	A	anno1.g7177.t1	A
rna-XM_057802028.1	A	anno1.g7175.t1	A
rna-XM_057802057.1	A	anno1.g4741.t1	A
rna-XM_057803640.1	A	anno1.g277.t1	A
rna-XM_057803641.1	A	anno1.g4921.t1	A
rna-XM_057803632.1	A	anno1.g4919.t1	A
rna-XM_057803389.1	A	anno1.g12813.t1	A
rna-XM_057804103.1	A	anno1.g9995.t1	A
rna-XM_057804154.1	A	anno1.g2693.t2	A
rna-XM_057804144.1	A	anno1.g2694.t1	A
rna-XM_057804715.1	A	anno1.g1582.t1	A
rna-XM_057804161.1	A	anno1.g7701.t1	A
rna-XM_057804297.1	A	anno1.g7695.t1	A
rna-XM_057804717.1	A	anno1.g7700.t1	A
rna-XM_057804083.1	A	anno1.g8037.t1	A
rna-XM_057804718.1	A	anno1.g12001.t2	A
rna-XM_057805262.1	A	anno1.g11999.t1	A
rna-XM_057803978.1	A	anno1.g1212.t1	A
rna-XM_057804173.1	A	anno1.g12119.t1	A
rna-XM_057804263.1	A	anno1.g6353.t1	A
rna-XM_057804566.1	A	anno1.g6351.t1	A
rna-XM_057804567.1	A	anno1.g6352.t1	A
rna-XM_057804276.1	A	anno1.g6349.t1	A
rna-XM_057804721.1	A	anno1.g6345.t1	A
rna-XM_057804465.1	A	anno1.g1925.t1	A
rna-XM_057804393.1	A	anno1.g1922.t1	A
rna-XM_057804285.1	A	anno1.g1921.t1	A
rna-XM_057804127.1	A	anno1.g1917.t1	A
rna-XM_057804236.1	A	anno1.g1915.t1	A
rna-XM_057804391.1	A	anno1.g1913.t1	A
rna-XM_057804482.1	A	anno1.g7080.t2	A
rna-XM_057805067.1	A	anno1.g5997.t1	A
rna-XM_057805074.1	A	anno1.g4818.t3	A
rna-XM_057804922.1	A	anno1.g3325.t1	A
rna-XM_057804925.1	A	anno1.g7460.t1	A
rna-XM_057804926.1	A	anno1.g7461.t1	A
rna-XM_057804604.1	A	anno1.g7464.t1	A
rna-XM_057804616.1	A	anno1.g9091.t1	A
rna-XM_057804617.1	A	anno1.g7466.t1	A
rna-XM_057805121.1	A	anno1.g8005.t1	A
rna-XM_057805122.1	A	anno1.g6921.t1	A
rna-XM_057805002.1	A	anno1.g9092.t3	A
rna-XM_057805001.1	A	anno1.g3327.t1	A
rna-XM_057804929.1	A	anno1.g2699.t2	A
rna-XM_057804930.1	A	anno1.g6022.t1	A
rna-XM_057805195.1	A	anno1.g9560.t2	A
rna-XM_057804080.1	A	anno1.g5141.t1	A
rna-XM_057804941.1	A	anno1.g13607.t2	A
rna-XM_057804944.1	A	anno1.g10270.t1	A
rna-XM_057804945.1	A	anno1.g2200.t1	A
rna-XM_057804949.1	A	anno1.g2201.t2	A
rna-XM_057804952.1	A	anno1.g2202.t1	A
rna-XM_057804953.1	A	anno1.g10389.t1	A
rna-XM_057804950.1	A	anno1.g10390.t1	A
rna-XM_057804955.1	A	anno1.g3050.t3	A
rna-XM_057804964.1	A	anno1.g12125.t1	A
rna-XM_057804971.1	A	anno1.g816.t1	A
rna-XM_057804961.1	A	anno1.g3048.t1	A
rna-XM_057804973.1	A	anno1.g10263.t1	A
rna-XM_057804958.1	A	anno1.g7625.t1	A
rna-XM_057804957.1	A	anno1.g7626.t1	A
rna-XM_057804959.1	A	anno1.g2197.t1	A
rna-XM_057804975.1	A	anno1.g2196.t1	A
rna-XM_057804960.1	A	anno1.g11924.t1	A
rna-XM_057804969.1	A	anno1.g11955.t1	A
rna-XM_057804968.1	A	anno1.g10264.t1	A
rna-XM_057804972.1	A	anno1.g10265.t1	A
rna-XM_057804967.1	A	anno1.g10269.t1	A
rna-XM_057804851.1	A	anno1.g12116.t1	A
rna-XM_057804861.1	A	anno1.g9701.t1	A
rna-XM_057804857.1	A	anno1.g9703.t1	A
rna-XM_057804865.1	A	anno1.g9702.t1	A
rna-XM_057804866.1	A	anno1.g9704.t1	A
rna-XM_057804880.1	A	anno1.g7814.t1	A
rna-XM_057804875.1	A	anno1.g2235.t1	A
rna-XM_057804879.1	A	anno1.g117.t1	A
rna-XM_057804882.1	A	anno1.g2236.t2	A
rna-XM_057804902.1	A	anno1.g7961.t1	A
rna-XM_057804899.1	A	anno1.g2237.t1	A
rna-XM_057804900.1	A	anno1.g134.t1	A
rna-XM_057804901.1	A	anno1.g8582.t1	A
rna-XM_057804909.1	A	anno1.g8569.t2	A
rna-XM_057804906.1	A	anno1.g8566.t1	A
rna-XM_057804735.1	A	anno1.g7286.t1	A
rna-XM_057804884.1	A	anno1.g2514.t1	A
rna-XM_057804886.1	A	anno1.g8565.t1	A
rna-XM_057804911.1	A	anno1.g8564.t1	A
rna-XM_057804914.1	A	anno1.g8563.t1	A
rna-XM_057804918.1	A	anno1.g7055.t1	A
rna-XM_057804915.1	A	anno1.g12515.t1	A
rna-XM_057804920.1	A	anno1.g8373.t1	A
rna-XM_057804194.1	A	anno1.g13588.t1	A
rna-XM_057804725.1	A	anno1.g1412.t1	A
rna-XM_057804726.1	A	anno1.g8890.t1	A
rna-XM_057804733.1	A	anno1.g11956.t1	A
rna-XM_057804730.1	A	anno1.g11960.t1	A
rna-XM_057804732.1	A	anno1.g11959.t1	A
rna-XM_057804746.1	A	anno1.g11149.t1	A
rna-XM_057804586.1	A	anno1.g2053.t1	A
rna-XM_057804587.1	A	anno1.g2055.t1	A
rna-XM_057804487.1	A	anno1.g12673.t1	A
rna-XM_057804621.1	A	anno1.g4889.t1	A
rna-XM_057804622.1	A	anno1.g1353.t1	A
rna-XM_057804623.1	A	anno1.g1351.t1	A
rna-XM_057804404.1	A	anno1.g5724.t1	A
rna-XM_057804405.1	A	anno1.g13577.t1	A
rna-XM_057804583.1	A	anno1.g13100.t1	A
rna-XM_057804578.1	A	anno1.g13101.t4	A
rna-XM_057803885.1	A	anno1.g13102.t1	A
rna-XM_057803893.1	A	anno1.g4330.t1	A
rna-XM_057803892.1	A	anno1.g5184.t1	A
rna-XM_057803889.1	A	anno1.g5181.t3	A
rna-XM_057803888.1	A	anno1.g5182.t1	A
rna-XM_057803881.1	A	anno1.g5178.t1	A
rna-XM_057803928.1	A	anno1.g5179.t2	A
rna-XM_057803951.1	A	anno1.g9266.t1	A
rna-XM_057803956.1	A	anno1.g5180.t1	A
rna-XM_057803930.1	A	anno1.g5185.t1	A
rna-XM_057803958.1	A	anno1.g5187.t1	A
rna-XM_057803952.1	A	anno1.g9647.t2	A
rna-XM_057803954.1	A	anno1.g10582.t1	A
rna-XM_057803923.1	A	anno1.g10581.t1	A
rna-XM_057803943.1	A	anno1.g11690.t1	A
rna-XM_057803955.1	A	anno1.g13.t1	A
rna-XM_057803937.1	A	anno1.g13099.t1	A
rna-XM_057803945.1	A	anno1.g4222.t2	A
rna-XM_057803940.1	A	anno1.g4847.t1	A
rna-XM_057803932.1	A	anno1.g10365.t1	A
rna-XM_057803939.1	A	anno1.g4221.t1	A
rna-XM_057803953.1	A	anno1.g6235.t1	A
rna-XM_057803946.1	A	anno1.g4223.t1	A
rna-XM_057804224.1	A	anno1.g10760.t1	A
rna-XM_057804203.1	A	anno1.g10763.t5	A
rna-XM_057804221.1	A	anno1.g10759.t1	A
rna-XM_057804214.1	A	anno1.g10758.t3	A
rna-XM_057804225.1	A	anno1.g10757.t1	A
rna-XM_057804226.1	A	anno1.g10753.t1	A
rna-XM_057804758.1	A	anno1.g10424.t4	A
rna-XM_057805085.1	A	anno1.g1459.t1	A
rna-XM_057805081.1	A	anno1.g1460.t2	A
rna-XM_057805082.1	A	anno1.g1458.t2	A
rna-XM_057805083.1	A	anno1.g2442.t2	A
rna-XM_057805089.1	A	anno1.g1836.t1	A
rna-XM_057805095.1	A	anno1.g1461.t1	A
rna-XM_057805097.1	A	anno1.g1938.t1	A
rna-XM_057805091.1	A	anno1.g1463.t2	A
rna-XM_057805094.1	A	anno1.g13098.t1	A
rna-XM_057805098.1	A	anno1.g10729.t1	A
rna-XM_057805096.1	A	anno1.g10728.t1	A
rna-XM_057805093.1	A	anno1.g2823.t1	A
rna-XM_057805109.1	A	anno1.g6135.t1	A
rna-XM_057805110.1	A	anno1.g13092.t1	A
rna-XM_057805101.1	A	anno1.g13093.t1	A
rna-XM_057805102.1	A	anno1.g2351.t1	X
rna-XM_057805105.1	A	anno1.g13094.t1	A
rna-XM_057805104.1	A	anno1.g13096.t1	A
rna-XM_057805111.1	A	anno1.g10730.t1	A
rna-XM_057805112.1	A	anno1.g5884.t1	A
rna-XM_057805114.1	A	anno1.g10420.t1	A
rna-XM_057805115.1	A	anno1.g5885.t1	A
rna-XM_057805120.1	A	anno1.g10421.t1	A
rna-XM_057804452.1	A	anno1.g11695.t1	A
rna-XM_057804459.1	A	anno1.g11693.t1	A
rna-XM_057804458.1	A	anno1.g13480.t1	A
rna-XM_057804343.1	A	anno1.g2052.t3	A
rna-XM_057804344.1	A	anno1.g2051.t1	A
rna-XM_057805035.1	A	anno1.g2048.t1	A
rna-XM_057805032.1	A	anno1.g2049.t1	A
rna-XM_057804410.1	A	anno1.g2047.t1	A
rna-XM_057804568.1	A	anno1.g3489.t1	A
rna-XM_057804231.1	A	anno1.g3491.t1	A
rna-XM_057804234.1	A	anno1.g3492.t2	A
rna-XM_057804227.1	A	anno1.g3493.t1	A
rna-XM_057803906.1	A	anno1.g12959.t2	A
rna-XM_057804325.1	A	anno1.g5658.t1	A
rna-XM_057804295.1	A	anno1.g5659.t1	A
rna-XM_057804061.1	A	anno1.g291.t2	A
rna-XM_057804788.1	A	anno1.g6916.t1	A
rna-XM_057804794.1	A	anno1.g3959.t1	A
rna-XM_057804791.1	A	anno1.g10257.t1	A
rna-XM_057804792.1	A	anno1.g10258.t4	A
rna-XM_057803971.1	A	anno1.g3950.t1	A
rna-XM_057803974.1	A	anno1.g8116.t1	A
rna-XM_057804976.1	A	anno1.g6618.t2	A
rna-XM_057804625.1	A	anno1.g298.t2	A
rna-XM_057804627.1	A	anno1.g10700.t1	A
rna-XM_057804280.1	A	anno1.g1472.t1	A
rna-XM_057803909.1	A	anno1.g12776.t1	A
rna-XM_057803915.1	A	anno1.g9095.t1	A
rna-XM_057803912.1	A	anno1.g2317.t1	A
rna-XM_057805169.1	A	anno1.g2316.t1	A
rna-XM_057805150.1	A	anno1.g6417.t1	A
rna-XM_057805156.1	A	anno1.g3549.t2	A
rna-XM_057805170.1	A	anno1.g259.t1	A
rna-XM_057805142.1	A	anno1.g108.t1	A
rna-XM_057805143.1	A	anno1.g1572.t1	A
rna-XM_057805147.1	A	anno1.g10000.t1	A
rna-XM_057805167.1	A	anno1.g10796.t1	A
rna-XM_057805158.1	A	anno1.g11982.t2	A
rna-XM_057805168.1	A	anno1.g13770.t1	A
rna-XM_057805160.1	A	anno1.g11881.t1	A
rna-XM_057805162.1	A	anno1.g11793.t2	A
rna-XM_057805166.1	A	anno1.g4219.t1	A
rna-XM_057805159.1	A	anno1.g6948.t1	A
rna-XM_057805146.1	A	anno1.g11150.t1	A
rna-XM_057805151.1	A	anno1.g6894.t2	A
rna-XM_057805165.1	A	anno1.g6890.t1	A
rna-XM_057805173.1	A	anno1.g2881.t2	A
rna-XM_057805177.1	A	anno1.g2888.t1	A
rna-XM_057805176.1	A	anno1.g12726.t1	A
rna-XM_057805181.1	A	anno1.g5848.t1	A
rna-XM_057805182.1	A	anno1.g13493.t1	A
rna-XM_057805185.1	A	anno1.g331.t1	A
rna-XM_057805186.1	A	anno1.g11745.t1	A
rna-XM_057805187.1	A	anno1.g11744.t1	A
rna-XM_057805188.1	A	anno1.g11746.t1	A
rna-XM_057804176.1	A	anno1.g12070.t1	A
rna-XM_057804565.1	A	anno1.g12689.t1	A
rna-XM_057804408.1	A	anno1.g3056.t1	A
rna-XM_057804591.1	A	anno1.g10452.t1	A
rna-XM_057804330.1	A	anno1.g9045.t1	A
rna-XM_057804331.1	A	anno1.g12289.t2	A
rna-XM_057804338.1	A	anno1.g7416.t1	A
rna-XM_057804337.1	A	anno1.g6857.t1	A
rna-XM_057805229.1	A	anno1.g12366.t1	A
rna-XM_057805030.1	A	anno1.g256.t1	A
rna-XM_057804314.1	A	anno1.g7182.t1	A
rna-XM_057804299.1	A	anno1.g6205.t1	A
rna-XM_057804313.1	A	anno1.g6206.t1	A
rna-XM_057804316.1	A	anno1.g783.t1	A
rna-XM_057804317.1	A	anno1.g6491.t1	X
rna-XM_057804319.1	A	anno1.g784.t1	A
rna-XM_057804089.1	A	anno1.g7093.t1	A
rna-XM_057804088.1	A	anno1.g13671.t1	A
rna-XM_057804770.1	A	anno1.g790.t1	A
rna-XM_057804771.1	A	anno1.g786.t1	A
rna-XM_057804765.1	A	anno1.g787.t1	A
rna-XM_057804350.1	A	anno1.g6904.t1	A
rna-XM_057804340.1	A	anno1.g12949.t1	A
rna-XM_057804162.1	A	anno1.g11800.t1	A
rna-XM_057804991.1	A	anno1.g4984.t2	A
rna-XM_057804988.1	A	anno1.g8896.t1	A
