C_maculatus	chromosome	B_siliquastri	chromosome
g11139.t3	A	BRAKERILHT00000002764	A
g11140.t1	A	BRAKERILHT00000002549	A
g11141.t2	A	BRAKERILHT00000004180	A
g11144.t1	A	BRAKERILHT00000002874	A
g11145.t2	A	BRAKERILHT00000002285	A
g11146.t1	A	BRAKERILHT00000003762	A
g11147.t1	A	BRAKERILHT00000002699	A
g11148.t1	A	BRAKERILHT00000004157	A
g11150.t1	A	BRAKERILHT00000003797	A
g11151.t1	A	BRAKERILHT00000002210	A
g11154.t1	A	BRAKERILHT00000004196	A
g11155.t1	A	BRAKERILHT00000003978	A
g11156.t1	A	BRAKERILHT00000003610	A
g11157.t1	A	BRAKERILHT00000004183	A
g11158.t1	A	BRAKERILHT00000002352	A
g11159.t1	A	BRAKERILHT00000004404	A
g11160.t1	A	BRAKERILHT00000003322	A
g11161.t1	A	BRAKERILHT00000003856	A
g11162.t1	A	BRAKERILHT00000002291	A
g11163.t1	A	BRAKERILHT00000002696	A
g11164.t1	A	BRAKERILHT00000003214	A
g11165.t1	A	BRAKERILHT00000004245	A
g11166.t1	A	BRAKERILHT00000003407	A
g11167.t1	A	BRAKERILHT00000004231	A
g11168.t1	A	BRAKERILHT00000002743	A
g11169.t1	A	BRAKERILHT00000002271	A
g11170.t1	A	BRAKERILHT00000002812	A
g11173.t1	A	BRAKERILHT00000003047	A
g11174.t5	A	BRAKERILHT00000003865	A
g11176.t1	A	BRAKERILHT00000004198	A
g11177.t1	A	BRAKERILHT00000003537	A
g11178.t1	A	BRAKERILHT00000003691	A
g11179.t1	A	BRAKERILHT00000003056	A
g11180.t1	A	BRAKERILHT00000002741	A
g11183.t1	A	BRAKERILHT00000002392	A
g11184.t1	A	BRAKERILHT00000004035	A
g11185.t1	A	BRAKERILHT00000003244	A
g11186.t1	A	BRAKERILHT00000002554	A
g11188.t2	A	BRAKERILHT00000002232	A
g11189.t2	A	BRAKERILHT00000003858	A
g11190.t1	A	BRAKERILHT00000002770	A
g11191.t1	A	BRAKERILHT00000004406	A
g11192.t1	A	BRAKERILHT00000004085	A
g11193.t1	A	BRAKERILHT00000003378	A
g11194.t2	A	BRAKERILHT00000002815	A
g11200.t1	A	BRAKERILHT00000002606	A
g11201.t1	A	BRAKERILHT00000004072	A
g11202.t1	A	BRAKERILHT00000002992	A
g11204.t2	A	BRAKERILHT00000003345	A
g11205.t1	A	BRAKERILHT00000003973	A
g11206.t1	A	BRAKERILHT00000002667	A
g11208.t1	A	BRAKERILHT00000002670	A
g11209.t1	A	BRAKERILHT00000003622	A
g11210.t1	A	BRAKERILHT00000002337	A
g11211.t1	A	BRAKERILHT00000003326	A
g11212.t1	A	BRAKERILHT00000003948	A
g11214.t1	A	BRAKERILHT00000003434	A
g11215.t1	A	BRAKERILHT00000003196	A
g11217.t1	A	BRAKERILHT00000002683	A
g11218.t1	A	BRAKERILHT00000002694	A
g11219.t1	A	BRAKERILHT00000004191	A
g11220.t1	A	BRAKERILHT00000003680	A
g11221.t1	A	BRAKERILHT00000002445	A
g11222.t4	A	BRAKERILHT00000002432	A
g11223.t1	A	BRAKERILHT00000003927	A
g11224.t1	A	BRAKERILHT00000002648	A
g11225.t1	A	BRAKERILHT00000003309	A
g11226.t1	A	BRAKERILHT00000003815	A
g11227.t1	A	BRAKERILHT00000004098	A
g11229.t1	A	BRAKERILHT00000003396	A
g11230.t1	A	BRAKERILHT00000003636	A
g11231.t1	A	BRAKERILHT00000003306	A
g11232.t1	A	BRAKERILHT00000004099	A
g11233.t1	A	BRAKERILHT00000003460	A
g11234.t1	A	BRAKERILHT00000002206	A
g11235.t1	A	BRAKERILHT00000002275	A
g11236.t1	A	BRAKERILHT00000003918	A
g11237.t1	A	BRAKERILHT00000002492	A
g11238.t1	A	BRAKERILHT00000004271	A
g11239.t1	A	BRAKERILHT00000002663	A
g11240.t1	A	BRAKERILHT00000003528	A
g11241.t2	A	BRAKERILHT00000002186	A
g11242.t1	A	BRAKERILHT00000003019	A
g11244.t1	A	BRAKERILHT00000008099	A
g11245.t1	A	BRAKERILHT00000002739	A
g11246.t1	A	BRAKERILHT00000003913	A
g11248.t1	A	BRAKERILHT00000003982	A
g11249.t1	A	BRAKERILHT00000002364	A
g11251.t1	A	BRAKERILHT00000003011	A
g11252.t1	A	BRAKERILHT00000004273	A
g11255.t1	A	BRAKERILHT00000002979	A
g11257.t1	A	BRAKERILHT00000002347	A
g11259.t1	A	BRAKERILHT00000002505	A
g11260.t1	A	BRAKERILHT00000003477	A
g11261.t1	A	BRAKERILHT00000003376	A
g11262.t1	A	BRAKERILHT00000002181	A
g11263.t1	A	BRAKERILHT00000002970	A
g11264.t2	A	BRAKERILHT00000004277	A
g11266.t1	A	BRAKERILHT00000004296	A
g11267.t1	A	BRAKERILHT00000002507	A
g11268.t1	A	BRAKERILHT00000003307	A
g11272.t1	A	BRAKERILHT00000004119	A
g11274.t1	A	BRAKERILHT00000002351	A
g11276.t1	A	BRAKERILHT00000003146	A
g11277.t1	A	BRAKERILHT00000002780	A
g11278.t1	A	BRAKERILHT00000002574	A
g11279.t1	A	BRAKERILHT00000004353	A
g11280.t1	A	BRAKERILHT00000004062	A
g11281.t1	A	BRAKERILHT00000003563	A
g11282.t5	A	BRAKERILHT00000002804	A
g11283.t1	A	BRAKERILHT00000002310	A
g11285.t1	A	BRAKERILHT00000004307	A
g11287.t1	A	BRAKERILHT00000003564	A
g11288.t1	A	BRAKERILHT00000002671	A
g11289.t1	A	BRAKERILHT00000002265	A
g11290.t1	A	BRAKERILHT00000003455	A
g11291.t1	A	BRAKERILHT00000003991	A
g11292.t1	A	BRAKERILHT00000003089	A
g11293.t1	A	BRAKERILHT00000004396	A
g11294.t1	A	BRAKERILHT00000004077	A
g11295.t1	A	BRAKERILHT00000004248	A
g11297.t1	A	BRAKERILHT00000003705	A
g11299.t1	A	BRAKERILHT00000003226	A
g11301.t1	A	BRAKERILHT00000002721	A
g11302.t1	A	BRAKERILHT00000003771	A
g11303.t1	A	BRAKERILHT00000003283	A
g11304.t1	A	BRAKERILHT00000013542	A
g11305.t1	A	BRAKERILHT00000002422	A
g11306.t1	A	BRAKERILHT00000003409	A
g11307.t1	A	BRAKERILHT00000003164	A
g11308.t1	A	BRAKERILHT00000002845	A
g11309.t2	A	BRAKERILHT00000002209	A
g11310.t1	A	BRAKERILHT00000003401	A
g11311.t1	A	BRAKERILHT00000002787	A
g11312.t1	A	BRAKERILHT00000002527	A
g11313.t1	A	BRAKERILHT00000004133	A
g11314.t1	A	BRAKERILHT00000003258	A
g11315.t1	A	BRAKERILHT00000002903	A
g11316.t1	A	BRAKERILHT00000002627	A
g11317.t1	A	BRAKERILHT00000003682	A
g11318.t1	A	BRAKERILHT00000002182	A
g11320.t1	A	BRAKERILHT00000002416	A
g11321.t1	A	BRAKERILHT00000004056	A
g11322.t1	A	BRAKERILHT00000003385	A
g11323.t1	A	BRAKERILHT00000002733	A
g11324.t1	A	BRAKERILHT00000003964	A
g11325.t1	A	BRAKERILHT00000002927	A
g11326.t1	A	BRAKERILHT00000002678	A
g11328.t3	A	BRAKERILHT00000004235	A
g11333.t2	A	BRAKERILHT00000003611	A
g11334.t1	A	BRAKERILHT00000002623	A
g11335.t1	A	BRAKERILHT00000004413	A
g11336.t1	A	BRAKERILHT00000003181	A
g11337.t1	A	BRAKERILHT00000002690	A
g11338.t1	A	BRAKERILHT00000004022	A
g11339.t1	A	BRAKERILHT00000003503	A
g11340.t1	A	BRAKERILHT00000003538	A
g11341.t1	A	BRAKERILHT00000003253	A
g11342.t1	A	BRAKERILHT00000003482	A
g11346.t1	A	BRAKERILHT00000004376	A
g11347.t1	A	BRAKERILHT00000003302	A
g11348.t1	A	BRAKERILHT00000003789	A
g11350.t1	A	BRAKERILHT00000004288	A
g11351.t2	A	BRAKERILHT00000002514	A
g11352.t1	A	BRAKERILHT00000002991	A
g11353.t1	A	BRAKERILHT00000003343	A
g11354.t2	A	BRAKERILHT00000003931	A
g11355.t1	A	BRAKERILHT00000002740	A
g11356.t1	A	BRAKERILHT00000002681	A
g11358.t1	A	BRAKERILHT00000003906	A
g11359.t1	A	BRAKERILHT00000002449	A
g11360.t1	A	BRAKERILHT00000003639	A
g11361.t1	A	BRAKERILHT00000003143	A
g11362.t1	A	BRAKERILHT00000004321	A
g11363.t1	A	BRAKERILHT00000003915	A
g11364.t2	A	BRAKERILHT00000004253	A
g11365.t1	A	BRAKERILHT00000003514	A
g11366.t1	A	BRAKERILHT00000003026	A
g11367.t1	A	BRAKERILHT00000010171	A
g11370.t1	A	BRAKERILHT00000002298	A
g11371.t1	A	BRAKERILHT00000002444	A
g11372.t1	A	BRAKERILHT00000002809	A
g11373.t1	A	BRAKERILHT00000003406	A
g11374.t2	A	BRAKERILHT00000004354	A
g11375.t1	A	BRAKERILHT00000002744	A
g11376.t1	A	BRAKERILHT00000004227	A
g11378.t1	A	BRAKERILHT00000002932	A
g11379.t1	A	BRAKERILHT00000004287	A
g11380.t1	A	BRAKERILHT00000003892	A
g11382.t1	A	BRAKERILHT00000002417	A
g11383.t1	A	BRAKERILHT00000003430	A
g11384.t1	A	BRAKERILHT00000004344	A
g11385.t1	A	BRAKERILHT00000003833	A
g11386.t1	A	BRAKERILHT00000003868	A
g11387.t1	A	BRAKERILHT00000002801	A
g11388.t1	A	BRAKERILHT00000002258	A
g11390.t1	A	BRAKERILHT00000004089	A
g11391.t1	A	BRAKERILHT00000002451	A
g11392.t1	A	BRAKERILHT00000003052	A
g11393.t1	A	BRAKERILHT00000002503	A
g11394.t1	A	BRAKERILHT00000004292	A
g11395.t1	A	BRAKERILHT00000002951	A
g11396.t1	A	BRAKERILHT00000002409	A
g11398.t2	A	BRAKERILHT00000003878	A
g11401.t1	A	BRAKERILHT00000003374	A
g11402.t1	A	BRAKERILHT00000002925	A
g11403.t1	A	BRAKERILHT00000002396	A
g11404.t1	A	BRAKERILHT00000002433	A
g11407.t1	A	BRAKERILHT00000003871	A
g11410.t1	A	BRAKERILHT00000004219	A
g11411.t1	A	BRAKERILHT00000002926	A
g11412.t2	A	BRAKERILHT00000002296	A
g11413.t1	A	BRAKERILHT00000003764	A
g11415.t1	A	BRAKERILHT00000002910	A
g11416.t1	A	BRAKERILHT00000002831	A
g11417.t1	A	BRAKERILHT00000003448	A
g11419.t1	A	BRAKERILHT00000002538	A
g11420.t1	A	BRAKERILHT00000002196	A
g11421.t2	A	BRAKERILHT00000003465	A
g11422.t1	A	BRAKERILHT00000004431	A
g11423.t1	A	BRAKERILHT00000003757	A
g11424.t1	A	BRAKERILHT00000003420	A
g11425.t1	A	BRAKERILHT00000002953	A
g11426.t1	A	BRAKERILHT00000002443	A
g11427.t1	A	BRAKERILHT00000004212	A
g11429.t1	A	BRAKERILHT00000003647	A
g11430.t1	A	BRAKERILHT00000003207	A
g11431.t1	A	BRAKERILHT00000003939	A
g11432.t1	A	BRAKERILHT00000003329	A
g11433.t1	A	BRAKERILHT00000002944	A
g11434.t1	A	BRAKERILHT00000002463	A
g11435.t1	A	BRAKERILHT00000002358	A
g11437.t1	A	BRAKERILHT00000002562	A
g11440.t1	A	BRAKERILHT00000004155	A
g11441.t2	A	BRAKERILHT00000003532	A
g11442.t1	A	BRAKERILHT00000002588	A
g11444.t1	A	BRAKERILHT00000004105	A
g11445.t1	A	BRAKERILHT00000004310	A
g11447.t1	A	BRAKERILHT00000002852	A
g11448.t2	A	BRAKERILHT00000003443	A
g11449.t1	A	BRAKERILHT00000003787	A
g11450.t1	A	BRAKERILHT00000004409	A
g11451.t1	A	BRAKERILHT00000003323	A
g11452.t1	A	BRAKERILHT00000003421	A
g11453.t1	A	BRAKERILHT00000002706	A
g11454.t1	A	BRAKERILHT00000003030	A
g11455.t1	A	BRAKERILHT00000003508	A
g11456.t1	A	BRAKERILHT00000003070	A
g11465.t1	A	BRAKERILHT00000003304	A
g11469.t2	A	BRAKERILHT00000003644	A
g11478.t1	A	BRAKERILHT00000003241	A
g11483.t1	A	BRAKERILHT00000003255	A
g11489.t1	A	BRAKERILHT00000003236	A
g11494.t1	A	BRAKERILHT00000002323	A
g11497.t1	A	BRAKERILHT00000002658	A
g11498.t1	A	BRAKERILHT00000002778	A
g11499.t1	A	BRAKERILHT00000004068	A
g11502.t1	A	BRAKERILHT00000003282	A
g11504.t1	A	BRAKERILHT00000003278	A
g11505.t1	A	BRAKERILHT00000002828	A
g11510.t1	A	BRAKERILHT00000003555	A
g11513.t1	A	BRAKERILHT00000003962	A
g11517.t5	A	BRAKERILHT00000002524	A
g11520.t1	A	BRAKERILHT00000003464	A
g11526.t1	A	BRAKERILHT00000003353	A
g11527.t1	A	BRAKERILHT00000004126	A
g11528.t1	A	BRAKERILHT00000003656	A
g11529.t2	A	BRAKERILHT00000002243	A
g11530.t1	A	BRAKERILHT00000003452	A
g11533.t1	A	BRAKERILHT00000003996	A
g11535.t1	A	BRAKERILHT00000004093	A
g11536.t1	A	BRAKERILHT00000003166	A
g11540.t1	A	BRAKERILHT00000003621	A
g11542.t1	A	BRAKERILHT00000003316	A
g11543.t1	A	BRAKERILHT00000002192	A
g11544.t1	A	BRAKERILHT00000003942	A
g11545.t1	A	BRAKERILHT00000003086	A
g11548.t1	A	BRAKERILHT00000002482	A
g11550.t1	A	BRAKERILHT00000002998	A
g11551.t1	A	BRAKERILHT00000002345	A
g11553.t1	A	BRAKERILHT00000003138	A
g11554.t1	A	BRAKERILHT00000003559	A
g11559.t1	A	BRAKERILHT00000003707	A
g11562.t2	A	BRAKERILHT00000003965	A
g11563.t1	A	BRAKERILHT00000003609	A
g11564.t1	A	BRAKERILHT00000004210	A
g11565.t1	A	BRAKERILHT00000002728	A
g11567.t1	A	BRAKERILHT00000003442	A
g11568.t1	A	BRAKERILHT00000003882	A
g11569.t2	A	BRAKERILHT00000002612	A
g11570.t1	A	BRAKERILHT00000003256	A
g11571.t1	A	BRAKERILHT00000002610	A
g11573.t1	A	BRAKERILHT00000003021	A
g11574.t2	A	BRAKERILHT00000004221	A
g11575.t1	A	BRAKERILHT00000003539	A
g11576.t3	A	BRAKERILHT00000002582	A
g11578.t1	A	BRAKERILHT00000003594	A
g11579.t2	A	BRAKERILHT00000004223	A
g11580.t1	A	BRAKERILHT00000003688	A
g11581.t1	A	BRAKERILHT00000003243	A
g11582.t2	A	BRAKERILHT00000002738	A
g11583.t1	A	BRAKERILHT00000002964	A
g11584.t2	A	BRAKERILHT00000002408	A
g11585.t1	A	BRAKERILHT00000009942	A
g11586.t1	A	BRAKERILHT00000004262	A
g11587.t1	A	BRAKERILHT00000003742	A
g11588.t1	A	BRAKERILHT00000002374	A
g11590.t1	A	BRAKERILHT00000003024	A
g11592.t1	A	BRAKERILHT00000002632	A
g11593.t1	A	BRAKERILHT00000003274	A
g11594.t1	A	BRAKERILHT00000003349	A
g11595.t1	A	BRAKERILHT00000004013	A
g11596.t1	A	BRAKERILHT00000003028	A
g11597.t1	A	BRAKERILHT00000003533	A
g11598.t1	A	BRAKERILHT00000003690	A
g11599.t1	A	BRAKERILHT00000002385	A
g11600.t1	A	BRAKERILHT00000002207	A
g11601.t1	A	BRAKERILHT00000002647	A
g11603.t1	A	BRAKERILHT00000004199	A
g11604.t1	A	BRAKERILHT00000003675	A
g11605.t1	A	BRAKERILHT00000003192	A
g11606.t4	A	BRAKERILHT00000002685	A
g11607.t1	A	BRAKERILHT00000003950	A
g11608.t1	A	BRAKERILHT00000003415	A
g11610.t1	A	BRAKERILHT00000003293	A
g11612.t1	A	BRAKERILHT00000003036	A
g11613.t1	A	BRAKERILHT00000002380	A
g11614.t1	A	BRAKERILHT00000004272	A
g11615.t1	A	BRAKERILHT00000003264	A
g11617.t1	A	BRAKERILHT00000002638	A
g11618.t1	A	BRAKERILHT00000003372	A
g11620.t1	A	BRAKERILHT00000004043	A
g11621.t1	A	BRAKERILHT00000003049	A
g11622.t1	A	BRAKERILHT00000003530	A
g11623.t1	A	BRAKERILHT00000002834	A
g11624.t1	A	BRAKERILHT00000002287	A
g11625.t1	A	BRAKERILHT00000004127	A
g11626.t1	A	BRAKERILHT00000002613	A
g11627.t1	A	BRAKERILHT00000004025	A
g11629.t1	A	BRAKERILHT00000003804	A
g11630.t1	A	BRAKERILHT00000003017	A
g11632.t1	A	BRAKERILHT00000002359	A
g11633.t1	A	BRAKERILHT00000004087	A
g11635.t1	A	BRAKERILHT00000003423	A
g11636.t1	A	BRAKERILHT00000003593	A
g11637.t1	A	BRAKERILHT00000002450	A
g11639.t2	A	BRAKERILHT00000002544	A
g11643.t1	A	BRAKERILHT00000004018	A
g11644.t1	A	BRAKERILHT00000003289	A
g11645.t1	A	BRAKERILHT00000002649	A
g11646.t1	A	BRAKERILHT00000003624	A
g11647.t1	A	BRAKERILHT00000002948	A
g11648.t1	A	BRAKERILHT00000004131	A
g11649.t1	A	BRAKERILHT00000003454	A
g11650.t1	A	BRAKERILHT00000003135	A
g11652.t1	A	BRAKERILHT00000003571	A
g11653.t1	A	BRAKERILHT00000003701	A
g11654.t1	A	BRAKERILHT00000002908	A
g11655.t1	A	BRAKERILHT00000002283	A
g11656.t1	A	BRAKERILHT00000003898	A
g11657.t2	A	BRAKERILHT00000003848	A
g11659.t1	A	BRAKERILHT00000003217	A
g11660.t1	A	BRAKERILHT00000002600	A
g11661.t1	A	BRAKERILHT00000004229	A
g11662.t1	A	BRAKERILHT00000002624	A
g11663.t1	A	BRAKERILHT00000004378	A
g11664.t1	A	BRAKERILHT00000002725	A
g11665.t1	A	BRAKERILHT00000003909	A
g11666.t1	A	BRAKERILHT00000002279	A
g11667.t1	A	BRAKERILHT00000003850	A
g11668.t2	A	BRAKERILHT00000004214	A
g11669.t1	A	BRAKERILHT00000002599	A
g11670.t1	A	BRAKERILHT00000002955	A
g11671.t1	A	BRAKERILHT00000003540	A
g11672.t1	A	BRAKERILHT00000003889	A
g11673.t1	A	BRAKERILHT00000004360	A
g11674.t1	A	BRAKERILHT00000002876	A
g11675.t1	A	BRAKERILHT00000004411	A
g11676.t1	A	BRAKERILHT00000003115	A
g11677.t1	A	BRAKERILHT00000002339	A
g11678.t1	A	BRAKERILHT00000003038	A
g11679.t1	A	BRAKERILHT00000002381	A
g11680.t1	A	BRAKERILHT00000004039	A
g11681.t1	A	BRAKERILHT00000003697	A
g11682.t1	A	BRAKERILHT00000003076	A
g11685.t1	A	BRAKERILHT00000004103	A
g11686.t1	A	BRAKERILHT00000003463	A
g11688.t1	A	BRAKERILHT00000004355	A
g11689.t1	A	BRAKERILHT00000003032	A
g11690.t1	A	BRAKERILHT00000003369	A
g11691.t1	A	BRAKERILHT00000004016	A
g11692.t1	A	BRAKERILHT00000002656	A
g11693.t1	A	BRAKERILHT00000003536	A
g11694.t1	A	BRAKERILHT00000003907	A
g11695.t1	A	BRAKERILHT00000004038	A
g11696.t1	A	BRAKERILHT00000002785	A
g11697.t1	A	BRAKERILHT00000002714	A
g11698.t1	A	BRAKERILHT00000003091	A
g11699.t1	A	BRAKERILHT00000004124	A
g11700.t1	A	BRAKERILHT00000002267	A
g11701.t1	A	BRAKERILHT00000003724	A
g11702.t2	A	BRAKERILHT00000002734	A
g11703.t1	A	BRAKERILHT00000003475	A
g11705.t1	A	BRAKERILHT00000004069	A
g11707.t1	A	BRAKERILHT00000003795	A
g11708.t1	A	BRAKERILHT00000004320	A
g11709.t1	A	BRAKERILHT00000002586	A
g11710.t1	A	BRAKERILHT00000003145	A
g11711.t2	A	BRAKERILHT00000004014	A
g11712.t1	A	BRAKERILHT00000002518	A
g11715.t2	A	BRAKERILHT00000004042	A
g11716.t1	A	BRAKERILHT00000003390	A
g11717.t1	A	BRAKERILHT00000003126	A
g11718.t2	A	BRAKERILHT00000003608	A
g11720.t2	A	BRAKERILHT00000003363	A
g11721.t1	A	BRAKERILHT00000003885	A
g11722.t1	A	BRAKERILHT00000002277	A
g11723.t1	A	BRAKERILHT00000002784	A
g11724.t4	A	BRAKERILHT00000003268	A
g11726.t1	A	BRAKERILHT00000003861	A
g11727.t1	A	BRAKERILHT00000004265	A
g11728.t1	A	BRAKERILHT00000002761	A
g11729.t1	A	BRAKERILHT00000002708	A
g11730.t1	A	BRAKERILHT00000003774	A
g11731.t1	A	BRAKERILHT00000004174	A
g11732.t1	A	BRAKERILHT00000003197	A
g11734.t1	A	BRAKERILHT00000002968	A
g11735.t1	A	BRAKERILHT00000003835	A
g11736.t2	A	BRAKERILHT00000003541	A
g11737.t1	A	BRAKERILHT00000004007	A
g11738.t1	A	BRAKERILHT00000002341	A
g11739.t1	A	BRAKERILHT00000002525	A
g11741.t1	A	BRAKERILHT00000003163	A
g11742.t1	A	BRAKERILHT00000003773	A
g11743.t2	A	BRAKERILHT00000004423	A
g11744.t1	A	BRAKERILHT00000014886	A
g11745.t1	A	BRAKERILHT00000002225	A
g11746.t2	A	BRAKERILHT00000003062	A
g11747.t1	A	BRAKERILHT00000002584	A
g11748.t1	A	BRAKERILHT00000004139	A
g11749.t1	A	BRAKERILHT00000001730	A
g11751.t3	A	BRAKERILHT00000003677	A
g11752.t1	A	BRAKERILHT00000002871	A
g11754.t1	A	BRAKERILHT00000002715	A
g11755.t1	A	BRAKERILHT00000004415	A
g11757.t1	A	BRAKERILHT00000003595	A
g11761.t1	A	BRAKERILHT00000012486	A
g11762.t1	A	BRAKERILHT00000002479	A
g11764.t1	A	BRAKERILHT00000004255	A
g11774.t1	A	BRAKERILHT00000004137	A
g11776.t1	A	BRAKERILHT00000010577	A
g11778.t1	A	BRAKERILHT00000003386	A
g11782.t1	A	BRAKERILHT00000003418	A
g11783.t1	A	BRAKERILHT00000003025	A
g11785.t1	A	BRAKERILHT00000004222	A
g11786.t1	A	BRAKERILHT00000003232	A
g11787.t1	A	BRAKERILHT00000002259	A
g11788.t1	A	BRAKERILHT00000003747	A
g11794.t1	A	BRAKERILHT00000002989	A
g11796.t1	A	BRAKERILHT00000002230	A
g11798.t1	A	BRAKERILHT00000003869	A
g11800.t1	A	BRAKERILHT00000003116	A
g11801.t1	A	BRAKERILHT00000003444	A
g11802.t1	A	BRAKERILHT00000003168	A
g11803.t1	A	BRAKERILHT00000004421	A
g11804.t1	A	BRAKERILHT00000002659	A
g11807.t2	A	BRAKERILHT00000002840	A
g11809.t1	A	BRAKERILHT00000003320	A
g11810.t1	A	BRAKERILHT00000003568	A
g11812.t1	A	BRAKERILHT00000003522	A
g11813.t1	A	BRAKERILHT00000004028	A
g11814.t1	A	BRAKERILHT00000002375	A
g11816.t1	A	BRAKERILHT00000007312	A
g11817.t1	A	BRAKERILHT00000003556	A
g11818.t1	A	BRAKERILHT00000002820	A
g11820.t2	A	BRAKERILHT00000004285	A
g11826.t1	A	BRAKERILHT00000004256	A
g11828.t1	A	BRAKERILHT00000002750	A
g11829.t1	A	BRAKERILHT00000004143	A
g11830.t1	A	BRAKERILHT00000003080	A
g11832.t1	A	BRAKERILHT00000002672	A
g11833.t1	A	BRAKERILHT00000004437	A
g11834.t1	A	BRAKERILHT00000002253	A
g11835.t1	A	BRAKERILHT00000004026	A
g11836.t1	A	BRAKERILHT00000004138	A
g11837.t1	A	BRAKERILHT00000003077	A
g11838.t5	A	BRAKERILHT00000003748	A
g11839.t1	A	BRAKERILHT00000002324	A
g11840.t2	A	BRAKERILHT00000003100	A
g11841.t1	A	BRAKERILHT00000002601	A
g11842.t1	A	BRAKERILHT00000002919	A
g11843.t1	A	BRAKERILHT00000002688	A
g11845.t1	A	BRAKERILHT00000002251	A
g11844.t1	A	BRAKERILHT00000004020	A
g11846.t1	A	BRAKERILHT00000003543	A
g11847.t1	A	BRAKERILHT00000002781	A
g11848.t1	A	BRAKERILHT00000002577	A
g11851.t1	A	BRAKERILHT00000003155	A
g11853.t1	A	BRAKERILHT00000003615	A
g11854.t1	A	BRAKERILHT00000002755	A
g11855.t1	A	BRAKERILHT00000002425	A
g11856.t1	A	BRAKERILHT00000003872	A
g11857.t1	A	BRAKERILHT00000003231	A
g11858.t1	A	BRAKERILHT00000002592	A
g11859.t1	A	BRAKERILHT00000004218	A
g11860.t1	A	BRAKERILHT00000003550	A
g11861.t1	A	BRAKERILHT00000002909	A
g11862.t2	A	BRAKERILHT00000002679	A
g11863.t1	A	BRAKERILHT00000003491	A
g11864.t2	A	BRAKERILHT00000004002	A
g11867.t1	A	BRAKERILHT00000002573	A
g11868.t2	A	BRAKERILHT00000003064	A
g11870.t1	A	BRAKERILHT00000004264	A
g11871.t1	A	BRAKERILHT00000003648	A
g11872.t1	A	BRAKERILHT00000004445	A
g11873.t2	A	BRAKERILHT00000003753	A
g11874.t1	A	BRAKERILHT00000004424	A
g11875.t1	A	BRAKERILHT00000002873	A
g11876.t1	A	BRAKERILHT00000004145	A
g11878.t1	A	BRAKERILHT00000003237	A
g11879.t1	A	BRAKERILHT00000002480	A
g11880.t2	A	BRAKERILHT00000004399	A
g11881.t2	A	BRAKERILHT00000003330	A
g11882.t1	A	BRAKERILHT00000003261	A
g11883.t1	A	BRAKERILHT00000004111	A
g11884.t1	A	BRAKERILHT00000003489	A
g11885.t1	A	BRAKERILHT00000003098	A
g11886.t2	A	BRAKERILHT00000003967	A
g11890.t1	A	BRAKERILHT00000003728	A
g11891.t1	A	BRAKERILHT00000003016	A
g11892.t1	A	BRAKERILHT00000002242	A
g11893.t1	A	BRAKERILHT00000002975	A
g11895.t1	A	BRAKERILHT00000011464	A
g11896.t2	A	BRAKERILHT00000002504	A
g11897.t4	A	BRAKERILHT00000003716	A
g11898.t2	A	BRAKERILHT00000003673	A
g11901.t1	A	BRAKERILHT00000003071	A
g11902.t1	A	BRAKERILHT00000003654	A
g11905.t1	A	BRAKERILHT00000004363	A
g11906.t2	A	BRAKERILHT00000003250	A
g11908.t1	A	BRAKERILHT00000002576	A
g11909.t1	A	BRAKERILHT00000003860	A
g11913.t1	A	BRAKERILHT00000003545	A
g11915.t1	A	BRAKERILHT00000004017	A
g11916.t1	A	BRAKERILHT00000003483	A
g11917.t1	A	BRAKERILHT00000002590	A
g11918.t1	A	BRAKERILHT00000004188	A
g11919.t2	A	BRAKERILHT00000003298	A
g11920.t1	A	BRAKERILHT00000004309	A
g11922.t1	A	BRAKERILHT00000002633	A
g11923.t2	A	BRAKERILHT00000004368	A
g11924.t1	A	BRAKERILHT00000003838	A
g11925.t1	A	BRAKERILHT00000002295	A
g11926.t4	A	BRAKERILHT00000004071	A
g11927.t1	A	BRAKERILHT00000003574	A
g11928.t1	A	BRAKERILHT00000002810	A
g11929.t1	A	BRAKERILHT00000002306	A
g11930.t2	A	BRAKERILHT00000002842	A
g11931.t1	A	BRAKERILHT00000002247	A
g11933.t1	A	BRAKERILHT00000004422	A
g11934.t3	A	BRAKERILHT00000003715	A
g11938.t1	A	BRAKERILHT00000002488	A
g11939.t1	A	BRAKERILHT00000004159	A
g11940.t1	A	BRAKERILHT00000003095	A
g11942.t1	A	BRAKERILHT00000002922	A
g11943.t1	A	BRAKERILHT00000003193	A
g11945.t1	A	BRAKERILHT00000004204	A
g11946.t1	A	BRAKERILHT00000002695	A
g11947.t1	A	BRAKERILHT00000003204	A
g11949.t1	A	BRAKERILHT00000003664	A
g11950.t1	A	BRAKERILHT00000002455	A
g11953.t1	A	BRAKERILHT00000003684	A
g11954.t1	A	BRAKERILHT00000004224	A
g11955.t1	A	BRAKERILHT00000002465	A
g11956.t2	A	BRAKERILHT00000002974	A
g11957.t1	A	BRAKERILHT00000003133	A
g11958.t1	A	BRAKERILHT00000003606	A
g11962.t1	A	BRAKERILHT00000003582	A
g11964.t1	A	BRAKERILHT00000004402	A
g11965.t1	A	BRAKERILHT00000003170	A
g11966.t1	A	BRAKERILHT00000004132	A
g11968.t1	A	BRAKERILHT00000004379	A
