D_sublineata	chromosome	B_varius	chromosome
rna-XM_056779096.1	A	anno1.g3529.t1	A
rna-XM_056779086.1	A	anno1.g3531.t1	A
rna-XM_056779091.1	A	anno1.g3530.t1	A
rna-XM_056779095.1	A	anno1.g3533.t1	A
rna-XM_056779101.1	A	anno1.g6515.t1	A
rna-XM_056778987.1	A	anno1.g3532.t1	A
rna-XM_056778519.1	A	anno1.g9617.t1	A
rna-XM_056778518.1	A	anno1.g6516.t1	A
rna-XM_056780047.1	A	anno1.g5650.t1	A
rna-XM_056779303.1	A	anno1.g4238.t1	A
rna-XM_056779343.1	A	anno1.g4237.t1	A
rna-XM_056779730.1	A	anno1.g7935.t1	A
rna-XM_056779732.1	A	anno1.g5361.t1	A
rna-XM_056779733.1	A	anno1.g4264.t1	A
rna-XM_056779030.1	A	anno1.g3371.t1	A
rna-XM_056778732.1	A	anno1.g11383.t1	A
rna-XM_056779370.1	A	anno1.g3423.t1	A
rna-XM_056779372.1	A	anno1.g3377.t1	A
rna-XM_056779373.1	A	anno1.g3376.t1	A
rna-XM_056779371.1	A	anno1.g3380.t1	A
rna-XM_056780032.1	A	anno1.g3379.t1	A
rna-XM_056780033.1	A	anno1.g3378.t1	A
rna-XM_056779124.1	A	anno1.g11385.t1	A
rna-XM_056779068.1	A	anno1.g11384.t1	A
rna-XM_056778452.1	A	anno1.g3424.t1	A
rna-XM_056778445.1	A	anno1.g3360.t1	A
rna-XM_056778821.1	A	anno1.g3359.t1	A
rna-XM_056779214.1	A	anno1.g11110.t1	A
rna-XM_056780035.1	A	anno1.g2021.t2	A
rna-XM_056779307.1	A	anno1.g11302.t1	A
rna-XM_056778794.1	A	anno1.g8808.t1	A
rna-XM_056778791.1	A	anno1.g11041.t1	A
rna-XM_056778793.1	A	anno1.g5333.t1	A
rna-XM_056778824.1	A	anno1.g11102.t1	A
rna-XM_056779537.1	A	anno1.g11100.t1	A
rna-XM_056779033.1	A	anno1.g10995.t2	A
rna-XM_056778845.1	A	anno1.g10991.t1	A
rna-XM_056778735.1	A	anno1.g10990.t1	A
rna-XM_056779041.1	A	anno1.g10978.t1	A
rna-XM_056779232.1	A	anno1.g10981.t1	A
rna-XM_056779527.1	A	anno1.g10984.t1	A
rna-XM_056779577.1	A	anno1.g8376.t1	A
rna-XM_056779389.1	A	anno1.g10988.t2	A
rna-XM_056779579.1	A	anno1.g7681.t2	A
rna-XM_056779878.1	A	anno1.g11098.t1	A
rna-XM_056779881.1	A	anno1.g11099.t1	A
rna-XM_056778532.1	A	anno1.g10979.t1	A
rna-XM_056778903.1	A	anno1.g593.t1	A
rna-XM_056779245.1	A	anno1.g6738.t1	A
rna-XM_056778507.1	A	anno1.g6774.t1	A
rna-XM_056778576.1	A	anno1.g1112.t1	A
rna-XM_056778908.1	A	anno1.g7023.t1	A
rna-XM_056778443.1	A	anno1.g2023.t1	A
rna-XM_056778444.1	A	anno1.g2019.t1	A
rna-XM_056778441.1	A	anno1.g2018.t1	A
rna-XM_056779758.1	A	anno1.g8743.t1	A
rna-XM_056779759.1	A	anno1.g8744.t2	A
rna-XM_056779760.1	A	anno1.g3437.t1	A
rna-XM_056779761.1	A	anno1.g285.t1	A
rna-XM_056778920.1	A	anno1.g8035.t1	A
rna-XM_056778925.1	A	anno1.g8037.t1	A
rna-XM_056778927.1	A	anno1.g8038.t2	A
rna-XM_056779583.1	A	anno1.g8461.t1	A
rna-XM_056779031.1	A	anno1.g8462.t2	A
rna-XM_056779585.1	A	anno1.g2271.t1	A
rna-XM_056778999.1	A	anno1.g2950.t1	A
rna-XM_056779251.1	A	anno1.g5502.t1	A
rna-XM_056779500.1	A	anno1.g4094.t1	A
rna-XM_056779504.1	A	anno1.g835.t2	A
rna-XM_056779508.1	A	anno1.g8055.t1	A
rna-XM_056779509.1	A	anno1.g2077.t1	A
rna-XM_056779523.1	A	anno1.g2078.t2	A
rna-XM_056779520.1	A	anno1.g2079.t1	A
rna-XM_056779400.1	A	anno1.g5181.t1	A
rna-XM_056779757.1	A	anno1.g8056.t1	A
rna-XM_056780018.1	A	anno1.g8077.t1	A
rna-XM_056780017.1	A	anno1.g8075.t1	A
rna-XM_056779589.1	A	anno1.g10260.t1	A
rna-XM_056779590.1	A	anno1.g607.t1	A
rna-XM_056778660.1	A	anno1.g8078.t1	A
rna-XM_056778658.1	A	anno1.g1460.t1	A
rna-XM_056779680.1	A	anno1.g2421.t2	A
rna-XM_056779707.1	A	anno1.g8918.t1	A
rna-XM_056778957.1	A	anno1.g7318.t1	A
rna-XM_056779563.1	A	anno1.g1515.t1	A
rna-XM_056779123.1	A	anno1.g10798.t1	A
rna-XM_056779213.1	A	anno1.g10800.t1	A
rna-XM_056778980.1	A	anno1.g10801.t1	A
rna-XM_056779938.1	A	anno1.g10569.t1	A
rna-XM_056779320.1	A	anno1.g10568.t1	A
rna-XM_056779319.1	A	anno1.g9806.t1	A
rna-XM_056779939.1	A	anno1.g2743.t1	A
rna-XM_056779321.1	A	anno1.g9805.t1	A
rna-XM_056779358.1	A	anno1.g4914.t1	A
rna-XM_056779328.1	A	anno1.g797.t1	A
rna-XM_056779198.1	A	anno1.g10170.t1	A
rna-XM_056779200.1	A	anno1.g4708.t1	A
rna-XM_056779744.1	A	anno1.g4916.t1	A
rna-XM_056779745.1	A	anno1.g4964.t1	A
rna-XM_056779746.1	A	anno1.g4963.t1	A
rna-XM_056779747.1	A	anno1.g9819.t1	A
rna-XM_056778839.1	A	anno1.g798.t2	A
rna-XM_056779557.1	A	anno1.g2395.t1	A
rna-XM_056778600.1	A	anno1.g10556.t1	A
rna-XM_056779145.1	A	anno1.g7953.t1	A
rna-XM_056779531.1	A	anno1.g1498.t1	A
rna-XM_056779329.1	A	anno1.g1483.t1	A
rna-XM_056779366.1	A	anno1.g8129.t1	A
rna-XM_056779368.1	A	anno1.g4924.t1	A
rna-XM_056779348.1	A	anno1.g955.t1	A
rna-XM_056779347.1	A	anno1.g8060.t2	A
rna-XM_056779352.1	A	anno1.g10580.t1	A
rna-XM_056779946.1	A	anno1.g9828.t1	A
rna-XM_056779317.1	A	anno1.g10517.t1	A
rna-XM_056779546.1	A	anno1.g5623.t1	A
rna-XM_056778684.1	A	anno1.g4811.t1	A
rna-XM_056778686.1	A	anno1.g4808.t1	A
rna-XM_056779340.1	A	anno1.g4812.t1	A
rna-XM_056779719.1	A	anno1.g2669.t2	A
rna-XM_056779718.1	A	anno1.g2668.t1	A
rna-XM_056779712.1	A	anno1.g2667.t2	A
rna-XM_056778513.1	A	anno1.g2666.t1	A
rna-XM_056778515.1	A	anno1.g2664.t1	A
rna-XM_056779040.1	A	anno1.g2662.t1	A
rna-XM_056779028.1	A	anno1.g2661.t2	A
rna-XM_056778579.1	A	anno1.g2659.t1	A
rna-XM_056779951.1	A	anno1.g11668.t1	X
rna-XM_056779955.1	A	anno1.g11635.t1	X
rna-XM_056779292.1	A	anno1.g2647.t1	A
rna-XM_056778697.1	A	anno1.g2616.t1	A
rna-XM_056779186.1	A	anno1.g2622.t1	A
rna-XM_056779958.1	A	anno1.g2620.t1	A
rna-XM_056779959.1	A	anno1.g2619.t1	A
rna-XM_056779960.1	A	anno1.g2618.t1	A
rna-XM_056779961.1	A	anno1.g2617.t1	A
rna-XM_056779962.1	A	anno1.g2623.t1	A
rna-XM_056779963.1	A	anno1.g2627.t1	A
rna-XM_056779966.1	A	anno1.g2629.t1	A
rna-XM_056779967.1	A	anno1.g2633.t1	A
rna-XM_056779158.1	A	anno1.g2635.t1	A
rna-XM_056779201.1	A	anno1.g2639.t1	A
rna-XM_056778859.1	A	anno1.g2641.t1	A
rna-XM_056779069.1	A	anno1.g4106.t1	A
rna-XM_056779977.1	A	anno1.g1088.t1	A
rna-XM_056778565.1	A	anno1.g4128.t1	A
rna-XM_056778561.1	A	anno1.g4127.t2	A
rna-XM_056778567.1	A	anno1.g4123.t1	A
rna-XM_056778749.1	A	anno1.g4121.t4	A
rna-XM_056779980.1	A	anno1.g4915.t1	A
rna-XM_056778750.1	A	anno1.g4869.t1	A
rna-XM_056778751.1	A	anno1.g4868.t1	A
rna-XM_056778753.1	A	anno1.g12060.t1	X
rna-XM_056778754.1	A	anno1.g10928.t1	A
rna-XM_056778757.1	A	anno1.g10927.t1	A
rna-XM_056778764.1	A	anno1.g8950.t1	A
rna-XM_056778770.1	A	anno1.g4810.t1	A
rna-XM_056778772.1	A	anno1.g4809.t2	A
rna-XM_056778771.1	A	anno1.g5317.t1	A
rna-XM_056778774.1	A	anno1.g8102.t1	A
rna-XM_056778778.1	A	anno1.g8103.t1	A
rna-XM_056778780.1	A	anno1.g5652.t1	A
rna-XM_056778818.1	A	anno1.g5622.t1	A
rna-XM_056779378.1	A	anno1.g5619.t1	A
rna-XM_056779766.1	A	anno1.g10135.t1	A
rna-XM_056779767.1	A	anno1.g9820.t1	A
rna-XM_056779429.1	A	anno1.g2530.t1	A
rna-XM_056779990.1	A	anno1.g11709.t1	X
rna-XM_056779163.1	A	anno1.g1565.t1	A
rna-XM_056778830.1	A	anno1.g1564.t1	A
rna-XM_056779809.1	A	anno1.g1563.t1	A
rna-XM_056779992.1	A	anno1.g1562.t1	A
rna-XM_056779993.1	A	anno1.g11483.t1	A
rna-XM_056779811.1	A	anno1.g1558.t1	A
rna-XM_056779813.1	A	anno1.g1557.t2	A
rna-XM_056779818.1	A	anno1.g1511.t1	A
rna-XM_056779816.1	A	anno1.g1512.t1	A
rna-XM_056779817.1	A	anno1.g8339.t1	A
rna-XM_056779819.1	A	anno1.g1659.t1	A
rna-XM_056779822.1	A	anno1.g8181.t1	A
rna-XM_056779825.1	A	anno1.g1548.t1	A
rna-XM_056779828.1	A	anno1.g2420.t1	A
rna-XM_056779829.1	A	anno1.g6618.t2	A
rna-XM_056779830.1	A	anno1.g10494.t1	A
rna-XM_056779832.1	A	anno1.g5255.t1	A
rna-XM_056779831.1	A	anno1.g5256.t1	A
rna-XM_056779833.1	A	anno1.g9324.t1	A
rna-XM_056779835.1	A	anno1.g5257.t1	A
rna-XM_056779836.1	A	anno1.g3136.t2	A
rna-XM_056779286.1	A	anno1.g7920.t1	A
rna-XM_056779164.1	A	anno1.g8452.t1	A
rna-XM_056778885.1	A	anno1.g8133.t1	A
rna-XM_056778808.1	A	anno1.g1669.t1	A
rna-XM_056779532.1	A	anno1.g1668.t1	A
rna-XM_056779995.1	A	anno1.g8346.t1	A
rna-XM_056778919.1	A	anno1.g8345.t1	A
rna-XM_056779997.1	A	anno1.g8344.t1	A
rna-XM_056778782.1	A	anno1.g1670.t1	A
rna-XM_056779998.1	A	anno1.g1671.t1	A
rna-XM_056778560.1	A	anno1.g1672.t1	A
rna-XM_056779224.1	A	anno1.g4653.t1	A
rna-XM_056779223.1	A	anno1.g1677.t2	A
rna-XM_056778651.1	A	anno1.g1675.t1	A
rna-XM_056778640.1	A	anno1.g1673.t3	A
rna-XM_056779380.1	A	anno1.g2463.t4	A
rna-XM_056778729.1	A	anno1.g2466.t1	A
rna-XM_056779263.1	A	anno1.g2470.t1	A
rna-XM_056778822.1	A	anno1.g2471.t1	A
rna-XM_056778823.1	A	anno1.g2475.t1	A
rna-XM_056778483.1	A	anno1.g2472.t1	A
rna-XM_056778481.1	A	anno1.g2476.t1	A
rna-XM_056779709.1	A	anno1.g2477.t2	A
rna-XM_056779710.1	A	anno1.g2480.t1	A
rna-XM_056779138.1	A	anno1.g2126.t1	A
rna-XM_056779140.1	A	anno1.g2478.t1	A
rna-XM_056779122.1	A	anno1.g2481.t1	A
rna-XM_056779586.1	A	anno1.g2462.t1	A
rna-XM_056779000.1	A	anno1.g6674.t1	A
rna-XM_056778936.1	A	anno1.g6672.t1	A
rna-XM_056778902.1	A	anno1.g6670.t1	A
rna-XM_056779063.1	A	anno1.g6669.t1	A
rna-XM_056778638.1	A	anno1.g1857.t1	A
rna-XM_056778635.1	A	anno1.g1860.t1	A
rna-XM_056778633.1	A	anno1.g1858.t1	A
rna-XM_056778630.1	A	anno1.g6432.t1	A
rna-XM_056778621.1	A	anno1.g6250.t1	A
rna-XM_056778625.1	A	anno1.g1850.t1	A
rna-XM_056778637.1	A	anno1.g1992.t1	A
rna-XM_056778626.1	A	anno1.g6252.t2	A
rna-XM_056778634.1	A	anno1.g713.t1	A
rna-XM_056778636.1	A	anno1.g6740.t1	A
rna-XM_056779575.1	A	anno1.g6054.t1	A
rna-XM_056778797.1	A	anno1.g3169.t1	A
rna-XM_056778799.1	A	anno1.g3166.t1	A
rna-XM_056779402.1	A	anno1.g6249.t1	A
rna-XM_056779401.1	A	anno1.g3165.t1	A
rna-XM_056779403.1	A	anno1.g10983.t1	A
rna-XM_056779407.1	A	anno1.g9018.t1	A
rna-XM_056779405.1	A	anno1.g9026.t1	A
rna-XM_056779414.1	A	anno1.g9025.t1	A
rna-XM_056779413.1	A	anno1.g8794.t1	A
rna-XM_056779404.1	A	anno1.g9029.t1	A
rna-XM_056778816.1	A	anno1.g9034.t2	A
rna-XM_056779281.1	A	anno1.g9038.t2	A
rna-XM_056779282.1	A	anno1.g9039.t1	A
rna-XM_056778940.1	A	anno1.g9040.t1	A
rna-XM_056779135.1	A	anno1.g10734.t1	A
rna-XM_056778698.1	A	anno1.g3183.t3	A
rna-XM_056779202.1	A	anno1.g9030.t1	A
rna-XM_056780001.1	A	anno1.g9024.t1	A
rna-XM_056780002.1	A	anno1.g9022.t1	A
rna-XM_056780021.1	A	anno1.g9021.t1	A
rna-XM_056780019.1	A	anno1.g9020.t1	A
rna-XM_056780023.1	A	anno1.g9019.t1	A
rna-XM_056780020.1	A	anno1.g9028.t1	A
rna-XM_056779064.1	A	anno1.g9042.t1	A
rna-XM_056778801.1	A	anno1.g3618.t1	A
rna-XM_056779043.1	A	anno1.g9041.t1	A
rna-XM_056778941.1	A	anno1.g11206.t1	A
rna-XM_056779481.1	A	anno1.g2926.t1	A
rna-XM_056779250.1	A	anno1.g5512.t1	A
rna-XM_056778858.1	A	anno1.g6942.t1	A
rna-XM_056779363.1	A	anno1.g3167.t1	A
rna-XM_056778552.1	A	anno1.g3172.t2	A
rna-XM_056778543.1	A	anno1.g3171.t2	A
rna-XM_056778534.1	A	anno1.g7901.t1	A
rna-XM_056778704.1	A	anno1.g3130.t1	A
rna-XM_056779376.1	A	anno1.g3131.t1	A
rna-XM_056779306.1	A	anno1.g3135.t1	A
rna-XM_056779601.1	A	anno1.g2969.t1	A
rna-XM_056779605.1	A	anno1.g5172.t1	A
rna-XM_056779603.1	A	anno1.g2070.t1	A
rna-XM_056779604.1	A	anno1.g5173.t1	A
rna-XM_056779290.1	A	anno1.g5175.t1	A
rna-XM_056779289.1	A	anno1.g5176.t1	A
rna-XM_056779291.1	A	anno1.g5177.t2	A
rna-XM_056778933.1	A	anno1.g3126.t1	A
rna-XM_056780040.1	A	anno1.g3128.t1	A
rna-XM_056780036.1	A	anno1.g3127.t1	A
rna-XM_056780041.1	A	anno1.g3125.t1	A
rna-XM_056780042.1	A	anno1.g3124.t1	A
rna-XM_056778905.1	A	anno1.g3123.t1	A
rna-XM_056779308.1	A	anno1.g3120.t1	A
rna-XM_056779309.1	A	anno1.g3185.t1	A
rna-XM_056779310.1	A	anno1.g5142.t1	A
rna-XM_056779311.1	A	anno1.g5141.t1	A
rna-XM_056778674.1	A	anno1.g5140.t1	A
rna-XM_056778687.1	A	anno1.g5082.t1	A
rna-XM_056779015.1	A	anno1.g3417.t2	A
rna-XM_056779252.1	A	anno1.g3389.t1	A
rna-XM_056779341.1	A	anno1.g9325.t1	A
rna-XM_056779342.1	A	anno1.g6894.t1	A
rna-XM_056778509.1	A	anno1.g11329.t1	A
rna-XM_056778512.1	A	anno1.g3687.t1	A
rna-XM_056778958.1	A	anno1.g6534.t1	A
rna-XM_056780005.1	A	anno1.g6788.t1	A
rna-XM_056778466.1	A	anno1.g6532.t1	A
rna-XM_056778475.1	A	anno1.g915.t1	A
rna-XM_056778469.1	A	anno1.g1479.t1	A
rna-XM_056778473.1	A	anno1.g1514.t1	A
rna-XM_056778474.1	A	anno1.g7678.t2	A
rna-XM_056780007.1	A	anno1.g1481.t1	A
rna-XM_056779847.1	A	anno1.g4682.t1	A
rna-XM_056779848.1	A	anno1.g6237.t1	A
rna-XM_056779849.1	A	anno1.g1478.t1	A
rna-XM_056779850.1	A	anno1.g3839.t1	A
rna-XM_056779851.1	A	anno1.g3889.t4	A
rna-XM_056779865.1	A	anno1.g2882.t2	A
rna-XM_056779867.1	A	anno1.g5184.t1	A
rna-XM_056779869.1	A	anno1.g3893.t1	A
rna-XM_056779868.1	A	anno1.g3857.t1	A
rna-XM_056779870.1	A	anno1.g3474.t1	A
rna-XM_056779871.1	A	anno1.g8924.t1	A
rna-XM_056780011.1	A	anno1.g5262.t1	A
rna-XM_056779877.1	A	anno1.g8916.t1	A
rna-XM_056779876.1	A	anno1.g8915.t1	A
rna-XM_056779874.1	A	anno1.g976.t1	A
rna-XM_056779873.1	A	anno1.g8925.t1	A
rna-XM_056779872.1	A	anno1.g8926.t1	A
rna-XM_056778606.1	A	anno1.g8927.t1	A
rna-XM_056778611.1	A	anno1.g3475.t2	A
rna-XM_056778614.1	A	anno1.g9757.t2	A
rna-XM_056779074.1	A	anno1.g3835.t1	A
rna-XM_056778835.1	A	anno1.g3473.t1	A
rna-XM_056778599.1	A	anno1.g5263.t1	A
rna-XM_056778594.1	A	anno1.g8923.t1	A
rna-XM_056779486.1	A	anno1.g918.t1	A
rna-XM_056778916.1	A	anno1.g8180.t1	A
rna-XM_056779424.1	A	anno1.g3885.t2	A
rna-XM_056779344.1	A	anno1.g3881.t1	A
rna-XM_056779293.1	A	anno1.g4111.t1	A
rna-XM_056779051.1	A	anno1.g9126.t4	A
rna-XM_056780913.1	A	anno1.g2561.t1	A
rna-XM_056781103.1	A	anno1.g11086.t1	A
rna-XM_056781084.1	A	anno1.g11087.t1	A
rna-XM_056781090.1	A	anno1.g11088.t1	A
rna-XM_056781085.1	A	anno1.g11089.t1	A
rna-XM_056780501.1	A	anno1.g2568.t1	A
rna-XM_056780586.1	A	anno1.g2567.t1	A
rna-XM_056780645.1	A	anno1.g2564.t1	A
rna-XM_056781249.1	A	anno1.g2563.t1	A
rna-XM_056781237.1	A	anno1.g11085.t1	A
rna-XM_056781246.1	A	anno1.g1859.t1	A
rna-XM_056781231.1	A	anno1.g11083.t4	A
rna-XM_056781230.1	A	anno1.g11082.t1	A
rna-XM_056781251.1	A	anno1.g3932.t1	A
rna-XM_056781254.1	A	anno1.g3922.t1	A
rna-XM_056781242.1	A	anno1.g9209.t1	A
rna-XM_056781223.1	A	anno1.g11239.t1	A
rna-XM_056781247.1	A	anno1.g11238.t1	A
rna-XM_056781253.1	A	anno1.g11237.t1	A
rna-XM_056781225.1	A	anno1.g11167.t1	A
rna-XM_056781226.1	A	anno1.g11168.t1	A
rna-XM_056781240.1	A	anno1.g11169.t1	A
rna-XM_056781257.1	A	anno1.g10519.t1	A
rna-XM_056780592.1	A	anno1.g9615.t1	A
rna-XM_056781258.1	A	anno1.g9616.t1	A
rna-XM_056781260.1	A	anno1.g1267.t1	A
rna-XM_056781261.1	A	anno1.g4139.t1	A
rna-XM_056781263.1	A	anno1.g2906.t2	A
rna-XM_056781265.1	A	anno1.g3158.t1	A
rna-XM_056781266.1	A	anno1.g3157.t1	A
rna-XM_056780593.1	A	anno1.g3152.t1	A
rna-XM_056781269.1	A	anno1.g10719.t2	A
rna-XM_056781270.1	A	anno1.g11308.t1	A
rna-XM_056781274.1	A	anno1.g9317.t1	A
rna-XM_056781276.1	A	anno1.g10973.t3	A
rna-XM_056781278.1	A	anno1.g2049.t1	A
rna-XM_056781280.1	A	anno1.g2048.t1	A
rna-XM_056781283.1	A	anno1.g12029.t1	X
rna-XM_056781281.1	A	anno1.g11404.t1	A
rna-XM_056780542.1	A	anno1.g11408.t1	A
rna-XM_056780735.1	A	anno1.g11377.t1	A
rna-XM_056780731.1	A	anno1.g2037.t3	A
rna-XM_056780952.1	A	anno1.g2036.t1	A
rna-XM_056781570.1	A	anno1.g10865.t1	A
rna-XM_056781938.1	A	anno1.g10867.t3	A
rna-XM_056780993.1	A	anno1.g6840.t1	A
rna-XM_056781313.1	A	anno1.g10873.t3	A
rna-XM_056781046.1	A	anno1.g10875.t1	A
rna-XM_056781049.1	A	anno1.g10876.t2	A
rna-XM_056780617.1	A	anno1.g10874.t1	A
rna-XM_056781051.1	A	anno1.g8898.t1	A
rna-XM_056780383.1	A	anno1.g10880.t1	A
rna-XM_056780394.1	A	anno1.g10884.t1	A
rna-XM_056780380.1	A	anno1.g10882.t1	A
rna-XM_056780385.1	A	anno1.g10885.t1	A
rna-XM_056780381.1	A	anno1.g2046.t1	A
rna-XM_056780386.1	A	anno1.g3398.t1	A
rna-XM_056780618.1	A	anno1.g7347.t1	A
rna-XM_056780667.1	A	anno1.g5670.t1	A
rna-XM_056780689.1	A	anno1.g5674.t1	A
rna-XM_056780691.1	A	anno1.g9086.t1	A
rna-XM_056780567.1	A	anno1.g9087.t1	A
rna-XM_056780278.1	A	anno1.g9130.t1	A
rna-XM_056780279.1	A	anno1.g2050.t1	A
rna-XM_056780282.1	A	anno1.g9131.t1	A
rna-XM_056781298.1	A	anno1.g9136.t1	A
rna-XM_056781304.1	A	anno1.g9138.t1	A
rna-XM_056781306.1	A	anno1.g9916.t1	A
rna-XM_056781312.1	A	anno1.g9915.t1	A
rna-XM_056780917.1	A	anno1.g2210.t1	A
rna-XM_056780916.1	A	anno1.g2106.t1	A
rna-XM_056782189.1	A	anno1.g2211.t3	A
rna-XM_056781343.1	A	anno1.g2212.t1	A
rna-XM_056782043.1	A	anno1.g3396.t2	A
rna-XM_056782037.1	A	anno1.g3397.t1	A
rna-XM_056781639.1	A	anno1.g2045.t1	A
rna-XM_056781637.1	A	anno1.g3225.t1	A
rna-XM_056781641.1	A	anno1.g1491.t1	A
rna-XM_056781647.1	A	anno1.g3224.t1	A
rna-XM_056780865.1	A	anno1.g5158.t1	A
rna-XM_056782138.1	A	anno1.g8130.t1	A
rna-XM_056780623.1	A	anno1.g5216.t1	A
rna-XM_056782140.1	A	anno1.g7411.t1	A
rna-XM_056780624.1	A	anno1.g6972.t1	A
rna-XM_056782144.1	A	anno1.g11203.t1	A
rna-XM_056782146.1	A	anno1.g6946.t1	A
rna-XM_056782147.1	A	anno1.g691.t1	A
rna-XM_056782148.1	A	anno1.g702.t1	A
rna-XM_056780625.1	A	anno1.g1889.t1	A
rna-XM_056782150.1	A	anno1.g1433.t1	A
rna-XM_056780627.1	A	anno1.g2682.t1	A
rna-XM_056782159.1	A	anno1.g83.t1	A
rna-XM_056780557.1	A	anno1.g10638.t1	A
rna-XM_056780830.1	A	anno1.g10635.t1	A
rna-XM_056780581.1	A	anno1.g11236.t2	A
rna-XM_056781786.1	A	anno1.g3828.t1	A
rna-XM_056781785.1	A	anno1.g3909.t1	A
rna-XM_056781787.1	A	anno1.g11232.t1	A
rna-XM_056781788.1	A	anno1.g11231.t1	A
rna-XM_056780736.1	A	anno1.g11229.t1	A
rna-XM_056780926.1	A	anno1.g11228.t1	A
rna-XM_056780925.1	A	anno1.g11227.t1	A
rna-XM_056781886.1	A	anno1.g11152.t1	A
rna-XM_056781889.1	A	anno1.g11226.t1	A
rna-XM_056781102.1	A	anno1.g10730.t1	A
rna-XM_056781099.1	A	anno1.g7696.t1	A
rna-XM_056780979.1	A	anno1.g10729.t1	A
rna-XM_056780980.1	A	anno1.g10737.t1	A
rna-XM_056780856.1	A	anno1.g11235.t1	A
rna-XM_056781097.1	A	anno1.g11233.t1	A
rna-XM_056781094.1	A	anno1.g5316.t1	A
rna-XM_056780665.1	A	anno1.g2427.t1	A
rna-XM_056780846.1	A	anno1.g2553.t1	A
rna-XM_056780843.1	A	anno1.g10462.t1	A
rna-XM_056780637.1	A	anno1.g632.t2	A
rna-XM_056782015.1	A	anno1.g629.t1	A
rna-XM_056782011.1	A	anno1.g4833.t1	A
rna-XM_056781359.1	A	anno1.g5616.t2	A
rna-XM_056781004.1	A	anno1.g490.t1	A
rna-XM_056782003.1	A	anno1.g5287.t1	A
rna-XM_056781946.1	A	anno1.g5433.t1	A
rna-XM_056781948.1	A	anno1.g5435.t1	A
rna-XM_056781360.1	A	anno1.g5288.t1	A
rna-XM_056781895.1	A	anno1.g2072.t1	A
rna-XM_056781898.1	A	anno1.g2308.t1	A
rna-XM_056781896.1	A	anno1.g2307.t3	A
rna-XM_056780541.1	A	anno1.g926.t2	A
rna-XM_056781934.1	A	anno1.g931.t2	A
rna-XM_056780659.1	A	anno1.g2684.t1	A
rna-XM_056781935.1	A	anno1.g7288.t1	A
rna-XM_056781040.1	A	anno1.g7272.t1	A
rna-XM_056780786.1	A	anno1.g7267.t1	A
rna-XM_056780363.1	A	anno1.g7266.t1	A
rna-XM_056780540.1	A	anno1.g7265.t1	A
rna-XM_056780672.1	A	anno1.g7264.t1	A
rna-XM_056780867.1	A	anno1.g10158.t1	A
rna-XM_056781389.1	A	anno1.g9971.t1	A
rna-XM_056780234.1	A	anno1.g11283.t1	A
rna-XM_056780235.1	A	anno1.g7321.t1	A
rna-XM_056780238.1	A	anno1.g4072.t1	A
rna-XM_056780243.1	A	anno1.g4855.t1	A
rna-XM_056780677.1	A	anno1.g11586.t1	X
rna-XM_056781194.1	A	anno1.g4137.t1	A
rna-XM_056780377.1	A	anno1.g4153.t1	A
rna-XM_056780460.1	A	anno1.g2773.t3	A
rna-XM_056780474.1	A	anno1.g2713.t1	A
rna-XM_056780475.1	A	anno1.g2785.t1	A
rna-XM_056780480.1	A	anno1.g4151.t2	A
rna-XM_056780477.1	A	anno1.g2791.t1	A
rna-XM_056780479.1	A	anno1.g2771.t1	A
rna-XM_056780483.1	A	anno1.g2772.t1	A
rna-XM_056780482.1	A	anno1.g2792.t1	A
rna-XM_056780486.1	A	anno1.g2790.t2	A
rna-XM_056780487.1	A	anno1.g2789.t1	A
rna-XM_056780488.1	A	anno1.g2788.t1	A
rna-XM_056780491.1	A	anno1.g10358.t4	A
rna-XM_056781358.1	A	anno1.g1047.t1	A
rna-XM_056780875.1	A	anno1.g1049.t1	A
rna-XM_056780626.1	A	anno1.g1048.t1	A
rna-XM_056780457.1	A	anno1.g5271.t1	A
rna-XM_056780458.1	A	anno1.g5272.t1	A
rna-XM_056781170.1	A	anno1.g5277.t1	A
rna-XM_056781151.1	A	anno1.g682.t1	A
rna-XM_056781148.1	A	anno1.g683.t1	A
rna-XM_056780099.1	A	anno1.g10770.t1	A
rna-XM_056780097.1	A	anno1.g10785.t2	A
rna-XM_056780101.1	A	anno1.g11204.t1	A
rna-XM_056780117.1	A	anno1.g7896.t1	A
rna-XM_056780105.1	A	anno1.g10495.t1	A
rna-XM_056780122.1	A	anno1.g6632.t1	A
rna-XM_056780123.1	A	anno1.g10573.t2	A
rna-XM_056780118.1	A	anno1.g6633.t1	A
rna-XM_056780120.1	A	anno1.g9945.t1	A
rna-XM_056780124.1	A	anno1.g2213.t1	A
rna-XM_056780126.1	A	anno1.g6181.t1	A
rna-XM_056780127.1	A	anno1.g6180.t1	A
rna-XM_056780125.1	A	anno1.g3077.t1	A
rna-XM_056780134.1	A	anno1.g690.t2	A
rna-XM_056780136.1	A	anno1.g689.t1	A
rna-XM_056780137.1	A	anno1.g699.t2	A
rna-XM_056780140.1	A	anno1.g692.t1	A
rna-XM_056780142.1	A	anno1.g693.t1	A
rna-XM_056780143.1	A	anno1.g694.t1	A
rna-XM_056780144.1	A	anno1.g695.t1	A
rna-XM_056781585.1	A	anno1.g696.t1	A
rna-XM_056780638.1	A	anno1.g697.t1	A
rna-XM_056781892.1	A	anno1.g688.t2	A
