B_siliquastri	chromosome	D_carinulata	chromosome
BRAKERILHT00000006790	A	rna-XM_057810151.1	A
BRAKERILHT00000008174	A	rna-XM_057800955.1	A
BRAKERILHT00000007720	A	rna-XM_057812989.1	A
BRAKERILHT00000007013	A	rna-XM_057799039.1	A
BRAKERILHT00000006582	A	rna-XM_057800103.1	A
BRAKERILHT00000006753	A	rna-XM_057810865.1	A
BRAKERILHT00000007780	A	rna-XM_057810142.1	A
BRAKERILHT00000006770	A	rna-XM_057810778.1	A
BRAKERILHT00000007628	A	rna-XM_057810034.1	A
BRAKERILHT00000006512	A	rna-XM_057796200.1	A
BRAKERILHT00000007042	A	rna-XM_057810412.1	A
BRAKERILHT00000008181	A	rna-XM_057797042.1	A
BRAKERILHT00000008453	A	rna-XM_057797038.1	A
BRAKERILHT00000006945	A	rna-XM_057797037.1	A
BRAKERILHT00000007713	A	rna-XM_057797036.1	A
BRAKERILHT00000007122	A	rna-XM_057797034.1	A
BRAKERILHT00000006601	A	rna-XM_057803946.1	A
BRAKERILHT00000008029	A	rna-XM_057803945.1	A
BRAKERILHT00000007991	A	rna-XM_057803939.1	A
BRAKERILHT00000007947	A	rna-XM_057796606.1	A
BRAKERILHT00000006602	A	rna-XM_057805166.1	A
BRAKERILHT00000007925	A	rna-XM_057796966.1	A
BRAKERILHT00000007227	A	rna-XM_057807408.1	A
BRAKERILHT00000006815	A	rna-XM_057807410.1	A
BRAKERILHT00000007294	A	rna-XM_057807430.1	A
BRAKERILHT00000007926	A	rna-XM_057807433.1	A
BRAKERILHT00000008172	A	rna-XM_057807422.1	A
BRAKERILHT00000008341	A	rna-XM_057807426.1	A
BRAKERILHT00000007950	A	rna-XM_057807424.1	A
BRAKERILHT00000007346	A	rna-XM_057807415.1	A
BRAKERILHT00000008155	A	rna-XM_057807420.1	A
BRAKERILHT00000007570	A	rna-XM_057795574.1	A
BRAKERILHT00000007779	A	rna-XM_057815051.1	A
BRAKERILHT00000007553	A	rna-XM_057813922.1	A
BRAKERILHT00000006823	A	rna-XM_057813924.1	A
BRAKERILHT00000008298	A	rna-XM_057802644.1	A
BRAKERILHT00000007954	A	rna-XM_057813365.1	A
BRAKERILHT00000007376	A	rna-XM_057812825.1	A
BRAKERILHT00000008443	A	rna-XM_057802247.1	A
BRAKERILHT00000007859	A	rna-XM_057805514.1	A
BRAKERILHT00000007598	A	rna-XM_057810800.1	A
BRAKERILHT00000007025	A	rna-XM_057799656.1	A
BRAKERILHT00000007018	A	rna-XM_057799652.1	A
BRAKERILHT00000006716	A	rna-XM_057797887.1	A
BRAKERILHT00000007761	A	rna-XM_057797949.1	A
BRAKERILHT00000006518	A	rna-XM_057798481.1	A
BRAKERILHT00000008109	A	rna-XM_057799919.1	A
BRAKERILHT00000007673	A	rna-XM_057799917.1	A
BRAKERILHT00000007091	A	rna-XM_057808587.1	A
BRAKERILHT00000008322	A	rna-XM_057797828.1	A
BRAKERILHT00000007871	A	rna-XM_057802774.1	A
BRAKERILHT00000007250	A	rna-XM_057799033.1	A
BRAKERILHT00000007389	A	rna-XM_057815641.1	A
BRAKERILHT00000008110	A	rna-XM_057801755.1	A
BRAKERILHT00000007385	A	rna-XM_057813795.1	A
BRAKERILHT00000008036	A	rna-XM_057795866.1	A
BRAKERILHT00000007726	A	rna-XM_057796937.1	A
BRAKERILHT00000006623	A	rna-XM_057801494.1	A
BRAKERILHT00000007003	A	rna-XM_057801499.1	A
BRAKERILHT00000007613	A	rna-XM_057801493.1	A
BRAKERILHT00000006572	A	rna-XM_057801489.1	A
BRAKERILHT00000007326	A	rna-XM_057810737.1	A
BRAKERILHT00000007784	A	rna-XM_057808372.1	A
BRAKERILHT00000008400	A	rna-XM_057816014.1	A
BRAKERILHT00000007460	A	rna-XM_057798899.1	A
BRAKERILHT00000007901	A	rna-XM_057816027.1	A
BRAKERILHT00000007053	A	rna-XM_057814809.1	A
BRAKERILHT00000007882	A	rna-XM_057811661.1	A
BRAKERILHT00000006715	A	rna-XM_057811321.1	A
BRAKERILHT00000007006	A	rna-XM_057811323.1	A
BRAKERILHT00000008302	A	rna-XM_057805529.1	A
BRAKERILHT00000006651	A	rna-XM_057805528.1	A
BRAKERILHT00000006642	A	rna-XM_057805518.1	A
BRAKERILHT00000007554	A	rna-XM_057805378.1	A
BRAKERILHT00000008105	A	rna-XM_057805382.1	A
BRAKERILHT00000007403	A	rna-XM_057812168.1	A
BRAKERILHT00000008210	A	rna-XM_057811343.1	A
BRAKERILHT00000007036	A	rna-XM_057811537.1	A
BRAKERILHT00000006587	A	rna-XM_057798433.1	A
BRAKERILHT00000006910	A	rna-XM_057811701.1	A
BRAKERILHT00000008380	A	rna-XM_057803003.1	A
BRAKERILHT00000006577	A	rna-XM_057802997.1	A
BRAKERILHT00000008014	A	rna-XM_057808908.1	A
BRAKERILHT00000008396	A	rna-XM_057796873.1	A
BRAKERILHT00000007033	A	rna-XM_057796867.1	A
BRAKERILHT00000006729	A	rna-XM_057796872.1	A
BRAKERILHT00000007802	A	rna-XM_057800034.1	A
BRAKERILHT00000008178	A	rna-XM_057811658.1	A
BRAKERILHT00000007009	A	rna-XM_057812932.1	A
BRAKERILHT00000008087	A	rna-XM_057796961.1	A
BRAKERILHT00000007277	A	rna-XM_057795639.1	A
BRAKERILHT00000008119	A	rna-XM_057795390.1	A
BRAKERILHT00000006859	A	rna-XM_057816686.1	A
BRAKERILHT00000007429	A	rna-XM_057815150.1	A
BRAKERILHT00000007735	A	rna-XM_057816893.1	A
BRAKERILHT00000008324	A	rna-XM_057816904.1	A
BRAKERILHT00000006976	A	rna-XM_057816900.1	A
BRAKERILHT00000007556	A	rna-XM_057795116.1	A
BRAKERILHT00000008114	A	rna-XM_057798713.1	A
BRAKERILHT00000006877	A	rna-XM_057798714.1	A
BRAKERILHT00000007456	A	rna-XM_057799939.1	A
BRAKERILHT00000006772	A	rna-XM_057813875.1	A
BRAKERILHT00000007873	A	rna-XM_057795507.1	A
BRAKERILHT00000006532	A	rna-XM_057800913.1	A
BRAKERILHT00000008086	A	rna-XM_057797634.1	A
BRAKERILHT00000007528	A	rna-XM_057798706.1	A
BRAKERILHT00000007062	A	rna-XM_057799057.1	A
BRAKERILHT00000006614	A	rna-XM_057799054.1	A
BRAKERILHT00000008228	A	rna-XM_057797922.1	A
BRAKERILHT00000007749	A	rna-XM_057797921.1	A
BRAKERILHT00000007989	A	rna-XM_057797920.1	A
BRAKERILHT00000007338	A	rna-XM_057797919.1	A
BRAKERILHT00000007949	A	rna-XM_057801786.1	A
BRAKERILHT00000008264	A	rna-XM_057811752.1	A
BRAKERILHT00000006817	A	rna-XM_057798451.1	A
BRAKERILHT00000007265	A	rna-XM_057798298.1	A
BRAKERILHT00000007052	A	rna-XM_057799423.1	A
BRAKERILHT00000006775	A	rna-XM_057809813.1	A
BRAKERILHT00000007240	A	rna-XM_057801891.1	A
BRAKERILHT00000007756	A	rna-XM_057802365.1	A
BRAKERILHT00000008414	A	rna-XM_057802335.1	A
BRAKERILHT00000007807	A	rna-XM_057798813.1	A
BRAKERILHT00000006546	A	rna-XM_057802210.1	A
BRAKERILHT00000007144	A	rna-XM_057802226.1	A
BRAKERILHT00000007969	A	rna-XM_057802348.1	A
BRAKERILHT00000008022	A	rna-XM_057800190.1	A
BRAKERILHT00000006750	A	rna-XM_057800189.1	A
BRAKERILHT00000006965	A	rna-XM_057810127.1	A
BRAKERILHT00000007568	A	rna-XM_057800956.1	A
BRAKERILHT00000008120	A	rna-XM_057798045.1	A
BRAKERILHT00000006706	A	rna-XM_057808062.1	A
BRAKERILHT00000007228	A	rna-XM_057811402.1	A
BRAKERILHT00000007986	A	rna-XM_057806716.1	A
BRAKERILHT00000007686	A	rna-XM_057806701.1	A
BRAKERILHT00000006843	A	rna-XM_057805533.1	A
BRAKERILHT00000007683	A	rna-XM_057805536.1	A
BRAKERILHT00000007678	A	rna-XM_057805320.1	A
BRAKERILHT00000007939	A	rna-XM_057811553.1	A
BRAKERILHT00000007707	A	rna-XM_057803002.1	A
BRAKERILHT00000007126	A	rna-XM_057802139.1	A
BRAKERILHT00000008331	A	rna-XM_057802135.1	A
BRAKERILHT00000007759	A	rna-XM_057810284.1	A
BRAKERILHT00000007335	A	rna-XM_057810314.1	A
BRAKERILHT00000006531	A	rna-XM_057812210.1	X
BRAKERILHT00000008226	A	rna-XM_057795708.1	X
BRAKERILHT00000006717	A	rna-XM_057806570.1	A
BRAKERILHT00000006938	A	rna-XM_057804752.1	A
BRAKERILHT00000008410	A	rna-XM_057810729.1	A
BRAKERILHT00000008137	A	rna-XM_057810738.1	A
BRAKERILHT00000006585	A	rna-XM_057816209.1	A
BRAKERILHT00000008153	A	rna-XM_057816660.1	A
BRAKERILHT00000007303	A	rna-XM_057795117.1	A
BRAKERILHT00000006805	A	rna-XM_057795119.1	A
BRAKERILHT00000007979	A	rna-XM_057795124.1	A
BRAKERILHT00000008408	A	rna-XM_057816656.1	A
BRAKERILHT00000008245	A	rna-XM_057795178.1	A
BRAKERILHT00000008233	A	rna-XM_057799439.1	A
BRAKERILHT00000008008	A	rna-XM_057799441.1	A
BRAKERILHT00000006540	A	rna-XM_057799434.1	A
BRAKERILHT00000008431	A	rna-XM_057799432.1	A
BRAKERILHT00000007861	A	rna-XM_057799433.1	A
BRAKERILHT00000007289	A	rna-XM_057798457.1	A
BRAKERILHT00000008268	A	rna-XM_057798449.1	A
BRAKERILHT00000008061	A	rna-XM_057800607.1	A
BRAKERILHT00000006625	A	rna-XM_057800660.1	A
BRAKERILHT00000006979	A	rna-XM_057800026.1	A
BRAKERILHT00000007551	A	rna-XM_057800027.1	A
BRAKERILHT00000008063	A	rna-XM_057801204.1	A
BRAKERILHT00000007793	A	rna-XM_057801199.1	A
BRAKERILHT00000007445	A	rna-XM_057798627.1	A
BRAKERILHT00000007904	A	rna-XM_057810898.1	A
BRAKERILHT00000006588	A	rna-XM_057808763.1	X
BRAKERILHT00000006584	A	rna-XM_057812053.1	A
BRAKERILHT00000006798	A	rna-XM_057802033.1	X
BRAKERILHT00000008041	A	rna-XM_057801210.1	A
BRAKERILHT00000007501	A	rna-XM_057801208.1	A
BRAKERILHT00000006822	A	rna-XM_057795127.1	A
BRAKERILHT00000007533	A	rna-XM_057815149.1	A
BRAKERILHT00000007455	A	rna-XM_057816902.1	A
BRAKERILHT00000008052	A	rna-XM_057815948.1	A
BRAKERILHT00000007488	A	rna-XM_057816937.1	A
BRAKERILHT00000007789	A	rna-XM_057816907.1	A
BRAKERILHT00000006610	A	rna-XM_057816814.1	A
BRAKERILHT00000008019	A	rna-XM_057816108.1	A
BRAKERILHT00000008475	A	rna-XM_057815764.1	A
BRAKERILHT00000007883	A	rna-XM_057810739.1	A
BRAKERILHT00000007300	A	rna-XM_057808583.1	A
BRAKERILHT00000006920	A	rna-XM_057808584.1	A
BRAKERILHT00000008197	A	rna-XM_057808586.1	A
BRAKERILHT00000007645	A	rna-XM_057800310.1	A
BRAKERILHT00000006806	A	rna-XM_057815247.1	A
BRAKERILHT00000008274	A	rna-XM_057815251.1	A
BRAKERILHT00000007732	A	rna-XM_057801631.1	A
BRAKERILHT00000008323	A	rna-XM_057801630.1	A
BRAKERILHT00000006711	A	rna-XM_057803490.1	A
BRAKERILHT00000007951	A	rna-XM_057798333.1	A
BRAKERILHT00000006802	A	rna-XM_057797736.1	A
BRAKERILHT00000007344	A	rna-XM_057803479.1	A
BRAKERILHT00000009698	A	rna-XM_057810894.1	A
BRAKERILHT00000010250	A	rna-XM_057810178.1	A
BRAKERILHT00000009650	A	rna-XM_057810177.1	A
BRAKERILHT00000010317	A	rna-XM_057811194.1	A
BRAKERILHT00000010220	A	rna-XM_057808173.1	A
BRAKERILHT00000009932	A	rna-XM_057808805.1	A
BRAKERILHT00000009355	A	rna-XM_057808853.1	X
BRAKERILHT00000010201	A	rna-XM_057813349.1	A
BRAKERILHT00000009791	A	rna-XM_057812689.1	A
BRAKERILHT00000009345	A	rna-XM_057800805.1	A
BRAKERILHT00000009306	A	rna-XM_057800371.1	A
BRAKERILHT00000009095	A	rna-XM_057795138.1	X
BRAKERILHT00000009094	A	rna-XM_057804918.1	A
BRAKERILHT00000008908	A	rna-XM_057807630.1	A
BRAKERILHT00000009986	A	rna-XM_057807629.1	A
BRAKERILHT00000009314	A	rna-XM_057807674.1	A
BRAKERILHT00000008909	A	rna-XM_057807802.1	A
BRAKERILHT00000008684	A	rna-XM_057807798.1	A
BRAKERILHT00000009054	A	rna-XM_057807797.1	A
BRAKERILHT00000008578	A	rna-XM_057808833.1	A
BRAKERILHT00000009982	A	rna-XM_057807801.1	A
BRAKERILHT00000009806	A	rna-XM_057808063.1	A
BRAKERILHT00000009603	A	rna-XM_057807808.1	A
BRAKERILHT00000009575	A	rna-XM_057807762.1	A
BRAKERILHT00000010179	A	rna-XM_057808851.1	A
BRAKERILHT00000009642	A	rna-XM_057808854.1	A
BRAKERILHT00000009195	A	rna-XM_057803901.1	A
BRAKERILHT00000008665	A	rna-XM_057802594.1	A
BRAKERILHT00000008856	A	rna-XM_057801658.1	A
BRAKERILHT00000009543	A	rna-XM_057805131.1	A
BRAKERILHT00000009447	A	rna-XM_057810098.1	A
BRAKERILHT00000008932	A	rna-XM_057796865.1	A
BRAKERILHT00000010322	A	rna-XM_057810769.1	A
BRAKERILHT00000010336	A	rna-XM_057810524.1	A
BRAKERILHT00000009512	A	rna-XM_057810526.1	A
BRAKERILHT00000010205	A	rna-XM_057796022.1	A
BRAKERILHT00000009083	A	rna-XM_057796027.1	A
BRAKERILHT00000008522	A	rna-XM_057795820.1	A
BRAKERILHT00000009353	A	rna-XM_057811546.1	A
BRAKERILHT00000009926	A	rna-XM_057810380.1	A
BRAKERILHT00000009520	A	rna-XM_057801272.1	A
BRAKERILHT00000009879	A	rna-XM_057801269.1	A
BRAKERILHT00000008804	A	rna-XM_057806179.1	A
BRAKERILHT00000010371	A	rna-XM_057801148.1	A
BRAKERILHT00000008903	A	rna-XM_057807800.1	A
BRAKERILHT00000008565	A	rna-XM_057800790.1	A
BRAKERILHT00000008989	A	rna-XM_057804726.1	A
BRAKERILHT00000010254	A	rna-XM_057797749.1	A
BRAKERILHT00000008746	A	rna-XM_057798697.1	A
BRAKERILHT00000009412	A	rna-XM_057810751.1	A
BRAKERILHT00000009817	A	rna-XM_057810748.1	A
BRAKERILHT00000008503	A	rna-XM_057804988.1	A
BRAKERILHT00000008670	A	rna-XM_057804986.1	A
BRAKERILHT00000010054	A	rna-XM_057804576.1	A
BRAKERILHT00000009528	A	rna-XM_057804068.1	A
BRAKERILHT00000010227	A	rna-XM_057812914.1	A
BRAKERILHT00000008817	A	rna-XM_057810681.1	A
BRAKERILHT00000009988	A	rna-XM_057807942.1	A
BRAKERILHT00000009852	A	rna-XM_057796352.1	A
BRAKERILHT00000009028	A	rna-XM_057808880.1	A
BRAKERILHT00000009748	A	rna-XM_057808877.1	A
BRAKERILHT00000010300	A	rna-XM_057810732.1	A
BRAKERILHT00000010281	A	rna-XM_057808926.1	A
BRAKERILHT00000008737	A	rna-XM_057807991.1	A
BRAKERILHT00000010311	A	rna-XM_057804467.1	A
BRAKERILHT00000009885	A	rna-XM_057804471.1	A
BRAKERILHT00000008968	A	rna-XM_057805141.1	A
BRAKERILHT00000009265	A	rna-XM_057810105.1	A
BRAKERILHT00000009406	A	rna-XM_057810117.1	A
BRAKERILHT00000009093	A	rna-XM_057810115.1	A
BRAKERILHT00000009554	A	rna-XM_057804625.1	A
BRAKERILHT00000009462	A	rna-XM_057804388.1	A
BRAKERILHT00000008945	A	rna-XM_057800212.1	A
BRAKERILHT00000009296	A	rna-XM_057800672.1	A
BRAKERILHT00000009775	A	rna-XM_057811101.1	A
BRAKERILHT00000009978	A	rna-XM_057796757.1	A
BRAKERILHT00000009718	A	rna-XM_057804733.1	A
BRAKERILHT00000009337	A	rna-XM_057815289.1	Y
BRAKERILHT00000009934	A	rna-XM_057804732.1	A
BRAKERILHT00000009071	A	rna-XM_057804730.1	A
BRAKERILHT00000008664	A	rna-XM_057804969.1	A
BRAKERILHT00000008944	A	rna-XM_057802254.1	A
BRAKERILHT00000009956	A	rna-XM_057803384.1	A
BRAKERILHT00000009218	A	rna-XM_057809148.1	A
BRAKERILHT00000008544	A	rna-XM_057802949.1	A
BRAKERILHT00000009912	A	rna-XM_057802945.1	A
BRAKERILHT00000009491	A	rna-XM_057802941.1	A
BRAKERILHT00000009208	A	rna-XM_057804791.1	A
BRAKERILHT00000010303	A	rna-XM_057804792.1	A
BRAKERILHT00000008787	A	rna-XM_057795299.1	A
BRAKERILHT00000009003	A	rna-XM_057816480.1	X
BRAKERILHT00000009861	A	rna-XM_057806779.1	X
BRAKERILHT00000008590	A	rna-XM_057813441.1	A
BRAKERILHT00000010086	A	rna-XM_057802077.1	A
BRAKERILHT00000008779	A	rna-XM_057797212.1	A
BRAKERILHT00000010065	A	rna-XM_057802395.1	X
BRAKERILHT00000008678	A	rna-XM_057797184.1	A
BRAKERILHT00000009144	A	rna-XM_057794918.1	A
BRAKERILHT00000009434	A	rna-XM_057794917.1	A
BRAKERILHT00000010002	A	rna-XM_057811723.1	A
BRAKERILHT00000009341	A	rna-XM_057804080.1	A
BRAKERILHT00000009737	A	rna-XM_057796732.1	A
BRAKERILHT00000010061	A	rna-XM_057806393.1	A
BRAKERILHT00000008644	A	rna-XM_057804126.1	A
BRAKERILHT00000008676	A	rna-XM_057795067.1	A
BRAKERILHT00000010225	A	rna-XM_057800366.1	A
BRAKERILHT00000008941	A	rna-XM_057796093.1	A
BRAKERILHT00000009339	A	rna-XM_057796608.1	A
BRAKERILHT00000009401	A	rna-XM_057808329.1	A
BRAKERILHT00000008956	A	rna-XM_057808341.1	A
BRAKERILHT00000009793	A	rna-XM_057799157.1	A
BRAKERILHT00000010316	A	rna-XM_057802480.1	A
BRAKERILHT00000009077	A	rna-XM_057801657.1	A
BRAKERILHT00000009630	A	rna-XM_057802522.1	A
BRAKERILHT00000009936	A	rna-XM_057802068.1	A
BRAKERILHT00000009248	A	rna-XM_057802469.1	A
BRAKERILHT00000009264	A	rna-XM_057805384.1	A
BRAKERILHT00000010088	A	rna-XM_057813981.1	A
BRAKERILHT00000009655	A	rna-XM_057813832.1	A
BRAKERILHT00000009038	A	rna-XM_057813830.1	A
BRAKERILHT00000009117	A	rna-XM_057797326.1	A
BRAKERILHT00000008477	A	rna-XM_057796605.1	A
BRAKERILHT00000009969	A	rna-XM_057799118.1	A
BRAKERILHT00000009550	A	rna-XM_057795516.1	A
BRAKERILHT00000009352	A	rna-XM_057813499.1	A
BRAKERILHT00000009826	A	rna-XM_057812808.1	A
BRAKERILHT00000009087	A	rna-XM_057801002.1	A
BRAKERILHT00000009605	A	rna-XM_057798073.1	A
BRAKERILHT00000009596	A	rna-XM_057804649.1	A
BRAKERILHT00000010043	A	rna-XM_057804778.1	A
BRAKERILHT00000008529	A	rna-XM_057813659.1	A
BRAKERILHT00000008832	A	rna-XM_057802443.1	A
BRAKERILHT00000010212	A	rna-XM_057813518.1	A
BRAKERILHT00000010096	A	rna-XM_057801919.1	A
BRAKERILHT00000008696	A	rna-XM_057802164.1	A
BRAKERILHT00000009090	A	rna-XM_057813388.1	A
BRAKERILHT00000009777	A	rna-XM_057805758.1	A
BRAKERILHT00000010184	A	rna-XM_057812211.1	A
BRAKERILHT00000008794	A	rna-XM_057801118.1	A
BRAKERILHT00000010320	A	rna-XM_057802338.1	A
BRAKERILHT00000009549	A	rna-XM_057802586.1	A
BRAKERILHT00000009971	A	rna-XM_057802453.1	A
BRAKERILHT00000008923	A	rna-XM_057802410.1	A
BRAKERILHT00000009327	A	rna-XM_057802351.1	A
BRAKERILHT00000009759	A	rna-XM_057810175.1	A
BRAKERILHT00000008704	A	rna-XM_057796594.1	A
BRAKERILHT00000009527	A	rna-XM_057796607.1	A
BRAKERILHT00000009964	A	rna-XM_057802624.1	A
BRAKERILHT00000008693	A	rna-XM_057802404.1	A
BRAKERILHT00000008641	A	rna-XM_057798126.1	A
BRAKERILHT00000009992	A	rna-XM_057803426.1	A
BRAKERILHT00000009804	A	rna-XM_057796751.1	A
BRAKERILHT00000008585	A	rna-XM_057809319.1	A
BRAKERILHT00000008926	A	rna-XM_057815825.1	A
BRAKERILHT00000008838	A	rna-XM_057815901.1	A
BRAKERILHT00000009570	A	rna-XM_057816806.1	A
BRAKERILHT00000009608	A	rna-XM_057795128.1	A
BRAKERILHT00000009178	A	rna-XM_057815767.1	A
BRAKERILHT00000008929	A	rna-XM_057815780.1	A
BRAKERILHT00000009396	A	rna-XM_057816512.1	A
BRAKERILHT00000009842	A	rna-XM_057815588.1	A
BRAKERILHT00000010134	A	rna-XM_057814753.1	A
BRAKERILHT00000009898	A	rna-XM_057800344.1	A
BRAKERILHT00000009110	A	rna-XM_057811442.1	A
BRAKERILHT00000010314	A	rna-XM_057814369.1	A
BRAKERILHT00000010386	A	rna-XM_057801122.1	A
BRAKERILHT00000008767	A	rna-XM_057801124.1	A
BRAKERILHT00000009292	A	rna-XM_057801224.1	A
BRAKERILHT00000009623	A	rna-XM_057799996.1	A
BRAKERILHT00000010160	A	rna-XM_057799998.1	A
BRAKERILHT00000008485	A	rna-XM_057800239.1	A
BRAKERILHT00000008760	A	rna-XM_057811431.1	A
BRAKERILHT00000008920	A	rna-XM_057811193.1	A
BRAKERILHT00000009301	A	rna-XM_057803737.1	A
BRAKERILHT00000009436	A	rna-XM_057810784.1	X
BRAKERILHT00000010114	A	rna-XM_057810490.1	X
BRAKERILHT00000008692	A	rna-XM_057813605.1	A
BRAKERILHT00000009104	A	rna-XM_057814444.1	A
BRAKERILHT00000009382	A	rna-XM_057813865.1	A
BRAKERILHT00000009439	A	rna-XM_057813862.1	A
BRAKERILHT00000009797	A	rna-XM_057814442.1	A
BRAKERILHT00000008623	A	rna-XM_057807870.1	A
BRAKERILHT00000009240	A	rna-XM_057807669.1	A
BRAKERILHT00000008515	A	rna-XM_057808832.1	A
BRAKERILHT00000010050	A	rna-XM_057808448.1	A
BRAKERILHT00000009324	A	rna-XM_057808243.1	A
BRAKERILHT00000008924	A	rna-XM_057808244.1	A
BRAKERILHT00000010360	A	rna-XM_057807950.1	A
BRAKERILHT00000009690	A	rna-XM_057807867.1	A
BRAKERILHT00000009120	A	rna-XM_057808169.1	A
BRAKERILHT00000008607	A	rna-XM_057807685.1	A
BRAKERILHT00000008918	A	rna-XM_057808450.1	A
BRAKERILHT00000009547	A	rna-XM_057808456.1	A
BRAKERILHT00000008912	A	rna-XM_057807666.1	A
BRAKERILHT00000009312	A	rna-XM_057808028.1	A
BRAKERILHT00000009835	A	rna-XM_057808025.1	A
BRAKERILHT00000010185	A	rna-XM_057807717.1	A
BRAKERILHT00000008843	A	rna-XM_057807864.1	A
BRAKERILHT00000009732	A	rna-XM_057803797.1	A
BRAKERILHT00000008751	A	rna-XM_057801940.1	A
BRAKERILHT00000009188	A	rna-XM_057803794.1	A
BRAKERILHT00000009629	A	rna-XM_057808849.1	A
BRAKERILHT00000010075	A	rna-XM_057808856.1	A
BRAKERILHT00000008572	A	rna-XM_057810891.1	A
BRAKERILHT00000008982	A	rna-XM_057798392.1	A
BRAKERILHT00000010407	A	rna-XM_057803814.1	A
BRAKERILHT00000008489	A	rna-XM_057801926.1	A
BRAKERILHT00000008638	A	rna-XM_057797074.1	A
BRAKERILHT00000009256	A	rna-XM_057797076.1	A
BRAKERILHT00000008858	A	rna-XM_057815801.1	A
BRAKERILHT00000010359	A	rna-XM_057815792.1	A
BRAKERILHT00000009816	A	rna-XM_057815796.1	A
BRAKERILHT00000008532	A	rna-XM_057815791.1	A
BRAKERILHT00000008493	A	rna-XM_057816136.1	A
BRAKERILHT00000009029	A	rna-XM_057800549.1	A
BRAKERILHT00000010120	A	rna-XM_057800556.1	A
BRAKERILHT00000008604	A	rna-XM_057802111.1	A
BRAKERILHT00000009392	A	rna-XM_057799813.1	A
BRAKERILHT00000009325	A	rna-XM_057800744.1	A
BRAKERILHT00000008984	A	rna-XM_057809534.1	A
BRAKERILHT00000008576	A	rna-XM_057814405.1	A
BRAKERILHT00000010283	A	rna-XM_057812216.1	A
BRAKERILHT00000009590	A	rna-XM_057814410.1	A
BRAKERILHT00000009368	A	rna-XM_057803895.1	A
BRAKERILHT00000008747	A	rna-XM_057796861.1	A
BRAKERILHT00000010306	A	rna-XM_057804783.1	A
BRAKERILHT00000009869	A	rna-XM_057813767.1	A
BRAKERILHT00000009522	A	rna-XM_057813762.1	A
BRAKERILHT00000009583	A	rna-XM_057805249.1	A
BRAKERILHT00000009268	A	rna-XM_057795462.1	A
BRAKERILHT00000010398	A	rna-XM_057813250.1	A
BRAKERILHT00000009670	A	rna-XM_057810095.1	A
BRAKERILHT00000009019	A	rna-XM_057810369.1	A
BRAKERILHT00000010140	A	rna-XM_057810372.1	A
BRAKERILHT00000008768	A	rna-XM_057812025.1	A
BRAKERILHT00000010166	A	rna-XM_057810381.1	A
BRAKERILHT00000010103	A	rna-XM_057810377.1	A
BRAKERILHT00000009137	A	rna-XM_057807021.1	A
BRAKERILHT00000009579	A	rna-XM_057796368.1	A
BRAKERILHT00000010020	A	rna-XM_057803600.1	A
BRAKERILHT00000010142	A	rna-XM_057803603.1	A
BRAKERILHT00000009004	A	rna-XM_057802582.1	A
BRAKERILHT00000010403	A	rna-XM_057803646.1	A
BRAKERILHT00000008752	A	rna-XM_057803770.1	A
BRAKERILHT00000009758	A	rna-XM_057802821.1	A
BRAKERILHT00000008627	A	rna-XM_057803097.1	A
BRAKERILHT00000009192	A	rna-XM_057809297.1	A
BRAKERILHT00000010341	A	rna-XM_057808296.1	A
BRAKERILHT00000008680	A	rna-XM_057805018.1	A
BRAKERILHT00000009924	A	rna-XM_057805029.1	A
BRAKERILHT00000009508	A	rna-XM_057801554.1	A
BRAKERILHT00000008523	A	rna-XM_057801590.1	A
BRAKERILHT00000010033	A	rna-XM_057800343.1	A
BRAKERILHT00000010068	A	rna-XM_057816283.1	A
BRAKERILHT00000008681	A	rna-XM_057795070.1	A
BRAKERILHT00000009407	A	rna-XM_057802813.1	A
BRAKERILHT00000008781	A	rna-XM_057812918.1	A
BRAKERILHT00000009112	A	rna-XM_057813073.1	A
BRAKERILHT00000009678	A	rna-XM_057801473.1	A
BRAKERILHT00000009957	A	rna-XM_057801287.1	A
BRAKERILHT00000008571	A	rna-XM_057802842.1	A
BRAKERILHT00000009277	A	rna-XM_057811607.1	A
BRAKERILHT00000009770	A	rna-XM_057795732.1	A
BRAKERILHT00000010206	A	rna-XM_057813472.1	A
BRAKERILHT00000008736	A	rna-XM_057809218.1	A
BRAKERILHT00000009108	A	rna-XM_057809216.1	A
BRAKERILHT00000009744	A	rna-XM_057811187.1	A
BRAKERILHT00000009302	A	rna-XM_057809101.1	A
BRAKERILHT00000008874	A	rna-XM_057796021.1	A
BRAKERILHT00000010400	A	rna-XM_057801448.1	A
BRAKERILHT00000009453	A	rna-XM_057796960.1	A
BRAKERILHT00000009030	A	rna-XM_057796959.1	A
BRAKERILHT00000008602	A	rna-XM_057808180.1	A
BRAKERILHT00000010113	A	rna-XM_057814415.1	A
BRAKERILHT00000010246	A	rna-XM_057804703.1	A
BRAKERILHT00000008734	A	rna-XM_057808070.1	A
BRAKERILHT00000008626	A	rna-XM_057808065.1	A
BRAKERILHT00000009658	A	rna-XM_057807634.1	X
BRAKERILHT00000008750	A	rna-XM_057801592.1	A
BRAKERILHT00000010176	A	rna-XM_057801593.1	A
BRAKERILHT00000009764	A	rna-XM_057813267.1	A
BRAKERILHT00000009369	A	rna-XM_057810934.1	A
BRAKERILHT00000008494	A	rna-XM_057812982.1	A
