B_varius	chromosome	B_siliquastri	chromosome
anno1.g6519.t1	A	BRAKERILHT00000003361	A
anno1.g6520.t1	A	BRAKERILHT00000003997	A
anno1.g6521.t1	A	BRAKERILHT00000004186	A
anno1.g6523.t1	A	BRAKERILHT00000004164	A
anno1.g6524.t1	A	BRAKERILHT00000002469	A
anno1.g6525.t1	A	BRAKERILHT00000003581	A
anno1.g6526.t2	A	BRAKERILHT00000004261	A
anno1.g6527.t1	A	BRAKERILHT00000003199	A
anno1.g6528.t1	A	BRAKERILHT00000002548	A
anno1.g6529.t1	A	BRAKERILHT00000004278	A
anno1.g6530.t1	A	BRAKERILHT00000003625	A
anno1.g6531.t1	A	BRAKERILHT00000003295	A
anno1.g6532.t1	A	BRAKERILHT00000003384	A
anno1.g6533.t4	A	BRAKERILHT00000002764	A
anno1.g6534.t1	A	BRAKERILHT00000002549	A
anno1.g6535.t2	A	BRAKERILHT00000004180	A
anno1.g6538.t1	A	BRAKERILHT00000002874	A
anno1.g6539.t1	A	BRAKERILHT00000002285	A
anno1.g6541.t2	A	BRAKERILHT00000003762	A
anno1.g6543.t1	A	BRAKERILHT00000004010	A
anno1.g6545.t1	A	BRAKERILHT00000001997	A
anno1.g6546.t1	A	BRAKERILHT00000002699	A
anno1.g6547.t1	A	BRAKERILHT00000003656	A
anno1.g6548.t2	A	BRAKERILHT00000002243	A
anno1.g6549.t1	A	BRAKERILHT00000002327	A
anno1.g6550.t1	A	BRAKERILHT00000004126	A
anno1.g6551.t1	A	BRAKERILHT00000003353	A
anno1.g6553.t2	A	BRAKERILHT00000003644	A
anno1.g6554.t1	A	BRAKERILHT00000004149	A
anno1.g6555.t1	A	BRAKERILHT00000003161	A
anno1.g6556.t1	A	BRAKERILHT00000003983	A
anno1.g6560.t1	A	BRAKERILHT00000015128	A
anno1.g6561.t1	A	BRAKERILHT00000003791	A
anno1.g6562.t1	A	BRAKERILHT00000003304	A
anno1.g6563.t1	A	BRAKERILHT00000003847	A
anno1.g6564.t1	A	BRAKERILHT00000004189	A
anno1.g6565.t1	A	BRAKERILHT00000003681	A
anno1.g6566.t1	A	BRAKERILHT00000004182	A
anno1.g6567.t1	A	BRAKERILHT00000003650	A
anno1.g6568.t2	A	BRAKERILHT00000004090	A
anno1.g6569.t1	A	BRAKERILHT00000002457	A
anno1.g6570.t1	A	BRAKERILHT00000002798	A
anno1.g6571.t1	A	BRAKERILHT00000003070	A
anno1.g6572.t1	A	BRAKERILHT00000003030	A
anno1.g6573.t1	A	BRAKERILHT00000002706	A
anno1.g6574.t1	A	BRAKERILHT00000003421	A
anno1.g6575.t1	A	BRAKERILHT00000003323	A
anno1.g6576.t1	A	BRAKERILHT00000004409	A
anno1.g6577.t1	A	BRAKERILHT00000003852	A
anno1.g6578.t2	A	BRAKERILHT00000003443	A
anno1.g6579.t1	A	BRAKERILHT00000002852	A
anno1.g6581.t1	A	BRAKERILHT00000004310	A
anno1.g6583.t2	A	BRAKERILHT00000004105	A
anno1.g6584.t1	A	BRAKERILHT00000003532	A
anno1.g6585.t1	A	BRAKERILHT00000004155	A
anno1.g6586.t1	A	BRAKERILHT00000002562	A
anno1.g6588.t1	A	BRAKERILHT00000002358	A
anno1.g6589.t1	A	BRAKERILHT00000002463	A
anno1.g6590.t1	A	BRAKERILHT00000002944	A
anno1.g6591.t1	A	BRAKERILHT00000003329	A
anno1.g6592.t1	A	BRAKERILHT00000003939	A
anno1.g6593.t1	A	BRAKERILHT00000003207	A
anno1.g6594.t1	A	BRAKERILHT00000003647	A
anno1.g6595.t1	A	BRAKERILHT00000004212	A
anno1.g6596.t1	A	BRAKERILHT00000002443	A
anno1.g6597.t1	A	BRAKERILHT00000002953	A
anno1.g6598.t1	A	BRAKERILHT00000003420	A
anno1.g6599.t2	A	BRAKERILHT00000003465	A
anno1.g6600.t1	A	BRAKERILHT00000003175	A
anno1.g6602.t1	A	BRAKERILHT00000004431	A
anno1.g6603.t1	A	BRAKERILHT00000002196	A
anno1.g6604.t1	A	BRAKERILHT00000002538	A
anno1.g6605.t1	A	BRAKERILHT00000002910	A
anno1.g6606.t1	A	BRAKERILHT00000003764	A
anno1.g6608.t2	A	BRAKERILHT00000002296	A
anno1.g6609.t1	A	BRAKERILHT00000002926	A
anno1.g6611.t1	A	BRAKERILHT00000003871	A
anno1.g6613.t1	A	BRAKERILHT00000002433	A
anno1.g6614.t1	A	BRAKERILHT00000002396	A
anno1.g6615.t2	A	BRAKERILHT00000002925	A
anno1.g6617.t2	A	BRAKERILHT00000003374	A
anno1.g6618.t2	A	BRAKERILHT00000003878	A
anno1.g6620.t1	A	BRAKERILHT00000002409	A
anno1.g6621.t1	A	BRAKERILHT00000002951	A
anno1.g6622.t2	A	BRAKERILHT00000004292	A
anno1.g6623.t1	A	BRAKERILHT00000002503	A
anno1.g6624.t1	A	BRAKERILHT00000003052	A
anno1.g6625.t1	A	BRAKERILHT00000002451	A
anno1.g6626.t2	A	BRAKERILHT00000004089	A
anno1.g6627.t1	A	BRAKERILHT00000002258	A
anno1.g6628.t1	A	BRAKERILHT00000002801	A
anno1.g6629.t1	A	BRAKERILHT00000003868	A
anno1.g6630.t1	A	BRAKERILHT00000003833	A
anno1.g6631.t1	A	BRAKERILHT00000004344	A
anno1.g6632.t1	A	BRAKERILHT00000003430	A
anno1.g6633.t1	A	BRAKERILHT00000002417	A
anno1.g6634.t1	A	BRAKERILHT00000003892	A
anno1.g6635.t1	A	BRAKERILHT00000004287	A
anno1.g6636.t1	A	BRAKERILHT00000002932	A
anno1.g6637.t1	A	BRAKERILHT00000002744	A
anno1.g6638.t1	A	BRAKERILHT00000004227	A
anno1.g6639.t2	A	BRAKERILHT00000004354	A
anno1.g6640.t1	A	BRAKERILHT00000003406	A
anno1.g6641.t1	A	BRAKERILHT00000002809	A
anno1.g6642.t1	A	BRAKERILHT00000002444	A
anno1.g6643.t1	A	BRAKERILHT00000002298	A
anno1.g6644.t1	A	BRAKERILHT00000003943	A
anno1.g6646.t1	A	BRAKERILHT00000003514	A
anno1.g6647.t2	A	BRAKERILHT00000004253	A
anno1.g6648.t1	A	BRAKERILHT00000003915	A
anno1.g6649.t2	A	BRAKERILHT00000004321	A
anno1.g6651.t1	A	BRAKERILHT00000003639	A
anno1.g6652.t1	A	BRAKERILHT00000003906	A
anno1.g6653.t1	A	BRAKERILHT00000002681	A
anno1.g6654.t1	A	BRAKERILHT00000002740	A
anno1.g6655.t1	A	BRAKERILHT00000003931	A
anno1.g6656.t1	A	BRAKERILHT00000003343	A
anno1.g6657.t1	A	BRAKERILHT00000002991	A
anno1.g6658.t1	A	BRAKERILHT00000004288	A
anno1.g6660.t1	A	BRAKERILHT00000003789	A
anno1.g6661.t2	A	BRAKERILHT00000003302	A
anno1.g6662.t1	A	BRAKERILHT00000004376	A
anno1.g6663.t1	A	BRAKERILHT00000003482	A
anno1.g6664.t1	A	BRAKERILHT00000003538	A
anno1.g6665.t1	A	BRAKERILHT00000003503	A
anno1.g6666.t1	A	BRAKERILHT00000004022	A
anno1.g6667.t2	A	BRAKERILHT00000002690	A
anno1.g6668.t1	A	BRAKERILHT00000003181	A
anno1.g6669.t1	A	BRAKERILHT00000002623	A
anno1.g6670.t1	A	BRAKERILHT00000004235	A
anno1.g6672.t1	A	BRAKERILHT00000002678	A
anno1.g6674.t1	A	BRAKERILHT00000002927	A
anno1.g6676.t1	A	BRAKERILHT00000003964	A
anno1.g6677.t1	A	BRAKERILHT00000002733	A
anno1.g6678.t1	A	BRAKERILHT00000003385	A
anno1.g6679.t1	A	BRAKERILHT00000004056	A
anno1.g6681.t1	A	BRAKERILHT00000002416	A
anno1.g6683.t1	A	BRAKERILHT00000003682	A
anno1.g6684.t1	A	BRAKERILHT00000003584	A
anno1.g6685.t1	A	BRAKERILHT00000002627	A
anno1.g6688.t1	A	BRAKERILHT00000003996	A
anno1.g6689.t1	A	BRAKERILHT00000004093	A
anno1.g6690.t1	A	BRAKERILHT00000003464	A
anno1.g6691.t1	A	BRAKERILHT00000003166	A
anno1.g6692.t5	A	BRAKERILHT00000002524	A
anno1.g6694.t1	A	BRAKERILHT00000003621	A
anno1.g6695.t1	A	BRAKERILHT00000003962	A
anno1.g6696.t2	A	BRAKERILHT00000003316	A
anno1.g6697.t1	A	BRAKERILHT00000002192	A
anno1.g6698.t1	A	BRAKERILHT00000004315	A
anno1.g6699.t1	A	BRAKERILHT00000002828	A
anno1.g6701.t1	A	BRAKERILHT00000003278	A
anno1.g6702.t1	A	BRAKERILHT00000003282	A
anno1.g6703.t1	A	BRAKERILHT00000003138	A
anno1.g6704.t1	A	BRAKERILHT00000003559	A
anno1.g6705.t1	A	BRAKERILHT00000004068	A
anno1.g6706.t1	A	BRAKERILHT00000002663	A
anno1.g6707.t1	A	BRAKERILHT00000004271	A
anno1.g6708.t2	A	BRAKERILHT00000002492	A
anno1.g6709.t1	A	BRAKERILHT00000003918	A
anno1.g6711.t1	A	BRAKERILHT00000002206	A
anno1.g6712.t2	A	BRAKERILHT00000003460	A
anno1.g6713.t1	A	BRAKERILHT00000003306	A
anno1.g6714.t1	A	BRAKERILHT00000003636	A
anno1.g6715.t1	A	BRAKERILHT00000003396	A
anno1.g6717.t1	A	BRAKERILHT00000004098	A
anno1.g6718.t1	A	BRAKERILHT00000003815	A
anno1.g6719.t1	A	BRAKERILHT00000003309	A
anno1.g6720.t1	A	BRAKERILHT00000002648	A
anno1.g6721.t1	A	BRAKERILHT00000003927	A
anno1.g6722.t2	A	BRAKERILHT00000002432	A
anno1.g6723.t1	A	BRAKERILHT00000002445	A
anno1.g6724.t1	A	BRAKERILHT00000003680	A
anno1.g6725.t1	A	BRAKERILHT00000004191	A
anno1.g6726.t1	A	BRAKERILHT00000002694	A
anno1.g6727.t1	A	BRAKERILHT00000003196	A
anno1.g6728.t2	A	BRAKERILHT00000002683	A
anno1.g6729.t1	A	BRAKERILHT00000003434	A
anno1.g6730.t1	A	BRAKERILHT00000003948	A
anno1.g6731.t2	A	BRAKERILHT00000003326	A
anno1.g6732.t1	A	BRAKERILHT00000002337	A
anno1.g6733.t1	A	BRAKERILHT00000003622	A
anno1.g6734.t2	A	BRAKERILHT00000002670	A
anno1.g6735.t1	A	BRAKERILHT00000002667	A
anno1.g6736.t1	A	BRAKERILHT00000003973	A
anno1.g6737.t1	A	BRAKERILHT00000003345	A
anno1.g6738.t1	A	BRAKERILHT00000002992	A
anno1.g6739.t1	A	BRAKERILHT00000004072	A
anno1.g6740.t1	A	BRAKERILHT00000002606	A
anno1.g6743.t1	A	BRAKERILHT00000002815	A
anno1.g6744.t1	A	BRAKERILHT00000004085	A
anno1.g6745.t1	A	BRAKERILHT00000004406	A
anno1.g6746.t1	A	BRAKERILHT00000002770	A
anno1.g6747.t1	A	BRAKERILHT00000003858	A
anno1.g6748.t1	A	BRAKERILHT00000002232	A
anno1.g6749.t1	A	BRAKERILHT00000002554	A
anno1.g6750.t2	A	BRAKERILHT00000003244	A
anno1.g6751.t1	A	BRAKERILHT00000004035	A
anno1.g6752.t1	A	BRAKERILHT00000002392	A
anno1.g6754.t1	A	BRAKERILHT00000002741	A
anno1.g6755.t2	A	BRAKERILHT00000003056	A
anno1.g6756.t1	A	BRAKERILHT00000003691	A
anno1.g6757.t1	A	BRAKERILHT00000003537	A
anno1.g6758.t1	A	BRAKERILHT00000004198	A
anno1.g6760.t1	A	BRAKERILHT00000003865	A
anno1.g6761.t1	A	BRAKERILHT00000003047	A
anno1.g6762.t1	A	BRAKERILHT00000003553	A
anno1.g6763.t1	A	BRAKERILHT00000002271	A
anno1.g6764.t1	A	BRAKERILHT00000002743	A
anno1.g6765.t1	A	BRAKERILHT00000004231	A
anno1.g6766.t1	A	BRAKERILHT00000003407	A
anno1.g6767.t1	A	BRAKERILHT00000004245	A
anno1.g6768.t1	A	BRAKERILHT00000003214	A
anno1.g6769.t1	A	BRAKERILHT00000002696	A
anno1.g6770.t2	A	BRAKERILHT00000003212	A
anno1.g6771.t1	A	BRAKERILHT00000002291	A
anno1.g6772.t1	A	BRAKERILHT00000003856	A
anno1.g6773.t2	A	BRAKERILHT00000003322	A
anno1.g6774.t1	A	BRAKERILHT00000004404	A
anno1.g6775.t1	A	BRAKERILHT00000002352	A
anno1.g6776.t1	A	BRAKERILHT00000004183	A
anno1.g6777.t1	A	BRAKERILHT00000003610	A
anno1.g6778.t1	A	BRAKERILHT00000003978	A
anno1.g6780.t1	A	BRAKERILHT00000002210	A
anno1.g6781.t1	A	BRAKERILHT00000003797	A
anno1.g6782.t1	A	BRAKERILHT00000004157	A
anno1.g6783.t1	A	BRAKERILHT00000002903	A
anno1.g6784.t1	A	BRAKERILHT00000003258	A
anno1.g6785.t1	A	BRAKERILHT00000004133	A
anno1.g6786.t1	A	BRAKERILHT00000004299	A
anno1.g6787.t1	A	BRAKERILHT00000002527	A
anno1.g6788.t1	A	BRAKERILHT00000002787	A
anno1.g6789.t1	A	BRAKERILHT00000003401	A
anno1.g6790.t1	A	BRAKERILHT00000002209	A
anno1.g6791.t1	A	BRAKERILHT00000002845	A
anno1.g6792.t1	A	BRAKERILHT00000003164	A
anno1.g6793.t1	A	BRAKERILHT00000003409	A
anno1.g6794.t1	A	BRAKERILHT00000002422	A
anno1.g6795.t1	A	BRAKERILHT00000003283	A
anno1.g6796.t1	A	BRAKERILHT00000003771	A
anno1.g6797.t1	A	BRAKERILHT00000002721	A
anno1.g6799.t1	A	BRAKERILHT00000003226	A
anno1.g6800.t1	A	BRAKERILHT00000003705	A
anno1.g6801.t1	A	BRAKERILHT00000004077	A
anno1.g6802.t1	A	BRAKERILHT00000004396	A
anno1.g6803.t1	A	BRAKERILHT00000003455	A
anno1.g6804.t1	A	BRAKERILHT00000004307	A
anno1.g6806.t1	A	BRAKERILHT00000002310	A
anno1.g6807.t2	A	BRAKERILHT00000002804	A
anno1.g6808.t1	A	BRAKERILHT00000003563	A
anno1.g6809.t1	A	BRAKERILHT00000004062	A
anno1.g6810.t1	A	BRAKERILHT00000004353	A
anno1.g6811.t1	A	BRAKERILHT00000002574	A
anno1.g6812.t1	A	BRAKERILHT00000003146	A
anno1.g6814.t1	A	BRAKERILHT00000002351	A
anno1.g6821.t1	A	BRAKERILHT00000004119	A
anno1.g6823.t1	A	BRAKERILHT00000003307	A
anno1.g6824.t2	A	BRAKERILHT00000002507	A
anno1.g6825.t1	A	BRAKERILHT00000004277	A
anno1.g6826.t1	A	BRAKERILHT00000002970	A
anno1.g6827.t1	A	BRAKERILHT00000002181	A
anno1.g6829.t2	A	BRAKERILHT00000003958	A
anno1.g6830.t1	A	BRAKERILHT00000002505	A
anno1.g6831.t1	A	BRAKERILHT00000003148	A
anno1.g6832.t1	A	BRAKERILHT00000002347	A
anno1.g6833.t2	A	BRAKERILHT00000004273	A
anno1.g6834.t1	A	BRAKERILHT00000002979	A
anno1.g6835.t1	A	BRAKERILHT00000003965	A
anno1.g6836.t2	A	BRAKERILHT00000003011	A
anno1.g6837.t2	A	BRAKERILHT00000002364	A
anno1.g6839.t1	A	BRAKERILHT00000003982	A
anno1.both_agree_g13101.t1	A	BRAKERILHT00000003913	A
anno1.g6843.t2	A	BRAKERILHT00000003019	A
anno1.g6845.t1	A	BRAKERILHT00000003528	A
anno1.g6847.t1	A	BRAKERILHT00000004240	A
anno1.g6850.t1	A	BRAKERILHT00000003707	A
anno1.g6851.t1	A	BRAKERILHT00000002323	A
anno1.g6852.t1	A	BRAKERILHT00000013858	A
anno1.g6854.t1	A	BRAKERILHT00000003609	A
anno1.g6855.t1	A	BRAKERILHT00000004210	A
anno1.g6856.t1	A	BRAKERILHT00000002728	A
anno1.g6857.t1	A	BRAKERILHT00000003442	A
anno1.g6858.t1	A	BRAKERILHT00000003882	A
anno1.g6859.t1	A	BRAKERILHT00000002612	A
anno1.g6860.t2	A	BRAKERILHT00000003256	A
anno1.g6861.t1	A	BRAKERILHT00000002610	A
anno1.g6862.t1	A	BRAKERILHT00000003255	A
anno1.g6863.t1	A	BRAKERILHT00000003021	A
anno1.g6864.t2	A	BRAKERILHT00000002582	A
anno1.g6865.t1	A	BRAKERILHT00000003241	A
anno1.g6866.t1	A	BRAKERILHT00000003594	A
anno1.g6867.t2	A	BRAKERILHT00000004223	A
anno1.g6868.t1	A	BRAKERILHT00000003688	A
anno1.g6869.t2	A	BRAKERILHT00000003243	A
anno1.g6870.t2	A	BRAKERILHT00000002738	A
anno1.g6871.t1	A	BRAKERILHT00000002964	A
anno1.g6874.t1	A	BRAKERILHT00000017756	X
anno1.g6875.t1	A	BRAKERILHT00000004262	A
anno1.g6876.t1	A	BRAKERILHT00000003742	A
anno1.g6877.t1	A	BRAKERILHT00000002374	A
anno1.g6879.t1	A	BRAKERILHT00000003024	A
anno1.g6882.t1	A	BRAKERILHT00000002632	A
anno1.g6883.t1	A	BRAKERILHT00000003274	A
anno1.g6884.t2	A	BRAKERILHT00000003349	A
anno1.g6885.t1	A	BRAKERILHT00000004013	A
anno1.g6886.t1	A	BRAKERILHT00000003028	A
anno1.g6887.t1	A	BRAKERILHT00000003533	A
anno1.g6888.t1	A	BRAKERILHT00000003690	A
anno1.g6889.t1	A	BRAKERILHT00000002647	A
anno1.g6890.t1	A	BRAKERILHT00000002207	A
anno1.g6892.t1	A	BRAKERILHT00000004199	A
anno1.g6893.t1	A	BRAKERILHT00000003675	A
anno1.g6894.t1	A	BRAKERILHT00000003192	A
anno1.g6895.t1	A	BRAKERILHT00000002685	A
anno1.g6896.t1	A	BRAKERILHT00000003950	A
anno1.g6897.t1	A	BRAKERILHT00000003415	A
anno1.g6898.t1	A	BRAKERILHT00000004272	A
anno1.g6899.t1	A	BRAKERILHT00000003264	A
anno1.g6900.t2	A	BRAKERILHT00000002638	A
anno1.g6901.t1	A	BRAKERILHT00000003049	A
anno1.g6902.t1	A	BRAKERILHT00000003530	A
anno1.g6903.t1	A	BRAKERILHT00000003107	A
anno1.g6904.t1	A	BRAKERILHT00000002959	A
anno1.g6905.t1	A	BRAKERILHT00000002287	A
anno1.g6906.t1	A	BRAKERILHT00000004127	A
anno1.g6907.t1	A	BRAKERILHT00000002613	A
anno1.g6908.t1	A	BRAKERILHT00000004025	A
anno1.g6909.t1	A	BRAKERILHT00000003804	A
anno1.g6910.t1	A	BRAKERILHT00000003017	A
anno1.g6911.t1	A	BRAKERILHT00000002359	A
anno1.g6912.t1	A	BRAKERILHT00000003423	A
anno1.g6913.t1	A	BRAKERILHT00000003593	A
anno1.g6914.t2	A	BRAKERILHT00000002450	A
anno1.g6916.t1	A	BRAKERILHT00000002544	A
anno1.g6917.t1	A	BRAKERILHT00000002879	A
anno1.g6918.t1	A	BRAKERILHT00000004168	A
anno1.g6920.t3	A	BRAKERILHT00000002472	A
anno1.g6921.t1	A	BRAKERILHT00000002438	A
anno1.g6922.t1	A	BRAKERILHT00000004447	A
anno1.g6923.t1	A	BRAKERILHT00000004018	A
anno1.g6924.t1	A	BRAKERILHT00000003289	A
anno1.g6925.t1	A	BRAKERILHT00000002649	A
anno1.g6926.t2	A	BRAKERILHT00000003624	A
anno1.g6927.t1	A	BRAKERILHT00000004131	A
anno1.g6928.t1	A	BRAKERILHT00000003454	A
anno1.g6929.t1	A	BRAKERILHT00000003135	A
anno1.g6930.t1	A	BRAKERILHT00000003571	A
anno1.g6931.t1	A	BRAKERILHT00000003701	A
anno1.g6932.t3	A	BRAKERILHT00000002908	A
anno1.g6933.t1	A	BRAKERILHT00000002283	A
anno1.g6934.t1	A	BRAKERILHT00000003898	A
anno1.g6935.t1	A	BRAKERILHT00000003848	A
anno1.g6937.t1	A	BRAKERILHT00000002600	A
anno1.g6938.t1	A	BRAKERILHT00000004229	A
anno1.g6940.t1	A	BRAKERILHT00000002725	A
anno1.g6941.t1	A	BRAKERILHT00000003909	A
anno1.g6942.t1	A	BRAKERILHT00000002279	A
anno1.g6943.t1	A	BRAKERILHT00000003850	A
anno1.g6944.t1	A	BRAKERILHT00000004214	A
anno1.g6945.t1	A	BRAKERILHT00000002599	A
anno1.g6946.t1	A	BRAKERILHT00000002955	A
anno1.g6947.t1	A	BRAKERILHT00000003540	A
anno1.g6949.t2	A	BRAKERILHT00000003889	A
anno1.g6950.t1	A	BRAKERILHT00000004360	A
anno1.g6951.t1	A	BRAKERILHT00000002876	A
anno1.g6952.t1	A	BRAKERILHT00000004411	A
anno1.g6953.t2	A	BRAKERILHT00000003115	A
anno1.g6954.t1	A	BRAKERILHT00000002339	A
anno1.g6955.t1	A	BRAKERILHT00000003038	A
anno1.g6956.t1	A	BRAKERILHT00000002381	A
anno1.g6957.t2	A	BRAKERILHT00000004039	A
anno1.g6958.t1	A	BRAKERILHT00000003697	A
anno1.g6959.t1	A	BRAKERILHT00000003076	A
anno1.g6961.t1	A	BRAKERILHT00000004103	A
anno1.g6962.t1	A	BRAKERILHT00000003463	A
anno1.g6963.t1	A	BRAKERILHT00000003843	A
anno1.g6964.t1	A	BRAKERILHT00000004355	A
anno1.g6965.t2	A	BRAKERILHT00000003032	A
anno1.g6966.t1	A	BRAKERILHT00000003369	A
anno1.g6967.t1	A	BRAKERILHT00000004016	A
anno1.g6968.t1	A	BRAKERILHT00000003536	A
anno1.g6969.t1	A	BRAKERILHT00000003907	A
anno1.g6970.t1	A	BRAKERILHT00000004038	A
anno1.g6971.t1	A	BRAKERILHT00000012866	A
anno1.g6972.t1	A	BRAKERILHT00000002785	A
anno1.g6973.t1	A	BRAKERILHT00000003724	A
anno1.g6974.t1	A	BRAKERILHT00000002734	A
anno1.g6975.t1	A	BRAKERILHT00000003475	A
anno1.g6976.t1	A	BRAKERILHT00000004069	A
anno1.g6978.t1	A	BRAKERILHT00000003795	A
anno1.g6981.t1	A	BRAKERILHT00000002586	A
anno1.g6982.t1	A	BRAKERILHT00000003145	A
anno1.g6983.t1	A	BRAKERILHT00000004014	A
anno1.g6984.t1	A	BRAKERILHT00000002518	A
anno1.g6986.t3	A	BRAKERILHT00000004042	A
anno1.g6987.t1	A	BRAKERILHT00000003390	A
anno1.g6988.t1	A	BRAKERILHT00000003126	A
anno1.g6991.t1	A	BRAKERILHT00000003363	A
anno1.g6992.t1	A	BRAKERILHT00000003885	A
anno1.g6993.t3	A	BRAKERILHT00000003268	A
anno1.g6995.t1	A	BRAKERILHT00000003861	A
anno1.g6996.t1	A	BRAKERILHT00000004265	A
anno1.g6997.t1	A	BRAKERILHT00000002761	A
anno1.g6998.t1	A	BRAKERILHT00000002708	A
anno1.g7000.t1	A	BRAKERILHT00000003774	A
anno1.g7001.t1	A	BRAKERILHT00000004174	A
anno1.g7002.t2	A	BRAKERILHT00000003197	A
anno1.g7003.t1	A	BRAKERILHT00000002968	A
anno1.g7004.t1	A	BRAKERILHT00000003835	A
anno1.g7005.t1	A	BRAKERILHT00000004241	A
anno1.g7006.t1	A	BRAKERILHT00000003541	A
anno1.g7007.t1	A	BRAKERILHT00000004007	A
anno1.g7008.t1	A	BRAKERILHT00000002341	A
anno1.g7009.t1	A	BRAKERILHT00000002525	A
anno1.g7011.t2	A	BRAKERILHT00000003163	A
anno1.g7012.t1	A	BRAKERILHT00000003773	A
anno1.g7014.t1	A	BRAKERILHT00000004423	A
anno1.g7015.t1	A	BRAKERILHT00000003208	A
anno1.g7016.t1	A	BRAKERILHT00000014886	A
anno1.g7017.t1	A	BRAKERILHT00000002225	A
anno1.g7018.t1	A	BRAKERILHT00000003900	A
anno1.g7019.t1	A	BRAKERILHT00000003062	A
anno1.g7020.t1	A	BRAKERILHT00000004139	A
anno1.g7021.t1	A	BRAKERILHT00000004029	A
anno1.g7022.t2	A	BRAKERILHT00000017018	X
anno1.g7023.t1	A	BRAKERILHT00000003677	A
anno1.g7024.t1	A	BRAKERILHT00000002871	A
anno1.g7025.t1	A	BRAKERILHT00000002715	A
anno1.g7026.t2	A	BRAKERILHT00000004415	A
anno1.g7028.t1	A	BRAKERILHT00000003595	A
anno1.g7033.t1	A	BRAKERILHT00000016703	A
anno1.g7034.t2	A	BRAKERILHT00000004137	A
anno1.g7037.t1	A	BRAKERILHT00000003386	A
anno1.g7039.t1	A	BRAKERILHT00000003418	A
anno1.g7040.t1	A	BRAKERILHT00000003025	A
anno1.g7041.t1	A	BRAKERILHT00000004222	A
anno1.g7042.t1	A	BRAKERILHT00000003232	A
anno1.g7043.t1	A	BRAKERILHT00000002259	A
anno1.g7044.t1	A	BRAKERILHT00000003747	A
anno1.g7054.t1	A	BRAKERILHT00000002989	A
anno1.g7055.t1	A	BRAKERILHT00000002230	A
anno1.g7056.t1	A	BRAKERILHT00000003869	A
anno1.g7058.t1	A	BRAKERILHT00000003116	A
anno1.g7059.t1	A	BRAKERILHT00000003444	A
anno1.g7060.t1	A	BRAKERILHT00000004421	A
anno1.g7061.t1	A	BRAKERILHT00000002659	A
anno1.g7064.t4	A	BRAKERILHT00000002840	A
anno1.g7065.t1	A	BRAKERILHT00000003320	A
anno1.g7067.t1	A	BRAKERILHT00000003568	A
anno1.g7068.t1	A	BRAKERILHT00000003522	A
anno1.g7069.t1	A	BRAKERILHT00000004028	A
anno1.g7072.t1	A	BRAKERILHT00000002375	A
anno1.g7074.t3	A	BRAKERILHT00000003556	A
anno1.g7075.t1	A	BRAKERILHT00000003086	A
anno1.g7076.t1	A	BRAKERILHT00000004285	A
anno1.g7080.t1	A	BRAKERILHT00000004256	A
anno1.g7081.t1	A	BRAKERILHT00000004143	A
anno1.g7082.t1	A	BRAKERILHT00000003080	A
anno1.g7085.t1	A	BRAKERILHT00000002672	A
anno1.g7086.t1	A	BRAKERILHT00000004437	A
anno1.g7088.t1	A	BRAKERILHT00000002253	A
anno1.g7089.t1	A	BRAKERILHT00000004026	A
anno1.g7090.t1	A	BRAKERILHT00000004138	A
anno1.g7091.t1	A	BRAKERILHT00000003077	A
anno1.g7092.t4	A	BRAKERILHT00000003748	A
anno1.g7093.t1	A	BRAKERILHT00000002324	A
anno1.g7094.t2	A	BRAKERILHT00000003100	A
anno1.g7095.t2	A	BRAKERILHT00000002601	A
anno1.g7096.t1	A	BRAKERILHT00000002919	A
anno1.g7097.t1	A	BRAKERILHT00000002688	A
anno1.g7100.t1	A	BRAKERILHT00000004020	A
anno1.g7101.t3	A	BRAKERILHT00000003543	A
anno1.g7102.t1	A	BRAKERILHT00000002781	A
anno1.g7103.t1	A	BRAKERILHT00000002577	A
anno1.g7104.t1	A	BRAKERILHT00000004034	A
anno1.g7105.t1	A	BRAKERILHT00000003155	A
anno1.g7106.t1	A	BRAKERILHT00000003615	A
anno1.g7107.t1	A	BRAKERILHT00000002755	A
anno1.g7108.t1	A	BRAKERILHT00000002425	A
anno1.g7109.t1	A	BRAKERILHT00000003872	A
anno1.g7111.t1	A	BRAKERILHT00000003231	A
anno1.g7112.t1	A	BRAKERILHT00000002592	A
anno1.g7113.t1	A	BRAKERILHT00000004218	A
anno1.g7114.t1	A	BRAKERILHT00000003550	A
anno1.g7115.t1	A	BRAKERILHT00000002909	A
anno1.g7116.t1	A	BRAKERILHT00000002679	A
anno1.g7117.t1	A	BRAKERILHT00000003491	A
anno1.g7118.t1	A	BRAKERILHT00000004002	A
anno1.g7119.t1	A	BRAKERILHT00000005305	A
anno1.g7120.t1	A	BRAKERILHT00000002573	A
anno1.g7121.t1	A	BRAKERILHT00000003064	A
anno1.g7122.t1	A	BRAKERILHT00000003745	A
anno1.g7123.t1	A	BRAKERILHT00000004264	A
anno1.g7124.t1	A	BRAKERILHT00000003648	A
anno1.g7125.t1	A	BRAKERILHT00000004445	A
anno1.g7126.t1	A	BRAKERILHT00000003753	A
anno1.g7127.t1	A	BRAKERILHT00000004424	A
anno1.g7128.t1	A	BRAKERILHT00000002873	A
anno1.g7129.t1	A	BRAKERILHT00000004145	A
