D_sublineata	chromosome	C_maculatus	chromosome
rna-XM_056781405.1	A	g13551.t2	A
rna-XM_056781406.1	A	g13550.t2	A
rna-XM_056781408.1	A	g2261.t1	A
rna-XM_056781410.1	A	g13599.t1	A
rna-XM_056781417.1	A	g9496.t1	A
rna-XM_056781421.1	A	g9226.t1	A
rna-XM_056781423.1	A	g9228.t1	A
rna-XM_056781426.1	A	g9247.t1	A
rna-XM_056781424.1	A	g9249.t1	A
rna-XM_056781427.1	A	g9229.t1	A
rna-XM_056781428.1	A	g9231.t2	A
rna-XM_056781429.1	A	g9230.t1	A
rna-XM_056781430.1	A	g9227.t1	A
rna-XM_056781431.1	A	g335.t1	A
rna-XM_056781436.1	A	g2754.t1	A
rna-XM_056781438.1	A	g7920.t2	A
rna-XM_056781441.1	A	g8089.t1	A
rna-XM_056781449.1	A	g8090.t11	A
rna-XM_056781480.1	A	g8088.t1	A
rna-XM_056781483.1	A	g1369.t1	A
rna-XM_056781484.1	A	g10394.t1	A
rna-XM_056781487.1	A	g3324.t1	A
rna-XM_056781488.1	A	g3320.t1	A
rna-XM_056781297.1	A	g3321.t1	A
rna-XM_056780370.1	A	g3322.t1	A
rna-XM_056780367.1	A	g3319.t1	A
rna-XM_056781390.1	A	g3329.t1	A
rna-XM_056781291.1	A	g3303.t1	A
rna-XM_056780543.1	A	g3323.t1	A
rna-XM_056780546.1	A	g3325.t1	A
rna-XM_056780558.1	A	g3326.t1	A
rna-XM_056780774.1	A	g6973.t1	A
rna-XM_056780325.1	A	g6968.t1	A
rna-XM_056780323.1	A	g6969.t1	A
rna-XM_056780322.1	A	g2213.t1	A
rna-XM_056780438.1	A	g8679.t1	A
rna-XM_056781970.1	A	g14515.t1	A
rna-XM_056781972.1	A	g14514.t1	A
rna-XM_056781981.1	A	g9369.t1	A
rna-XM_056781973.1	A	g9370.t1	A
rna-XM_056781971.1	A	g14293.t1	A
rna-XM_056780781.1	A	g14295.t1	A
rna-XM_056781541.1	A	g14300.t1	A
rna-XM_056782209.1	A	g1021.t1	A
rna-XM_056780787.1	A	g1023.t1	A
rna-XM_056781039.1	A	g1028.t1	A
rna-XM_056780797.1	A	g14611.t1	A
rna-XM_056780555.1	A	g1033.t1	A
rna-XM_056780406.1	A	g3210.t1	A
rna-XM_056780549.1	A	g10563.t1	A
rna-XM_056780550.1	A	g14841.t1	A
rna-XM_056781862.1	A	g6798.t1	A
rna-XM_056781864.1	A	g6797.t1	A
rna-XM_056781865.1	A	g5953.t1	A
rna-XM_056781866.1	A	g3362.t2	A
rna-XM_056780251.1	A	g5141.t1	A
rna-XM_056780256.1	A	g5952.t3	A
rna-XM_056780860.1	A	g6244.t1	A
rna-XM_056780858.1	A	g7146.t1	A
rna-XM_056780640.1	A	g7143.t1	A
rna-XM_056780218.1	A	g7104.t1	A
rna-XM_056780222.1	A	g14292.t1	A
rna-XM_056782087.1	A	g4314.t2	A
rna-XM_056782110.1	A	g13370.t1	A
rna-XM_056780211.1	A	g13366.t2	A
rna-XM_056780212.1	A	g13379.t1	A
rna-XM_056780213.1	A	g1093.t1	A
rna-XM_056780563.1	A	g5483.t1	A
rna-XM_056780564.1	A	g2104.t1	A
rna-XM_056781504.1	A	g5484.t1	A
rna-XM_056781502.1	A	g5485.t2	A
rna-XM_056780806.1	A	g4629.t1	A
rna-XM_056780813.1	A	g5482.t1	A
rna-XM_056780723.1	A	g9806.t1	A
rna-XM_056780824.1	A	g9805.t1	A
rna-XM_056782054.1	A	g2107.t1	A
rna-XM_056782055.1	A	g2108.t1	A
rna-XM_056782052.1	A	g2109.t1	A
rna-XM_056782057.1	A	g14653.t2	A
rna-XM_056780269.1	A	g11880.t2	A
rna-XM_056780270.1	A	g11997.t1	A
rna-XM_056780268.1	A	g2288.t2	A
rna-XM_056780273.1	A	g11204.t2	A
rna-XM_056780271.1	A	g11745.t1	A
rna-XM_056780265.1	A	g11746.t2	A
rna-XM_056780960.1	A	g12005.t1	A
rna-XM_056781161.1	A	g11748.t1	A
rna-XM_056781114.1	A	g2150.t1	A
rna-XM_056781112.1	A	g9942.t1	A
rna-XM_056781115.1	A	g9469.t1	A
rna-XM_056780931.1	A	g14274.t1	A
rna-XM_056780929.1	A	g10584.t1	A
rna-XM_056780939.1	A	g13697.t1	A
rna-XM_056780932.1	A	g13185.t1	A
rna-XM_056780831.1	A	g10534.t1	A
rna-XM_056780940.1	A	g2355.t1	A
rna-XM_056782195.1	A	g3765.t1	A
rna-XM_056780880.1	A	g3764.t1	A
rna-XM_056781319.1	A	g2340.t1	A
rna-XM_056781322.1	A	g2370.t1	A
rna-XM_056780961.1	A	g10680.t1	A
rna-XM_056780832.1	A	g4771.t1	A
rna-XM_056781591.1	A	g4524.t1	A
rna-XM_056781014.1	A	g10683.t1	A
rna-XM_056780338.1	A	g14207.t1	A
rna-XM_056780184.1	A	g7816.t1	A
rna-XM_056780186.1	A	g11879.t1	A
rna-XM_056780187.1	A	g12844.t1	A
rna-XM_056781626.1	A	g7817.t1	A
rna-XM_056780954.1	A	g7818.t1	A
rna-XM_056780779.1	A	g11881.t2	A
rna-XM_056780379.1	A	g14056.t1	A
rna-XM_056780834.1	A	g2711.t1	A
rna-XM_056780741.1	A	g14273.t1	A
rna-XM_056781365.1	A	g941.t1	A
rna-XM_056780673.1	A	g14272.t1	A
rna-XM_056780073.1	A	g2687.t1	A
rna-XM_056781982.1	A	g587.t1	A
rna-XM_056781984.1	A	g14586.t1	A
rna-XM_056780928.1	A	g14584.t1	A
rna-XM_056781589.1	A	g14594.t1	A
rna-XM_056780871.1	A	g3425.t1	A
rna-XM_056780151.1	A	g2372.t1	A
rna-XM_056780148.1	A	g2371.t1	A
rna-XM_056781222.1	A	g7765.t1	A
rna-XM_056780767.1	A	g3424.t1	A
rna-XM_056781660.1	A	g10399.t1	A
rna-XM_056781654.1	A	g8848.t1	A
rna-XM_056781661.1	A	g8849.t1	A
rna-XM_056781562.1	A	g4364.t2	A
rna-XM_056780530.1	A	g4365.t1	A
rna-XM_056780987.1	A	g562.t1	A
rna-XM_056780287.1	A	g4154.t2	A
rna-XM_056780872.1	A	g4142.t1	A
rna-XM_056780306.1	A	g4143.t1	A
rna-XM_056780294.1	A	g4949.t2	A
rna-XM_056780310.1	A	g14744.t1	A
rna-XM_056780312.1	A	g10854.t1	A
rna-XM_056781693.1	A	g1929.t1	A
rna-XM_056781701.1	A	g1926.t1	A
rna-XM_056781702.1	A	g12346.t1	A
rna-XM_056781703.1	A	g8765.t1	A
rna-XM_056781708.1	A	g1975.t1	A
rna-XM_056781717.1	A	g13333.t1	A
rna-XM_056781722.1	A	g12603.t1	A
rna-XM_056780337.1	A	g10605.t1	A
rna-XM_056781078.1	A	g3524.t1	A
rna-XM_056781730.1	A	g12697.t1	A
rna-XM_056781080.1	A	g3535.t1	A
rna-XM_056780862.1	A	g3538.t1	A
rna-XM_056780582.1	A	g4310.t1	A
rna-XM_056781734.1	A	g524.t1	A
rna-XM_056781800.1	A	g9959.t1	A
rna-XM_056781808.1	A	g988.t1	A
rna-XM_056781809.1	A	g10642.t1	A
rna-XM_056781811.1	A	g3537.t1	A
rna-XM_056781813.1	A	g9384.t1	A
rna-XM_056781816.1	A	g9708.t1	A
rna-XM_056781818.1	A	g4311.t1	A
rna-XM_056781815.1	A	g10118.t1	A
rna-XM_056781819.1	A	g1810.t1	A
rna-XM_056781821.1	A	g13898.t2	A
rna-XM_056781822.1	A	g1811.t1	A
rna-XM_056781826.1	A	g11047.t1	A
rna-XM_056781827.1	A	g2383.t2	A
rna-XM_056781832.1	A	g2381.t1	A
rna-XM_056781838.1	A	g7672.t1	A
rna-XM_056780685.1	A	g14694.t1	A
rna-XM_056781740.1	A	g14692.t1	A
rna-XM_056780744.1	A	g14691.t1	A
rna-XM_056781741.1	A	g760.t1	A
rna-XM_056781168.1	A	g761.t1	A
rna-XM_056781169.1	A	g762.t1	A
rna-XM_056780561.1	A	g5272.t1	A
rna-XM_056780074.1	A	g764.t1	A
rna-XM_056780075.1	A	g712.t1	A
rna-XM_056780809.1	A	g763.t2	A
rna-XM_056780587.1	A	g5824.t2	A
rna-XM_056780512.1	A	g10873.t1	A
rna-XM_056782201.1	A	g1071.t1	A
rna-XM_056782205.1	A	g8659.t1	A
rna-XM_056782207.1	A	g14028.t1	A
rna-XM_056782208.1	A	g2399.t1	A
rna-XM_056780569.1	A	g659.t1	A
rna-XM_056781742.1	A	g13305.t1	A
rna-XM_056781342.1	A	g13308.t1	A
rna-XM_056782083.1	A	g3350.t1	A
rna-XM_056781325.1	A	g2398.t1	A
rna-XM_056780504.1	A	g4485.t1	A
rna-XM_056781316.1	A	g4997.t3	A
rna-XM_056780978.1	A	g4998.t1	A
rna-XM_056781517.1	A	g4996.t1	A
rna-XM_056780096.1	A	g4995.t1	A
rna-XM_056780092.1	A	g13469.t1	A
rna-XM_056780583.1	A	g14111.t1	A
rna-XM_056782221.1	A	g143.t1	A
rna-XM_056782213.1	A	g142.t1	A
rna-XM_056782223.1	A	g141.t1	A
rna-XM_056782222.1	A	g138.t1	A
rna-XM_056780454.1	A	g986.t1	A
rna-XM_056782128.1	A	g13874.t1	A
rna-XM_056781016.1	A	g4484.t1	A
rna-XM_056781022.1	A	g9789.t1	A
rna-XM_056781745.1	A	g3991.t1	A
rna-XM_056781859.1	A	g10369.t2	A
rna-XM_056781561.1	A	g9681.t1	A
rna-XM_056780778.1	A	g9961.t1	A
rna-XM_056780777.1	A	g9963.t1	A
rna-XM_056780776.1	A	g9964.t1	A
rna-XM_056781033.1	A	g9966.t1	A
rna-XM_056781648.1	A	g9969.t1	A
rna-XM_056780997.1	A	g9885.t1	A
rna-XM_056780996.1	A	g9957.t1	A
rna-XM_056781035.1	A	g9960.t1	A
rna-XM_056781018.1	A	g13940.t1	A
rna-XM_056781019.1	A	g4232.t1	A
rna-XM_056781392.1	A	g8035.t2	A
rna-XM_056780678.1	A	g8034.t1	A
rna-XM_056780950.1	A	g8136.t1	A
rna-XM_056781749.1	A	g8135.t1	A
rna-XM_056780547.1	A	g8133.t1	A
rna-XM_056781107.1	A	g8467.t1	A
rna-XM_056781121.1	A	g11582.t2	A
rna-XM_056781122.1	A	g9387.t1	A
rna-XM_056781120.1	A	g5338.t1	A
rna-XM_056781666.1	A	g14077.t1	A
rna-XM_056780887.1	A	g8156.t1	A
rna-XM_056780886.1	A	g9822.t1	A
rna-XM_056780890.1	A	g8915.t1	A
rna-XM_056780895.1	A	g8487.t3	A
rna-XM_056780889.1	A	g5101.t1	A
rna-XM_056780896.1	A	g5449.t3	A
rna-XM_056780899.1	A	g7317.t1	A
rna-XM_056780894.1	A	g2327.t1	A
rna-XM_056780893.1	A	g2310.t1	A
rna-XM_056781396.1	A	g4486.t1	A
rna-XM_056781381.1	A	g2315.t1	A
rna-XM_056781374.1	A	g2318.t1	A
rna-XM_056781382.1	A	g2320.t2	A
rna-XM_056780371.1	A	g2329.t1	A
rna-XM_056780372.1	A	g2328.t2	A
rna-XM_056780328.1	A	g4291.t1	A
rna-XM_056780326.1	A	g4488.t1	A
rna-XM_056780327.1	A	g2321.t1	A
rna-XM_056781779.1	A	g5447.t1	A
rna-XM_056781782.1	A	g10293.t1	A
rna-XM_056781783.1	A	g2326.t1	A
rna-XM_056781750.1	A	g2325.t1	A
rna-XM_056781784.1	A	g13564.t1	A
rna-XM_056781348.1	A	g4259.t2	A
rna-XM_056781353.1	A	g8989.t1	A
rna-XM_056781058.1	A	g10393.t1	A
rna-XM_056781057.1	A	g10304.t1	A
rna-XM_056781059.1	A	g10388.t2	A
rna-XM_056781063.1	A	g10387.t1	A
rna-XM_056781066.1	A	g10389.t1	A
rna-XM_056781067.1	A	g10303.t1	A
rna-XM_056780572.1	A	g1274.t1	A
rna-XM_056781552.1	A	g10395.t1	A
rna-XM_056781551.1	A	g10396.t2	A
rna-XM_056781553.1	A	g10397.t1	A
rna-XM_056781556.1	A	g458.t1	A
rna-XM_056780340.1	A	g10164.t1	A
rna-XM_056780332.1	A	g10163.t2	A
rna-XM_056782197.1	A	g103.t2	A
rna-XM_056781015.1	A	g9539.t1	A
rna-XM_056780437.1	A	g9876.t1	A
rna-XM_056780059.1	A	g9875.t1	A
rna-XM_056780061.1	A	g10363.t3	A
rna-XM_056780070.1	A	g10362.t1	A
rna-XM_056780366.1	A	g10361.t1	A
rna-XM_056780759.1	A	g10373.t1	A
rna-XM_056781752.1	A	g10376.t1	A
rna-XM_056780906.1	A	g10379.t1	A
rna-XM_056781999.1	A	g8479.t1	A
rna-XM_056781574.1	A	g9980.t1	A
rna-XM_056781846.1	A	g9981.t1	A
rna-XM_056781849.1	A	g9982.t1	A
rna-XM_056781848.1	A	g13127.t1	A
rna-XM_056781843.1	A	g11226.t1	A
rna-XM_056781845.1	A	g9984.t1	A
rna-XM_056781844.1	A	g10141.t1	A
rna-XM_056781521.1	A	g6081.t1	A
rna-XM_056781987.1	A	g13921.t1	A
rna-XM_056781988.1	A	g13923.t2	A
rna-XM_056781990.1	A	g13924.t1	A
rna-XM_056781069.1	A	g4390.t1	A
rna-XM_056781071.1	A	g13566.t1	A
rna-XM_056781072.1	A	g13927.t1	A
rna-XM_056781074.1	A	g13930.t2	A
rna-XM_056782085.1	A	g5561.t1	A
rna-XM_056782259.1	A	g8191.t1	A
rna-XM_056782251.1	A	g8189.t3	A
rna-XM_056782249.1	A	g11595.t1	A
rna-XM_056780901.1	A	g5648.t1	A
rna-XM_056781582.1	A	g204.t1	A
rna-XM_056780089.1	A	g1338.t2	A
rna-XM_056780090.1	A	g2702.t1	A
rna-XM_056780361.1	A	g3793.t1	A
rna-XM_056780885.1	A	g4594.t1	A
rna-XM_056781754.1	A	g4595.t1	A
rna-XM_056780838.1	A	g13104.t1	A
rna-XM_056780842.1	A	g747.t1	A
rna-XM_056781623.1	A	g11137.t1	A
rna-XM_056781617.1	A	g10576.t1	A
rna-XM_056780953.1	A	g11446.t1	A
rna-XM_056780573.1	A	g11411.t1	A
rna-XM_056780360.1	A	g11412.t2	A
rna-XM_056781757.1	A	g2247.t1	A
rna-XM_056781885.1	A	g13925.t1	A
rna-XM_056781883.1	A	g13235.t2	A
rna-XM_056780876.1	A	g4183.t1	A
rna-XM_056780500.1	A	g7686.t1	A
rna-XM_056780584.1	A	g7689.t1	A
rna-XM_056781558.1	A	g7691.t2	A
rna-XM_056780769.1	A	g4267.t2	A
rna-XM_056780189.1	A	g8348.t1	A
rna-XM_056781577.1	A	g9657.t1	A
rna-XM_056781578.1	A	g8803.t1	A
rna-XM_056781295.1	A	g6831.t1	A
rna-XM_056780671.1	A	g6388.t1	A
rna-XM_056780879.1	A	g2110.t1	A
rna-XM_056782002.1	A	g2113.t1	A
rna-XM_056780245.1	A	g2114.t2	A
rna-XM_056781345.1	A	g6.t1	A
rna-XM_056781758.1	A	g13657.t1	A
rna-XM_056780789.1	A	g5368.t1	A
rna-XM_056780788.1	A	g13508.t1	A
rna-XM_056780793.1	A	g7185.t1	A
rna-XM_056780790.1	A	g7187.t1	A
rna-XM_056782063.1	A	g10799.t1	A
rna-XM_056782120.1	A	g10793.t1	A
rna-XM_056782121.1	A	g2580.t1	A
rna-XM_056780805.1	A	g3123.t1	A
rna-XM_056780532.1	A	g10945.t2	A
rna-XM_056780536.1	A	g10042.t1	A
rna-XM_056780537.1	A	g7122.t1	A
rna-XM_056780538.1	A	g7206.t1	A
rna-XM_056780750.1	A	g2088.t1	A
rna-XM_056780902.1	A	g10713.t1	A
rna-XM_056781324.1	A	g13035.t1	A
rna-XM_056780729.1	A	g9740.t3	A
rna-XM_056782019.1	A	g11287.t1	A
rna-XM_056782027.1	A	g688.t1	A
rna-XM_056782030.1	A	g13457.t1	A
rna-XM_056782031.1	A	g663.t2	A
rna-XM_056782034.1	A	g10803.t1	A
rna-XM_056780973.1	A	g4251.t1	A
rna-XM_056781491.1	A	g10946.t1	A
rna-XM_056781899.1	A	g11440.t1	A
rna-XM_056781900.1	A	g11168.t1	A
rna-XM_056781902.1	A	g11385.t1	A
rna-XM_056781903.1	A	g11384.t1	A
rna-XM_056781904.1	A	g4262.t1	A
rna-XM_056781905.1	A	g11395.t1	A
rna-XM_056781907.1	A	g4263.t1	A
rna-XM_056781910.1	A	g4434.t1	A
rna-XM_056781911.1	A	g1008.t1	A
rna-XM_056781912.1	A	g9733.t1	A
rna-XM_056781913.1	A	g2490.t1	A
rna-XM_056781915.1	A	g8287.t1	A
rna-XM_056781918.1	A	g8440.t1	A
rna-XM_056781921.1	A	g11025.t1	A
rna-XM_056781922.1	A	g8465.t1	A
rna-XM_056781928.1	A	g5152.t2	A
rna-XM_056781927.1	A	g495.t1	A
rna-XM_056781926.1	A	g8084.t1	A
rna-XM_056781933.1	A	g7548.t1	A
rna-XM_056780782.1	A	g7328.t1	A
rna-XM_056780783.1	A	g11394.t1	A
rna-XM_056780785.1	A	g13422.t2	A
rna-XM_056780552.1	A	g14140.t1	A
rna-XM_056782130.1	A	g1383.t1	A
rna-XM_056782135.1	A	g7735.t1	A
rna-XM_056782137.1	A	g4438.t1	A
rna-XM_056782136.1	A	g4435.t2	A
rna-XM_056780955.1	A	g339.t1	A
rna-XM_056780771.1	A	g11339.t1	A
rna-XM_056781213.1	A	g341.t1	A
rna-XM_056780828.1	A	g342.t1	A
rna-XM_056782035.1	A	g12911.t1	A
rna-XM_056781547.1	A	g12910.t1	A
rna-XM_056780616.1	A	g10689.t1	A
rna-XM_056781652.1	A	g10691.t1	A
rna-XM_056781762.1	A	g4850.t1	A
rna-XM_056782182.1	A	g8252.t4	A
rna-XM_056782177.1	A	g9170.t1	A
rna-XM_056782176.1	A	g7322.t2	A
rna-XM_056782186.1	A	g7323.t1	A
rna-XM_056780086.1	A	g3150.t1	A
rna-XM_056780085.1	A	g3420.t1	A
rna-XM_056781003.1	A	g5044.t1	A
rna-XM_056781000.1	A	g9165.t1	A
rna-XM_056781001.1	A	g9167.t1	A
rna-XM_056780531.1	A	g5043.t1	A
rna-XM_056780801.1	A	g5042.t1	A
rna-XM_056780833.1	A	g13123.t1	A
rna-XM_056780283.1	A	g13124.t1	A
rna-XM_056780816.1	A	g13128.t1	A
rna-XM_056780822.1	A	g13129.t1	A
rna-XM_056780823.1	A	g13130.t1	A
rna-XM_056780341.1	A	g13131.t1	A
rna-XM_056780847.1	A	g13132.t1	A
rna-XM_056781340.1	A	g9169.t1	A
rna-XM_056781079.1	A	g13133.t1	A
rna-XM_056781509.1	A	g2115.t1	A
rna-XM_056781338.1	A	g7094.t1	A
rna-XM_056781403.1	A	g7095.t1	A
rna-XM_056781402.1	A	g7088.t1	A
rna-XM_056780698.1	A	g11442.t1	A
rna-XM_056780700.1	A	g7091.t1	A
rna-XM_056780595.1	A	g3891.t1	A
rna-XM_056781539.1	A	g3851.t1	A
rna-XM_056781764.1	A	g3850.t1	A
rna-XM_056780761.1	A	g3847.t1	A
rna-XM_056780748.1	A	g3888.t1	A
rna-XM_056780524.1	A	g3886.t1	A
rna-XM_056780528.1	A	g3626.t1	A
rna-XM_056780450.1	A	g8331.t1	A
rna-XM_056780798.1	A	g8332.t1	A
rna-XM_056780196.1	A	g13749.t1	A
rna-XM_056781851.1	A	g13751.t1	A
rna-XM_056780378.1	A	g9281.t1	A
rna-XM_056781789.1	A	g9283.t2	A
rna-XM_056781795.1	A	g9284.t2	A
rna-XM_056781794.1	A	g9282.t1	A
rna-XM_056781686.1	A	g11680.t1	A
rna-XM_056781679.1	A	g11681.t1	A
rna-XM_056781690.1	A	g8936.t1	A
rna-XM_056781765.1	A	g11685.t1	A
rna-XM_056781681.1	A	g7702.t1	A
rna-XM_056781672.1	A	g7704.t1	A
rna-XM_056781687.1	A	g1664.t1	X
rna-XM_056781682.1	A	g7707.t2	A
rna-XM_056781767.1	A	g9312.t1	A
rna-XM_056780988.1	A	g9306.t1	A
rna-XM_056780687.1	A	g3212.t1	A
rna-XM_056781770.1	A	g4753.t1	A
rna-XM_056780853.1	A	g5615.t1	A
rna-XM_056780851.1	A	g8968.t1	A
rna-XM_056781136.1	A	g12089.t1	A
rna-XM_056781139.1	A	g9014.t1	A
rna-XM_056781138.1	A	g12253.t1	A
rna-XM_056781130.1	A	g12252.t1	A
rna-XM_056781144.1	A	g12254.t1	A
rna-XM_056781393.1	A	g12255.t1	A
rna-XM_056780682.1	A	g8993.t1	A
rna-XM_056780684.1	A	g8990.t1	A
rna-XM_056782164.1	A	g11671.t1	A
rna-XM_056782160.1	A	g11673.t1	A
rna-XM_056780565.1	A	g11672.t1	A
rna-XM_056781290.1	A	g11669.t1	A
rna-XM_056781286.1	A	g11668.t2	A
rna-XM_056781285.1	A	g11667.t1	A
rna-XM_056781214.1	A	g7179.t2	A
rna-XM_056781950.1	A	g11947.t1	A
rna-XM_056781953.1	A	g11946.t1	A
rna-XM_056781952.1	A	g8974.t1	A
rna-XM_056781956.1	A	g11968.t1	A
rna-XM_056782229.1	A	g11705.t1	A
rna-XM_056782224.1	A	g11707.t1	A
rna-XM_056780662.1	A	g11708.t1	A
rna-XM_056780766.1	A	g11710.t1	A
rna-XM_056781383.1	A	g11711.t2	A
rna-XM_056781327.1	A	g11703.t1	A
rna-XM_056781328.1	A	g8222.t2	A
rna-XM_056781330.1	A	g11965.t1	A
rna-XM_056781329.1	A	g11966.t1	A
rna-XM_056781334.1	A	g9013.t1	A
rna-XM_056781336.1	A	g9012.t1	A
rna-XM_056780510.1	A	g14139.t1	A
rna-XM_056780511.1	A	g14133.t1	A
rna-XM_056780966.1	A	g14134.t2	A
rna-XM_056781569.1	A	g14136.t1	A
rna-XM_056781595.1	A	g14132.t1	A
rna-XM_056781596.1	A	g14131.t1	A
rna-XM_056781602.1	A	g14130.t1	A
rna-XM_056781600.1	A	g13695.t1	A
rna-XM_056781773.1	A	g704.t2	A
rna-XM_056781606.1	A	g14143.t1	A
rna-XM_056781604.1	A	g8202.t1	A
rna-XM_056781608.1	A	g8203.t1	A
rna-XM_056781609.1	A	g7678.t1	A
rna-XM_056781612.1	A	g7679.t1	A
rna-XM_056781774.1	A	g12821.t1	A
rna-XM_056781611.1	A	g1268.t1	A
rna-XM_056781613.1	A	g936.t1	A
rna-XM_056781581.1	A	g3649.t1	A
rna-XM_056781580.1	A	g3648.t1	A
rna-XM_056781775.1	A	g3641.t1	A
rna-XM_056780596.1	A	g3640.t2	A
rna-XM_056782067.1	A	g10575.t2	A
rna-XM_056780578.1	A	g11178.t1	A
rna-XM_056780336.1	A	g12882.t1	A
rna-XM_056782234.1	A	g1843.t2	A
rna-XM_056782235.1	A	g2112.t1	A
rna-XM_056782236.1	A	g12663.t1	A
rna-XM_056780836.1	A	g2092.t1	A
rna-XM_056780442.1	A	g11390.t1	A
rna-XM_056780446.1	A	g7897.t1	A
rna-XM_056781586.1	A	g12402.t1	A
rna-XM_056782174.1	A	g10732.t1	A
rna-XM_056782175.1	A	g4208.t1	A
rna-XM_056782166.1	A	g12747.t1	A
rna-XM_056782173.1	A	g7758.t1	A
rna-XM_056782168.1	A	g8873.t1	A
rna-XM_056782172.1	A	g7952.t1	A
rna-XM_056780621.1	A	g7951.t1	A
rna-XM_056780620.1	A	g7948.t1	A
rna-XM_056780720.1	A	g7032.t1	A
rna-XM_056780054.1	A	g7033.t1	A
rna-XM_056780056.1	A	g9548.t1	A
rna-XM_056780057.1	A	g9549.t1	A
rna-XM_056781397.1	A	g595.t1	A
rna-XM_056781398.1	A	g2378.t1	A
rna-XM_056780344.1	A	g594.t2	A
rna-XM_056781777.1	A	g915.t2	A
rna-XM_056780345.1	A	g12371.t1	A
rna-XM_056780342.1	A	g917.t1	A
rna-XM_056780439.1	A	g7670.t2	A
rna-XM_056781005.1	A	g11387.t1	A
rna-XM_056780957.1	A	g8291.t1	A
rna-XM_056781490.1	A	g12334.t1	A
rna-XM_056781172.1	A	g7898.t1	A
rna-XM_056781182.1	A	g12332.t1	A
rna-XM_056781177.1	A	g12330.t1	A
rna-XM_056781188.1	A	g12331.t1	A
rna-XM_056781190.1	A	g12818.t1	A
rna-XM_056781189.1	A	g6573.t1	A
rna-XM_056781185.1	A	g10420.t1	A
rna-XM_056781186.1	A	g10419.t1	A
rna-XM_056781187.1	A	g5707.t1	A
rna-XM_056781193.1	A	g10308.t1	A
rna-XM_056781192.1	A	g6672.t1	A
rna-XM_056781367.1	A	g12817.t1	A
rna-XM_056781373.1	A	g12816.t2	A
rna-XM_056780373.1	A	g12822.t1	A
rna-XM_056780999.1	A	g12819.t1	A
rna-XM_056780982.1	A	g12322.t1	A
rna-XM_056780509.1	A	g12321.t1	A
rna-XM_056782245.1	A	g12323.t1	A
rna-XM_056782240.1	A	g12324.t2	A
rna-XM_056782246.1	A	g12325.t1	A
rna-XM_056782118.1	A	g12326.t1	A
rna-XM_056782115.1	A	g12328.t1	A
rna-XM_056780780.1	A	g12327.t1	A
rna-XM_056781123.1	A	g12664.t1	A
rna-XM_056780365.1	A	g11608.t1	A
rna-XM_056780602.1	A	g4433.t2	A
rna-XM_056780607.1	A	g4432.t2	A
rna-XM_056780726.1	A	g9262.t1	A
rna-XM_056781384.1	A	g4431.t1	A
rna-XM_056780415.1	A	g4427.t2	A
rna-XM_056780414.1	A	g13993.t1	A
rna-XM_056780424.1	A	g4428.t2	A
rna-XM_056781778.1	A	g2041.t1	A
rna-XM_056780417.1	A	g13955.t1	A
rna-XM_056780802.1	A	g12063.t1	A
rna-XM_056780803.1	A	g12228.t1	A
rna-XM_056781077.1	A	g12226.t1	A
rna-XM_056781203.1	A	g12065.t1	A
rna-XM_056781568.1	A	g11988.t1	A
rna-XM_056781567.1	A	g11976.t1	A
rna-XM_056780985.1	A	g11978.t2	A
rna-XM_056780178.1	A	g11977.t7	A
rna-XM_056780154.1	A	g8560.t1	A
rna-XM_056780152.1	A	g13952.t1	A
rna-XM_056780992.1	A	g8916.t1	A
rna-XM_056780353.1	A	g8917.t1	A
rna-XM_056780358.1	A	g8913.t1	A
rna-XM_056780355.1	A	g2188.t2	A
rna-XM_056780359.1	A	g4728.t1	A
rna-XM_056780225.1	A	g4727.t1	A
rna-XM_056780230.1	A	g5142.t1	A
rna-XM_056780233.1	A	g5143.t1	A
rna-XM_056780447.1	A	g3422.t1	A
rna-XM_056780908.1	A	g14009.t1	A
rna-XM_056781023.1	A	g14006.t1	A
rna-XM_056783155.1	A	g3328.t1	A
rna-XM_056783691.1	A	g13854.t1	A
rna-XM_056783694.1	A	g11980.t1	A
rna-XM_056783110.1	A	g9550.t1	A
rna-XM_056783113.1	A	g860.t1	A
rna-XM_056782747.1	A	g13806.t1	A
rna-XM_056782480.1	A	g12312.t1	A
rna-XM_056783475.1	A	g3327.t1	A
rna-XM_056783466.1	A	g6575.t1	A
rna-XM_056783471.1	A	g161.t1	A
rna-XM_056783481.1	A	g13721.t1	A
rna-XM_056783480.1	A	g2489.t1	A
rna-XM_056783153.1	A	g940.t1	A
rna-XM_056783154.1	A	g950.t2	A
rna-XM_056783797.1	A	g6191.t3	A
rna-XM_056783177.1	A	g6189.t1	A
rna-XM_056782364.1	A	g2443.t1	A
rna-XM_056782366.1	A	g9826.t1	A
rna-XM_056782367.1	A	g4424.t1	A
rna-XM_056782361.1	A	g4425.t1	A
rna-XM_056782354.1	A	g4401.t1	A
rna-XM_056782376.1	A	g11323.t1	A
rna-XM_056782357.1	A	g126.t1	A
rna-XM_056782375.1	A	g12164.t1	A
rna-XM_056782355.1	A	g5662.t1	A
rna-XM_056782352.1	A	g12146.t1	A
rna-XM_056782365.1	A	g5651.t1	A
rna-XM_056782382.1	A	g11365.t1	A
rna-XM_056782727.1	A	g14076.t1	A
rna-XM_056782729.1	A	g14075.t1	A
rna-XM_056783493.1	A	g4399.t1	A
