HOG	OG	Gene Tree Parent Clade	A_obtectus	B_siliquastri	B_varius	C_chinensis	C_maculatus	C_maculatusC	D_carinulata	D_sublineata
N0.HOG0007600	OG0007353	n0	anno1.g11392.t1	BRAKERILHT00000006420_1	anno1.g3879.t1	anno1.g12519.t1	g2776.t1_1	anno1.g4560.t1	rna-XM_057813185.1_1	rna-XM_056773644.1_1
N0.HOG0007601	OG0007354	n0	anno1.g11399.t1	BRAKERILHT00000005246_1	anno1.g3874.t1, anno1.g3873.t1, anno1.g3872.t1	anno1.g12514.t1	g7913.t1_1	anno1.g4552.t1		
N0.HOG0007602	OG0007355	n0	anno1.g11411.t2	BRAKERILHT00000005958_1	anno1.g3862.t1	anno1.g12502.t1	g7924.t1_1	anno1.g4542.t1	rna-XM_057816481.1_1	rna-XM_056792263.1_1
N0.HOG0007603	OG0007356	n0	anno1.g11414.t1	BRAKERILHT00000005648_1	anno1.g3858.t1	anno1.g12495.t1	g7931.t1_1	anno1.g4538.t1	rna-XM_057803445.1_1	rna-XM_056784748.1_1
N0.HOG0007604	OG0007357	n0	anno1.g11417.t1	BRAKERILHT00000005995_1	anno1.g3857.t1	anno1.g12488.t1	g7933.t1_1	anno1.g4536.t1	rna-XM_057796965.1_1	rna-XM_056779868.1_1
N0.HOG0007605	OG0007358	n0	anno1.g11421.t1	BRAKERILHT00000004487_1	anno1.g3855.t1	anno1.g12485.t1	g7936.t1_1	anno1.g4534.t1	rna-XM_057803878.1_1	rna-XM_056788075.1_1
N0.HOG0007606	OG0007359	n0	anno1.g11424.t1	BRAKERILHT00000005050_1	anno1.g3698.t1	anno1.g6904.t1	g8361.t3_1	anno1.g4086.t2	rna-XM_057804350.1_1	rna-XM_056787639.1_1
N0.HOG0007607	OG0007360	n0	anno1.g11435.t1	BRAKERILHT00000004757_1	anno1.g3805.t1	anno1.g9658.t1	g8230.t2_1	anno1.g4248.t1	rna-XM_057796464.1_1	rna-XM_056779568.1_1
N0.HOG0007608	OG0007361	n0	anno1.g11436.t1	BRAKERILHT00000004634_1	anno1.g3804.t1	anno1.g9657.t2	g8231.t4_1	anno1.g4247.t3	rna-XM_057795241.1_1	rna-XM_056793186.1_1
N0.HOG0007609	OG0007362	n0	anno1.g11440.t2	BRAKERILHT00000005622_1	anno1.g3800.t1	anno1.g9653.t1	g8233.t1_1	anno1.g4243.t1	rna-XM_057795230.1_1	rna-XM_056793195.1_1
N0.HOG0007610	OG0007363	n0	anno1.g11442.t1	BRAKERILHT00000004453_1	anno1.g3798.t1	anno1.g9651.t1	g8237.t1_1	anno1.g4241.t1	rna-XM_057804412.1_1	rna-XM_056787308.1_1
N0.HOG0007611	OG0007364	n0	anno1.g11741.t1, anno1.g11462.t1	BRAKERILHT00000004977_1	anno1.g3602.t1	anno1.g7046.t1, anno1.g11134.t2	g7799.t1_1	anno1.g4681.t1		
N0.HOG0007612	OG0007365	n0	anno1.g11474.t1	BRAKERILHT00000004994_1		anno1.g7036.t1, anno1.g7037.t1	g7811.t1_1, g8682.t1_1, g8620.t1_1	anno1.g3770.t1		
N0.HOG0007613	OG0007366	n0	anno1.g11485.t1	BRAKERILHT00000005601_1	anno1.g3612.t1	anno1.g4263.t1	g7817.t1_1	anno1.g4667.t1	rna-XM_057799281.1_1	rna-XM_056781626.1_1
N0.HOG0007614	OG0007367	n0	anno1.g11487.t1	BRAKERILHT00000005436_1	anno1.g3719.t1	anno1.g7750.t1	g8306.t1_1	anno1.g4137.t1	rna-XM_057801353.1_1	rna-XM_056782819.1_1
N0.HOG0007615	OG0007368	n0	anno1.g11489.t1	BRAKERILHT00000005099_1	anno1.g3614.t1	anno1.g4262.t1	g7818.t1_1	anno1.g4665.t1	rna-XM_057799284.1_1	rna-XM_056780954.1_1
N0.HOG0007616	OG0007369	n0	anno1.g11491.t1, anno1.g11492.t2	BRAKERILHT00000015996_1			g14619.t1_1, g14618.t1_1, g1758.t1_1	anno1.g6978.t1, anno1.g6977.t1		
N0.HOG0007617	OG0007370	n0	anno1.g11493.t2	BRAKERILHT00000005742_1	anno1.g3615.t2	anno1.g7324.t2	g7819.t1_1	anno1.g4660.t2	rna-XM_057810655.1_1	rna-XM_056788350.1_1
N0.HOG0007618	OG0007371	n0	anno1.g11495.t1	BRAKERILHT00000005015_1	anno1.g3618.t1	anno1.g7326.t1	g7821.t1_1	anno1.g4657.t1	rna-XM_057797095.1_1	rna-XM_056778801.1_1
N0.HOG0007619	OG0007372	n0	anno1.g11498.t1	BRAKERILHT00000005084_1	anno1.g4382.t1	anno1.g8944.t2	g8673.t1_1	anno1.g3777.t1	rna-XM_057813321.1_1	rna-XM_056790349.1_1
N0.HOG0007620	OG0007373	n0	anno1.g11517.t1	BRAKERILHT00000005892_1	anno1.g4290.t1	anno1.g8927.t1	g8569.t1_1	anno1.g3834.t1	rna-XM_057809203.1_1	rna-XM_056777056.1_1
N0.HOG0007621	OG0007374	n0	anno1.g11518.t1	BRAKERILHT00000006447_1	anno1.g4289.t1	anno1.g8926.t1	g8568.t1_1	anno1.g3835.t3	rna-XM_057809170.1_1	rna-XM_056777053.1_1
N0.HOG0007622	OG0007375	n0	anno1.g11519.t4	BRAKERILHT00000004746_1	anno1.g4288.t4	anno1.g8925.t4	g8567.t1_1	anno1.g3836.t4	rna-XM_057807611.1_1	rna-XM_056786313.1_1
N0.HOG0007623	OG0007376	n0	anno1.g11520.t1	BRAKERILHT00000005282_1	anno1.g4286.t1	anno1.g8923.t1	g8565.t2_1	anno1.g3837.t2	rna-XM_057807616.1_1	rna-XM_056786319.1_1
N0.HOG0007624	OG0007377	n0	anno1.g11527.t2	BRAKERILHT00000005410_1	anno1.g4283.t3	anno1.g8918.t3	g8560.t1_1	anno1.g3841.t1	rna-XM_057799579.1_1	rna-XM_056780154.1_1
N0.HOG0007625	OG0007378	n0	anno1.g11533.t2	BRAKERILHT00000005047_1	anno1.g4237.t1	anno1.g11062.t1	g8510.t2_1	anno1.g3882.t1	rna-XM_057796364.1_1	rna-XM_056779343.1_1
N0.HOG0007626	OG0007379	n0	anno1.g11534.t1	BRAKERILHT00000004516_1	anno1.g4238.t1	anno1.g11061.t1	g8511.t1_1	anno1.g3881.t2	rna-XM_057796367.1_1	rna-XM_056779303.1_1
N0.HOG0007627	OG0007380	n0	anno1.g11535.t2	BRAKERILHT00000005561_1	anno1.g4239.t2	anno1.g11060.t1	g8512.t1_1	anno1.g3880.t1	rna-XM_057804063.1_1	rna-XM_056786921.1_1
N0.HOG0007628	OG0007381	n0	anno1.g11536.t1	BRAKERILHT00000006018_1	anno1.g4240.t1	anno1.g11059.t1	g8513.t1_1	anno1.g3879.t1	rna-XM_057816454.1_1	rna-XM_056791006.1_1
N0.HOG0007629	OG0007382	n0	anno1.g11538.t1	BRAKERILHT00000004456_1	anno1.g4242.t1	anno1.g11057.t1	g8514.t1_1	anno1.g3877.t1	rna-XM_057800107.1_1	rna-XM_056783188.1_1
N0.HOG0007630	OG0007383	n0	anno1.g11539.t1	BRAKERILHT00000005360_1	anno1.g4243.t1	anno1.g11056.t1	g8515.t1_1	anno1.g3876.t1	rna-XM_057805415.1_1	rna-XM_056775999.1_1
N0.HOG0007631	OG0007384	n0	anno1.g11541.t2	BRAKERILHT00000005087_1	anno1.g4245.t1	anno1.g13520.t1	g8517.t1_1	anno1.g3874.t1	rna-XM_057814018.1_1	rna-XM_056791880.1_1
N0.HOG0007632	OG0007385	n0	anno1.g11542.t1	BRAKERILHT00000003658_1	anno1.g4246.t1	anno1.g13521.t1	g8518.t1_1	anno1.g3873.t1	rna-XM_057812254.1_1	rna-XM_056791879.1_1
N0.HOG0007633	OG0007386	n0	anno1.g11543.t1	BRAKERILHT00000005332_1	anno1.g4247.t1	anno1.g13522.t2	g8519.t1_1	anno1.g3872.t1	rna-XM_057801134.1_1	rna-XM_056783641.1_1
N0.HOG0007634	OG0007387	n0	anno1.g11544.t1	BRAKERILHT00000015279_1, BRAKERILHT00000013966_1, BRAKERILHT00000015494_1, BRAKERILHT00000001503_1, BRAKERILHT00000009351_1					rna-XM_057805230.1_1	rna-XM_056787885.1_1
N0.HOG0007635	OG0007388	n0	anno1.g11545.t1	BRAKERILHT00000006026_1	anno1.g4248.t1	anno1.g12386.t1	g8520.t1_1	anno1.g3871.t1	rna-XM_057801068.1_1	rna-XM_056782785.1_1
N0.HOG0007636	OG0007389	n0	anno1.g11547.t1	BRAKERILHT00000005811_1	anno1.g4250.t1	anno1.g12380.t1	g8522.t3_1	anno1.g3869.t1	rna-XM_057813943.1_1	rna-XM_056773851.1_1
N0.HOG0007637	OG0007390	n0	anno1.g11549.t3	BRAKERILHT00000005980_1	anno1.g4255.t1	anno1.g8493.t3	g8526.t4_1	anno1.g3867.t2	rna-XM_057802580.1_1	rna-XM_056784569.1_1
N0.HOG0007638	OG0007391	n0	anno1.g11559.t1	BRAKERILHT00000005033_1	anno1.g4263.t1	anno1.g7363.t1	g8536.t1_1	anno1.g3858.t1	rna-XM_057794856.1_1	rna-XM_056791985.1_1
N0.HOG0007639	OG0007392	n0	anno1.g11561.t1	BRAKERILHT00000006152_1	anno1.g4265.t1	anno1.g7365.t1	g8538.t1_1	anno1.g3856.t1	rna-XM_057806844.1_1	rna-XM_056786739.1_1
N0.HOG0007640	OG0007393	n0	anno1.g11566.t2	BRAKERILHT00000005014_1	anno1.g4270.t1	anno1.g4771.t1	g8543.t2_1	anno1.g3852.t2	rna-XM_057796183.1_1	rna-XM_056779277.1_1
N0.HOG0007641	OG0007394	n0	anno1.g11571.t2		anno1.g3684.t1	anno1.g12959.t2, anno1.g12.t2	g7901.t2_1	anno1.g4576.t2	rna-XM_057803906.1_1	rna-XM_056787702.1_1
N0.HOG0007642	OG0007395	n0	anno1.g11576.t1	BRAKERILHT00000004713_1	anno1.g3689.t1	anno1.g17.t1	g8370.t1_1	anno1.g4077.t1	rna-XM_057809424.1_1	rna-XM_056787732.1_1
N0.HOG0007643	OG0007396	n0	anno1.g11578.t1	BRAKERILHT00000004867_1	anno1.g3682.t1	anno1.g13476.t1	g7898.t1_1	anno1.g4579.t1	rna-XM_057799092.1_1	rna-XM_056781172.1_1
N0.HOG0007644	OG0007397	n0	anno1.g11580.t1	BRAKERILHT00000006046_1	anno1.g3680.t1	anno1.g11690.t1	g7896.t1_1	anno1.g4581.t1	rna-XM_057803943.1_1	rna-XM_056787160.1_1
N0.HOG0007645	OG0007398	n0	anno1.g11582.t1		anno1.g3678.t1	anno1.g13479.t1, anno1.g11693.t1	g7893.t1_1	anno1.g4583.t1	rna-XM_057804459.1_1	rna-XM_056787234.1_1
N0.HOG0007646	OG0007399	n0	anno1.g11584.t2		anno1.g3676.t1	anno1.g13481.t1, anno1.g11695.t1	g7891.t1_1	anno1.g4585.t1	rna-XM_057804452.1_1	rna-XM_056787232.1_1
N0.HOG0007647	OG0007400	n0	anno1.g11585.t1	BRAKERILHT00000005882_1	anno1.g3675.t2	anno1.g11696.t2	g7890.t1_1	anno1.g4586.t2	rna-XM_057813471.1_1	rna-XM_056773670.1_1
N0.HOG0007648	OG0007401	n0	anno1.g11624.t1	BRAKERILHT00000005560_1	anno1.g3756.t1	anno1.g3598.t1	g8273.t1_1	anno1.g4172.t1	rna-XM_057811469.1_1	rna-XM_056791651.1_1
N0.HOG0007649	OG0007402	n0	anno1.g11651.t1	BRAKERILHT00000005774_1		anno1.g6985.t1	g12549.t1_1, g8264.t1_1	anno1.g4215.t1	rna-XM_057810998.1_1	rna-XM_056773632.1_1
N0.HOG0007650	OG0007403	n0	anno1.g11659.t1	BRAKERILHT00000005324_1, BRAKERILHT00000005704_1	anno1.g3780.t1		g8257.t2_1	anno1.g4221.t2	rna-XM_057796197.1_1	rna-XM_056779361.1_1
N0.HOG0007651	OG0007404	n0	anno1.g11660.t2	BRAKERILHT00000006177_1	anno1.g3781.t2	anno1.g9631.t2	g8256.t2_1	anno1.g4223.t2	rna-XM_057800518.1_1	rna-XM_056782739.1_1
N0.HOG0007652	OG0007405	n0	anno1.g11661.t1	BRAKERILHT00000004625_1	anno1.g3782.t1	anno1.g9632.t1	g8255.t1_1	anno1.g4224.t1	rna-XM_057801211.1_1	rna-XM_056783299.1_1
N0.HOG0007653	OG0007406	n0	anno1.g11662.t1	BRAKERILHT00000005008_1	anno1.g3783.t1	anno1.g9633.t1	g8254.t1_1	anno1.g4225.t1	rna-XM_057801218.1_1	rna-XM_056783305.1_1
N0.HOG0007654	OG0007407	n0	anno1.g11663.t3	BRAKERILHT00000005753_1	anno1.g3784.t1	anno1.g9634.t4	g8252.t4_1	anno1.g4226.t3	rna-XM_057799507.1_1	rna-XM_056782182.1_1
N0.HOG0007655	OG0007408	n0	anno1.g11665.t1	BRAKERILHT00000006178_1	anno1.g3785.t1	anno1.g9636.t1	g8251.t1_1	anno1.g4227.t1	rna-XM_057805278.1_1	rna-XM_056776340.1_1
N0.HOG0007656	OG0007409	n0	anno1.g11667.t1	BRAKERILHT00000005472_1	anno1.g3786.t1	anno1.g9637.t1	g8250.t1_1	anno1.g4228.t1	rna-XM_057805275.1_1	rna-XM_056776146.1_1
N0.HOG0007657	OG0007410	n0	anno1.g11668.t1	BRAKERILHT00000005417_1	anno1.g3787.t1	anno1.g9638.t1	g8249.t1_1	anno1.g4229.t1	rna-XM_057809518.1_1	rna-XM_056778323.1_1
N0.HOG0007658	OG0007411	n0	anno1.g11669.t1	BRAKERILHT00000004750_1	anno1.g3788.t1	anno1.g9639.t1	g8248.t1_1	anno1.g4230.t1	rna-XM_057808693.1_1	rna-XM_056778026.1_1
N0.HOG0007659	OG0007412	n0	anno1.g11671.t1	BRAKERILHT00000005340_1	anno1.g3790.t1	anno1.g9641.t1	g8246.t1_1	anno1.g4232.t1	rna-XM_057808699.1_1	rna-XM_056777998.1_1
N0.HOG0007660	OG0007413	n0	anno1.g11672.t1	BRAKERILHT00000005206_1	anno1.g3791.t1	anno1.g9642.t1	g8245.t1_1	anno1.g4233.t1	rna-XM_057795251.1_1	rna-XM_056793193.1_1
N0.HOG0007661	OG0007414	n0	anno1.g11673.t1	BRAKERILHT00000004638_1	anno1.g3792.t1	anno1.g9643.t1	g8244.t1_1	anno1.g4234.t1	rna-XM_057795248.1_1	rna-XM_056793192.1_1
N0.HOG0007662	OG0007415	n0	anno1.g11674.t1	BRAKERILHT00000006365_1	anno1.g3793.t1	anno1.g9644.t2	g8243.t1_1	anno1.g4235.t1	rna-XM_057814662.1_1	rna-XM_056774679.1_1
N0.HOG0007663	OG0007416	n0	anno1.g11675.t1	BRAKERILHT00000005806_1	anno1.g3794.t2	anno1.g9645.t2	g8242.t2_1	anno1.g4236.t2	rna-XM_057811786.1_1	rna-XM_056791779.1_1
N0.HOG0007664	OG0007417	n0	anno1.g11677.t2	BRAKERILHT00000004991_1	anno1.g3795.t2	anno1.g9647.t2	g8240.t2_1	anno1.g4238.t2	rna-XM_057803952.1_1	rna-XM_056787151.1_1
N0.HOG0007665	OG0007418	n0	anno1.g11681.t1	BRAKERILHT00000004759_1	anno1.g3808.t1	anno1.g9662.t1	g8224.t1_1	anno1.g4253.t1	rna-XM_057809316.1_1	rna-XM_056778169.1_1
N0.HOG0007666	OG0007419	n0	anno1.g11682.t1	BRAKERILHT00000005207_1	anno1.g3809.t1	anno1.g9663.t1	g8223.t1_1	anno1.g4254.t1	rna-XM_057811495.1_1	rna-XM_056782668.1_1
N0.HOG0007667	OG0007420	n0	anno1.g11683.t1	BRAKERILHT00000006433_1	anno1.g3811.t1	anno1.g9665.t1	g8221.t1_1	anno1.g4256.t1	rna-XM_057809566.1_1	rna-XM_056778165.1_1
N0.HOG0007668	OG0007421	n0	anno1.g11686.t1	BRAKERILHT00000004485_1	anno1.g3814.t1	anno1.g9668.t1	g8218.t1_1	anno1.g4259.t1	rna-XM_057802850.1_1	rna-XM_056785497.1_1
N0.HOG0007669	OG0007422	n0	anno1.g11687.t1	BRAKERILHT00000006068_1	anno1.g3815.t1	anno1.g9669.t1	g8217.t1_1	anno1.g4260.t1	rna-XM_057802851.1_1	rna-XM_056785498.1_1
N0.HOG0007670	OG0007423	n0	anno1.g11688.t1	BRAKERILHT00000005627_1	anno1.g3816.t1	anno1.g9670.t1	g8216.t1_1	anno1.g4261.t1	rna-XM_057802849.1_1	rna-XM_056785495.1_1
N0.HOG0007671	OG0007424	n0	anno1.g11689.t1	BRAKERILHT00000005976_1	anno1.g3817.t1	anno1.g9671.t1	g8215.t1_1	anno1.g4262.t1	rna-XM_057810411.1_1	rna-XM_056788292.1_1
N0.HOG0007672	OG0007425	n0	anno1.g11690.t1	BRAKERILHT00000004524_1	anno1.g3818.t2	anno1.g9672.t1	g8214.t1_1	anno1.g4263.t1	rna-XM_057802857.1_1	rna-XM_056785500.1_1
N0.HOG0007673	OG0007426	n0	anno1.g11691.t1	BRAKERILHT00000005312_1	anno1.g3819.t1	anno1.g9673.t1	g8213.t1_1	anno1.g4264.t1	rna-XM_057804051.1_1	rna-XM_056787553.1_1
N0.HOG0007674	OG0007427	n0	anno1.g11695.t1	BRAKERILHT00000004782_1	anno1.g3820.t1	anno1.g9675.t1	g8211.t1_1	anno1.g4266.t1	rna-XM_057799925.1_1	rna-XM_056782310.1_1
N0.HOG0007675	OG0007428	n0	anno1.g11696.t1	BRAKERILHT00000005263_1	anno1.g3821.t1	anno1.g9677.t1	g7773.t1_1	anno1.g4712.t1	rna-XM_057801324.1_1	rna-XM_056783116.1_1
N0.HOG0007676	OG0007429	n0	anno1.g11697.t1	BRAKERILHT00000004841_1	anno1.g3822.t2	anno1.g9678.t3	g7772.t1_1	anno1.g4714.t4	rna-XM_057801325.1_1	rna-XM_056782482.1_1
N0.HOG0007677	OG0007430	n0	anno1.g11699.t3	BRAKERILHT00000005234_1	anno1.g3824.t2	anno1.g9681.t4	g7770.t2_1	anno1.g4716.t6	rna-XM_057811780.1_1	rna-XM_056786346.1_1
N0.HOG0007678	OG0007431	n0	anno1.g11700.t2	BRAKERILHT00000005071_1	anno1.g3825.t1	anno1.g9682.t1	g7769.t1_1	anno1.g4717.t1	rna-XM_057810997.1_1	rna-XM_056773614.1_1
N0.HOG0007679	OG0007432	n0	anno1.g11701.t1	BRAKERILHT00000004627_1	anno1.g3826.t1	anno1.g9683.t1	g7768.t1_1	anno1.g4718.t1	rna-XM_057811006.1_1	rna-XM_056773633.1_1
N0.HOG0007680	OG0007433	n0	anno1.g11702.t2	BRAKERILHT00000006161_1	anno1.g3827.t2	anno1.g9684.t1	g7767.t2_1	anno1.g4719.t1	rna-XM_057811033.1_1	rna-XM_056773635.1_1
N0.HOG0007681	OG0007434	n0	anno1.g11703.t2	BRAKERILHT00000005587_1	anno1.g3828.t1	anno1.g9685.t1	g7766.t1_1	anno1.g4720.t1	rna-XM_057799640.1_1	rna-XM_056781786.1_1
N0.HOG0007682	OG0007435	n0	anno1.g11705.t1	BRAKERILHT00000005760_1	anno1.g3830.t1	anno1.g9687.t1	g7764.t2_1	anno1.g4722.t2	rna-XM_057803155.1_1	rna-XM_056785484.1_1
N0.HOG0007683	OG0007436	n0	anno1.g11707.t2	BRAKERILHT00000005252_1	anno1.g3833.t2	anno1.g9689.t2	g7762.t2_1	anno1.g4724.t2	rna-XM_057802855.1_1	rna-XM_056785499.1_1
N0.HOG0007684	OG0007437	n0	anno1.g11710.t1	BRAKERILHT00000006256_1	anno1.g3835.t1	anno1.g9692.t1	g7760.t1_1	anno1.g4726.t1	rna-XM_057795777.1_1	rna-XM_056779074.1_1
N0.HOG0007685	OG0007438	n0	anno1.g11711.t1	BRAKERILHT00000005803_1	anno1.g3836.t1	anno1.g9693.t1	g7759.t1_1	anno1.g4727.t1	rna-XM_057796946.1_1	rna-XM_056779388.1_1
N0.HOG0007686	OG0007439	n0	anno1.g11713.t1	BRAKERILHT00000004657_1	anno1.g3838.t1	anno1.g9695.t1	g7758.t1_1	anno1.g4729.t1	rna-XM_057797488.1_1	rna-XM_056782173.1_1
N0.HOG0007687	OG0007440	n0	anno1.g11716.t1	BRAKERILHT00000004758_1	anno1.g3841.t1	anno1.g9697.t1	g7952.t1_1	anno1.g4518.t1	rna-XM_057797487.1_1	rna-XM_056782172.1_1
N0.HOG0007688	OG0007441	n0	anno1.g11717.t1	BRAKERILHT00000005054_1	anno1.g3842.t1	anno1.g9698.t1	g7951.t1_1	anno1.g4519.t1	rna-XM_057799453.1_1	rna-XM_056780621.1_1
N0.HOG0007689	OG0007442	n0	anno1.g11721.t1	BRAKERILHT00000004549_1	anno1.g3846.t1	anno1.g9700.t1	g7947.t1_1	anno1.g4523.t1	rna-XM_057812833.1_1	rna-XM_056789591.1_1
N0.HOG0007690	OG0007443	n0	anno1.g11722.t1	BRAKERILHT00000005996_1	anno1.g3847.t1	anno1.g9701.t1	g7946.t2_1	anno1.g4524.t1	rna-XM_057804861.1_1	rna-XM_056776704.1_1
N0.HOG0007691	OG0007444	n0	anno1.g11723.t1	BRAKERILHT00000005860_1	anno1.g3849.t1	anno1.g9703.t1	g7944.t2_1	anno1.g4526.t2	rna-XM_057804857.1_1	rna-XM_056776706.1_1
N0.HOG0007692	OG0007445	n0	anno1.g11724.t3	BRAKERILHT00000004975_1	anno1.g3850.t2	anno1.g9704.t1	g7942.t1_1	anno1.g4527.t3	rna-XM_057804866.1_1	rna-XM_056776710.1_1
N0.HOG0007693	OG0007446	n0	anno1.g11727.t1	BRAKERILHT00000006352_1	anno1.g3854.t1	anno1.g12484.t2	g7938.t1_1	anno1.g4532.t1	rna-XM_057802496.1_1	rna-XM_056785777.1_1
N0.HOG0007694	OG0007447	n0	anno1.g11728.t1	BRAKERILHT00000005530_1	anno1.g3853.t1	anno1.g12483.t1	g7939.t1_1	anno1.g4531.t1	rna-XM_057803877.1_1	rna-XM_056788074.1_1
N0.HOG0007695	OG0007448	n0	anno1.g11729.t3	BRAKERILHT00000004749_1	anno1.g3851.t6	anno1.g12482.t4	g7940.t2_1	anno1.g4530.t3	rna-XM_057807217.1_1	rna-XM_056785949.1_1
N0.HOG0007696	OG0007449	n0	anno1.g11735.t2	BRAKERILHT00000005559_1	anno1.g3775.t1	anno1.g6986.t2	g8262.t2_1	anno1.g4216.t2	rna-XM_057811800.1_1	rna-XM_056776266.1_1
N0.HOG0007697	OG0007450	n0	anno1.g11759.t1	BRAKERILHT00000005869_1	anno1.g4176.t1	anno1.g4273.t1	g8469.t1_1	anno1.g3931.t1	rna-XM_057802666.1_1	rna-XM_056784148.1_1
N0.HOG0007698	OG0007451	n0	anno1.g11767.t1	BRAKERILHT00000005265_1	anno1.g3507.t1	anno1.g7812.t3	g7726.t2_1	anno1.g4765.t1	rna-XM_057804561.1_1	rna-XM_056790647.1_1
N0.HOG0007699	OG0007452	n0	anno1.g11769.t1	BRAKERILHT00000006184_1	anno1.g3495.t1	anno1.g10439.t1	g8195.t1_1	anno1.g4281.t1	rna-XM_057813713.1_1	rna-XM_056789573.1_1
N0.HOG0007700	OG0007453	n0	anno1.g11774.t2	BRAKERILHT00000006185_1	anno1.g3503.t1	anno1.g12159.t1	g8373.t1_1	anno1.g4074.t1	rna-XM_057806903.1_1	rna-XM_056786409.1_1
N0.HOG0007701	OG0007454	n0	anno1.g11776.t1	BRAKERILHT00000005839_1	anno1.g3506.t1	anno1.g7811.t1	g7725.t5_1	anno1.g4766.t2	rna-XM_057816042.1_1	rna-XM_056774306.1_1
N0.HOG0007702	OG0007455	n0	anno1.g11777.t1	BRAKERILHT00000004654_1	anno1.g3496.t1	anno1.g10438.t1	g8198.t1_1	anno1.g4279.t1	rna-XM_057800668.1_1	rna-XM_056783336.1_1
N0.HOG0007703	OG0007456	n0	anno1.g11783.t1	BRAKERILHT00000005303_1	anno1.g4172.t1	anno1.g4267.t1	g8467.t1_1	anno1.g3942.t1	rna-XM_057797796.1_1	rna-XM_056781107.1_1
N0.HOG0007704	OG0007457	n0	anno1.g11784.t1	BRAKERILHT00000004736_1	anno1.g4171.t1	anno1.g4266.t1	g8466.t1_1	anno1.g3943.t1	rna-XM_057802460.1_1	rna-XM_056785415.1_1
N0.HOG0007705	OG0007458	n0	anno1.g11791.t1	BRAKERILHT00000006292_1	anno1.g4138.t4	anno1.g11526.t1	g8428.t2_1	anno1.g4011.t1	rna-XM_057812166.1_1	rna-XM_056791114.1_1
N0.HOG0007706	OG0007459	n0	anno1.g11792.t1	BRAKERILHT00000004717_1	anno1.g4139.t1	anno1.g11523.t1	g8429.t1_1	anno1.g4010.t1	rna-XM_057798557.1_1	rna-XM_056781261.1_1
N0.HOG0007707	OG0007460	n0	anno1.g11793.t1	BRAKERILHT00000005017_1	anno1.g4140.t1	anno1.g11522.t1	g8430.t1_1	anno1.g4009.t1	rna-XM_057798215.1_1	rna-XM_056789581.1_1
N0.HOG0007708	OG0007461	n0	anno1.g11795.t1	BRAKERILHT00000004974_1	anno1.g4149.t1	anno1.g11552.t1	g8438.t1_1	anno1.g3996.t1	rna-XM_057799865.1_1	rna-XM_056783040.1_1
N0.HOG0007709	OG0007462	n0	anno1.g11797.t3	BRAKERILHT00000005144_1	anno1.g4151.t2		g2440.t2_1	anno1.g7766.t1, anno1.g13985.t1	rna-XM_057799291.1_1	rna-XM_056780480.1_1
N0.HOG0007710	OG0007463	n0	anno1.g11798.t1	BRAKERILHT00000004667_1	anno1.g4152.t1	anno1.g12706.t1	g11031.t1_1	anno1.g3969.t1	rna-XM_057805058.1_1	rna-XM_056787434.1_1
N0.HOG0007711	OG0007464	n0	anno1.g11799.t1	BRAKERILHT00000005881_1	anno1.g3460.t1	anno1.g2234.t1	g7718.t1_1	anno1.g4772.t1	rna-XM_057812976.1_1	rna-XM_056791454.1_1
N0.HOG0007712	OG0007465	n0	anno1.g11800.t2	BRAKERILHT00000005446_1	anno1.g3459.t2	anno1.g2233.t1	g7717.t2_1	anno1.g4773.t1	rna-XM_057811073.1_1	rna-XM_056773781.1_1
N0.HOG0007713	OG0007466	n0	anno1.g11802.t1	BRAKERILHT00000005671_1	anno1.g3457.t1	anno1.g2231.t1	g7716.t1_1	anno1.g4776.t1	rna-XM_057811067.1_1	rna-XM_056773780.1_1
N0.HOG0007714	OG0007467	n0	anno1.g11803.t1	BRAKERILHT00000004553_1	anno1.g3475.t2	anno1.g1069.t1	g8390.t1_1	anno1.g4058.t1	rna-XM_057796950.1_1	rna-XM_056778611.1_1
N0.HOG0007715	OG0007468	n0	anno1.g11806.t1	BRAKERILHT00000005643_1	anno1.g3491.t1	anno1.g10443.t1	g8191.t1_1	anno1.g4285.t1	rna-XM_057799229.1_1	rna-XM_056782259.1_1
N0.HOG0007716	OG0007469	n0	anno1.g11807.t1	BRAKERILHT00000005977_1	anno1.g3492.t1	anno1.g10442.t1	g8192.t1_1	anno1.g4284.t1	rna-XM_057807236.1_1	rna-XM_056786224.1_1
N0.HOG0007717	OG0007470	n0	anno1.g11808.t1	BRAKERILHT00000005657_1	anno1.g3493.t2	anno1.g10441.t1	g8193.t1_1	anno1.g4283.t4	rna-XM_057808273.1_1	rna-XM_056776423.1_1
N0.HOG0007718	OG0007471	n0	anno1.g11809.t1	BRAKERILHT00000004619_1	anno1.g3467.t1	anno1.g2241.t1	g8328.t1_1	anno1.g4121.t1	rna-XM_057811788.1_1	rna-XM_056792266.1_1
N0.HOG0007719	OG0007472	n0	anno1.g11811.t1	BRAKERILHT00000005292_1	anno1.g3465.t1	anno1.g2239.t1	g8326.t1_1	anno1.g4123.t1	rna-XM_057805274.1_1	rna-XM_056776145.1_1
N0.HOG0007720	OG0007473	n0	anno1.g11816.t1	BRAKERILHT00000005661_1	anno1.g3471.t1	anno1.g2244.t1	g8386.t1_1	anno1.g4062.t1	rna-XM_057800541.1_1	rna-XM_056782421.1_1
